date,spy_voltarget,momentum_hrp,momentum_ml_hrp,momentum_equal,SPY
2022-02-24,100436.4075719872,99982.55925767646,,99982.55925767646,100000.0
2022-02-25,101101.21545306726,100050.94752525262,,100050.94752525262,102206.3973850105
2022-02-28,101023.61406325063,100124.8712526459,,100124.8712526459,101944.89843567592
2022-03-01,100562.0284872339,100198.03533875823,,100198.03533875823,100392.24842400185
2022-03-02,101117.01637876421,100111.03724346461,,100111.03724346461,102239.0847536773
2022-03-03,100973.73885331764,100184.9563866789,,100184.9563866789,101730.09572729393
2022-03-04,100727.62535887817,100292.06982749025,,100292.06982749025,100903.57226243285
2022-03-07,99836.81622330274,100269.39266204122,,100269.39266204122,97929.02171375202
2022-03-08,99609.73584594052,100211.65967181382,,100211.65967181382,97186.55148260565
2022-03-09,100410.92118074464,100133.0662448926,,100133.0662448926,99792.20172776093
2022-03-10,100274.89740178848,100099.11849014052,,100099.11849014052,99341.5830025683
2022-03-11,99884.71924769002,100057.38255532771,,100057.38255532771,98078.44968480038
2022-03-14,99673.37180454486,99944.85343614529,,99944.85343614529,97361.66238617792
2022-03-15,100315.66531255824,99944.30374222902,,99944.30374222902,99502.68503385478
2022-03-16,100998.35833438765,99963.43055815471,,99963.43055815471,101709.08241886529
2022-03-17,101377.43256393801,99974.43344159119,,99974.43344159119,102981.55498482373
2022-03-18,101794.3359787256,99966.58318150308,,99966.58318150308,104106.00256829326
2022-03-21,101782.82214378774,99886.07856021894,,99886.07856021894,104075.55673833314
2022-03-22,102243.45816179547,99844.16255342386,,99844.16255342386,105293.38993673844
2022-03-23,101747.91386138678,99928.91784056475,,99928.91784056475,103937.37951005253
2022-03-24,102341.12414653478,99922.41605200878,,99922.41605200878,105504.16875953935
2022-03-25,102520.6958247993,99846.0297246192,,99846.0297246192,106019.40588194158
2022-03-28,102820.65475224964,99846.51983206764,,99846.51983206764,106773.5256701849
2022-03-29,103346.234889413,99914.55198970174,,99914.55198970174,108094.40629307063
2022-03-30,103095.82208710982,99990.76399896278,,99990.76399896278,107426.94002086773
2022-03-31,102440.16672096672,100000.86475233137,,100000.86475233137,105773.49725534054
2022-04-01,102560.12947861353,99972.03544326838,,99972.03544326838,106073.27158110184
2022-04-04,102916.58119232689,99951.11227429277,,99951.11227429277,106981.9625060658
