date,open,high,low,close,volume
2023-01-11,89.0,94.83,88.864,94.44,7718901.0
2023-01-12,95.31,98.95,94.02,98.49,7695221.0
2023-01-13,97.5,100.6999,97.42,100.37,6528993.0
2023-01-17,99.915,102.735,99.1,101.27,5496249.0
2023-01-18,101.41,103.8001,100.32,101.11,6062224.0
2023-01-19,99.84,100.52,97.57,99.1,4996747.0
2023-01-20,99.01,101.37,98.1107,101.28,5104017.0
2023-01-23,101.99,105.38,101.35,105.22,4442688.0
2023-01-24,104.7,106.3899,103.82,104.13,3514662.0
2023-01-25,100.36,104.675,99.841,104.44,5169257.0
2023-01-26,106.3,109.49,105.675,109.42,5196610.0
2023-01-27,108.86,117.12,108.7345,115.94,9548495.0
2023-01-30,114.13,115.08,109.275,109.48,5469927.0
2023-01-31,109.48,111.23,108.82,111.11,3867201.0
2023-02-01,111.11,114.89,109.83,113.99,4053605.0
2023-02-02,116.25,119.85,116.24,118.52,7166921.0
2023-02-03,116.04,121.4,115.85,118.7,6130725.0
2023-02-06,117.41,119.3335,116.81,118.35,3204147.0
2023-02-07,117.91,120.21,115.1379,119.69,4397729.0
2023-02-08,119.39,119.81,115.57,116.36,3605405.0
2023-02-09,118.0,119.28,114.52,114.94,4508691.0
2023-02-10,112.25,113.36,106.5383,108.87,6463548.0
2023-02-13,110.0,116.9,109.81,116.42,7657239.0
2023-02-14,116.29,121.32,115.2,120.87,17141533.0
2023-02-15,130.0,138.7499,129.85,137.01,32502208.0
2023-02-16,135.65,144.63,134.73,139.42,18705822.0
2023-02-17,137.435,138.4,130.73,131.6,11386744.0
2023-02-21,129.77,132.85,128.145,128.78,6618673.0
2023-02-22,128.14,128.88,124.55,127.21,5758987.0
2023-02-23,128.21,128.85,121.92,125.52,7013484.0
2023-02-24,123.04,124.8499,120.1914,122.78,5119777.0
2023-02-27,123.95,125.06,122.73,123.53,5008568.0
2023-02-28,125.11,126.3843,123.03,123.28,7317099.0
2023-03-01,122.375,123.3,120.3901,120.83,4637827.0
