date,open,high,low,close,volume
2023-01-11,9.28,9.4,9.04,9.39,6899
2023-01-12,9.45,9.54,9.31,9.47,11158
2023-01-13,9.6,9.7,9.4822,9.68,8507
2023-01-17,9.75,10.0,9.69,10.0,11450
2023-01-18,9.91,9.966,9.9,9.96,6229
2023-01-19,9.97,9.97,9.8438,9.8438,8019
2023-01-20,9.71,9.8366,9.71,9.81,6372
2023-01-23,9.8,9.9299,9.71,9.84,6764
2023-01-24,9.83,9.91,9.8,9.89,2697
2023-01-25,9.9,9.975,9.9,9.975,1278
2023-01-26,10.0,10.0,8.89,9.2501,33223
2023-01-27,9.32,9.4299,9.2624,9.42,3412
2023-01-30,9.42,9.4711,9.18,9.2848,13224
2023-01-31,9.3,9.45,9.26,9.45,9400
2023-02-01,9.545,9.6617,9.5,9.57,6214
2023-02-02,9.64,9.68,9.515,9.65,9530
2023-02-03,9.22,9.79,9.22,9.58,16308
2023-02-06,9.474,9.474,9.2833,9.45,6968
2023-02-07,9.33,9.52,9.1452,9.16,21826
2023-02-08,9.08,9.24,9.08,9.2203,7173
2023-02-09,9.14,9.3355,9.11,9.28,4506
2023-02-10,9.19,9.32,9.19,9.29,4306
2023-02-13,9.29,9.54,9.2366,9.46,12624
2023-02-14,9.45,9.6793,9.45,9.64,6670
2023-02-15,9.6,9.7,9.6,9.6452,6689
2023-02-16,9.54,9.66,9.37,9.37,3537
2023-02-17,9.36,9.59,9.36,9.52,12161
2023-02-21,9.5,9.5,9.32,9.37,10453
2023-02-22,9.3,9.6,9.13,9.6,18597
2023-02-23,9.66,9.81,9.65,9.81,9444
2023-02-24,9.71,9.77,9.5,9.62,7752
2023-02-27,9.74,9.74,9.4,9.51,14643
2023-02-28,9.5,9.76,9.5,9.7,11762
2023-03-01,9.5206,9.73,9.5206,9.61,15111
2023-03-02,9.55,9.76,9.5487,9.56,10011
2023-03-03,9.53,9.59,9.26,9.37,18625
2023-03-06,9.43,9.6801,9.11,9.6358,21701
2023-03-07,9.52,9.54,9.23,9.31,8825
2023-03-08,9.43,9.5,9.33,9.45,7664
2023-03-09,9.45,9.45,9.03,9.03,4150
2023-03-10,9.25,9.28,8.3,8.75,29093
2023-03-13,8.45,8.8,8.09,8.69,26892
2023-03-14,8.74,9.12,8.61,8.86,14122
2023-03-15,8.44,8.68,8.34,8.39,14416
2023-03-16,8.41,8.565,8.41,8.53,13217
2023-03-17,8.8,8.94,8.66,8.69,11076
2023-03-20,8.87,9.6,8.8434,9.43,38532
2023-03-21,9.62,9.82,9.6,9.72,20291
2023-03-22,9.8,9.9518,9.8,9.85,4308
2023-03-23,9.8,9.87,9.745,9.85,13221
2023-03-24,9.71,9.94,9.67,9.94,51718
2023-03-27,9.95,10.17,9.82,9.91,37039
2023-03-28,9.81,10.05,9.81,9.88,7005
2023-03-29,9.9498,9.9498,9.63,9.82,13532
2023-03-30,9.82,9.82,9.33,9.42,18108
2023-03-31,9.4,9.91,9.4,9.72,11516
2023-04-03,9.75,9.8999,9.6,9.64,18369
2023-04-04,9.56,9.76,9.48,9.6,9951
2023-04-05,9.55,9.8188,9.14,9.43,28016
2023-04-06,9.33,9.67,9.31,9.35,13175
2023-04-10,9.55,9.755,9.3806,9.68,25663
2023-04-11,9.74,9.79,9.4,9.4,19365
2023-04-12,9.4,9.7563,9.4,9.68,9794
2023-04-13,9.59,9.77,9.29,9.69,11140
2023-04-14,9.46,9.65,9.46,9.49,38453
2023-04-17,8.62,9.2642,8.62,9.06,36335
2023-04-18,9.09,9.4724,9.09,9.47,11072
2023-04-19,9.33,9.53,9.28,9.43,12066
2023-04-20,9.45,9.83,9.42,9.73,15928
2023-04-21,9.73,9.73,8.41,9.23,49351
2023-04-24,9.16,9.42,9.16,9.31,20074
2023-04-25,9.34,9.34,9.09,9.16,7405
2023-04-26,9.05,9.19,9.0,9.1,6471
2023-04-27,9.2,9.2867,8.72,8.72,21401
2023-04-28,8.87,8.88,8.66,8.84,9330
2023-05-01,8.61,8.71,8.42,8.42,13845
2023-05-02,8.43,8.4701,7.61,7.85,43683
2023-05-03,7.92,8.46,7.92,8.32,16860
2023-05-04,8.45,8.54,7.91,8.04,28781
2023-05-05,8.12,8.69,8.12,8.13,29392
2023-05-08,8.42,8.88,8.34,8.87,19772
2023-05-09,8.88,8.88,8.65,8.66,14079
2023-05-10,8.48,8.7,8.18,8.39,18151
2023-05-11,8.3,8.75,8.3,8.61,10382
2023-05-12,8.7578,8.8,8.57,8.6,10796
2023-05-15,8.55,8.68,8.55,8.68,8342
2023-05-16,8.55,8.82,8.55,8.72,10819
2023-05-17,8.74,8.74,8.63,8.68,8826
2023-05-18,8.714,8.714,8.46,8.51,15827
2023-05-19,8.46,8.65,8.3,8.31,10135
2023-05-22,8.23,8.5,8.2101,8.23,5479
2023-05-23,8.34,8.34,8.3,8.3,2100
2023-05-24,8.23,8.25,8.22,8.22,2118
2023-05-25,8.11,8.2469,8.02,8.08,5756
2023-05-26,8.1468,8.21,8.08,8.08,9047
2023-05-30,8.0,8.155,8.0,8.05,5774
2023-05-31,8.0,8.1873,8.0,8.07,9371
2023-06-01,8.24,8.48,8.1745,8.38,18740
2023-06-02,8.22,8.6222,8.22,8.52,11832
2023-06-05,8.46,8.5746,8.43,8.43,6201
2023-06-06,8.31,8.4,8.31,8.35,8328
2023-06-07,8.43,8.49,8.35,8.441,3125
2023-06-08,8.09,8.435,8.09,8.4327,6836
2023-06-09,8.46,8.5,8.385,8.42,9631
2023-06-12,8.35,8.43,8.35,8.4,13866
2023-06-13,8.4,8.52,8.35,8.35,12779
2023-06-14,8.25,8.3997,8.25,8.33,6741
2023-06-15,8.43,8.43,8.32,8.34,5295
2023-06-16,8.3396,8.51,8.29,8.29,16875
2023-06-20,8.23,8.4799,8.23,8.43,18324
2023-06-21,8.385,8.4364,8.27,8.35,5280
2023-06-22,8.26,8.38,8.26,8.295,4970
2023-06-23,8.319,8.35,8.2,8.25,9897
2023-06-26,8.2,8.33,8.1774,8.33,9844
2023-06-27,8.21,8.3757,8.21,8.3757,1017
2023-06-28,8.4,8.52,8.1922,8.2,8484
2023-06-29,8.4989,8.75,8.3575,8.58,32566
2023-06-30,8.5,8.905,8.33,8.84,12734
2023-07-03,8.65,8.7998,8.48,8.78,5705
2023-07-05,8.78,8.78,8.45,8.59,7255
2023-07-06,8.55,8.9,8.55,8.57,3646
2023-07-07,8.47,8.92,8.47,8.88,9051
2023-07-10,8.61,8.91,8.41,8.58,14158
2023-07-11,8.725,8.8999,8.72,8.78,9924
2023-07-12,8.8,8.95,8.8,8.88,20806
2023-07-13,8.885,9.0843,8.88,9.02,28095
2023-07-14,9.04,9.0699,8.91,8.91,14840
2023-07-17,8.87,9.04,8.87,8.95,8793
2023-07-18,8.85,9.07,8.85,9.04,11818
2023-07-19,9.02,9.23,8.82,9.15,26912
2023-07-20,9.1,9.23,9.1,9.19,12496
2023-07-21,9.19,9.315,9.0731,9.08,8410
2023-07-24,9.22,9.4799,9.18,9.32,15334
2023-07-25,9.27,9.405,9.2,9.2,4900
2023-07-26,9.15,9.43,9.025,9.21,7344
2023-07-27,9.09,9.2,9.02,9.02,9154
2023-07-28,9.03,9.1,9.0,9.02,12042
2023-07-31,8.96,9.09,8.83,8.83,12791
2023-08-01,8.8,9.1,8.752,8.85,10154
2023-08-02,8.75,9.0,8.73,9.0,8561
2023-08-03,8.86,8.97,8.42,8.48,31374
2023-08-04,8.65,8.95,8.53,8.91,10653
2023-08-07,9.01,9.01,8.83,8.83,6356
2023-08-08,8.8,8.98,8.8,8.83,18762
2023-08-09,8.81,8.95,8.79,8.79,11160
2023-08-10,8.92,8.94,8.81,8.81,2797
2023-08-11,8.6,8.79,8.6,8.72,10133
2023-08-14,8.65,8.8836,8.65,8.76,8414
2023-08-15,8.76,8.92,8.7575,8.85,5646
2023-08-16,8.88,8.95,8.76,8.95,4967
2023-08-17,8.82,8.9,8.42,8.42,21455
2023-08-18,8.47,8.72,8.44,8.55,7824
2023-08-21,8.55,8.74,8.55,8.56,3136
2023-08-22,8.6,8.6,8.4181,8.45,7480
2023-08-23,8.57,8.57,8.23,8.4,9389
