date,open,high,low,close,volume
2023-01-11,167.72,170.13,167.31,169.79,3068956.0
2023-01-12,170.02,170.64,167.1601,168.67,2478167.0
2023-01-13,167.5,169.43,166.42,168.98,1891182.0
2023-01-17,167.91,169.17,166.045,166.91,3320258.0
2023-01-18,168.53,169.38,165.9,166.0,2627740.0
2023-01-19,165.56,165.64,162.1,163.13,3082471.0
2023-01-20,163.82,165.24,161.045,165.17,3841850.0
2023-01-23,166.54,170.25,165.62,169.66,3521865.0
2023-01-24,167.91,170.03,167.36,168.86,2407052.0
2023-01-25,166.62,168.73,164.21,168.45,2739823.0
2023-01-26,169.94,170.95,166.86,170.74,3539873.0
2023-01-27,169.07,172.03,168.4,170.83,2453351.0
2023-01-30,169.1,171.15,168.34,168.93,3135567.0
2023-01-31,168.93,171.52,168.9,171.47,2549376.0
2023-02-01,171.33,178.51,171.225,176.59,4200290.0
2023-02-02,177.86,180.05,176.19,179.3,4206190.0
2023-02-03,176.93,181.34,176.22,178.82,4005655.0
2023-02-06,176.99,179.32,176.37,177.55,2916609.0
2023-02-07,178.39,181.86,177.01,181.02,3531556.0
2023-02-08,178.65,179.87,177.4,177.76,3520553.0
2023-02-09,180.75,182.23,177.32,178.52,2983446.0
2023-02-10,177.14,179.02,176.07,178.46,4003276.0
2023-02-13,179.38,181.63,178.95,180.45,3975486.0
2023-02-14,179.07,183.13,178.53,182.54,3784226.0
2023-02-15,194.34,196.41,191.1,196.18,7388801.0
2023-02-16,194.555,196.3,192.96,193.83,4481698.0
2023-02-17,193.09,194.4,191.36,192.71,3774940.0
2023-02-21,190.63,191.18,185.48,185.97,5117898.0
2023-02-22,186.68,186.68,182.84,183.76,3512568.0
2023-02-23,186.98,187.465,183.14,185.65,4501918.0
2023-02-24,183.28,183.87,181.61,182.94,3178011.0
2023-02-27,185.58,185.9,182.94,183.17,2769497.0
2023-02-28,183.0,185.53,182.54,183.47,2644560.0
2023-03-01,183.86,185.53,182.7,183.11,2600268.0
2023-03-02,181.13,185.31,179.215,184.59,2906429.0
2023-03-03,185.31,186.8,182.94,186.25,3066135.0
2023-03-06,187.32,188.56,185.09,185.52,2664333.0
2023-03-07,186.03,186.9383,183.51,184.94,2375116.0
2023-03-08,186.37,187.45,185.2,186.57,3182100.0
2023-03-09,187.12,188.7903,183.38,183.56,3627273.0
2023-03-10,184.73,185.58,181.33,181.76,3166910.0
2023-03-13,179.81,184.3,179.08,182.55,3310234.0
2023-03-14,184.96,188.03,183.99,186.58,4147371.0
2023-03-15,184.23,185.51,180.34,182.93,3972728.0
2023-03-16,181.32,187.31,180.2,186.63,3753764.0
2023-03-17,187.39,188.8,184.465,185.85,6216495.0
2023-03-20,186.1,187.52,185.12,187.06,3033511.0
2023-03-21,188.88,189.92,186.0,188.4,3232914.0
2023-03-22,188.86,191.5,186.35,186.61,3480989.0
2023-03-23,188.97,192.54,187.06,189.45,2658351.0
2023-03-24,189.1,189.42,185.66,187.69,3401812.0
2023-03-27,188.25,188.36,184.48,184.77,3617000.0
2023-03-28,183.72,184.0,180.875,183.6,3319876.0
2023-03-29,186.04,190.3,186.035,189.17,3577774.0
2023-03-30,191.25,195.13,190.89,194.21,4367130.0
2023-03-31,193.52,197.56,193.25,197.22,3873013.0
2023-04-03,196.47,197.75,194.26,196.28,3120753.0
2023-04-04,197.56,198.245,193.79,195.12,3633602.0
2023-04-05,194.36,194.51,189.05,190.37,3368265.0
2023-04-06,188.74,189.8,186.8201,187.17,3010170.0
2023-04-10,185.63,191.21,185.01,190.95,2573572.0
2023-04-11,192.22,192.315,189.07,189.41,2336387.0
2023-04-12,190.8,190.8,187.02,187.29,2085418.0
2023-04-13,187.3,190.099,186.16,189.1,2020153.0
2023-04-14,188.13,191.08,187.04,188.51,1970171.0
2023-04-17,187.66,189.95,187.4,189.57,2095077.0
2023-04-18,190.92,191.96,188.44,189.58,1745549.0
2023-04-19,187.89,189.03,187.56,188.55,1556048.0
2023-04-20,185.57,189.22,183.1,186.98,2807939.0
2023-04-21,186.25,187.2,184.64,186.34,1975284.0
2023-04-24,186.34,187.385,185.71,186.96,1782021.0
2023-04-25,186.13,186.135,181.07,181.14,3474806.0
2023-04-26,181.23,182.48,179.65,180.66,3603115.0
2023-04-27,178.53,178.94,171.235,177.62,4621687.0
2023-04-28,177.64,180.16,176.27,179.88,3167814.0
2023-05-01,180.745,182.93,180.66,182.54,2573031.0
2023-05-02,184.44,186.59,182.12,183.66,2710801.0
2023-05-03,183.42,185.18,182.03,182.39,1788627.0
2023-05-04,182.0,182.97,180.48,181.33,2308181.0
2023-05-05,180.64,184.445,179.57,183.39,3672165.0
2023-05-08,183.79,184.57,181.73,184.52,1936886.0
2023-05-09,182.53,182.72,178.03,179.62,3353256.0
2023-05-10,181.68,182.29,179.5601,181.43,3364890.0
2023-05-11,180.4,181.09,178.74,180.59,2252619.0
2023-05-12,181.435,182.5474,178.87,180.57,1376889.0
2023-05-15,180.68,184.72,180.275,184.37,2435842.0
2023-05-16,183.63,185.26,182.59,182.79,2179522.0
2023-05-17,184.0,188.6,183.145,187.96,3002245.0
2023-05-18,188.95,193.04,188.37,192.26,2958954.0
2023-05-19,192.26,192.6487,189.76,190.53,3598411.0
2023-05-22,189.91,193.14,189.46,191.31,2494427.0
2023-05-23,189.79,190.355,187.4,187.92,3864204.0
2023-05-24,171.502,176.63,169.7401,173.2,10367075.0
2023-05-25,166.51,173.94,161.925,172.39,9915942.0
2023-05-26,172.48,177.735,171.49,176.53,6794834.0
2023-05-30,178.12,178.84,174.81,177.43,5233093.0
2023-05-31,175.4,179.995,175.24,177.69,7035512.0
2023-06-01,179.22,182.195,176.7,180.41,4361699.0
2023-06-02,181.31,182.0,178.92,179.8,3697378.0
2023-06-05,179.17,179.34,173.66,174.98,3311586.0
2023-06-06,173.61,178.72,173.405,177.97,3487425.0
2023-06-07,178.27,183.36,178.27,180.37,4061083.0
2023-06-08,181.44,182.54,180.05,181.68,2995541.0
2023-06-09,183.27,185.89,181.08,182.46,3164496.0
2023-06-12,185.0,187.96,184.71,187.66,3845829.0
2023-06-13,190.34,192.54,189.42,192.37,3827942.0
2023-06-14,192.62,193.97,189.86,191.89,4061354.0
2023-06-15,190.78,191.885,189.45,189.66,3414401.0
2023-06-16,190.49,191.78,187.75,188.36,6889182.0
2023-06-20,187.0,189.0,185.4,187.98,2663550.0
2023-06-21,186.02,188.26,185.34,185.44,2941329.0
2023-06-22,183.88,186.37,183.23,186.11,2973175.0
2023-06-23,184.1,187.09,183.52,185.94,5021497.0
2023-06-26,187.85,191.63,186.24,186.34,3365884.0
2023-06-27,186.8,192.605,185.01,192.38,3638005.0
2023-06-28,190.02,191.16,188.57,189.9,3836418.0
2023-06-29,189.8,190.66,187.6,189.48,2623204.0
2023-06-30,190.98,195.36,190.8,194.81,3376025.0
2023-07-03,193.9801,196.5499,192.27,194.33,1367583.0
2023-07-05,192.43,193.35,189.87,190.0,2693832.0
2023-07-06,186.9,187.96,184.5712,186.19,4204057.0
2023-07-07,186.39,188.655,185.18,185.31,3038079.0
2023-07-10,185.91,191.09,185.77,191.05,3367245.0
2023-07-11,191.66,192.07,187.5981,190.95,2039664.0
2023-07-12,193.41,196.05,192.575,195.4,3117722.0
2023-07-13,196.68,199.44,195.91,198.27,3364559.0
2023-07-14,197.375,197.385,191.49,191.97,2922341.0
2023-07-17,190.58,197.535,190.58,196.36,3249112.0
2023-07-18,194.92,196.81,193.82,196.5,3022883.0
2023-07-19,197.17,197.395,195.305,195.79,2040830.0
2023-07-20,191.88,193.95,188.76,189.65,3991032.0
2023-07-21,191.65,193.65,190.72,191.96,8748388.0
2023-07-24,191.44,193.605,190.65,192.37,2663777.0
2023-07-25,193.0,196.9534,193.0,195.66,2958713.0
2023-07-26,191.93,192.82,189.9,191.52,2793214.0
2023-07-27,195.5,198.1,193.69,195.45,3474590.0
2023-07-28,198.29,199.015,196.19,198.42,2884188.0
2023-07-31,198.735,200.1,198.43,199.53,2091850.0
2023-08-01,197.64,200.0663,196.82,199.48,1900331.0
2023-08-02,198.09,198.155,191.87,192.46,3515808.0
2023-08-03,190.68,193.235,188.935,191.49,3040641.0
2023-08-04,189.0,190.26,184.74,188.35,3632946.0
2023-08-07,190.7,191.37,188.87,190.1,2035182.0
2023-08-08,187.0,187.355,183.75,186.61,2939536.0
2023-08-09,186.41,187.495,184.39,184.81,2341930.0
2023-08-10,187.05,188.95,184.14,184.71,2268088.0
2023-08-11,183.0,184.45,182.02,183.21,2859361.0
2023-08-14,183.38,185.62,182.55,185.39,2057015.0
2023-08-15,182.96,184.1,181.04,181.32,1959567.0
2023-08-16,180.39,180.64,175.7708,177.17,4869115.0
2023-08-17,177.74,178.27,174.63,175.49,2804245.0
2023-08-18,173.9,176.495,173.415,175.75,2834631.0
2023-08-21,176.12,177.66,174.22,177.22,3345978.0
2023-08-22,178.99,179.375,175.36,176.66,4241724.0
2023-08-23,168.61,178.79,168.54,177.48,7413455.0
2023-08-24,176.77,178.25,172.95,173.69,6811262.0
2023-08-25,173.38,179.0,173.38,178.16,4538867.0
2023-08-28,180.09,181.115,179.24,180.33,2851802.0
2023-08-29,178.72,183.44,178.11,182.56,3574793.0
2023-08-30,181.68,182.8975,180.4,181.57,3081125.0
2023-08-31,181.57,183.955,180.815,181.78,3362818.0
2023-09-01,182.6,182.64,180.655,182.43,1879004.0
2023-09-05,181.42,183.43,180.21,181.54,2488043.0
2023-09-06,181.54,182.47,178.75,182.18,3382501.0
2023-09-07,179.94,181.41,177.65,178.46,5562174.0
2023-09-08,178.4,178.87,176.71,177.47,3182214.0
2023-09-11,179.54,179.91,175.29,177.65,2768329.0
2023-09-12,176.5,179.01,175.015,175.05,2862891.0
2023-09-13,175.91,177.62,175.3,176.17,2269441.0
2023-09-14,178.25,180.11,175.22,179.67,4135409.0
2023-09-15,179.41,179.58,177.21,178.14,6062468.0
2023-09-18,178.1,180.36,177.4,179.72,2733677.0
2023-09-19,178.2,179.02,176.16,178.75,2852833.0
2023-09-20,179.02,179.075,175.93,176.08,2606571.0
2023-09-21,175.4,176.66,173.4,173.84,3781332.0
2023-09-22,174.99,176.88,174.26,175.48,2839684.0
2023-09-25,174.5,175.5785,173.06,175.43,2300429.0
2023-09-26,173.36,173.8199,171.42,172.34,3492540.0
2023-09-27,172.99,174.0,170.65,172.81,2558263.0
2023-09-28,172.81,177.62,172.26,176.41,2781796.0
2023-09-29,177.96,178.61,174.13,175.09,2703852.0
2023-10-02,175.0,176.9,173.69,175.43,1727172.0
2023-10-03,173.78,176.4,170.49,171.51,3226098.0
2023-10-04,172.59,174.33,171.72,173.79,3600963.0
2023-10-05,174.22,174.63,169.89,172.1,2874595.0
2023-10-06,170.71,175.29,170.13,173.97,3259876.0
2023-10-09,172.85,173.9,171.43,173.32,2571944.0
2023-10-10,173.65,177.57,173.47,175.97,2924545.0
2023-10-11,176.37,177.1,173.235,174.92,2466860.0
2023-10-12,175.89,176.18,172.22,173.6,3568967.0
2023-10-13,173.98,174.26,170.03,171.07,2699879.0
2023-10-16,171.73,173.745,171.5,172.75,3258985.0
2023-10-17,169.49,174.07,168.73,172.61,2283646.0
2023-10-18,170.7,172.96,169.715,171.27,3818829.0
2023-10-19,172.93,173.03,168.225,168.72,3692841.0
