date,open,high,low,close,volume
2023-01-11,3.64,3.66,3.38,3.39,3577815.0
2023-01-12,3.37,3.51,3.3,3.51,2209067.0
2023-01-13,3.39,3.5,3.32,3.4,4036286.0
2023-01-17,3.49,3.65,3.41,3.42,2954525.0
2023-01-18,3.48,3.51,3.3007,3.36,1946587.0
2023-01-19,3.34,3.3686,3.27,3.28,2818713.0
2023-01-20,3.33,3.57,3.26,3.5,4041507.0
2023-01-23,3.5,3.5,3.36,3.4,3245176.0
2023-01-24,3.4,3.54,3.3901,3.53,2224339.0
2023-01-25,3.5,3.58,3.44,3.58,1853124.0
2023-01-26,3.59,3.68,3.535,3.67,2258340.0
2023-01-27,3.7,3.74,3.6203,3.67,1518835.0
2023-01-30,3.64,3.71,3.54,3.6,2652701.0
2023-01-31,3.62,3.71,3.62,3.69,2080798.0
2023-02-01,3.7,3.8361,3.59,3.77,3265191.0
2023-02-02,3.83,3.83,3.67,3.8,2737333.0
2023-02-03,3.76,3.88,3.735,3.76,2486357.0
2023-02-06,3.73,3.8,3.695,3.71,2557026.0
2023-02-07,3.71,3.87,3.65,3.86,3529741.0
2023-02-08,3.89,3.89,3.735,3.79,2045352.0
2023-02-09,3.79,3.855,3.595,3.6,2150354.0
2023-02-10,3.6,3.61,3.53,3.58,1630004.0
2023-02-13,3.6,3.675,3.55,3.66,1248756.0
2023-02-14,3.63,3.705,3.56,3.59,2897792.0
2023-02-15,3.59,3.635,3.53,3.58,1681183.0
2023-02-16,3.52,3.56,3.44,3.47,1801311.0
2023-02-17,3.47,3.67,3.4,3.63,2301192.0
2023-02-21,3.57,3.63,3.51,3.53,3806454.0
2023-02-22,3.54,3.58,3.46,3.51,1846994.0
2023-02-23,3.52,3.54,3.4725,3.5,2395937.0
2023-02-24,3.48,3.49,3.42,3.42,1322269.0
2023-02-27,3.43,3.54,3.42,3.49,1626094.0
2023-02-28,3.51,3.61,3.49,3.55,1700112.0
2023-03-01,3.57,3.6699,3.54,3.55,1821945.0
2023-03-02,3.52,3.555,3.45,3.46,1047901.0
2023-03-03,3.47,3.5,3.38,3.42,3051589.0
2023-03-06,3.42,3.45,3.31,3.35,1695171.0
