date,open,high,low,close,volume
2023-01-11,60.46,61.47,60.38,61.4,839339.0
2023-01-12,62.16,63.435,61.84,63.3,1005865.0
2023-01-13,62.65,63.81,62.24,63.49,524933.0
2023-01-17,63.34,64.14,62.9,64.01,1073503.0
2023-01-18,64.5,65.0,63.1916,63.63,762478.0
2023-01-19,62.76,63.2599,61.22,61.67,771372.0
2023-01-20,62.27,63.02,62.08,62.86,441512.0
2023-01-23,63.01,63.5,62.94,63.5,481876.0
2023-01-24,63.0,64.36,62.86,63.69,493515.0
2023-01-25,63.02,64.08,62.8376,63.79,1061936.0
2023-01-26,64.09,65.02,63.31,65.01,521960.0
2023-01-27,64.7,65.07,63.94,63.94,516999.0
2023-01-30,63.42,63.999,62.78,62.8,606468.0
2023-01-31,63.08,63.41,62.72,63.21,640268.0
2023-02-01,62.92,64.76,62.92,64.62,529480.0
2023-02-02,65.0,65.375,63.52,63.81,665592.0
2023-02-03,63.17,63.6,62.9,63.05,372636.0
2023-02-06,62.19,62.68,61.14,61.47,661328.0
2023-02-07,61.55,62.65,61.095,62.2,548212.0
2023-02-08,61.86,62.725,61.6343,61.82,560283.0
2023-02-09,62.19,62.6,61.73,61.76,493121.0
2023-02-10,61.65,61.93,60.98,61.81,553204.0
2023-02-13,61.78,62.11,61.38,61.7,579524.0
2023-02-14,61.41,63.11,61.21,63.01,482357.0
2023-02-15,62.39,63.11,62.23,62.95,387823.0
2023-02-16,62.46,63.54,62.1,63.15,704006.0
2023-02-17,62.93,63.1,60.76,61.38,895692.0
2023-02-21,60.49,60.56,58.03,58.74,1395995.0
2023-02-22,58.83,60.75,58.72,60.2,904012.0
2023-02-23,60.85,61.72,60.5,61.21,690476.0
2023-02-24,60.26,61.145,59.94,61.12,826612.0
2023-02-27,61.78,62.7,61.44,62.28,698869.0
2023-02-28,62.14,62.9,61.55,62.44,1218919.0
2023-03-01,62.5,63.88,61.95,63.11,992915.0
2023-03-02,65.75,66.85,63.2,65.47,2013698.0
2023-03-03,65.5,65.96,63.71,63.88,1424396.0
2023-03-06,63.76,63.99,61.26,61.6,1184926.0
2023-03-07,61.64,62.21,60.84,62.0,601172.0
2023-03-08,60.76,61.96,58.92,59.98,2423509.0
2023-03-09,59.15,59.65,56.87,57.33,7391877.0
2023-03-10,57.3,58.03,55.9,56.44,3500593.0
2023-03-13,55.25,55.785,54.11,55.0,8087143.0
2023-03-14,56.47,57.02,53.99,54.52,2537804.0
2023-03-15,53.12,53.36,51.02,52.43,3218318.0
2023-03-16,51.44,53.75,50.5,53.39,2710660.0
2023-03-17,52.71,52.76,50.5,50.73,2064788.0
2023-03-20,51.04,52.32,50.79,51.77,1918012.0
2023-03-21,53.4,54.33,52.89,53.05,1533440.0
2023-03-22,52.8,52.97,51.53,51.6,1374601.0
2023-03-23,51.9,52.27,49.69,51.01,2312320.0
2023-03-24,50.18,50.755,49.575,50.32,1659910.0
2023-03-27,51.04,51.87,50.615,51.48,1135031.0
2023-03-28,51.4,53.05,51.16,52.95,1466307.0
2023-03-29,53.78,54.13,53.33,53.7,1153191.0
2023-03-30,54.86,56.02,54.655,55.37,1616496.0
2023-03-31,56.22,57.23,56.12,56.23,1597405.0
2023-04-03,56.7,56.945,55.59,56.24,1281457.0
2023-04-04,56.56,56.62,55.1,55.39,1332175.0
2023-04-05,54.94,55.25,53.56,54.03,1511985.0
2023-04-06,54.17,55.18,53.72,54.65,1335247.0
2023-04-10,54.43,55.325,54.28,54.9,539778.0
2023-04-11,55.26,55.41,53.92,53.97,869761.0
2023-04-12,55.15,55.92,54.2,55.5,1690642.0
2023-04-13,55.7,56.25,55.005,55.77,886705.0
2023-04-14,55.85,56.56,55.2,55.4,883236.0
2023-04-17,55.42,56.44,55.2385,56.21,552197.0
2023-04-18,56.58,56.79,55.95,56.31,597798.0
2023-04-19,55.62,55.99,55.175,55.81,549740.0
2023-04-20,55.72,55.87,54.97,55.27,537234.0
2023-04-21,55.22,55.92,54.76,55.82,977703.0
2023-04-24,55.88,56.395,55.19,55.39,594659.0
2023-04-25,54.74,55.12,53.835,54.02,662547.0
2023-04-26,54.34,55.25,54.12,54.15,710261.0
2023-04-27,55.8,55.8,54.47,55.36,1299721.0
2023-04-28,55.27,56.68,55.03,56.36,796993.0
2023-05-01,56.33,57.36,56.31,56.7,1025826.0
2023-05-02,57.0,57.98,54.95,56.35,1531359.0
2023-05-03,56.83,57.1,55.29,55.53,1105394.0
2023-05-04,54.9,55.11,53.42,54.06,1296747.0
2023-05-05,54.8,55.89,54.56,55.47,767477.0
2023-05-08,55.84,56.095,54.275,55.03,952113.0
2023-05-09,54.72,56.19,54.5,56.0,1319578.0
2023-05-10,56.7,56.72,54.56,55.51,878874.0
2023-05-11,54.88,56.505,54.88,55.94,951307.0
2023-05-12,55.97,56.47,55.5,56.16,672798.0
2023-05-15,57.0,58.2,56.75,57.9,1301477.0
2023-05-16,57.41,57.67,56.89,57.13,1153176.0
2023-05-17,57.74,59.5,57.57,59.3,1234667.0
2023-05-18,59.21,59.63,58.53,59.17,673012.0
2023-05-19,59.31,59.57,58.21,58.63,724252.0
2023-05-22,59.21,59.24,58.38,58.64,703728.0
2023-05-23,58.21,60.0,57.86,58.91,1145915.0
2023-05-24,57.6,57.75,56.3822,57.22,1545497.0
2023-05-25,57.23,58.44,57.03,57.6,734666.0
2023-05-26,57.59,58.66,56.75,57.44,1143492.0
2023-05-30,57.86,58.6699,57.5306,57.99,1013070.0
2023-05-31,57.55,58.02,56.52,57.08,1874129.0
2023-06-01,57.15,58.23,56.77,58.12,1096649.0
2023-06-02,59.15,59.67,58.55,59.07,1491720.0
2023-06-05,59.0,59.0,57.175,57.82,1028702.0
2023-06-06,57.51,59.08,57.51,58.75,1424895.0
2023-06-07,59.31,60.135,58.81,59.79,991387.0
2023-06-08,60.13,60.5,59.83,60.0,921402.0
2023-06-09,59.74,60.15,59.06,59.59,870185.0
2023-06-12,59.41,60.75,59.3,60.44,687663.0
2023-06-13,60.63,61.39,60.63,61.0,933315.0
2023-06-14,60.75,61.37,60.31,60.66,879479.0
2023-06-15,60.66,61.67,60.2513,61.61,618786.0
2023-06-16,62.07,62.19,61.03,61.2,1192510.0
2023-06-20,60.05,61.25,59.1137,60.97,988892.0
