date,open,high,low,close,volume
2023-01-11,10.18,11.35,10.04,11.32,23287868.0
2023-01-12,11.47,12.21,10.84,12.2,21853526.0
2023-01-13,11.75,12.94,11.71,12.88,19009895.0
2023-01-17,12.88,13.55,12.5452,13.45,14528969.0
2023-01-18,13.7999,14.57,12.9,12.98,22009494.0
2023-01-19,12.42,12.685,11.91,12.25,20007225.0
2023-01-20,12.55,14.3,12.285,14.3,20372997.0
2023-01-23,14.53,15.82,14.21,15.45,24866026.0
2023-01-24,15.12,16.05,14.19,14.32,20382644.0
2023-01-25,13.38,14.2404,12.86,14.14,22855188.0
2023-01-26,14.75,15.23,13.8123,14.36,16196540.0
2023-01-27,14.38,16.595,14.2201,16.24,24317868.0
2023-01-30,15.66,16.115,15.0501,15.1,15513788.0
2023-01-31,15.35,16.5,14.86,16.19,17316715.0
2023-02-01,15.97,18.03,15.575,17.72,22555228.0
2023-02-02,18.775,22.75,18.72,21.14,39691199.0
2023-02-03,19.29,20.495,18.0301,18.15,28836446.0
2023-02-06,17.84,18.245,16.85,17.01,18110647.0
2023-02-07,16.89,17.6,16.13,17.21,24229018.0
2023-02-08,16.88,17.6099,15.95,16.02,31802011.0
2023-02-09,13.55,14.33,12.515,13.29,57168811.0
2023-02-10,12.9,13.435,12.3601,12.52,22708469.0
2023-02-13,12.47,13.2,11.98,12.7,20373192.0
2023-02-14,12.51,13.24,12.15,13.1,21397165.0
2023-02-15,13.18,15.21,13.05,14.7,28776396.0
2023-02-16,13.89,14.4,13.53,13.58,19479268.0
2023-02-17,13.34,13.51,12.51,12.98,16221096.0
2023-02-21,12.525,12.965,12.22,12.81,15182958.0
2023-02-22,12.84,13.692,12.8,13.46,15714393.0
2023-02-23,13.685,13.88,12.9601,13.69,13216138.0
2023-02-24,13.16,13.45,12.75,13.07,13178242.0
2023-02-27,13.41,13.41,12.83,12.84,12306879.0
2023-02-28,12.82,13.97,12.72,13.62,25098419.0
2023-03-01,13.4,13.49,12.3,12.61,16132609.0
2023-03-02,12.28,12.99,11.96,12.93,11084480.0
2023-03-03,13.04,13.85,12.95,13.63,11803513.0
2023-03-06,13.755,14.36,13.115,13.17,14277721.0
2023-03-07,13.01,13.3256,11.95,12.0,15136061.0
2023-03-08,12.0,12.42,11.63,12.13,13782144.0
2023-03-09,12.03,12.54,11.13,11.31,17953838.0
2023-03-10,11.172,11.205,10.03,10.37,24806242.0
2023-03-13,10.07,10.59,9.41,10.33,20041177.0
2023-03-14,10.76,10.9162,9.84,10.01,20789952.0
2023-03-15,9.652,9.915,9.31,9.84,21858587.0
2023-03-16,9.79,10.03,9.3599,9.96,16260324.0
2023-03-17,9.83,9.96,9.17,9.49,17437778.0
2023-03-20,9.36,9.7377,9.15,9.29,13305355.0
2023-03-21,9.46,10.74,9.4001,10.5,20853773.0
2023-03-22,10.62,10.99,9.73,9.76,23930968.0
2023-03-23,9.81,10.75,9.66,9.99,18147789.0
2023-03-24,9.798,10.36,9.67,10.33,14666082.0
2023-03-27,10.5,10.66,9.92,10.22,12076974.0
2023-03-28,10.14,10.235,9.11,9.47,23167267.0
2023-03-29,9.73,10.57,9.54,10.5,16388048.0
2023-03-30,10.8,10.9,10.33,10.42,10385220.0
2023-03-31,10.6,11.44,10.41,11.27,16148469.0
2023-04-03,11.2,11.425,10.83,11.29,10730935.0
2023-04-04,11.47,11.48,10.63,10.81,10657216.0
2023-04-05,10.6,10.755,10.01,10.4,9749603.0
2023-04-06,10.32,10.89,10.12,10.57,9311299.0
2023-04-10,10.41,11.15,10.28,11.13,9345899.0
2023-04-11,11.25,11.8,11.22,11.7,10343657.0
2023-04-12,12.18,12.2687,10.905,10.94,14415107.0
2023-04-13,11.12,11.625,11.04,11.37,11206481.0
2023-04-14,11.44,11.54,10.685,11.04,11261078.0
2023-04-17,10.93,11.6275,10.83,11.51,10452542.0
2023-04-18,11.6,11.745,11.3403,11.68,7794887.0
2023-04-19,11.41,11.68,11.23,11.49,6317618.0
2023-04-20,11.23,11.4,10.9,10.92,6764883.0
2023-04-21,10.97,11.415,10.89,10.99,9055734.0
2023-04-24,10.86,10.95,10.26,10.53,7589425.0
2023-04-25,10.44,10.44,9.945,9.95,7439014.0
2023-04-26,10.14,10.3499,9.76,9.84,8153966.0
2023-04-27,9.97,10.415,9.83,10.16,10349578.0
2023-04-28,10.05,10.4955,9.795,9.86,10387700.0
2023-05-01,9.86,10.13,9.42,9.99,16321127.0
2023-05-02,9.89,9.92,9.0,9.01,14544033.0
2023-05-03,9.105,9.86,8.9801,9.26,18858218.0
2023-05-04,9.15,9.28,8.8,9.13,14838604.0
2023-05-05,9.28,10.815,9.28,10.71,23229961.0
2023-05-08,10.905,11.98,10.79,11.94,20473265.0
2023-05-09,11.6,12.7391,11.54,12.3,27208376.0
2023-05-10,12.11,12.965,11.61,12.25,31110222.0
2023-05-11,12.2,13.19,11.86,12.47,18486643.0
2023-05-12,12.45,12.45,11.57,12.07,15471531.0
2023-05-15,12.13,12.98,11.8427,12.8,14335577.0
2023-05-16,12.62,12.83,12.1,12.39,12291307.0
2023-05-17,12.6,13.45,12.4001,13.16,15053794.0
2023-05-18,13.3,14.74,13.22,14.69,21995988.0
2023-05-19,14.59,14.65,13.68,13.76,14829694.0
2023-05-22,13.79,14.835,13.58,14.53,16413198.0
2023-05-23,14.38,15.41,14.27,14.41,17572190.0
2023-05-24,14.05,14.37,13.605,14.3,13270076.0
2023-05-25,14.57,14.76,13.5,13.71,11407295.0
2023-05-26,13.75,14.25,13.57,14.08,8109873.0
2023-05-30,14.29,14.95,14.02,14.74,11760267.0
2023-05-31,14.7,15.78,14.3,14.86,17195444.0
2023-06-01,14.725,15.23,14.38,14.58,13232341.0
2023-06-02,15.08,15.88,14.59,15.7,15227948.0
2023-06-05,15.82,16.46,15.12,15.55,14801357.0
2023-06-06,15.255,16.25,15.25,15.82,12844214.0
2023-06-07,18.42,19.5,16.13,16.2,65058734.0
2023-06-08,16.52,19.0299,16.2973,18.85,41192120.0
2023-06-09,19.18,19.58,17.36,17.39,27936406.0
2023-06-12,17.55,18.86,17.46,18.26,20626066.0
2023-06-13,18.63,19.25,18.15,18.74,19438310.0
2023-06-14,17.69,17.9,16.455,17.04,38468247.0
2023-06-15,16.79,17.46,16.355,17.28,15599490.0
2023-06-16,17.15,17.43,16.51,16.67,12287615.0
2023-06-20,16.5,16.85,15.83,16.05,12107378.0
2023-06-21,15.89,16.06,15.155,15.5,12324977.0
2023-06-22,15.32,15.54,14.87,14.89,9323710.0
2023-06-23,14.78,15.065,14.55,14.81,10643795.0
2023-06-26,14.85,15.6977,14.765,14.84,9037149.0
2023-06-27,14.98,15.49,14.69,15.2,12195216.0
2023-06-28,15.0,15.54,14.85,15.48,11892659.0
2023-06-29,15.665,16.13,15.12,15.38,10243454.0
2023-06-30,15.78,16.09,15.105,15.33,11020497.0
2023-07-03,15.45,16.5299,15.45,16.12,9692510.0
2023-07-05,15.85,15.885,15.25,15.42,10879746.0
2023-07-06,14.4,14.48,12.81,13.79,28028417.0
2023-07-07,13.84,14.135,13.59,13.65,12700109.0
2023-07-10,13.46,14.79,13.4,14.78,13031077.0
2023-07-11,15.44,16.525,14.9331,16.21,27264525.0
2023-07-12,16.74,16.94,16.09,16.36,15479626.0
2023-07-13,16.58,17.98,16.27,17.45,22101507.0
2023-07-14,17.33,17.78,16.1733,16.39,13595487.0
2023-07-17,16.35,17.54,15.9,17.12,12892340.0
2023-07-18,17.18,17.9399,16.91,17.04,12304320.0
2023-07-19,17.56,18.67,17.29,17.65,19552873.0
2023-07-20,17.15,17.63,16.5802,17.12,12579205.0
2023-07-21,17.35,17.58,16.53,17.12,10347453.0
2023-07-24,17.15,17.36,16.635,17.07,7144880.0
2023-07-25,17.3,18.51,17.1199,17.6,18233547.0
2023-07-26,17.34,17.77,16.68,17.73,14981401.0
2023-07-27,18.33,19.345,16.29,16.43,18385906.0
2023-07-28,16.96,17.53,16.78,17.27,11981738.0
2023-07-31,17.55,19.4,17.5,19.39,23277696.0
2023-08-01,19.05,19.7384,18.52,19.61,14952400.0
2023-08-02,18.68,18.9,17.1,17.77,15840175.0
2023-08-03,17.41,17.74,16.9105,17.45,9502166.0
2023-08-04,17.77,17.77,16.61,16.69,11466657.0
2023-08-07,16.61,16.69,15.35,15.66,12664520.0
2023-08-08,15.04,15.83,14.92,15.8,12455267.0
2023-08-09,15.488,16.0299,15.21,15.52,11264612.0
2023-08-10,15.63,15.95,14.78,14.99,9910227.0
2023-08-11,14.72,15.31,14.61,15.16,7266354.0
2023-08-14,14.92,15.15,14.58,15.13,7420144.0
2023-08-15,14.9,14.94,14.439,14.5,6479030.0
2023-08-16,14.35,14.715,14.26,14.37,6901380.0
2023-08-17,14.37,14.5706,14.08,14.22,7397153.0
2023-08-18,13.74,14.51,13.67,14.5,7594659.0
2023-08-21,14.56,14.815,14.36,14.65,5522511.0
2023-08-22,14.92,15.38,14.16,14.22,7335491.0
2023-08-23,14.1,14.58,13.9601,14.51,6969820.0
2023-08-24,14.55,14.58,13.74,13.81,24674155.0
2023-08-25,15.09,18.32,15.0,17.79,85735865.0
2023-08-28,18.1,18.13,17.07,17.95,29435776.0
2023-08-29,17.95,19.44,17.885,19.15,26439610.0
2023-08-30,19.05,20.13,18.77,20.03,22398493.0
2023-08-31,20.11,21.12,19.8806,20.81,19815440.0
2023-09-01,20.975,22.04,20.71,21.86,18959178.0
2023-09-05,21.77,22.49,21.61,21.93,12892884.0
2023-09-06,21.71,22.4504,21.4735,22.1,12989541.0
2023-09-07,21.56,22.6781,20.84,22.48,14985777.0
2023-09-08,22.4,22.55,21.47,22.47,11810866.0
2023-09-11,23.09,23.875,22.66,23.57,13453977.0
2023-09-12,23.39,24.35,23.12,23.87,13024300.0
2023-09-13,23.95,24.22,23.271,23.35,9888816.0
2023-09-14,23.76,24.15,23.485,23.62,9611584.0
2023-09-15,23.525,24.485,23.438,24.37,11556190.0
2023-09-18,24.295,25.63,23.9,25.01,14582653.0
2023-09-19,25.08,25.13,23.11,23.75,15692923.0
2023-09-20,24.07,24.55,23.07,23.1,11017723.0
2023-09-21,22.055,22.16,21.05,21.25,20415106.0
2023-09-22,21.375,21.63,20.02,20.18,15019458.0
2023-09-25,20.0,20.49,19.01,20.22,17756384.0
2023-09-26,19.77,20.585,19.72,19.91,9357560.0
2023-09-27,20.14,20.5699,19.5782,20.26,10232072.0
2023-09-28,20.21,21.07,20.035,20.85,9477922.0
2023-09-29,21.28,22.525,21.19,21.27,17608592.0
2023-10-02,21.18,21.45,20.25,20.45,9694920.0
2023-10-03,20.0,20.18,17.94,18.28,18377763.0
2023-10-04,18.55,18.93,17.48,17.9,13247554.0
2023-10-05,17.62,17.815,16.99,17.51,10890286.0
2023-10-06,16.85,18.27,16.69,17.94,13390839.0
2023-10-09,17.52,18.92,17.45,18.79,10760276.0
2023-10-10,18.95,20.26,18.65,19.7,12294028.0
2023-10-11,19.78,20.5799,19.36,20.13,11973193.0
2023-10-12,20.2,20.35,18.57,18.6,12163662.0
2023-10-13,18.67,18.79,17.73,18.0,10982649.0
2023-10-16,18.26,19.03,17.87,18.88,10493184.0
2023-10-17,18.59,20.0767,18.44,19.97,12655325.0
2023-10-18,19.7,20.42,18.511,18.8,14285676.0
2023-10-19,18.71,19.2071,18.24,18.29,9560625.0
2023-10-20,18.06,18.51,17.66,18.25,8667307.0
2023-10-23,17.9,19.005,17.18,18.5,9412499.0
2023-10-24,18.82,19.98,18.82,19.56,10978610.0
2023-10-25,17.95,17.97,15.9725,16.64,25448438.0
2023-10-26,16.82,17.74,16.38,17.42,15506849.0
2023-10-27,17.64,17.78,16.8,16.93,12059421.0
2023-10-30,17.355,17.74,16.5,17.1,9911234.0
2023-10-31,17.4,17.86,16.875,17.61,9675744.0
2023-11-01,17.7,17.86,16.85,17.61,9481484.0
2023-11-02,19.61,21.1,19.57,21.04,25182656.0
2023-11-03,21.78,23.14,21.7575,22.43,19382528.0
2023-11-06,22.42,22.5899,21.19,21.71,11478824.0
2023-11-07,21.71,22.38,21.06,22.09,10337315.0
2023-11-08,21.51,22.1897,20.2,21.76,21472538.0
2023-11-09,24.97,27.1566,24.43,24.86,47263537.0
2023-11-10,24.7,24.75,21.87,22.43,27862165.0
2023-11-13,22.25,23.1978,21.88,22.88,10313631.0
2023-11-14,24.86,26.2,24.59,25.56,22925233.0
2023-11-15,25.34,27.0,25.15,25.98,19694605.0
2023-11-16,25.46,25.58,24.27,24.54,14409254.0
2023-11-17,24.835,25.22,24.4,24.79,11295117.0
2023-11-20,24.8,25.95,24.04,25.46,10975651.0
2023-11-21,25.03,25.28,24.18,25.03,8309986.0
2023-11-22,25.5,26.068,25.095,25.57,9662230.0
2023-11-24,25.54,26.55,25.02,26.23,6819198.0
2023-11-27,27.08,30.35,27.05,29.37,45419532.0
2023-11-28,29.87,33.05,28.83,32.75,44305997.0
2023-11-29,32.66,34.96,32.6,34.12,34864705.0
2023-11-30,33.82,34.8882,32.805,34.41,21455094.0
2023-12-01,34.2,37.945,33.82,37.67,33239554.0
2023-12-04,37.062,39.11,36.56,38.56,27938302.0
2023-12-05,38.01,38.64,36.12,38.19,20577032.0
2023-12-06,38.71,41.89,38.28,38.38,37398566.0
2023-12-07,37.78,39.83,37.25,39.41,19327497.0
2023-12-08,39.28,42.42,38.61,42.07,27500671.0
2023-12-11,42.15,42.86,38.65,39.92,29495103.0
2023-12-12,40.1,40.17,37.8,39.52,21149334.0
2023-12-13,39.9,44.72,38.7101,44.4,30974635.0
2023-12-14,45.0,46.96,42.9,44.84,30034238.0
2023-12-15,45.24,45.94,43.17,43.97,21311091.0
2023-12-18,40.86,44.62,40.61,43.7,22009467.0
2023-12-19,46.16,51.56,46.03,50.46,58396015.0
2023-12-20,51.0,51.88,45.48,45.51,46132229.0
2023-12-21,47.44,48.92,46.92,47.94,29678363.0
2023-12-22,49.0,50.19,48.09,49.06,24487968.0
2023-12-26,49.35,50.84,48.76,50.04,13918314.0
2023-12-27,50.2,52.48,49.8,51.24,20787877.0
2023-12-28,50.39,51.42,49.88,51.39,12768470.0
2023-12-29,51.15,51.8605,48.25,49.14,20315578.0
2024-01-02,47.785,47.905,45.72,46.6,16486227.0
2024-01-03,44.19,45.43,43.35,43.49,16484939.0
2024-01-04,43.49,44.67,42.4129,42.5,13357356.0
