date,open,high,low,close,volume
2023-01-11,11.035,11.245,11.035,11.14,9588705.0
2023-01-12,11.245,11.39,11.2,11.28,9738502.0
2023-01-13,11.21,11.36,11.16,11.3,10224227.0
2023-01-17,11.31,11.395,11.2,11.21,12850784.0
2023-01-18,11.28,11.45,11.26,11.36,10968187.0
2023-01-19,11.32,11.39,11.235,11.37,8725752.0
2023-01-20,11.365,11.56,11.29,11.53,11853829.0
2023-01-23,11.56,11.61,11.44,11.58,14022520.0
2023-01-24,11.55,11.6,11.48,11.5,7610968.0
2023-01-25,11.46,11.48,11.32,11.38,11377892.0
2023-01-26,11.41,11.51,11.355,11.5,11080103.0
2023-01-27,11.52,11.73,11.5,11.68,11343224.0
2023-01-30,11.52,11.54,11.25,11.28,14278265.0
2023-01-31,11.37,11.83,11.32,11.6,22696573.0
2023-02-01,11.57,12.06,11.56,11.95,16606249.0
2023-02-02,12.07,12.25,12.07,12.14,13321285.0
2023-02-03,11.99,12.04,11.91,11.96,10561612.0
2023-02-06,11.79,11.79,11.46,11.51,14927201.0
2023-02-07,11.53,11.76,11.435,11.74,10957761.0
2023-02-08,11.73,11.75,11.56,11.73,8965850.0
2023-02-09,11.86,11.96,11.3903,11.46,17069072.0
2023-02-10,11.44,11.5,11.25,11.35,15961740.0
2023-02-13,11.35,11.47,11.32,11.44,13506368.0
2023-02-14,11.42,11.4899,11.24,11.41,9410475.0
2023-02-15,11.35,11.5,11.25,11.48,8589620.0
2023-02-16,11.36,11.5799,11.3,11.47,6610861.0
2023-02-17,11.46,11.48,11.31,11.39,6423972.0
2023-02-21,11.32,11.345,11.04,11.12,12891987.0
2023-02-22,11.13,11.305,11.12,11.25,7281078.0
2023-02-23,11.29,11.37,11.17,11.32,5795460.0
2023-02-24,11.2,11.2499,11.02,11.1,11699896.0
2023-02-27,11.1,11.13,10.87,10.89,9406515.0
2023-02-28,10.88,10.93,10.81,10.87,11123038.0
2023-03-01,10.82,10.87,10.52,10.59,10819874.0
2023-03-02,10.47,10.59,10.36,10.55,10076295.0
2023-03-03,10.6,10.77,10.56,10.71,6868318.0
2023-03-06,10.75,10.875,10.71,10.72,6701588.0
2023-03-07,10.76,10.8199,10.57,10.59,5803655.0
2023-03-08,10.75,10.83,10.66,10.81,10333606.0
2023-03-09,10.79,10.8599,10.43,10.45,12243383.0
2023-03-10,10.42,10.4794,9.95,9.97,19213767.0
2023-03-13,9.79,10.07,9.52,9.96,26674351.0
2023-03-14,10.14,10.57,10.11,10.26,17774127.0
2023-03-15,10.07,10.11,9.81,9.89,26016052.0
2023-03-16,9.85,9.99,9.735,9.96,18847938.0
2023-03-17,9.92,9.92,9.64,9.74,16819950.0
2023-03-20,9.78,9.88,9.68,9.68,14035830.0
2023-03-21,9.84,9.925,9.81,9.85,10491176.0
2023-03-22,9.8,9.965,9.71,9.76,13516528.0
2023-03-23,9.83,10.13,9.58,9.63,18459100.0
2023-03-24,9.55,9.81,9.4,9.79,12044431.0
2023-03-27,9.94,9.9805,9.8,9.89,10786186.0
