date,open,high,low,close,volume
2023-01-11,11.6,11.88,11.6,11.85,221470.0
2023-01-12,12.0,12.295,11.9,12.25,303506.0
2023-01-13,12.15,12.29,12.15,12.23,157459.0
2023-01-17,12.18,12.41,12.18,12.32,238739.0
2023-01-18,12.33,12.42,12.055,12.08,202982.0
2023-01-19,12.06,12.16,12.01,12.05,178502.0
2023-01-20,12.13,12.13,11.9,12.12,186268.0
2023-01-23,12.11,12.33,12.03,12.25,202917.0
2023-01-24,12.26,12.32,12.14,12.22,263116.0
2023-01-25,12.23,12.4,12.14,12.38,178491.0
2023-01-26,12.4,12.425,12.295,12.37,125328.0
2023-01-27,12.37,12.575,12.37,12.5,151402.0
2023-01-30,12.43,12.57,12.37,12.38,148656.0
2023-01-31,12.44,12.72,12.37,12.68,280828.0
2023-02-01,12.61,12.78,12.44,12.6,299211.0
2023-02-02,12.7,12.98,12.7,12.88,236991.0
2023-02-03,12.82,12.905,12.7,12.87,307567.0
2023-02-06,12.8,12.8,12.57,12.77,165434.0
2023-02-07,12.67,12.83,12.57,12.71,275133.0
2023-02-08,12.71,12.78,12.53,12.61,128162.0
2023-02-09,12.63,12.72,12.41,12.44,177042.0
2023-02-10,12.39,12.56,12.39,12.5,185485.0
2023-02-13,12.45,12.66,12.45,12.64,174444.0
2023-02-14,12.55,13.65,12.55,13.47,667170.0
2023-02-15,13.5,13.73,13.25,13.51,619145.0
2023-02-16,13.36,13.425,13.245,13.32,307303.0
2023-02-17,13.45,13.49,13.27,13.45,379865.0
2023-02-21,13.28,13.41,13.0,13.0,266542.0
2023-02-22,13.07,13.22,12.98,13.05,305316.0
2023-02-23,13.15,13.25,12.96,13.11,201262.0
2023-02-24,12.92,12.93,12.8,12.88,300271.0
2023-02-27,12.99,13.09,12.845,12.9,176223.0
2023-02-28,12.84,13.05,12.81,12.82,286837.0
2023-03-01,12.78,12.84,12.63,12.84,224116.0
2023-03-02,12.76,12.9716,12.71,12.89,337277.0
2023-03-03,12.97,13.03,12.87,12.91,204559.0
2023-03-06,12.89,12.93,12.75,12.84,310326.0
2023-03-07,12.83,12.84,12.45,12.51,331417.0
2023-03-08,12.56,12.73,12.49,12.66,229458.0
2023-03-09,12.68,12.74,12.47,12.48,243578.0
2023-03-10,12.44,12.45,11.85,11.94,454217.0
2023-03-13,11.76,12.17,11.71,11.9,481200.0
2023-03-14,12.24,12.43,11.99,12.08,494126.0
2023-03-15,11.82,12.0493,11.69,11.96,469205.0
2023-03-16,11.8,12.1,11.59,11.89,462212.0
2023-03-17,11.8,11.8,11.52,11.53,1165638.0
2023-03-20,11.7,11.87,11.64,11.65,550365.0
2023-03-21,11.83,11.96,11.665,11.77,570402.0
2023-03-22,11.71,11.71,11.14,11.16,476249.0
2023-03-23,11.19,11.36,10.915,10.92,379470.0
2023-03-24,10.83,11.29,10.76,11.27,397368.0
2023-03-27,11.47,11.54,11.26,11.39,433173.0
2023-03-28,11.1,11.465,10.99,11.41,589335.0
2023-03-29,11.48,11.55,11.44,11.53,345253.0
2023-03-30,11.62,11.7,11.44,11.55,216316.0
2023-03-31,11.64,11.82,11.61,11.81,419056.0
2023-04-03,11.87,11.97,11.77,11.86,356753.0
2023-04-04,11.93,11.96,11.585,11.69,250764.0
2023-04-05,11.63,11.79,11.59,11.76,430281.0
2023-04-06,11.84,12.06,11.785,12.04,381422.0
2023-04-10,12.0,12.1,11.86,12.07,311239.0
2023-04-11,12.15,12.15,11.96,12.0,334719.0
2023-04-12,12.12,12.12,11.845,11.86,218413.0
2023-04-13,11.85,11.885,11.61,11.73,495509.0
2023-04-14,11.85,11.98,11.57,11.75,400571.0
2023-04-17,11.78,12.025,11.78,12.01,188281.0
2023-04-18,12.05,12.065,11.8,11.85,244370.0
2023-04-19,11.78,11.95,11.722,11.95,195889.0
2023-04-20,11.86,11.92,11.72,11.86,223699.0
2023-04-21,11.87,11.9,11.69,11.78,228700.0
2023-04-24,11.8,11.83,11.63,11.68,198186.0
2023-04-25,11.59,11.64,11.51,11.56,198979.0
2023-04-26,11.47,11.64,11.365,11.41,174539.0
2023-04-27,11.43,11.62,11.425,11.57,171869.0
2023-04-28,11.54,11.75,11.54,11.72,253173.0
2023-05-01,11.69,11.87,11.67,11.73,282841.0
2023-05-02,11.65,11.765,11.49,11.74,508755.0
2023-05-03,11.79,12.02,11.7,11.71,451224.0
2023-05-04,11.61,11.965,11.58,11.87,278650.0
2023-05-05,12.02,12.46,11.975,12.36,544171.0
2023-05-08,12.35,12.47,12.02,12.24,493442.0
2023-05-09,11.92,12.0784,11.35,11.66,488477.0
2023-05-10,11.69,11.75,11.31,11.52,612865.0
2023-05-11,11.47,11.48,11.26,11.39,357110.0
2023-05-12,11.37,11.44,11.3,11.43,200003.0
2023-05-15,11.44,11.49,11.29,11.39,227334.0
2023-05-16,11.33,11.4,11.04,11.04,238342.0
2023-05-17,11.08,11.25,10.97,11.22,433799.0
2023-05-18,11.22,11.445,11.09,11.42,326255.0
2023-05-19,11.58,11.625,11.31,11.39,336364.0
2023-05-22,11.46,11.61,11.35,11.55,307030.0
2023-05-23,11.5,11.635,11.38,11.39,330405.0
2023-05-24,11.21,11.235,11.06,11.07,227786.0
2023-05-25,11.09,11.12,10.9601,11.0,204834.0
2023-05-26,11.02,11.27,10.965,11.17,238385.0
2023-05-30,11.25,11.35,11.12,11.14,238394.0
2023-05-31,11.1,11.25,11.02,11.04,508971.0
2023-06-01,11.08,11.17,10.96,11.05,261346.0
2023-06-02,11.23,11.5,11.16,11.45,274086.0
2023-06-05,11.36,11.4,11.14,11.25,273949.0
2023-06-06,11.27,11.57,11.2023,11.52,309428.0
2023-06-07,11.61,11.95,11.61,11.9,326121.0
2023-06-08,11.89,11.89,11.72,11.83,213225.0
2023-06-09,11.8,11.82,11.7,11.81,152255.0
2023-06-12,11.85,11.85,11.69,11.8,164846.0
2023-06-13,11.77,11.96,11.74,11.86,481099.0
2023-06-14,11.92,12.04,11.9,11.97,316434.0
2023-06-15,12.35,12.48,12.07,12.35,492191.0
2023-06-16,12.41,12.41,12.061,12.25,746265.0
2023-06-20,12.25,12.25,12.06,12.16,246831.0
2023-06-21,12.12,12.12,11.89,11.91,205836.0
2023-06-22,11.91,11.91,11.6,11.69,216021.0
2023-06-23,11.57,11.61,11.36,11.47,563275.0
2023-06-26,11.45,11.83,11.45,11.73,378690.0
2023-06-27,11.56,11.665,11.4217,11.61,236269.0
2023-06-28,11.62,11.62,11.47,11.52,230288.0
2023-06-29,11.51,11.695,11.465,11.67,191781.0
2023-06-30,11.79,11.86,11.5,11.68,414406.0
2023-07-03,11.7,11.88,11.7,11.83,153836.0
2023-07-05,11.85,12.07,11.665,11.85,392026.0
2023-07-06,11.76,11.9,11.49,11.83,322737.0
2023-07-07,11.83,12.11,11.83,11.89,250301.0
2023-07-10,11.87,12.17,11.8,12.13,238922.0
2023-07-11,12.26,12.39,12.151,12.36,196165.0
2023-07-12,12.51,12.59,12.39,12.44,286825.0
2023-07-13,12.45,12.46,12.295,12.39,239064.0
2023-07-14,12.33,12.36,12.19,12.36,168923.0
2023-07-17,12.28,12.341,12.2,12.27,206278.0
2023-07-18,12.26,12.455,12.25,12.35,235732.0
2023-07-19,12.41,12.51,12.38,12.48,177035.0
2023-07-20,12.49,12.5,12.2,12.39,184575.0
2023-07-21,12.44,12.45,11.98,11.99,273720.0
2023-07-24,11.98,12.26,11.98,12.2,249103.0
2023-07-25,12.19,12.29,12.1,12.27,223289.0
2023-07-26,12.23,12.3999,12.21,12.23,127103.0
2023-07-27,12.24,12.28,11.9,11.94,189758.0
2023-07-28,11.98,12.23,11.96,12.2,351858.0
2023-07-31,12.22,12.43,12.22,12.42,567219.0
2023-08-01,12.38,12.38,12.075,12.12,279649.0
