date,open,high,low,close,volume
2023-01-11,77.82,81.79,77.06,78.75,196724.0
2023-01-12,79.97,81.3,78.16,81.1,280923.0
2023-01-13,78.96,80.47,78.53,79.26,216475.0
2023-01-17,79.36,80.79,78.06,80.71,149877.0
2023-01-18,82.0,83.15,79.24,79.99,200699.0
2023-01-19,78.86,81.65,78.86,81.25,141529.0
2023-01-20,82.3,86.84,81.06,85.52,337294.0
2023-01-23,86.0,86.495,83.17,83.65,216433.0
2023-01-24,83.43,85.36,83.0419,83.6,122493.0
2023-01-25,82.81,84.41,82.0,84.3,104495.0
2023-01-26,85.2,85.87,82.5,84.26,139935.0
2023-01-27,83.84,86.31,83.66,86.21,162302.0
2023-01-30,84.09,86.11,83.65,85.16,175923.0
2023-01-31,85.1,86.31,84.02,86.03,218416.0
2023-02-01,85.12,85.37,81.78,84.39,422174.0
2023-02-02,97.0,103.472,93.9601,102.25,608489.0
2023-02-03,100.0,101.69,97.79,100.67,349541.0
2023-02-06,99.29,100.4807,96.6001,96.71,237575.0
2023-02-07,96.62,99.595,95.8991,99.34,210718.0
2023-02-08,98.5,99.2152,96.02,96.21,132427.0
2023-02-09,97.57,97.57,92.86,94.01,228625.0
2023-02-10,92.78,92.85,89.38,90.98,197924.0
2023-02-13,90.84,92.73,90.085,92.63,119991.0
2023-02-14,92.31,96.78,90.74,95.36,250468.0
2023-02-15,95.36,103.23,95.05,103.08,359100.0
2023-02-16,101.0,102.24,100.0,100.76,234059.0
2023-02-17,101.05,101.05,99.775,100.4,201459.0
2023-02-21,98.84,99.265,96.5394,97.33,146961.0
2023-02-22,97.24,99.5903,96.5,98.7,155647.0
2023-02-23,100.08,102.76,99.42,101.61,180255.0
2023-02-24,99.25,101.295,98.0933,100.94,144649.0
2023-02-27,102.19,103.74,100.64,101.15,178431.0
2023-02-28,100.92,104.2099,100.41,102.55,190280.0
2023-03-01,102.65,104.625,101.3,103.17,183039.0
2023-03-02,101.89,104.345,100.7992,103.73,132042.0
2023-03-03,104.74,105.51,103.41,104.36,158995.0
2023-03-06,105.0,105.0,100.18,100.85,172063.0
2023-03-07,101.59,104.31,101.22,103.55,182530.0
2023-03-08,103.6,104.12,101.41,104.02,162717.0
2023-03-09,103.95,104.1,99.355,100.77,207066.0
2023-03-10,98.15,98.88,93.82,96.06,322162.0
2023-03-13,91.42,93.65,89.51,91.05,275989.0
2023-03-14,94.14,94.99,91.0,92.32,174772.0
2023-03-15,88.97,89.89,83.4968,85.29,305379.0
2023-03-16,84.35,87.09,83.29,86.37,208674.0
2023-03-17,84.66,84.66,80.11,80.88,622201.0
2023-03-20,81.15,85.0,80.9,82.82,301768.0
2023-03-21,85.42,85.81,84.27,84.42,174593.0
2023-03-22,84.63,84.63,81.49,81.49,169119.0
2023-03-23,82.32,83.55,79.475,80.87,147127.0
2023-03-24,79.52,82.295,78.36,82.25,198066.0
2023-03-27,83.49,85.48,82.1,84.61,205508.0
2023-03-28,83.98,86.0,83.025,86.0,145984.0
2023-03-29,87.48,88.86,87.02,88.66,159730.0
2023-03-30,90.05,90.91,89.02,89.31,144116.0
2023-03-31,90.06,92.54,89.32,91.98,143142.0
2023-04-03,91.27,91.935,88.41,90.75,119455.0
2023-04-04,91.44,91.44,88.43,90.37,112950.0
2023-04-05,89.84,89.84,86.9075,87.48,212346.0
2023-04-06,88.47,90.32,87.18,90.1,120979.0
2023-04-10,90.1,93.28,90.1,92.65,203073.0
2023-04-11,93.45,97.22,92.41,97.02,147550.0
2023-04-12,97.7,97.83,92.18,94.16,143195.0
2023-04-13,95.23,96.04,93.48,95.73,214191.0
2023-04-14,96.15,97.965,95.16,96.06,142452.0
