date,open,high,low,close,volume
2023-01-11,26.94,27.63,26.875,27.23,7420718.0
2023-01-12,27.44,27.58,26.43,27.04,7257364.0
2023-01-13,26.59,27.185,26.395,27.06,4446398.0
2023-01-17,27.06,27.615,26.94,27.04,4467665.0
2023-01-18,27.0,27.405,26.79,27.01,4656004.0
2023-01-19,26.12,26.445,25.23,26.19,12431634.0
2023-01-20,28.81,31.61,28.8,31.43,33278479.0
2023-01-23,31.64,32.64,31.4,32.3,12017313.0
2023-01-24,32.5,32.83,31.3,31.36,6832212.0
2023-01-25,30.86,32.92,30.8,32.67,8352449.0
2023-01-26,32.79,32.95,31.64,32.28,6191767.0
2023-01-27,32.5,32.83,32.1,32.33,4868250.0
2023-01-30,31.89,32.2179,31.57,31.6,4744454.0
2023-01-31,31.42,32.525,31.12,32.49,5089288.0
2023-02-01,31.88,34.325,31.59,33.84,8290156.0
2023-02-02,34.18,35.78,34.18,35.2,10466729.0
2023-02-03,34.29,35.238,33.9797,34.76,4617791.0
2023-02-06,34.1,34.38,33.23,33.44,7026931.0
2023-02-07,33.28,34.75,33.28,34.56,5161287.0
2023-02-08,34.02,34.28,33.21,33.64,4962869.0
2023-02-09,33.56,33.71,32.6,32.69,5138114.0
2023-02-10,32.48,32.8185,32.22,32.54,2919943.0
2023-02-13,32.31,33.37,32.22,33.21,4625489.0
2023-02-14,32.94,33.3,31.8625,32.61,6565423.0
2023-02-15,32.37,32.55,31.95,32.24,4573756.0
2023-02-16,31.58,31.9,31.17,31.29,5062417.0
2023-02-17,31.2,31.26,30.48,31.05,4377240.0
2023-02-21,30.49,30.5999,29.76,29.8,4792936.0
2023-02-22,29.86,30.325,29.53,30.06,4799947.0
2023-02-23,30.34,30.57,29.785,30.49,3533301.0
2023-02-24,29.87,30.25,29.55,30.22,3449103.0
2023-02-27,30.72,30.8,29.565,29.61,3640688.0
2023-02-28,29.69,30.26,29.61,30.05,5544581.0
2023-03-01,30.12,30.44,29.95,30.07,4028253.0
2023-03-02,29.64,30.35,29.43,30.2,3308335.0
2023-03-03,30.52,30.68,30.12,30.53,3316936.0
2023-03-06,30.57,30.8,29.8969,30.06,3706497.0
2023-03-07,30.01,30.325,29.35,29.42,3309820.0
2023-03-08,29.44,29.755,29.18,29.44,2745012.0
2023-03-09,29.31,29.455,27.34,27.38,8593356.0
2023-03-10,26.72,26.85,25.13,25.82,13768875.0
2023-03-13,24.58,24.64,22.02,23.05,27704474.0
2023-03-14,24.99,26.13,22.68,23.05,18570982.0
2023-03-15,22.25,23.57,21.585,23.53,15155836.0
2023-03-16,22.88,24.12,22.31,23.44,10791414.0
2023-03-17,22.9,22.9701,22.015,22.29,10479547.0
2023-03-20,22.72,24.73,22.7,23.5,19236403.0
2023-03-21,24.5,25.795,24.5,25.3,12690295.0
2023-03-22,25.21,26.0,24.47,24.55,9199981.0
2023-03-23,24.55,25.24,23.49,24.01,7406010.0
2023-03-24,23.67,24.275,23.295,24.22,6692374.0
2023-03-27,25.175,25.325,24.125,24.22,6610815.0
2023-03-28,24.235,24.47,23.975,24.23,5787457.0
2023-03-29,24.56,24.995,24.45,24.94,3045300.0
2023-03-30,25.27,25.55,24.715,25.14,5577589.0
2023-03-31,25.325,25.54,25.03,25.49,3093392.0
2023-04-03,25.61,25.865,24.9721,25.36,4125325.0
2023-04-04,25.85,25.93,25.175,25.86,7406444.0
2023-04-05,25.32,25.712,25.13,25.55,4561789.0
2023-04-06,25.79,26.39,25.56,26.06,4970812.0
2023-04-10,25.93,26.495,25.68,26.3,4189605.0
2023-04-11,26.67,27.295,26.43,27.19,4855147.0
2023-04-12,27.41,27.56,26.03,26.37,6792715.0
2023-04-13,26.38,26.635,26.13,26.52,4536385.0
2023-04-14,27.21,27.46,26.44,26.84,3866194.0
2023-04-17,26.43,27.1895,26.32,27.09,4965788.0
2023-04-18,26.98,27.135,26.615,26.85,10135016.0
2023-04-19,26.89,27.87,26.102,27.45,7629635.0
2023-04-20,26.91,26.9816,25.91,26.38,7683216.0
