date,open,high,low,close,volume
2023-01-11,31.25,32.55,31.25,32.48,2159582.0
2023-01-12,32.79,33.08,32.415,32.88,1438364.0
2023-01-13,32.48,32.75,32.28,32.46,1599997.0
2023-01-17,32.57,32.84,32.28,32.63,1013592.0
2023-01-18,32.67,32.87,32.18,32.19,1171965.0
2023-01-19,32.06,32.63,31.965,31.98,1687587.0
2023-01-20,31.93,32.545,31.65,32.47,2064740.0
2023-01-23,32.53,32.91,32.3,32.61,1233787.0
2023-01-24,32.25,33.125,32.23,33.07,1396585.0
2023-01-25,32.93,33.055,32.74,33.04,743242.0
2023-01-26,33.18,33.35,33.1,33.28,1364416.0
2023-01-27,33.29,34.11,33.25,33.73,2448966.0
2023-01-30,33.55,33.805,33.315,33.35,2209938.0
2023-01-31,33.2,34.38,33.2,34.29,3182483.0
2023-02-01,34.18,34.855,33.88,34.68,2868380.0
2023-02-02,35.04,35.66,34.98,35.49,1876475.0
2023-02-03,34.97,35.095,34.17,34.61,2032847.0
2023-02-06,34.25,34.485,33.92,34.43,1536375.0
2023-02-07,34.21,34.73,33.87,34.47,2817760.0
2023-02-08,34.46,34.77,34.3,34.42,1156767.0
2023-02-09,34.53,34.78,33.89,33.91,1845343.0
2023-02-10,33.72,33.995,33.55,33.85,1864843.0
2023-02-13,34.11,34.79,34.11,34.57,1954988.0
2023-02-14,34.48,34.545,33.875,34.23,1512249.0
2023-02-15,33.99,34.32,33.845,34.32,1571912.0
2023-02-16,33.87,34.115,33.4,33.5,2551026.0
2023-02-17,33.35,33.405,32.69,33.25,1791705.0
2023-02-21,33.23,33.24,32.63,32.84,1328985.0
2023-02-22,32.97,33.185,32.68,32.86,1303007.0
2023-02-23,33.01,33.07,32.535,32.86,1325224.0
2023-02-24,32.01,32.37,31.42,31.53,3565787.0
2023-02-27,31.96,31.99,30.94,31.18,3257315.0
2023-02-28,31.18,31.57,31.01,31.02,3520843.0
2023-03-01,30.69,30.92,30.005,30.36,3611179.0
2023-03-02,30.27,30.55,30.01,30.52,2562685.0
2023-03-03,30.8,31.375,30.58,31.36,3492803.0
2023-03-06,31.52,31.69,31.1614,31.32,1514426.0
2023-03-07,31.28,31.28,30.46,30.64,2893642.0
2023-03-08,30.62,31.26,30.58,30.98,2195439.0
2023-03-09,31.05,31.18,30.48,30.61,2168122.0
2023-03-10,30.66,30.73,29.275,29.32,3992812.0
2023-03-13,29.16,30.205,29.1,29.96,3497648.0
2023-03-14,30.02,30.35,29.75,30.07,3082513.0
2023-03-15,29.925,30.56,29.87,30.52,3226787.0
2023-03-16,30.39,30.61,30.06,30.57,4383531.0
2023-03-17,30.37,30.4,29.67,30.01,3690305.0
2023-03-20,29.89,30.52,29.69,30.46,3611152.0
2023-03-21,30.56,30.64,29.62,29.89,3628719.0
2023-03-22,29.5,29.79,28.88,28.93,2489407.0
2023-03-23,29.11,29.46,28.785,28.91,1738581.0
2023-03-24,28.84,29.87,28.81,29.84,2812138.0
