date,open,high,low,close,volume
2023-01-11,58.3,60.65,58.3,59.03,183264.0
2023-01-12,59.41,60.45,58.41,60.07,253876.0
2023-01-13,59.37,60.28,57.8,59.7,292137.0
2023-01-17,60.01,62.44,59.61,60.9,190161.0
2023-01-18,61.58,62.96,60.07,61.2,164590.0
2023-01-19,60.1,60.825,58.56,59.52,226498.0
2023-01-20,60.24,61.75,59.505,61.75,157831.0
2023-01-23,62.09,65.26,61.1,64.26,237493.0
2023-01-24,62.41,65.16,62.39,64.14,195917.0
2023-01-25,62.76,63.17,60.88,63.07,166296.0
2023-01-26,64.19,64.19,61.32,62.92,255074.0
2023-01-27,62.68,65.16,62.68,64.58,145134.0
2023-01-30,63.45,65.34,62.58,62.61,173176.0
2023-01-31,62.62,64.49,62.62,64.47,346732.0
2023-02-01,64.35,65.855,62.805,64.31,256748.0
2023-02-02,65.52,65.64,60.56,62.09,305292.0
2023-02-03,60.66,63.295,60.07,60.16,255354.0
2023-02-06,59.0,59.0,55.96,56.43,499028.0
2023-02-07,56.44,57.31,53.85,56.71,757275.0
2023-02-08,56.87,57.3391,54.52,54.77,283203.0
2023-02-09,55.97,57.0,53.8,54.33,229564.0
2023-02-10,53.99,54.45,52.7,53.97,267225.0
2023-02-13,54.43,55.49,53.25,55.07,349730.0
2023-02-14,54.61,55.625,53.53,55.25,227151.0
2023-02-15,55.16,60.07,55.16,59.94,351054.0
2023-02-16,58.89,59.44,55.94,56.08,219526.0
2023-02-17,55.83,55.83,54.6783,55.2,277776.0
2023-02-21,54.15,54.69,51.52,51.89,348095.0
2023-02-22,52.09,52.95,50.75,51.48,226668.0
2023-02-23,52.28,53.1,51.31,52.33,229977.0
2023-02-24,50.79,51.34,49.63,50.24,225475.0
2023-02-27,50.98,53.39,50.34,51.8,330760.0
2023-02-28,46.52,48.31,42.85,43.95,1944605.0
2023-03-01,45.59,47.35,44.2,46.69,807039.0
2023-03-02,45.51,46.0189,43.0105,44.24,682919.0
2023-03-03,45.32,46.23,44.78,45.72,263358.0
2023-03-06,46.0,47.35,45.51,46.46,350847.0
2023-03-07,46.64,47.31,44.87,45.71,451934.0
2023-03-08,45.74,46.04,44.58,45.7,367825.0
2023-03-09,46.19,47.0,44.35,44.51,334630.0
2023-03-10,45.98,46.68,44.12,46.05,612917.0
2023-03-13,45.02,46.0,43.51,45.66,256543.0
2023-03-14,47.15,47.81,43.75,44.54,370778.0
2023-03-15,43.38,44.15,42.273,43.74,409257.0
2023-03-16,43.39,44.24,41.95,44.09,479885.0
2023-03-17,45.24,45.24,41.48,43.15,739749.0
2023-03-20,43.16,43.695,42.34,42.75,368998.0
2023-03-21,43.84,45.74,43.18,45.28,561948.0
2023-03-22,45.02,45.88,43.51,43.57,535707.0
2023-03-23,43.92,45.53,42.65,43.49,255765.0
2023-03-24,42.85,43.55,42.035,43.5,244899.0
2023-03-27,44.4,44.65,43.125,44.48,333587.0
2023-03-28,44.58,45.71,44.2739,45.46,286972.0
2023-03-29,46.14,46.71,44.62,45.88,369546.0
2023-03-30,46.85,48.11,46.4,46.76,332389.0
2023-03-31,47.26,50.59,47.125,49.22,559680.0
2023-04-03,49.08,49.49,46.885,47.4,426759.0
2023-04-04,47.54,47.54,45.27,45.9,310539.0
2023-04-05,45.29,45.89,43.79,44.37,213507.0
2023-04-06,44.51,44.66,43.51,44.55,196880.0
2023-04-10,44.14,45.33,43.96,44.99,371638.0
2023-04-11,45.09,46.555,45.09,46.18,326183.0
2023-04-12,47.25,47.555,45.165,45.5,198024.0
2023-04-13,46.18,47.1,45.28,47.01,275612.0
2023-04-14,46.9,46.96,44.95,45.8,175933.0
2023-04-17,45.89,47.45,45.89,47.25,187940.0
2023-04-18,47.51,47.8,45.83,46.55,274409.0
2023-04-19,45.77,45.945,44.8,44.9,513098.0
2023-04-20,44.01,44.33,42.81,43.76,702861.0
2023-04-21,43.96,44.2153,43.34,43.56,302226.0
2023-04-24,43.23,47.0,42.75,46.62,529339.0
2023-04-25,45.75,46.42,42.93,43.54,289658.0
2023-04-26,43.05,43.05,40.84,40.93,333617.0
2023-04-27,41.65,42.13,40.93,41.35,327071.0
2023-04-28,41.06,42.145,40.7645,41.6,487005.0
2023-05-01,41.69,42.89,40.61,40.78,549562.0
2023-05-02,44.63,47.615,44.0,44.87,1151226.0
2023-05-03,44.95,45.33,41.86,42.28,428353.0
2023-05-04,41.99,42.1193,39.62,41.33,331887.0
2023-05-05,42.98,43.6,42.02,43.03,326564.0
2023-05-08,43.16,43.18,41.335,42.36,259248.0
2023-05-09,41.3,42.499,40.52,42.13,356336.0
2023-05-10,42.92,43.0,41.245,41.58,260989.0
2023-05-11,41.32,41.74,39.82,40.72,380244.0
2023-05-12,41.05,43.38,41.05,43.22,447748.0
2023-05-15,43.35,46.07,43.01,43.65,357931.0
2023-05-16,43.29,43.46,41.87,42.47,326304.0
2023-05-17,43.22,44.35,42.29,44.3,326443.0
2023-05-18,44.08,44.25,42.12,43.59,256888.0
2023-05-19,44.47,45.045,42.855,43.21,307106.0
2023-05-22,43.16,45.53,43.16,45.27,195734.0
2023-05-23,45.15,46.82,45.0,45.73,233953.0
2023-05-24,45.15,45.215,43.48,44.34,287752.0
2023-05-25,44.35,44.35,42.61,42.87,302593.0
2023-05-26,43.07,44.03,42.76,43.25,203683.0
2023-05-30,43.94,44.89,43.05,43.73,243704.0
2023-05-31,43.42,43.85,42.28,43.08,291553.0
2023-06-01,43.23,45.0,43.1168,44.16,242607.0
2023-06-02,45.15,46.5,44.55,45.98,274495.0
2023-06-05,45.72,46.12,45.0601,45.27,211969.0
2023-06-06,45.15,47.935,44.825,47.49,264321.0
2023-06-07,47.92,49.62,47.293,49.08,285934.0
2023-06-08,49.04,49.05,47.09,47.96,199304.0
2023-06-09,48.15,48.15,45.835,47.14,294115.0
2023-06-12,47.49,48.65,46.74,47.94,209131.0
2023-06-13,48.52,51.49,48.52,51.0,347585.0
2023-06-14,51.09,52.17,49.34,49.68,364586.0
2023-06-15,49.05,49.655,48.31,49.21,260136.0
2023-06-16,49.57,49.76,46.51,46.55,624751.0
2023-06-20,46.27,46.455,45.45,45.91,274503.0
2023-06-21,45.5,46.62,45.49,46.48,232376.0
2023-06-22,46.24,46.85,45.43,46.62,420725.0
2023-06-23,45.48,47.835,45.21,47.13,645207.0
2023-06-26,46.59,47.94,44.67,44.69,398314.0
2023-06-27,45.34,47.18,44.46,46.17,246299.0
2023-06-28,46.03,48.96,45.7064,47.43,305606.0
2023-06-29,47.46,48.93,47.395,48.84,335672.0
2023-06-30,49.17,49.69,48.17,48.63,257234.0
2023-07-03,48.82,49.65,47.39,47.58,113607.0
2023-07-05,47.28,47.745,46.58,47.2,213186.0
2023-07-06,46.39,46.44,45.13,46.4,299505.0
2023-07-07,46.45,48.12,46.44,46.49,152462.0
2023-07-10,46.47,50.92,46.47,50.87,379227.0
2023-07-11,51.55,52.73,50.81,52.13,449704.0
2023-07-12,53.24,55.31,52.86,54.75,490522.0
2023-07-13,55.0,56.63,54.325,54.88,516493.0
2023-07-14,54.85,54.85,52.76,53.82,330416.0
2023-07-17,53.8,56.36,53.03,55.14,323179.0
2023-07-18,56.62,59.335,55.895,59.06,767781.0
2023-07-19,59.89,63.19,59.505,63.01,937375.0
2023-07-20,62.43,63.14,61.13,61.14,475361.0
2023-07-21,61.38,61.38,58.4,59.05,632905.0
2023-07-24,58.89,60.21,57.78,58.39,239834.0
2023-07-25,57.89,59.24,57.55,57.98,237591.0
2023-07-26,57.35,59.21,57.35,58.69,255079.0
2023-07-27,59.11,59.11,56.13,56.59,172487.0
2023-07-28,56.96,57.91,56.16,57.42,243285.0
2023-07-31,58.2,59.66,57.5,58.21,381045.0
2023-08-01,56.27,56.47,51.86,52.68,918473.0
2023-08-02,52.25,52.69,50.38,51.21,469662.0
2023-08-03,50.92,53.31,50.52,52.02,503458.0
2023-08-04,52.14,52.14,49.87,50.03,330769.0
2023-08-07,49.97,51.38,49.3,51.37,715423.0
2023-08-08,50.68,52.01,49.595,51.49,310008.0
2023-08-09,50.49,51.65,50.22,51.0,172386.0
