date,open,high,low,close,volume
2023-01-11,21.97,22.135,21.16,21.35,191484.0
2023-01-12,21.38,23.09,21.26,23.07,241921.0
2023-01-13,24.01,26.63,23.7476,26.38,352347.0
2023-01-17,26.44,26.49,25.33,25.48,213982.0
2023-01-18,25.1,25.82,24.15,24.6,306321.0
2023-01-19,24.68,24.7,23.76,24.4,190230.0
2023-01-20,24.85,25.59,23.82,25.0,295667.0
2023-01-23,24.77,25.505,24.55,25.13,658051.0
2023-01-24,25.19,25.445,24.53,25.17,1515017.0
2023-01-25,25.0,25.19,24.0,24.9,864277.0
2023-01-26,25.03,25.72,23.89,24.41,1029392.0
2023-01-27,24.41,25.01,23.8,24.11,678079.0
2023-01-30,23.76,24.28,23.71,23.94,155433.0
2023-01-31,24.16,25.05,24.16,24.89,425887.0
2023-02-01,24.9,25.285,23.9,24.95,306249.0
2023-02-02,25.22,26.67,24.675,26.66,356295.0
2023-02-03,26.48,26.88,25.77,25.78,158839.0
2023-02-06,25.6,26.3,25.44,25.82,255275.0
2023-02-07,25.82,26.71,25.77,26.2,196128.0
2023-02-08,26.36,26.36,25.49,25.53,197769.0
2023-02-09,25.53,26.165,25.53,25.95,140866.0
2023-02-10,25.96,26.29,25.42,25.8,130268.0
2023-02-13,25.74,26.155,25.49,25.95,137696.0
2023-02-14,26.03,26.65,25.89,25.97,88158.0
2023-02-15,25.71,26.315,25.46,26.18,108923.0
2023-02-16,25.96,26.36,25.78,25.95,147861.0
2023-02-17,26.18,27.18,25.96,26.99,108193.0
2023-02-21,26.64,27.48,25.62,25.67,197372.0
2023-02-22,25.63,26.04,25.42,26.0,140718.0
2023-02-23,26.12,26.51,25.705,25.88,284580.0
2023-02-24,25.64,25.8,24.81,24.94,442410.0
2023-02-27,25.09,25.63,24.49,24.59,311037.0
2023-02-28,24.65,25.105,24.42,24.9,273060.0
2023-03-01,25.02,25.46,23.9588,25.14,173377.0
2023-03-02,21.79,25.095,21.79,24.54,249280.0
2023-03-03,24.65,24.65,22.19,23.83,285501.0
2023-03-06,23.89,24.04,23.5,23.63,150034.0
2023-03-07,23.61,24.2,23.3,23.65,166375.0
2023-03-08,23.7,23.93,23.37,23.54,170794.0
2023-03-09,23.62,23.99,22.78,22.9,218009.0
2023-03-10,22.92,23.06,22.01,22.37,239104.0
2023-03-13,22.16,23.36,22.16,22.57,220426.0
2023-03-14,22.79,23.67,22.78,22.89,224589.0
2023-03-15,22.7,23.13,22.215,22.97,157944.0
2023-03-16,22.86,22.92,22.02,22.1,197068.0
2023-03-17,22.05,22.31,21.52,21.8,565119.0
2023-03-20,21.85,22.295,21.49,21.62,158213.0
2023-03-21,21.7,22.52,21.28,21.76,197466.0
2023-03-22,21.69,22.925,21.2,21.26,183112.0
2023-03-23,21.41,21.77,21.125,21.63,171528.0
2023-03-24,21.6,21.85,20.625,21.4,176015.0
2023-03-27,21.47,21.93,21.47,21.9,199702.0
2023-03-28,21.95,22.03,21.18,21.6,76158.0
2023-03-29,21.75,22.29,21.62,22.21,236234.0
2023-03-30,22.06,22.885,20.65,21.16,298157.0
2023-03-31,21.26,22.08,20.51,21.76,244594.0
2023-04-03,21.8,22.95,21.615,22.09,305236.0
2023-04-04,21.87,22.11,21.3,21.7,231675.0
2023-04-05,21.59,22.03,21.13,21.31,259814.0
2023-04-06,21.43,21.755,20.39,21.41,311920.0
2023-04-10,21.47,21.59,20.74,21.48,232880.0
