date,open,high,low,close,volume
2023-01-11,67.5,67.97,66.99,67.68,2009145.0
2023-01-12,68.0,69.32,67.7,68.44,2761237.0
2023-01-13,67.49,69.88,67.3,69.71,1872983.0
2023-01-17,69.34,69.96,68.81,69.09,1874097.0
2023-01-18,69.09,69.57,67.95,68.03,2054581.0
2023-01-19,67.03,67.74,65.079,65.78,2580638.0
2023-01-20,66.38,67.34,65.74,67.07,1333312.0
2023-01-23,67.07,69.62,66.51,68.84,2825965.0
2023-01-24,67.8,69.03,67.6,67.7,2599798.0
2023-01-25,66.44,67.92,65.68,67.6,1696759.0
2023-01-26,68.13,70.51,67.83,70.43,3533238.0
2023-01-27,69.97,71.34,69.67,70.82,1775388.0
2023-01-30,70.49,70.49,69.08,69.26,1811299.0
2023-01-31,69.1,70.81,68.65,70.78,2052720.0
2023-02-01,70.84,73.209,70.535,72.52,2740517.0
2023-02-02,73.64,74.12,70.94,72.15,3166509.0
2023-02-03,71.45,74.33,71.21,73.4,2254653.0
2023-02-06,71.9,72.26,71.19,72.14,2069179.0
2023-02-07,71.83,73.71,71.45,73.35,2083098.0
2023-02-08,72.28,74.63,72.28,73.89,2302696.0
2023-02-09,70.0,71.44,67.73,68.4,6694426.0
2023-02-10,67.76,71.24,67.76,70.66,2877327.0
2023-02-13,70.49,71.4688,70.13,71.07,3445302.0
2023-02-14,71.0,73.13,70.74,71.66,3431373.0
2023-02-15,70.56,72.44,70.121,72.43,2119311.0
2023-02-16,71.03,72.905,70.71,72.09,1689533.0
2023-02-17,70.88,72.23,70.8,71.44,2570507.0
2023-02-21,70.36,70.63,69.095,69.35,2519582.0
2023-02-22,69.5,70.84,69.06,70.27,2104078.0
2023-02-23,71.06,72.23,70.8,71.21,2191595.0
2023-02-24,70.05,70.99,69.76,70.87,2156456.0
2023-02-27,71.61,72.6,69.93,70.42,2001214.0
2023-02-28,70.85,71.5,70.48,70.9,2173843.0
2023-03-01,70.52,72.57,70.24,71.94,2414736.0
2023-03-02,70.88,72.595,69.75,72.38,1943563.0
2023-03-03,72.66,73.26,72.45,73.11,2205329.0
2023-03-06,73.17,73.77,72.14,72.54,1953070.0
2023-03-07,72.05,72.69,71.01,71.2,1551285.0
2023-03-08,71.16,71.71,70.805,71.23,1628637.0
2023-03-09,71.1,71.54,67.27,67.37,2027125.0
2023-03-10,67.0,67.26,59.74,60.29,11398291.0
2023-03-13,59.76,60.45,56.16,58.47,11249080.0
2023-03-14,59.67,61.1,58.51,59.76,9980066.0
2023-03-15,57.5,58.13,56.46,57.61,8585067.0
2023-03-16,56.77,59.75,56.05,58.75,5817867.0
2023-03-17,57.79,58.2,55.525,56.53,6167770.0
2023-03-20,57.43,57.92,55.88,56.81,4269042.0
2023-03-21,59.44,61.76,58.94,60.71,5075081.0
2023-03-22,60.55,61.68,58.77,58.93,3235275.0
2023-03-23,59.11,60.065,57.26,57.7,3577703.0
2023-03-24,56.59,57.56,55.16,57.54,3389548.0
2023-03-27,58.05,59.47,57.31,58.95,2479207.0
2023-03-28,58.92,59.4047,58.42,59.1,1269154.0
2023-03-29,60.03,60.7,59.46,60.66,2869685.0
2023-03-30,61.43,61.74,60.71,61.45,2559829.0
2023-03-31,62.08,63.33,61.86,63.16,2414449.0
2023-04-03,63.09,63.28,61.67,62.4,1798658.0
2023-04-04,62.62,63.17,61.105,62.14,2567817.0
2023-04-05,61.47,62.16,60.07,61.4,2731719.0
2023-04-06,61.12,61.63,60.625,60.87,1417202.0
2023-04-10,60.71,61.92,60.37,61.85,1530075.0
2023-04-11,62.2,63.62,61.7588,63.13,1702172.0
2023-04-12,63.57,63.87,62.36,62.58,1374538.0
2023-04-13,63.14,64.93,62.98,64.8,1884892.0
2023-04-14,65.38,65.46,64.05,65.01,1618961.0
2023-04-17,64.72,65.37,64.26,65.25,1986304.0
2023-04-18,65.71,66.065,64.94,65.34,3168018.0
2023-04-19,64.92,66.07,64.65,65.8,1356288.0
2023-04-20,64.65,65.31,64.01,64.29,2001513.0
2023-04-21,64.12,64.2204,63.28,63.54,1896247.0
2023-04-24,63.5,63.69,62.67,63.3,1635510.0
2023-04-25,62.7,62.91,61.58,61.63,1901694.0
2023-04-26,61.51,62.07,61.065,61.38,1445005.0
2023-04-27,61.96,62.79,61.12,62.69,1078365.0
2023-04-28,62.37,63.7,62.115,63.39,2238861.0
2023-05-01,63.32,64.395,63.02,63.72,2064020.0
2023-05-02,63.25,63.45,60.29,61.26,3064658.0
2023-05-03,61.1,62.61,60.81,60.93,2453102.0
2023-05-04,60.77,60.8361,57.5,58.04,4077699.0
2023-05-05,58.03,60.58,58.03,60.53,2208674.0
2023-05-08,61.08,62.04,60.96,61.83,2431111.0
2023-05-09,61.22,63.3843,59.8925,62.26,4202683.0
2023-05-10,63.65,64.82,63.115,63.64,3859686.0
2023-05-11,63.36,64.48,63.09,63.72,2252433.0
2023-05-12,63.99,64.19,61.98,62.51,1848684.0
2023-05-15,62.82,63.79,62.24,63.18,1631500.0
2023-05-16,62.81,63.42,62.0,62.04,1723090.0
2023-05-17,62.74,64.18,62.3,63.42,2674278.0
2023-05-18,63.31,63.91,62.83,63.74,1963575.0
2023-05-19,63.92,64.24,62.98,63.85,1736763.0
2023-05-22,64.17,66.3,64.17,66.0,3488797.0
2023-05-23,65.67,66.28,64.31,64.32,1451571.0
2023-05-24,63.52,63.54,62.63,62.97,1626536.0
2023-05-25,63.29,64.565,62.975,64.23,2299504.0
2023-05-26,64.74,66.26,64.74,65.42,2207811.0
2023-05-30,66.2,67.145,65.85,66.78,3637011.0
2023-05-31,67.25,67.67,66.38,66.85,3728821.0
2023-06-01,66.93,68.49,66.6,68.0,3013037.0
2023-06-02,68.69,70.27,68.38,69.7,2887047.0
2023-06-05,69.37,70.68,69.25,70.5,3205694.0
2023-06-06,70.2,71.3432,70.155,70.93,3338687.0
2023-06-07,71.33,71.82,70.93,71.58,2611468.0
2023-06-08,71.53,72.84,71.3,72.75,3179136.0
2023-06-09,72.72,73.23,72.61,72.98,2397349.0
2023-06-12,72.89,73.84,72.69,73.64,2104327.0
2023-06-13,73.82,76.06,73.72,76.01,4201056.0
2023-06-14,75.84,76.52,75.51,76.15,2397416.0
2023-06-15,76.14,77.5,76.036,77.39,2936558.0
2023-06-16,77.59,77.59,76.7339,77.08,4105657.0
2023-06-20,76.15,76.58,75.86,76.4,2908005.0
2023-06-21,76.4,76.75,76.0,76.41,1402818.0
2023-06-22,75.98,76.27,74.79,74.87,2019291.0
2023-06-23,74.23,74.315,72.44,73.0,8221369.0
2023-06-26,72.81,74.0,72.7646,73.67,1691473.0
2023-06-27,73.69,75.5,73.485,74.76,2483454.0
2023-06-28,74.53,75.37,74.06,75.14,2001928.0
2023-06-29,75.63,76.33,75.12,75.81,2232352.0
2023-06-30,76.75,77.6,76.36,76.81,2042017.0
2023-07-03,76.75,77.55,76.75,77.07,1282734.0
2023-07-05,76.39,76.7,75.21,76.03,1869940.0
2023-07-06,74.61,75.08,73.77,74.51,2298220.0
2023-07-07,74.0,76.25,73.8,76.01,1675913.0
2023-07-10,75.84,76.42,75.39,75.8,1541353.0
2023-07-11,76.5,78.25,75.998,77.96,1914176.0
2023-07-12,79.29,79.41,77.55,77.99,1328377.0
2023-07-13,78.82,80.97,78.46,80.55,2252702.0
2023-07-14,81.11,81.24,79.27,80.29,1547716.0
2023-07-17,79.14,81.42,79.1,80.94,1965420.0
2023-07-18,81.44,82.56,81.07,82.46,2215892.0
2023-07-19,83.28,83.37,81.33,81.87,1996426.0
2023-07-20,81.2,82.38,81.2,81.58,1508062.0
2023-07-21,81.81,82.22,80.68,80.79,2069753.0
2023-07-24,80.5,81.261,79.99,80.84,1448663.0
2023-07-25,80.91,81.66,80.815,81.16,2644123.0
2023-07-26,81.16,81.85,80.74,81.44,1689324.0
2023-07-27,82.23,82.28,80.39,80.71,1593621.0
2023-07-28,81.69,82.1,81.23,81.81,1766208.0
2023-07-31,81.76,82.16,81.15,81.71,1735747.0
2023-08-01,81.02,82.11,80.8762,81.96,1979324.0
2023-08-02,81.17,81.5,80.33,81.33,2328270.0
2023-08-03,82.0,86.47,81.97,85.93,3102806.0
2023-08-04,86.82,87.82,85.5,86.14,2341334.0
2023-08-07,86.0,86.92,85.6701,86.27,1960005.0
2023-08-08,82.48,83.99,82.3,82.48,7026187.0
2023-08-09,82.3,82.6,80.98,81.7,6487218.0
