date,open,high,low,close,volume
2023-01-11,72.7,74.115,72.47,74.06,900736.0
2023-01-12,74.7,77.08,73.9448,76.75,1331261.0
2023-01-13,76.34,77.68,75.42,77.47,751340.0
2023-01-17,77.3,78.45,77.3,78.07,817961.0
2023-01-18,78.6,79.28,77.78,77.97,915660.0
2023-01-19,77.15,77.42,74.97,75.93,954528.0
2023-01-20,76.42,78.69,76.17,78.63,885174.0
2023-01-23,79.16,80.34,78.6,79.64,939919.0
2023-01-24,79.02,79.6699,78.2,78.56,410357.0
2023-01-25,77.47,78.49,76.44,78.4,518287.0
2023-01-26,79.09,81.615,78.644,81.21,803884.0
2023-01-27,80.86,83.12,80.79,82.9,1137215.0
2023-01-30,81.89,82.73,81.17,81.18,806132.0
2023-01-31,81.26,83.01,80.79,82.99,692661.0
2023-02-01,82.63,85.39,82.57,84.66,855928.0
2023-02-02,85.76,86.1334,83.6,84.63,1919555.0
2023-02-03,83.07,85.67,83.07,85.03,1124880.0
2023-02-06,83.55,84.87,83.04,84.62,1094544.0
2023-02-07,84.19,85.87,83.6,85.85,840741.0
2023-02-08,85.32,85.9,84.66,85.54,1329963.0
2023-02-09,87.5,87.5,82.77,83.38,1728717.0
2023-02-10,83.46,86.22,82.87,85.34,832989.0
2023-02-13,86.2,86.43,84.79,84.96,1689219.0
2023-02-14,84.84,85.64,83.88,83.93,1275997.0
2023-02-15,83.27,84.0,82.72,83.65,1311158.0
2023-02-16,82.13,84.83,81.8,83.5,572051.0
2023-02-17,83.21,83.8576,82.545,83.11,512509.0
2023-02-21,81.48,82.04,79.8,80.52,802707.0
2023-02-22,80.65,81.51,80.3,80.83,567151.0
2023-02-23,81.7,82.21,80.8,81.97,633890.0
2023-02-24,80.26,80.87,79.885,80.17,761011.0
2023-02-27,81.25,81.66,79.945,80.15,684143.0
2023-02-28,80.51,81.27,80.21,80.63,1203061.0
2023-03-01,80.19,81.06,80.0,80.73,891381.0
2023-03-02,79.85,81.16,79.65,81.16,747481.0
2023-03-03,81.15,83.39,80.5,83.12,966588.0
2023-03-06,83.08,85.01,83.08,83.73,930263.0
2023-03-07,83.32,83.775,81.75,82.31,688678.0
2023-03-08,82.38,83.61,82.175,83.29,566978.0
2023-03-09,83.29,83.92,79.8,79.93,950074.0
2023-03-10,79.36,79.36,74.07,74.51,2734470.0
2023-03-13,72.22,74.445,71.36,72.73,2595210.0
2023-03-14,75.03,76.275,73.94,75.67,1629276.0
2023-03-15,73.53,75.66,73.34,75.36,1669827.0
2023-03-16,73.81,77.12,73.22,76.27,1130007.0
2023-03-17,75.85,76.3098,74.44,75.05,1816334.0
2023-03-20,75.57,75.99,73.965,74.74,835599.0
2023-03-21,75.16,78.69,75.03,78.52,783094.0
2023-03-22,78.82,81.595,78.23,78.99,1863062.0
2023-03-23,79.59,82.29,79.56,80.39,2044175.0
2023-03-24,79.13,80.98,77.5,80.4,1691643.0
2023-03-27,80.89,82.04,80.47,81.09,912865.0
2023-03-28,81.24,81.62,79.48,80.1,619270.0
2023-03-29,80.93,81.44,79.82,81.4,703150.0
2023-03-30,82.27,82.385,81.3,81.32,605893.0
2023-03-31,82.1,83.52,81.805,83.44,652103.0
2023-04-03,82.78,84.005,81.965,82.27,744225.0
2023-04-04,82.55,83.05,80.36,80.87,791071.0
2023-04-05,79.96,80.79,78.88,79.22,785875.0
2023-04-06,78.85,79.9,78.63,79.71,622313.0
2023-04-10,79.26,80.67,78.93,80.54,796698.0
2023-04-11,80.9,82.025,80.14,80.55,835865.0
2023-04-12,81.52,82.15,80.57,81.65,918739.0
2023-04-13,82.17,84.73,81.835,84.63,803364.0
2023-04-14,84.95,85.25,82.15,82.86,650300.0
2023-04-17,82.41,83.15,82.01,82.95,926421.0
2023-04-18,83.14,86.27,82.93,85.82,1573567.0
2023-04-19,85.13,87.045,85.13,86.89,1251658.0
2023-04-20,85.88,86.8099,85.53,86.26,800128.0
2023-04-21,86.27,86.89,85.36,86.6,722155.0
2023-04-24,86.83,87.26,86.07,86.85,536585.0
2023-04-25,86.28,86.51,82.78,83.27,773622.0
2023-04-26,83.01,83.76,81.33,81.63,782518.0
2023-04-27,82.46,83.79,81.47,83.45,1097087.0
2023-04-28,82.18,88.005,81.33,87.59,1351709.0
2023-05-01,88.18,90.28,85.21,85.57,1974689.0
2023-05-02,84.81,84.9,81.63,82.46,1707188.0
2023-05-03,82.17,83.745,81.84,82.09,921412.0
2023-05-04,82.01,82.01,77.97,79.53,1406158.0
2023-05-05,80.77,82.16,80.42,81.95,846213.0
2023-05-08,82.2,83.86,81.6,81.96,1115915.0
2023-05-09,81.23,81.47,80.37,80.5,927650.0
2023-05-10,81.04,81.72,80.23,81.62,854895.0
2023-05-11,81.47,81.86,80.07,81.49,778411.0
2023-05-12,81.82,82.02,80.45,82.02,653092.0
2023-05-15,82.07,83.48,81.76,83.27,641477.0
2023-05-16,82.72,82.81,81.1,81.41,503620.0
2023-05-17,82.29,83.65,81.705,83.2,780002.0
2023-05-18,83.27,83.54,81.785,83.11,936411.0
2023-05-19,83.31,83.94,82.53,83.64,610753.0
2023-05-22,83.56,85.15,83.345,85.13,826366.0
2023-05-23,85.59,86.46,84.07,84.74,966418.0
2023-05-24,83.82,84.07,81.88,83.37,1219568.0
2023-05-25,84.02,84.805,82.89,84.28,799386.0
2023-05-26,84.72,85.59,83.75,85.2,1194026.0
2023-05-30,85.71,87.52,85.36,87.36,1192903.0
2023-05-31,86.97,87.6,85.35,87.09,1308847.0
2023-06-01,87.09,88.6,86.9138,88.0,1242404.0
2023-06-02,88.8,90.055,88.8,89.29,1400084.0
2023-06-05,88.53,89.44,87.43,89.14,771784.0
2023-06-06,89.0,91.53,88.5,91.45,1628093.0
2023-06-07,91.29,91.915,89.77,90.56,1677474.0
2023-06-08,90.87,92.0,89.89,91.96,996007.0
2023-06-09,92.14,92.75,91.02,92.22,776745.0
2023-06-12,91.71,93.575,91.48,92.92,1172190.0
2023-06-13,93.61,95.13,92.56,94.82,4143295.0
2023-06-14,95.0,95.03,93.53,94.17,2068091.0
2023-06-15,92.86,95.31,92.51,95.27,1248530.0
2023-06-16,95.42,95.42,94.36,94.43,1798432.0
2023-06-20,93.25,94.06,92.66,93.38,799970.0
2023-06-21,93.12,93.695,92.42,93.14,758463.0
2023-06-22,92.75,93.39,91.84,92.6,766797.0
2023-06-23,91.5,92.21,90.29,90.41,1404215.0
2023-06-26,90.49,92.9,90.49,91.71,759478.0
2023-06-27,92.04,94.37,91.81,93.02,1182569.0
2023-06-28,92.76,94.49,92.43,94.24,522628.0
2023-06-29,94.42,95.7,94.24,95.63,1118619.0
2023-06-30,96.44,97.34,96.15,96.35,982715.0
2023-07-03,95.89,97.08,95.59,96.51,352977.0
2023-07-05,96.51,96.51,95.44,95.68,576366.0
2023-07-06,94.42,94.745,92.95,93.78,701342.0
2023-07-07,93.3,95.23,93.3,94.88,644076.0
2023-07-10,94.09,94.88,93.65,93.72,569030.0
2023-07-11,94.11,96.46,93.69,95.5,715233.0
2023-07-12,97.17,97.74,96.14,96.66,690304.0
2023-07-13,97.87,101.14,97.165,101.1,1095751.0
2023-07-14,101.46,102.04,99.751,101.04,789637.0
2023-07-17,100.75,101.69,100.3401,100.95,640950.0
2023-07-18,102.09,102.96,101.62,101.75,1013722.0
2023-07-19,101.71,103.02,101.22,102.07,763220.0
2023-07-20,101.27,102.77,101.07,102.18,657101.0
2023-07-21,102.68,102.88,101.52,101.54,458325.0
2023-07-24,101.18,101.995,100.12,100.47,450038.0
2023-07-25,100.23,102.58,100.19,101.39,1014936.0
2023-07-26,101.18,101.65,100.34,100.59,913015.0
2023-07-27,101.11,101.3,98.64,98.8,565855.0
2023-07-28,99.9,100.23,98.58,99.04,662215.0
2023-07-31,99.29,100.0,98.17,99.22,1192625.0
2023-08-01,99.41,103.41,98.73,102.27,1594048.0
2023-08-02,100.85,101.57,99.59,100.45,1069497.0
2023-08-03,99.89,100.845,99.56,99.8,938583.0
2023-08-04,100.49,101.85,99.5,100.24,1276441.0
2023-08-07,101.36,102.19,100.145,102.19,815302.0
2023-08-08,100.82,100.82,98.945,100.2,1200871.0
2023-08-09,100.45,101.48,100.02,100.17,566770.0
2023-08-10,100.65,103.11,100.65,101.5,861680.0
2023-08-11,100.97,101.44,99.0,99.47,629453.0
2023-08-14,99.33,101.7499,99.2604,101.53,909436.0
2023-08-15,100.77,100.865,97.301,97.5,2108901.0
2023-08-16,97.54,97.91,97.13,97.48,745517.0
2023-08-17,98.08,98.29,96.99,97.55,902746.0
2023-08-18,97.0,99.29,96.11,99.19,857025.0
2023-08-21,99.26,99.68,97.56,98.21,647521.0
2023-08-22,98.94,99.21,98.07,98.5,601868.0
2023-08-23,98.7,99.725,98.185,99.62,858881.0
