date,open,high,low,close,volume
2023-01-11,9.47,9.49,9.3373,9.43,518455.0
2023-01-12,9.48,9.595,9.44,9.57,704220.0
2023-01-13,9.51,9.568,9.38,9.53,626765.0
2023-01-17,9.56,9.68,9.48,9.53,823972.0
2023-01-18,9.56,9.655,9.275,9.3,789648.0
2023-01-19,9.18,9.375,9.15,9.3,572947.0
2023-01-20,9.35,9.405,9.185,9.33,733336.0
2023-01-23,9.33,9.43,9.315,9.38,423605.0
2023-01-24,9.46,9.46,9.21,9.24,458704.0
2023-01-25,9.17,9.4,9.08,9.38,478285.0
2023-01-26,9.46,9.48,9.31,9.42,481097.0
2023-01-27,9.47,9.62,9.43,9.59,550981.0
2023-01-30,9.52,9.655,9.46,9.58,516188.0
2023-01-31,9.6,9.94,9.54,9.91,1047915.0
2023-02-01,9.87,10.015,9.62,9.93,1049034.0
2023-02-02,9.85,9.92,9.71,9.85,1035302.0
2023-02-03,9.85,10.01,9.75,9.79,881578.0
2023-02-06,9.6,9.69,9.415,9.49,565953.0
2023-02-07,9.5,9.68,9.475,9.68,684312.0
2023-02-08,9.59,9.7,9.54,9.59,586086.0
2023-02-09,9.57,9.615,9.16,9.17,675267.0
2023-02-10,9.25,9.53,9.25,9.52,727378.0
2023-02-13,9.49,9.61,9.41,9.55,537556.0
2023-02-14,9.43,9.69,9.37,9.61,815002.0
2023-02-15,9.5,9.66,9.4,9.64,708148.0
2023-02-16,9.54,9.7,9.51,9.66,734228.0
2023-02-17,9.61,9.61,9.4,9.55,1648483.0
2023-02-21,9.42,9.565,9.12,9.22,1308152.0
2023-02-22,9.33,10.02,9.33,9.78,1463692.0
2023-02-23,10.12,10.44,10.045,10.41,1749550.0
2023-02-24,10.41,10.98,10.32,10.94,1967965.0
2023-02-27,10.98,10.98,10.74,10.8,1992148.0
2023-02-28,10.89,11.3,10.88,11.07,2483231.0
2023-03-01,11.07,11.15,10.955,11.1,2516679.0
2023-03-02,11.01,11.39,10.9,11.37,1483480.0
2023-03-03,11.28,11.49,11.14,11.46,1312850.0
2023-03-06,11.48,11.48,11.09,11.17,1535490.0
2023-03-07,11.2,11.26,11.045,11.07,926459.0
2023-03-08,11.03,11.04,10.8,10.98,808283.0
2023-03-09,10.98,11.02,10.76,10.77,836342.0
2023-03-10,10.74,10.79,10.19,10.27,1408651.0
2023-03-13,9.96,10.41,9.835,10.04,1347261.0
2023-03-14,10.18,10.51,10.11,10.36,1175674.0
2023-03-15,9.94,10.0,9.53,9.67,2118740.0
2023-03-16,9.45,9.84,9.32,9.78,1419892.0
2023-03-17,9.67,9.72,9.36,9.51,2938056.0
2023-03-20,9.59,9.83,9.57,9.75,1181271.0
2023-03-21,10.0,10.08,9.76,9.79,1391769.0
2023-03-22,9.84,9.925,9.49,9.5,912821.0
2023-03-23,9.54,9.61,9.07,9.18,1029242.0
2023-03-24,9.01,9.37,8.948,9.35,876939.0
2023-03-27,9.44,9.655,9.345,9.61,649856.0
2023-03-28,9.49,9.6958,9.49,9.62,658255.0
2023-03-29,9.75,9.7575,9.6,9.7,689564.0
2023-03-30,9.84,9.865,9.6125,9.68,561514.0
2023-03-31,9.77,9.79,9.65,9.77,1048628.0
2023-04-03,10.2,10.38,10.1,10.28,1338779.0
2023-04-04,10.33,10.33,9.86,9.96,808080.0
2023-04-05,9.92,10.035,9.865,10.01,642974.0
2023-04-06,10.01,10.025,9.9,9.94,594134.0
2023-04-10,9.93,10.16,9.89,9.93,1047335.0
2023-04-11,10.0,10.275,9.995,10.19,957730.0
2023-04-12,10.27,10.38,10.195,10.28,1028087.0
2023-04-13,10.23,10.295,10.12,10.16,473637.0
2023-04-14,10.15,10.21,10.055,10.15,526552.0
2023-04-17,10.12,10.2,9.985,10.06,404087.0
2023-04-18,10.02,10.075,9.865,9.96,479207.0
2023-04-19,9.83,9.915,9.725,9.89,547148.0
2023-04-20,9.78,9.815,9.66,9.81,658605.0
2023-04-21,9.84,9.84,9.665,9.77,511299.0
2023-04-24,9.77,10.08,9.77,10.03,429708.0
2023-04-25,9.86,9.965,9.71,9.87,593085.0
2023-04-26,9.76,9.92,9.66,9.7,562976.0
2023-04-27,9.65,9.89,9.6,9.87,513538.0
2023-04-28,9.98,10.36,9.93,10.29,1010802.0
2023-05-01,10.15,10.455,10.15,10.41,895300.0
2023-05-02,10.23,10.23,9.78,9.94,1225297.0
2023-05-03,9.63,9.78,8.781,9.48,1728251.0
2023-05-04,9.46,10.06,9.46,9.95,1109522.0
2023-05-05,10.15,10.15,9.85,9.92,1284030.0
2023-05-08,9.86,10.005,9.735,9.77,627970.0
2023-05-09,9.72,10.04,9.66,9.9,732348.0
2023-05-10,9.96,9.96,9.76,9.89,586992.0
2023-05-11,9.73,9.78,9.465,9.52,759348.0
2023-05-12,9.57,9.6908,9.475,9.53,476915.0
2023-05-15,9.54,9.73,9.5,9.57,564436.0
2023-05-16,9.52,9.605,9.355,9.38,632097.0
2023-05-17,9.47,9.51,9.32,9.45,707704.0
2023-05-18,9.4,9.62,9.311,9.59,630997.0
2023-05-19,9.72,9.74,9.535,9.59,532834.0
2023-05-22,9.59,9.68,9.525,9.55,613827.0
2023-05-23,9.56,9.605,9.46,9.48,642527.0
2023-05-24,9.48,9.51,9.3107,9.39,437489.0
2023-05-25,9.21,9.325,9.13,9.3,796508.0
2023-05-26,9.31,9.375,9.235,9.33,576346.0
2023-05-30,9.22,9.285,9.12,9.15,847181.0
2023-05-31,9.02,9.115,8.92,9.0,960778.0
2023-06-01,9.0,9.4,8.985,9.34,1031170.0
2023-06-02,9.54,9.75,9.46,9.66,999685.0
2023-06-05,9.71,9.81,9.59,9.68,900617.0
2023-06-06,9.57,9.92,9.57,9.91,655640.0
2023-06-07,10.0,10.185,9.97,10.15,1180763.0
2023-06-08,10.15,10.26,10.08,10.25,893625.0
2023-06-09,10.2,10.2,9.9301,9.96,695358.0
2023-06-12,9.8,9.99,9.705,9.94,1034485.0
2023-06-13,10.02,10.31,9.98,10.18,701620.0
2023-06-14,10.2,10.2793,9.93,9.99,882886.0
2023-06-15,10.01,10.185,9.9754,10.16,661521.0
2023-06-16,10.2,10.21,9.94,10.06,1822172.0
2023-06-20,10.05,10.16,9.9975,10.15,572481.0
2023-06-21,10.05,10.4,10.04,10.21,585577.0
2023-06-22,10.12,10.14,10.0,10.04,670958.0
2023-06-23,9.88,9.94,9.82,9.94,2257573.0
2023-06-26,9.92,10.17,9.89,10.05,456765.0
2023-06-27,10.05,10.34,10.02,10.23,541285.0
2023-06-28,10.16,10.18,9.99,10.0,1615688.0
2023-06-29,10.08,10.275,10.05,10.21,1025721.0
2023-06-30,10.3,10.32,10.19,10.25,807696.0
2023-07-03,10.25,10.44,10.2,10.43,350121.0
2023-07-05,10.43,10.43,10.0,10.0,828973.0
2023-07-06,9.93,9.95,9.57,9.76,700949.0
2023-07-07,9.72,10.01,9.72,9.94,878875.0
2023-07-10,9.88,9.92,9.77,9.91,778698.0
2023-07-11,9.96,10.24,9.895,10.22,681746.0
2023-07-12,10.36,10.4,10.165,10.21,609975.0
2023-07-13,10.19,10.3,10.13,10.28,484124.0
2023-07-14,10.19,10.27,10.065,10.26,594766.0
2023-07-17,10.19,10.35,10.18,10.23,457522.0
2023-07-18,10.22,10.53,10.17,10.48,825552.0
2023-07-19,10.5,10.57,10.41,10.55,830580.0
2023-07-20,10.46,10.64,10.46,10.62,544855.0
2023-07-21,10.65,10.79,10.63,10.74,775515.0
2023-07-24,10.79,11.06,10.75,10.98,858691.0
2023-07-25,10.95,11.18,10.855,11.08,578476.0
2023-07-26,11.0,11.18,11.0,11.13,664914.0
2023-07-27,11.14,11.22,11.035,11.09,600721.0
2023-07-28,11.16,11.565,11.16,11.52,736890.0
2023-07-31,11.52,11.72,11.52,11.66,1484127.0
2023-08-01,11.53,12.79,11.53,12.77,2047454.0
2023-08-02,12.88,13.07,12.59,12.94,1221827.0
2023-08-03,12.96,12.97,12.735,12.77,867243.0
2023-08-04,12.83,13.03,12.52,12.84,1392084.0
2023-08-07,12.68,12.98,12.57,12.75,865254.0
2023-08-08,12.55,12.93,12.42,12.91,784775.0
2023-08-09,12.86,13.26,12.72,13.16,1094378.0
2023-08-10,13.16,13.2,12.655,12.81,881122.0
2023-08-11,12.85,13.17,12.8,13.05,1291012.0
2023-08-14,13.04,13.05,12.83,12.91,807660.0
2023-08-15,12.83,12.84,12.605,12.78,597733.0
2023-08-16,12.8,12.92,12.56,12.61,650010.0
2023-08-17,12.78,12.81,12.575,12.65,679260.0
2023-08-18,12.58,12.755,12.45,12.68,633092.0
2023-08-21,12.72,12.82,12.49,12.61,698311.0
2023-08-22,12.64,12.685,12.49,12.53,1088454.0
2023-08-23,12.5,12.78,12.3,12.75,1260646.0
2023-08-24,12.58,12.75,12.4405,12.51,1160815.0
2023-08-25,12.56,12.6295,12.43,12.52,736346.0
2023-08-28,12.52,12.795,12.48,12.7,608569.0
2023-08-29,12.74,12.845,12.58,12.75,859628.0
2023-08-30,12.77,12.995,12.71,12.74,988615.0
2023-08-31,12.85,12.865,12.7,12.79,1373451.0
2023-09-01,13.0,13.18,12.92,12.94,874626.0
2023-09-05,12.99,13.005,12.705,12.73,676025.0
2023-09-06,12.69,12.76,12.415,12.59,759221.0
2023-09-07,12.65,12.65,12.45,12.46,659543.0
2023-09-08,12.49,12.62,12.372,12.45,601967.0
2023-09-11,12.61,12.62,12.39,12.41,547334.0
2023-09-12,12.46,12.645,12.45,12.57,766965.0
2023-09-13,12.56,12.62,12.32,12.34,637110.0
2023-09-14,12.48,12.55,12.23,12.36,693210.0
2023-09-15,12.23,12.26,12.03,12.11,2136059.0
2023-09-18,12.25,12.525,12.17,12.46,1476132.0
2023-09-19,12.56,12.5999,12.23,12.28,923430.0
2023-09-20,12.26,12.443,12.2,12.2,408458.0
2023-09-21,12.21,12.35,12.09,12.13,1098854.0
2023-09-22,12.17,12.34,12.17,12.25,734684.0
2023-09-25,12.2,12.605,12.1762,12.56,746163.0
2023-09-26,12.43,12.57,12.41,12.54,973046.0
2023-09-27,12.73,13.36,12.73,13.23,1236849.0
2023-09-28,13.21,13.79,12.855,13.11,2328373.0
2023-09-29,13.04,13.04,12.55,12.6,1259926.0
2023-10-02,12.61,12.68,12.1246,12.25,1340356.0
2023-10-03,12.17,12.39,12.075,12.31,872147.0
2023-10-04,12.11,12.205,11.92,11.95,1018052.0
2023-10-05,11.81,12.14,11.73,12.11,910762.0
2023-10-06,12.15,12.44,12.09,12.38,1131636.0
2023-10-09,12.64,12.985,12.5421,12.91,660489.0
2023-10-10,12.9,13.115,12.88,13.02,685984.0
2023-10-11,12.9,13.17,12.87,13.11,666285.0
2023-10-12,13.24,13.24,12.855,12.95,923224.0
2023-10-13,13.18,13.28,12.935,12.95,823505.0
2023-10-16,13.06,13.17,12.93,12.96,654135.0
2023-10-17,12.93,13.175,12.93,12.98,686480.0
2023-10-18,13.04,13.11,12.97,13.0,653221.0
2023-10-19,12.9,12.998,12.71,12.84,876746.0
2023-10-20,12.81,12.87,12.515,12.71,714721.0
2023-10-23,12.65,12.685,12.42,12.46,920492.0
2023-10-24,12.53,12.86,12.5,12.81,841236.0
2023-10-25,12.74,12.86,12.715,12.78,683906.0
2023-10-26,12.71,12.81,12.535,12.71,852804.0
2023-10-27,12.76,12.82,12.455,12.51,1153235.0
2023-10-30,12.62,12.75,12.41,12.58,833330.0
2023-10-31,12.51,12.75,12.4797,12.67,771874.0
2023-11-01,12.73,13.2,12.57,13.18,4586752.0
2023-11-02,13.26,14.05,13.13,13.78,2115214.0
2023-11-03,13.89,14.5,13.87,14.26,1460932.0
2023-11-06,14.15,14.268,13.82,13.95,1076280.0
2023-11-07,13.85,13.85,13.615,13.72,1163821.0
2023-11-08,13.59,13.705,13.15,13.36,1387968.0
2023-11-09,13.52,13.6,13.325,13.57,1038336.0
2023-11-10,13.77,13.86,13.59,13.76,1226517.0
2023-11-13,13.73,13.87,13.65,13.81,1079380.0
2023-11-14,13.99,14.19,13.94,14.14,1243952.0
2023-11-15,14.05,14.27,14.05,14.2,1419639.0
2023-11-16,14.13,14.16,13.89,14.08,2688270.0
2023-11-17,14.21,14.575,14.09,14.4,1883420.0
2023-11-20,14.65,14.75,14.48,14.49,1669822.0
2023-11-21,14.4,14.54,14.255,14.47,982069.0
2023-11-22,14.25,14.415,13.9578,14.38,1033115.0
2023-11-24,14.44,14.625,14.38,14.61,551915.0
2023-11-27,14.56,14.6,14.4601,14.57,1250893.0
2023-11-28,14.61,14.61,14.04,14.06,1286728.0
2023-11-29,14.17,14.36,13.95,14.33,1328915.0
2023-11-30,14.47,14.76,14.35,14.49,1530233.0
2023-12-01,14.43,14.65,14.36,14.52,1060763.0
2023-12-04,14.53,14.93,14.33,14.73,1485244.0
2023-12-05,14.735,14.735,14.485,14.55,1397703.0
2023-12-06,14.47,14.6,14.14,14.24,1353599.0
2023-12-07,14.34,14.505,14.235,14.42,2249321.0
2023-12-08,14.46,14.68,14.44,14.6,1423320.0
2023-12-11,14.75,14.95,14.61,14.82,1670721.0
2023-12-12,14.74,14.8,14.63,14.73,1357376.0
2023-12-13,14.73,14.8,14.53,14.72,2301020.0
2023-12-14,14.95,15.0,14.75,14.94,1859528.0
2023-12-15,14.97,15.15,14.81,15.01,6751593.0
2023-12-18,15.05,15.47,15.05,15.46,1573933.0
2023-12-19,15.48,16.02,15.48,16.0,1689645.0
2023-12-20,15.95,16.04,15.23,15.31,1700364.0
2023-12-21,15.36,15.55,15.33,15.5,1057609.0
2023-12-22,15.6,15.825,15.5,15.51,859623.0
2023-12-26,15.72,15.875,15.605,15.76,540632.0
2023-12-27,15.8,15.875,15.7,15.75,592423.0
2023-12-28,15.7,15.7101,15.445,15.49,703011.0
2023-12-29,15.58,15.58,15.335,15.4,872026.0
2024-01-02,15.45,15.53,15.03,15.18,1051513.0
2024-01-03,15.13,15.53,15.06,15.24,1368186.0
2024-01-04,15.44,15.55,15.1,15.1,1371080.0
2024-01-05,15.12,15.4,15.12,15.3,913199.0
2024-01-08,15.05,15.05,14.5929,15.01,991825.0
2024-01-09,14.92,15.02,14.68,14.99,965770.0
2024-01-10,14.94,14.965,14.58,14.65,837973.0
2024-01-11,14.71,14.78,14.385,14.52,876987.0
2024-01-12,14.7,14.8,14.49,14.65,701496.0
2024-01-16,14.625,15.01,14.575,15.0,1676214.0
2024-01-17,14.74,15.0,14.69,14.92,1745329.0
2024-01-18,14.97,15.17,14.71,14.98,1062156.0
2024-01-19,15.04,15.26,14.93,15.26,876196.0
2024-01-22,15.36,15.795,15.36,15.77,1664602.0
2024-01-23,15.77,15.93,15.595,15.61,1062844.0
2024-01-24,15.77,15.93,15.72,15.86,1132245.0
2024-01-25,16.0,16.07,15.81,16.0,592690.0
2024-01-26,16.2,16.83,16.0,16.73,1487392.0
2024-01-29,16.64,16.7,16.2549,16.58,1317803.0
2024-01-30,16.41,16.85,16.32,16.78,1580792.0
2024-01-31,16.83,16.855,16.32,16.34,1159518.0
2024-02-01,16.49,16.665,16.3,16.59,1388146.0
2024-02-02,16.51,16.54,16.25,16.25,867884.0
2024-02-05,16.0,16.0,15.6501,15.83,671714.0
2024-02-06,15.88,15.96,15.75,15.77,724072.0
2024-02-07,15.81,15.92,15.735,15.85,910573.0
2024-02-08,15.81,16.205,15.81,16.17,825478.0
2024-02-09,16.2,16.345,16.155,16.31,928286.0
2024-02-12,16.34,16.655,16.34,16.51,1293916.0
2024-02-13,16.27,16.405,16.05,16.18,1272253.0
2024-02-14,16.39,16.5,16.175,16.26,991350.0
2024-02-15,16.34,17.16,16.34,17.05,1895352.0
2024-02-16,16.98,17.485,16.85,17.35,1223687.0
2024-02-20,17.17,17.67,17.16,17.64,2486668.0
2024-02-21,17.85,19.42,17.85,18.48,3113629.0
2024-02-22,18.5,19.21,18.45,18.99,2076948.0
2024-02-23,18.78,18.96,18.165,18.39,1356566.0
2024-02-26,18.35,18.38,17.92,17.92,1596886.0
2024-02-27,17.98,18.09,17.69,17.84,1246003.0
2024-02-28,18.0,18.26,17.86,17.95,1017319.0
2024-02-29,18.08,18.32,18.08,18.27,1287976.0
2024-03-01,18.42,18.6,18.16,18.36,1302933.0
2024-03-04,18.44,18.63,18.3,18.36,1270333.0
2024-03-05,18.27,18.495,18.09,18.27,1360594.0
2024-03-06,18.36,18.6053,18.195,18.23,1437213.0
2024-03-07,18.23,18.44,17.905,18.08,1119204.0
2024-03-08,18.18,18.2,17.78,17.98,1014019.0
2024-03-11,17.92,18.11,17.76,18.06,753692.0
2024-03-12,18.13,18.55,18.125,18.41,1183131.0
2024-03-13,18.63,19.13,18.49,18.94,2309194.0
2024-03-14,19.01,19.1,18.37,18.69,1501169.0
2024-03-15,18.61,18.84,18.51,18.72,2058051.0
2024-03-18,18.75,18.89,18.46,18.51,1148891.0
2024-03-19,18.35,18.99,18.18,18.96,1168532.0
2024-03-20,18.82,19.385,18.76,19.29,1093930.0
2024-03-21,19.39,19.79,19.35,19.79,1496643.0
2024-03-22,19.85,20.14,19.3,19.35,1382994.0
2024-03-25,19.37,19.475,19.07,19.4,1420819.0
2024-03-26,19.49,19.72,19.29,19.51,1428684.0
2024-03-27,19.52,19.59,19.23,19.34,1041880.0
2024-03-28,19.65,20.03,19.545,19.67,2063920.0
2024-04-01,19.74,19.87,19.435,19.8,976442.0
2024-04-02,19.96,20.63,19.8,20.58,2182734.0
2024-04-03,20.54,20.96,20.43,20.78,1640139.0
2024-04-04,20.87,21.4,20.82,21.07,2382627.0
2024-04-05,21.33,21.33,20.87,21.08,1585051.0
2024-04-08,21.14,21.28,20.76,20.89,1918409.0
2024-04-09,20.87,20.98,20.355,20.51,1141025.0
2024-04-10,20.19,20.785,20.03,20.74,1426988.0
2024-04-11,20.74,20.835,20.25,20.54,1130820.0
2024-04-12,20.69,20.83,19.95,20.13,828547.0
2024-04-15,20.27,20.5,19.86,19.9,882349.0
2024-04-16,19.83,19.8305,19.02,19.39,1623039.0
2024-04-17,19.48,19.68,19.06,19.07,1064553.0
2024-04-18,19.17,19.4195,18.88,18.94,1051077.0
2024-04-19,18.9,19.56,18.81,19.44,1271852.0
2024-04-22,19.48,19.635,19.23,19.5,1086372.0
2024-04-23,19.39,19.99,19.26,19.95,1000912.0
2024-04-24,19.95,20.12,19.7001,19.84,959478.0
2024-04-25,19.62,20.15,19.55,20.04,1042710.0
2024-04-26,20.18,20.43,20.0025,20.2,1044019.0
2024-04-29,20.05,20.45,20.04,20.13,1016696.0
2024-04-30,20.12,20.14,19.145,19.19,1754170.0
2024-05-01,20.39,20.56,18.98,19.5,1905150.0
2024-05-02,19.85,20.195,19.785,20.03,2093010.0
2024-05-03,20.2,20.26,19.82,20.21,1559721.0
2024-05-06,20.22,20.35,19.965,20.03,1079310.0
2024-05-07,20.31,20.66,20.15,20.17,1831101.0
2024-05-08,20.07,20.235,20.05,20.16,1154319.0
2024-05-09,20.16,20.565,20.13,20.36,1439668.0
2024-05-10,20.51,20.59,20.01,20.18,1264508.0
2024-05-13,20.31,20.35,19.732,19.84,1156441.0
2024-05-14,19.79,20.07,19.604,20.03,2147477.0
2024-05-15,20.03,20.085,19.77,20.0,1692230.0
