date,open,high,low,close,volume
2023-01-11,23.12,23.51,23.055,23.25,1058887.0
2023-01-12,23.41,23.695,23.33,23.4,1398012.0
2023-01-13,23.04,23.33,22.73,23.27,1083766.0
2023-01-17,23.17,23.245,22.805,22.93,913801.0
2023-01-18,22.74,22.785,21.94,21.96,1929547.0
2023-01-19,21.79,21.965,21.53,21.8,1102180.0
2023-01-20,22.0,22.39,21.79,22.37,2357154.0
2023-01-23,22.37,22.855,22.285,22.64,1644934.0
2023-01-24,22.28,22.51,22.205,22.25,1066014.0
2023-01-25,22.18,22.31,21.95,22.17,1238241.0
2023-01-26,22.29,22.565,22.105,22.54,1623670.0
2023-01-27,22.03,22.35,21.46,21.98,2280385.0
2023-01-30,21.9,22.33,21.84,21.96,1345689.0
2023-01-31,22.0,22.41,21.85,22.41,2262503.0
2023-02-01,22.25,23.0,22.2,22.73,1200651.0
2023-02-02,22.77,23.19,22.56,23.17,2433580.0
2023-02-03,23.17,23.915,23.125,23.61,2251493.0
2023-02-06,23.6,23.945,23.565,23.92,1552939.0
2023-02-07,23.81,24.21,23.75,24.17,1842058.0
2023-02-08,24.0,24.09,23.65,23.8,1397048.0
2023-02-09,23.9,24.005,23.4925,23.51,1007929.0
2023-02-10,23.51,23.69,23.42,23.63,1091011.0
2023-02-13,23.59,23.795,23.51,23.78,872413.0
2023-02-14,23.8,24.13,23.725,23.89,1866397.0
2023-02-15,23.72,24.2,23.72,24.18,1467716.0
2023-02-16,24.03,24.03,23.74,23.82,1522287.0
2023-02-17,23.87,23.95,23.61,23.81,2040720.0
2023-02-21,23.58,23.63,23.305,23.37,1237849.0
2023-02-22,23.35,23.41,23.075,23.19,1222344.0
2023-02-23,23.27,23.485,23.02,23.36,761389.0
2023-02-24,23.19,23.59,23.1,23.58,1003971.0
2023-02-27,23.79,23.93,23.41,23.52,1075265.0
2023-02-28,23.35,23.48,23.15,23.15,1741879.0
2023-03-01,23.02,23.36,22.89,23.29,1384015.0
2023-03-02,23.13,23.13,22.525,22.63,1591402.0
2023-03-03,22.8,23.235,22.6,23.09,1621063.0
2023-03-06,23.01,23.23,22.99,23.04,1333776.0
2023-03-07,22.9,22.9,22.11,22.12,1652908.0
2023-03-08,22.14,22.28,21.75,21.97,1318011.0
2023-03-09,21.78,21.8,20.545,20.58,2008054.0
2023-03-10,19.98,20.83,19.54,20.44,3570193.0
2023-03-13,19.24,21.45,18.34,19.67,6575768.0
2023-03-14,21.45,21.87,20.115,20.54,3786191.0
2023-03-15,19.2,20.27,19.08,19.19,5043696.0
2023-03-16,18.86,20.15,18.25,19.54,3837195.0
2023-03-17,19.14,19.245,17.63,17.79,6689221.0
2023-03-20,18.33,18.97,18.125,18.18,3160746.0
2023-03-21,19.06,19.32,18.91,19.0,3053895.0
2023-03-22,18.98,19.09,18.08,18.1,3877281.0
2023-03-23,18.31,18.35,17.525,17.66,1878957.0
2023-03-24,17.18,17.97,17.0,17.91,2137880.0
2023-03-27,18.66,18.69,18.0,18.13,1959260.0
2023-03-28,17.81,18.27,17.77,18.04,1400646.0
2023-03-29,18.52,18.52,18.09,18.29,985819.0
2023-03-30,18.52,18.57,17.825,17.93,927359.0
2023-03-31,18.14,18.24,17.78,17.98,1590552.0
2023-04-03,18.03,18.27,17.8,17.9,1400605.0
2023-04-04,18.03,18.04,17.3,17.8,1650265.0
2023-04-05,17.39,17.67,17.375,17.4,1684562.0
2023-04-06,17.49,17.7,17.38,17.6,1035686.0
2023-04-10,17.33,17.73,17.33,17.47,1479606.0
2023-04-11,17.59,17.64,17.37,17.49,1547853.0
2023-04-12,17.66,17.735,17.25,17.46,1045991.0
2023-04-13,17.55,18.315,17.39,18.17,2100177.0
2023-04-14,18.57,18.66,17.905,18.02,2987541.0
2023-04-17,17.85,18.46,17.77,18.42,1310096.0
2023-04-18,18.35,18.385,17.78,17.94,1878361.0
2023-04-19,17.95,18.65,17.93,18.45,1490055.0
2023-04-20,18.18,18.395,18.0425,18.07,1721812.0
