date,open,high,low,close,volume
2023-01-11,15.87,15.99,15.74,15.97,438555.0
2023-01-12,16.0,16.09,15.79,15.97,349926.0
2023-01-13,15.79,16.0,15.72,15.82,508661.0
2023-01-17,15.8,15.88,15.57,15.69,428689.0
2023-01-18,15.75,15.96,15.31,15.31,571045.0
2023-01-19,15.34,15.51,15.15,15.28,642630.0
2023-01-20,15.44,15.698,15.26,15.66,956050.0
2023-01-23,15.75,15.895,15.65,15.76,267371.0
2023-01-24,15.86,15.87,15.56,15.75,459492.0
2023-01-25,15.65,15.92,15.48,15.82,438295.0
2023-01-26,15.91,16.05,15.585,15.73,357444.0
2023-01-27,15.71,15.73,15.16,15.21,537737.0
2023-01-30,15.1,15.3,15.01,15.13,717233.0
2023-01-31,15.22,15.49,15.05,15.48,811007.0
2023-02-01,15.53,16.02,15.35,15.88,739742.0
2023-02-02,15.83,16.16,15.68,16.14,1182535.0
2023-02-03,15.87,16.28,15.87,16.13,666793.0
2023-02-06,15.98,16.055,15.71,15.73,431793.0
2023-02-07,15.59,15.75,15.36,15.74,784235.0
2023-02-08,14.11,16.16,13.9,15.03,1849778.0
2023-02-09,15.23,15.63,14.69,14.81,802208.0
2023-02-10,14.74,15.18,14.73,15.11,604179.0
2023-02-13,15.17,15.23,14.94,15.19,517156.0
2023-02-14,15.11,15.23,14.85,14.86,499322.0
2023-02-15,14.76,15.02,14.76,14.95,382451.0
2023-02-16,14.67,15.05,14.62,14.99,591606.0
2023-02-17,15.01,15.24,14.9,15.19,453362.0
2023-02-21,14.97,15.125,14.66,14.72,458887.0
2023-02-22,14.78,14.89,14.52,14.71,612396.0
2023-02-23,14.91,15.05,14.65,14.82,347360.0
2023-02-24,14.65,14.87,14.63,14.8,367312.0
2023-02-27,14.94,15.01,14.8,14.93,341816.0
2023-02-28,14.95,15.315,14.95,15.22,1622912.0
2023-03-01,15.33,15.4693,14.98,15.11,635608.0
2023-03-02,15.04,15.22,14.85,15.18,436148.0
2023-03-03,15.27,15.32,14.9214,15.08,723033.0
2023-03-06,15.07,15.11,14.8,14.92,531050.0
2023-03-07,14.94,15.09,14.73,14.9,594707.0
2023-03-08,14.97,15.12,14.84,15.12,541839.0
2023-03-09,15.2,15.225,14.84,14.9,587937.0
2023-03-10,14.85,14.94,14.27,14.49,665749.0
2023-03-13,14.34,14.64,14.15,14.23,865937.0
2023-03-14,14.56,14.79,14.45,14.56,1033170.0
2023-03-15,14.24,14.43,14.04,14.36,568045.0
2023-03-16,14.17,14.77,14.17,14.75,364494.0
2023-03-17,14.75,14.79,14.35,14.4,1627523.0
2023-03-20,14.53,14.755,14.42,14.61,388095.0
2023-03-21,14.76,14.9875,14.67,14.97,403843.0
2023-03-22,14.96,15.09,14.61,14.61,474466.0
2023-03-23,14.74,14.98,14.675,14.77,492173.0
2023-03-24,14.72,15.01,14.645,14.98,243886.0
2023-03-27,15.12,15.13,14.738,14.89,301238.0
2023-03-28,14.88,15.19,14.82,15.15,403155.0
2023-03-29,15.27,15.335,15.13,15.24,374948.0
2023-03-30,15.33,15.435,15.095,15.22,296043.0
2023-03-31,15.3,15.51,15.28,15.49,801971.0
2023-04-03,13.48,15.12,13.46,14.71,823930.0
2023-04-04,14.48,14.92,14.425,14.69,773691.0
2023-04-05,14.59,14.67,14.4846,14.64,490845.0
2023-04-06,14.65,14.735,14.485,14.71,366513.0
2023-04-10,14.59,14.785,14.53,14.74,354890.0
2023-04-11,14.75,14.855,14.63,14.78,494397.0
2023-04-12,14.88,14.925,14.7,14.76,621847.0
2023-04-13,14.92,15.135,14.76,15.08,325396.0
2023-04-14,15.0,15.1146,14.71,14.84,336545.0
2023-04-17,14.825,15.0,14.55,14.67,307854.0
2023-04-18,14.73,14.79,14.5,14.59,311986.0
2023-04-19,14.47,14.4875,14.16,14.29,669873.0
2023-04-20,14.29,14.48,14.21,14.26,605094.0
2023-04-21,14.26,14.44,14.14,14.4,519887.0
2023-04-24,14.44,14.695,14.44,14.67,612638.0
2023-04-25,14.53,14.53,14.22,14.24,475783.0
2023-04-26,14.16,14.35,14.16,14.18,1483977.0
2023-04-27,14.27,14.28,13.975,14.14,1468489.0
2023-04-28,14.2,14.26,14.085,14.14,933572.0
2023-05-01,14.16,14.675,14.15,14.34,469868.0
2023-05-02,14.25,14.315,13.91,14.04,1143525.0
2023-05-03,14.11,14.28,13.99,14.08,421704.0
2023-05-04,13.91,14.29,13.77,13.98,531893.0
2023-05-05,14.09,14.15,12.9929,13.76,1097102.0
2023-05-08,13.78,13.9,13.605,13.75,716950.0
2023-05-09,13.68,13.945,13.63,13.79,515291.0
2023-05-10,14.04,14.33,13.9,14.27,582252.0
2023-05-11,14.11,14.16,13.78,13.95,727631.0
2023-05-12,13.95,14.0961,13.855,13.91,880747.0
2023-05-15,13.86,14.085,13.8,14.01,612110.0
2023-05-16,13.87,13.93,13.78,13.78,1019182.0
2023-05-17,13.81,14.11,13.8,14.04,852100.0
2023-05-18,13.98,14.12,13.82,14.07,1063576.0
2023-05-19,14.19,14.26,14.02,14.1,462009.0
2023-05-22,14.1,14.185,13.87,14.14,991962.0
2023-05-23,14.07,14.565,14.07,14.54,596953.0
2023-05-24,14.46,14.535,14.2,14.44,699032.0
2023-05-25,14.5,14.695,14.42,14.62,852798.0
2023-05-26,14.59,15.379,14.59,14.98,680993.0
2023-05-30,15.05,15.23,14.87,14.87,562997.0
2023-05-31,14.84,15.05,14.74,14.89,2018130.0
2023-06-01,14.87,14.92,14.44,14.62,571791.0
2023-06-02,14.69,14.9,14.555,14.86,481756.0
2023-06-05,14.67,14.71,14.11,14.49,436559.0
2023-06-06,14.42,14.63,14.25,14.59,381879.0
2023-06-07,14.58,14.81,14.42,14.51,524937.0
2023-06-08,14.49,14.545,14.13,14.16,412321.0
2023-06-09,14.2,14.405,14.15,14.19,456089.0
2023-06-12,14.29,14.67,14.26,14.61,351562.0
2023-06-13,14.72,14.95,14.65,14.76,416149.0
2023-06-14,14.75,15.01,14.63,14.92,645048.0
2023-06-15,14.85,15.45,14.85,15.43,891364.0
2023-06-16,15.66,15.71,15.28,15.35,1483952.0
2023-06-20,15.26,15.39,15.005,15.15,441236.0
2023-06-21,15.06,15.165,14.86,15.08,441091.0
2023-06-22,15.11,15.24,15.01,15.07,452845.0
2023-06-23,14.96,15.0,14.485,14.52,1811903.0
2023-06-26,14.46,14.535,14.18,14.18,483715.0
2023-06-27,14.17,14.3,14.11,14.23,746028.0
2023-06-28,14.19,14.27,14.1,14.24,570396.0
2023-06-29,14.24,14.745,14.12,14.72,604415.0
2023-06-30,14.81,14.84,14.525,14.59,652405.0
2023-07-03,14.5,14.53,14.18,14.28,297404.0
2023-07-05,14.25,14.29,14.02,14.14,580242.0
2023-07-06,14.02,14.26,13.98,14.12,557620.0
2023-07-07,14.11,14.36,14.1,14.24,473103.0
2023-07-10,14.15,14.54,14.15,14.41,484551.0
2023-07-11,14.41,14.54,14.37,14.53,386977.0
2023-07-12,14.7,14.76,14.53,14.55,439301.0
2023-07-13,14.62,14.725,14.59,14.61,345533.0
2023-07-14,14.61,14.61,14.02,14.13,639984.0
2023-07-17,14.15,14.46,14.13,14.4,646173.0
2023-07-18,14.35,14.58,14.27,14.33,467904.0
2023-07-19,14.47,14.49,14.15,14.17,458509.0
2023-07-20,14.16,14.23,14.02,14.06,580453.0
2023-07-21,14.17,14.21,14.1,14.18,1087330.0
2023-07-24,14.22,14.475,14.19,14.4,418723.0
2023-07-25,14.37,14.63,14.33,14.62,403874.0
2023-07-26,14.59,14.65,14.5,14.54,567450.0
2023-07-27,14.35,15.73,14.345,15.4,1609253.0
2023-07-28,15.48,15.695,15.24,15.58,742215.0
2023-07-31,15.37,15.57,15.3,15.52,683372.0
2023-08-01,15.57,15.865,15.47,15.83,480404.0
