date,open,high,low,close,volume
2023-01-11,35.49,36.66,35.38,35.83,913099.0
2023-01-12,35.34,36.18,35.17,36.0,407269.0
2023-01-13,36.14,36.27,35.36,35.87,477500.0
2023-01-17,35.37,36.11,35.12,35.58,980804.0
2023-01-18,36.33,36.5,35.22,35.7,502960.0
2023-01-19,36.42,37.7261,35.91,36.53,1123064.0
2023-01-20,37.6,38.91,37.01,37.57,906910.0
2023-01-23,37.58,38.11,36.73,36.77,501756.0
2023-01-24,36.31,37.14,36.25,36.64,348644.0
2023-01-25,36.56,36.65,36.05,36.36,278560.0
2023-01-26,36.95,37.53,36.07,37.53,343003.0
2023-01-27,37.8,37.9,36.5,36.55,304114.0
2023-01-30,35.92,35.97,34.64,35.49,568376.0
2023-01-31,34.38,35.59,34.26,34.86,949520.0
2023-02-01,35.44,36.615,35.31,36.21,887264.0
2023-02-02,36.34,37.33,36.04,36.99,1195475.0
2023-02-03,36.56,37.21,35.75,35.93,643381.0
2023-02-06,34.85,35.6,34.42,35.42,662077.0
2023-02-07,35.85,36.21,35.25,35.97,554296.0
2023-02-08,35.91,35.925,35.27,35.54,658853.0
2023-02-09,36.78,37.82,36.67,37.12,439785.0
2023-02-10,36.22,36.73,35.29,35.52,914039.0
2023-02-13,36.32,36.825,35.25,35.95,651320.0
2023-02-14,35.23,35.86,34.74,35.22,969070.0
2023-02-15,34.71,36.53,34.58,36.48,513656.0
2023-02-16,36.85,37.57,35.22,35.83,1014189.0
2023-02-17,35.0,35.29,34.27,34.45,563335.0
2023-02-21,33.57,33.89,31.59,31.83,904197.0
2023-02-22,31.72,32.69,31.72,32.46,950446.0
2023-02-23,32.69,33.0,31.06,31.53,549255.0
2023-02-24,31.0,32.1,30.6,31.13,677254.0
2023-02-27,31.83,32.07,31.13,31.24,301465.0
2023-02-28,30.845,31.2865,30.44,30.5,675912.0
2023-03-01,31.97,32.38,31.48,31.87,631244.0
2023-03-02,31.43,32.59,31.28,32.58,467299.0
2023-03-03,32.65,33.245,32.58,32.96,312486.0
2023-03-06,32.86,32.86,31.72,31.81,445313.0
2023-03-07,31.68,31.68,30.39,30.87,521212.0
2023-03-08,30.44,31.17,30.35,30.85,413267.0
2023-03-09,30.23,30.31,29.385,29.78,639113.0
2023-03-10,29.73,30.47,29.18,30.25,490906.0
2023-03-13,29.99,30.21,29.28,29.78,605975.0
2023-03-14,29.65,30.0,28.9725,29.75,436695.0
2023-03-15,29.1,29.65,28.66,29.46,524285.0
2023-03-16,29.37,30.07,28.995,29.96,492549.0
2023-03-17,30.37,30.66,29.78,29.85,779706.0
2023-03-20,29.09,30.51,28.745,30.16,504444.0
2023-03-21,30.67,31.06,30.36,30.54,565064.0
2023-03-22,30.71,31.98,30.465,31.42,427942.0
2023-03-23,32.12,32.96,31.79,32.16,558385.0
2023-03-24,31.8,32.155,30.65,30.85,908447.0
2023-03-27,30.22,31.34,29.67,31.28,1120045.0
2023-03-28,31.83,32.91,31.515,32.83,421030.0
2023-03-29,32.64,33.24,32.2277,32.82,330655.0
2023-03-30,33.04,33.79,32.87,33.54,413674.0
2023-03-31,33.51,34.07,33.25,33.47,664809.0
2023-04-03,33.21,33.62,32.56,33.06,348164.0
2023-04-04,32.98,33.38,32.345,33.15,358564.0
2023-04-05,32.87,32.87,31.33,31.68,239645.0
2023-04-06,31.78,31.96,30.98,31.08,592209.0
2023-04-10,31.04,31.6,30.68,30.9,313993.0
2023-04-11,30.94,31.38,30.37,30.4,428632.0
2023-04-12,30.06,30.69,29.18,29.31,327545.0
2023-04-13,29.81,30.68,29.49,30.04,469692.0
2023-04-14,29.89,30.17,29.48,29.8,267878.0
2023-04-17,30.36,30.69,29.85,30.33,646568.0
2023-04-18,30.23,30.63,29.6,29.83,588374.0
2023-04-19,29.29,29.59,28.86,29.51,472722.0
2023-04-20,29.5,29.765,28.95,29.03,505557.0
2023-04-21,28.56,29.255,28.54,29.12,356063.0
2023-04-24,29.18,29.44,28.83,29.31,494541.0
2023-04-25,28.78,28.89,28.38,28.53,372480.0
2023-04-26,29.03,29.07,28.26,28.58,650580.0
2023-04-27,28.73,29.59,28.53,29.35,446553.0
2023-04-28,29.61,29.79,29.27,29.65,388849.0
2023-05-01,29.63,29.91,29.24,29.26,124611.0
2023-05-02,28.86,28.86,27.15,27.67,406190.0
2023-05-03,27.52,28.16,27.06,28.09,490875.0
2023-05-04,28.34,29.95,28.34,29.62,442202.0
2023-05-05,30.12,30.57,29.62,29.67,380600.0
2023-05-08,29.78,29.78,29.29,29.61,165874.0
2023-05-09,28.72,28.87,28.29,28.54,173064.0
2023-05-10,28.4,28.81,27.35,28.11,612861.0
2023-05-11,28.51,30.08,28.17,29.95,711360.0
2023-05-12,29.7,31.34,29.7,30.9,835748.0
2023-05-15,31.45,33.24,31.2,32.7,612152.0
2023-05-16,32.43,33.0,32.24,32.72,600769.0
2023-05-17,32.39,32.71,31.705,32.17,618345.0
2023-05-18,32.17,32.1885,29.81,30.24,865604.0
2023-05-19,29.88,30.05,29.12,30.02,991106.0
2023-05-22,30.34,30.855,29.535,29.96,334837.0
2023-05-23,29.46,30.0,29.185,29.26,439595.0
2023-05-24,28.97,29.86,28.75,29.79,620989.0
2023-05-25,29.48,29.99,29.38,29.7,523136.0
2023-05-26,30.06,30.36,29.7,30.02,212867.0
2023-05-30,29.82,29.86,28.07,28.75,565730.0
2023-05-31,28.65,28.81,27.61,28.62,745823.0
2023-06-01,28.59,29.54,28.59,29.17,414953.0
2023-06-02,29.92,30.7,29.75,30.3,410068.0
2023-06-05,30.13,30.24,29.3,29.49,236098.0
2023-06-06,29.66,30.32,29.39,30.05,375892.0
2023-06-07,29.88,30.855,29.74,30.12,302046.0
2023-06-08,30.29,30.58,29.96,30.07,392239.0
2023-06-09,30.32,30.62,29.6,30.08,651345.0
2023-06-12,30.19,30.53,29.34,29.45,233862.0
2023-06-13,30.07,30.79,29.6,29.78,299826.0
2023-06-14,29.57,31.71,29.57,31.41,520451.0
2023-06-15,31.8,31.88,30.94,31.34,307121.0
2023-06-16,31.48,31.57,30.23,30.68,634851.0
2023-06-20,30.11,30.26,28.61,28.61,346503.0
2023-06-21,27.91,28.96,27.61,28.71,547362.0
2023-06-22,28.77,29.42,28.2,29.22,277038.0
2023-06-23,28.88,29.07,28.04,28.82,265914.0
2023-06-26,28.81,29.36,28.6,29.03,274011.0
2023-06-27,29.38,29.61,28.24,29.36,348474.0
2023-06-28,28.9,29.53,28.7807,29.19,311662.0
2023-06-29,28.83,29.29,28.11,29.01,427515.0
2023-06-30,29.42,29.72,28.8985,29.16,233600.0
2023-07-03,29.66,30.28,29.25,29.35,161477.0
2023-07-05,28.87,29.2,28.35,29.11,381393.0
2023-07-06,28.59,29.25,28.57,28.6,270085.0
2023-07-07,28.9,30.07,28.44,29.55,284669.0
2023-07-10,29.25,30.09,29.1,29.74,198830.0
2023-07-11,29.96,30.52,29.42,30.52,374599.0
2023-07-12,31.0,31.7,30.45,31.08,323900.0
2023-07-13,31.37,32.22,31.03,31.97,313245.0
2023-07-14,31.51,31.745,30.7,31.24,270123.0
2023-07-17,30.58,30.66,29.89,30.1,253484.0
2023-07-18,30.02,30.05,28.43,28.95,370389.0
2023-07-19,29.5,29.84,29.08,29.26,365982.0
2023-07-20,29.04,29.505,28.58,29.26,381768.0
2023-07-21,28.79,29.5904,28.79,29.19,260643.0
2023-07-24,28.92,30.71,28.55,30.23,315026.0
2023-07-25,30.63,31.1116,30.1517,30.55,390947.0
2023-07-26,30.47,31.84,30.41,31.12,372907.0
