date,open,high,low,close,volume
2023-01-11,15.32,15.32,14.58,14.6,92203.0
2023-01-12,14.63,14.9,14.061,14.58,266651.0
2023-01-13,14.55,14.76,14.025,14.24,147379.0
2023-01-17,14.24,14.265,13.9,14.17,234904.0
2023-01-18,14.24,14.91,14.075,14.43,110360.0
2023-01-19,14.59,14.82,14.03,14.78,115688.0
2023-01-20,14.85,15.48,14.76,15.0,135581.0
2023-01-23,14.97,14.97,14.07,14.61,157442.0
2023-01-24,14.61,15.14,14.3,14.92,234336.0
2023-01-25,14.95,14.95,13.44,14.15,180942.0
2023-01-26,14.2,14.36,13.91,14.0,62883.0
2023-01-27,13.98,14.35,13.5,13.67,114869.0
2023-01-30,13.36,13.64,13.0,13.49,84667.0
2023-01-31,13.29,14.03,13.29,13.75,86749.0
2023-02-01,13.84,14.045,13.26,13.36,91648.0
2023-02-02,13.54,14.17,13.03,14.13,151144.0
2023-02-03,13.98,14.275,13.64,14.27,121571.0
2023-02-06,14.3,15.06,14.2,14.81,136742.0
2023-02-07,14.9,15.565,14.51,15.52,268121.0
2023-02-08,15.7,15.7,14.09,14.46,272766.0
2023-02-09,14.47,14.78,14.47,14.71,49674.0
2023-02-10,14.54,15.075,14.31,14.83,99835.0
2023-02-13,14.83,15.05,14.11,14.33,70898.0
2023-02-14,14.27,14.687,13.68,14.08,86448.0
2023-02-15,14.01,14.065,13.56,13.56,54636.0
2023-02-16,13.51,13.58,12.7839,12.95,149886.0
2023-02-17,12.95,13.69,12.8001,13.54,60313.0
2023-02-21,13.41,13.5765,12.7,12.75,73505.0
2023-02-22,12.75,13.34,12.6301,13.1,63111.0
2023-02-23,13.14,13.14,12.635,12.8,83680.0
2023-02-24,12.8,12.98,12.455,12.52,127071.0
2023-02-27,12.49,13.01,12.4,12.75,205342.0
2023-02-28,12.82,12.94,12.05,12.18,371945.0
2023-03-01,12.24,13.46,12.1,12.8,1865900.0
2023-03-02,13.0,14.8,12.8,14.36,1061373.0
2023-03-03,14.39,14.63,13.59,13.84,103212.0
2023-03-06,13.93,14.35,13.56,13.96,124035.0
2023-03-07,14.04,15.0,13.9,14.06,253163.0
2023-03-08,14.02,14.3,13.51,13.58,146075.0
2023-03-09,13.71,13.945,12.75,13.01,323439.0
2023-03-10,13.05,13.05,11.28,11.67,277229.0
2023-03-13,11.51,12.01,11.26,11.94,226751.0
2023-03-14,12.18,12.52,11.72,12.08,245493.0
2023-03-15,11.75,12.1499,11.175,11.48,309893.0
2023-03-16,11.24,11.5,10.99,11.2,270890.0
2023-03-17,11.13,11.68,10.95,11.4,919221.0
2023-03-20,11.43,11.43,10.9,11.21,272107.0
2023-03-21,11.42,11.868,10.64,11.22,360517.0
2023-03-22,11.13,11.705,10.6,11.33,207651.0
2023-03-23,11.29,11.71,11.0,11.48,199414.0
2023-03-24,11.45,12.465,11.21,12.27,281198.0
2023-03-27,12.3,12.3,11.0,11.44,209516.0
2023-03-28,12.02,12.63,11.46,12.23,344682.0
2023-03-29,12.24,13.22,12.24,13.11,117755.0
2023-03-30,13.16,13.195,12.51,12.64,121948.0
2023-03-31,12.52,13.38,12.52,13.3,281587.0
2023-04-03,13.32,13.565,12.75,12.93,123272.0
2023-04-04,12.89,12.92,12.17,12.17,76347.0
2023-04-05,12.2,12.33,11.73,11.94,78886.0
2023-04-06,11.88,12.0,11.67,11.86,66052.0
2023-04-10,11.8,12.1,11.57,11.99,89703.0
2023-04-11,11.96,12.38,11.81,12.17,108232.0
2023-04-12,12.31,12.315,11.86,11.96,74146.0
2023-04-13,11.99,12.26,11.13,11.16,82130.0
2023-04-14,11.17,11.29,10.92,11.05,107725.0
2023-04-17,11.05,11.26,10.76,10.82,263453.0
2023-04-18,10.89,10.96,10.17,10.24,294573.0
2023-04-19,10.2,11.37,10.18,10.79,390797.0
2023-04-20,10.65,11.035,10.65,10.93,277114.0
2023-04-21,11.05,12.45,10.72,12.35,331872.0
2023-04-24,12.45,12.8,12.06,12.26,127842.0
2023-04-25,12.11,12.6739,11.65,11.85,215512.0
2023-04-26,11.72,11.88,11.35,11.73,94585.0
2023-04-27,11.7,12.29,11.7,12.08,41739.0
2023-04-28,11.915,13.12,11.915,13.05,110740.0
2023-05-01,13.14,14.17,13.14,13.72,245799.0
2023-05-02,13.64,13.73,12.92,13.01,81398.0
2023-05-03,13.0,13.46,12.66,12.73,154100.0
2023-05-04,12.65,12.87,12.39,12.65,45997.0
2023-05-05,12.64,13.1873,12.58,12.77,53563.0
2023-05-08,12.78,13.15,12.57,12.63,66560.0
2023-05-09,12.5,12.79,12.335,12.65,87581.0
2023-05-10,12.6,12.725,12.45,12.545,50436.0
2023-05-11,12.43,12.6825,12.03,12.11,77117.0
2023-05-12,12.46,13.15,12.1,12.5,177596.0
2023-05-15,12.59,12.59,12.01,12.315,91440.0
2023-05-16,12.48,12.55,12.205,12.34,114902.0
2023-05-17,12.47,12.55,12.035,12.36,66452.0
2023-05-18,12.55,12.6575,12.13,12.57,112385.0
2023-05-19,12.74,13.46,12.63,12.65,305318.0
2023-05-22,12.78,13.025,12.23,12.5,109592.0
2023-05-23,12.57,13.545,12.57,13.15,291728.0
2023-05-24,13.01,13.04,12.4,12.6,109774.0
2023-05-25,12.47,12.55,11.86,12.07,177517.0
2023-05-26,12.05,12.2008,10.92,10.93,77919.0
2023-05-30,11.0,11.35,10.44,10.65,128175.0
2023-05-31,10.7,11.18,10.66,10.94,128963.0
2023-06-01,10.9,11.62,10.85,11.45,110900.0
2023-06-02,11.66,11.85,11.13,11.35,905433.0
2023-06-05,11.52,12.799,11.39,11.98,212694.0
2023-06-06,11.98,12.6,11.88,12.55,214696.0
2023-06-07,12.84,13.0,11.65,11.68,231192.0
2023-06-08,11.63,11.915,11.36,11.6,135929.0
2023-06-09,11.8,12.07,11.31,11.41,97807.0
2023-06-12,11.53,11.97,11.31,11.42,130588.0
2023-06-13,11.5,11.77,11.2,11.22,255966.0
2023-06-14,11.25,11.57,10.565,10.66,318603.0
2023-06-15,10.72,10.91,9.75,10.18,408535.0
2023-06-16,10.0,10.31,9.45,9.81,508226.0
2023-06-20,9.8,10.09,9.62,9.8,203169.0
2023-06-21,9.73,10.22,9.56,10.01,180942.0
2023-06-22,9.96,10.31,9.82,10.11,198731.0
2023-06-23,10.03,10.13,9.74,10.03,3466527.0
2023-06-26,9.98,10.0,9.2,9.38,199383.0
