date,open,high,low,close,volume
2023-01-11,7.81,8.38,7.52,8.33,4909612.0
2023-01-12,8.38,8.945,8.17,8.77,4029148.0
2023-01-13,8.73,9.55,8.725,9.11,3605610.0
2023-01-17,9.1,9.21,8.62,8.64,2614205.0
2023-01-18,8.73,8.94,8.22,8.23,2870549.0
2023-01-19,8.182,8.26,7.835,7.93,2605183.0
2023-01-20,8.08,8.58,7.8601,8.33,2854188.0
2023-01-23,8.34,8.465,8.14,8.29,1713410.0
2023-01-24,8.3,8.75,8.13,8.21,2147539.0
2023-01-25,8.88,9.085,8.29,9.05,5270733.0
2023-01-26,9.23,9.3038,8.95,9.21,3134109.0
2023-01-27,9.18,9.7,9.13,9.37,2982158.0
2023-01-30,9.25,9.289,8.875,8.94,1900362.0
2023-01-31,8.98,9.12,8.87,9.05,1500508.0
2023-02-01,9.1,9.27,8.8714,9.27,2403399.0
2023-02-02,9.5,9.5899,9.165,9.32,2956469.0
2023-02-03,9.25,9.31,8.95,9.05,2217388.0
2023-02-06,8.862,9.435,8.862,9.1,1932971.0
2023-02-07,9.1,9.1,8.64,8.99,2472893.0
2023-02-08,9.01,9.01,8.47,8.48,1857847.0
2023-02-09,8.58,8.78,8.3,8.33,1467099.0
2023-02-10,8.26,8.56,8.12,8.4,1970814.0
2023-02-13,8.4,8.4,7.94,8.12,2083045.0
2023-02-14,8.07,8.17,7.745,7.9,3258698.0
2023-02-15,7.87,7.99,7.7,7.84,1996750.0
2023-02-16,7.69,7.8699,7.55,7.61,2110712.0
2023-02-17,7.65,8.26,7.57,8.19,2220090.0
2023-02-21,8.0,8.16,7.63,7.78,2226922.0
2023-02-22,7.75,7.99,7.74,7.91,1858111.0
2023-02-23,8.0,8.45,7.8611,8.4,4097883.0
2023-02-24,8.21,8.34,7.97,8.19,2366860.0
2023-02-27,8.28,8.43,8.105,8.33,2945296.0
2023-02-28,8.2,9.66,8.16,9.09,5665507.0
2023-03-01,9.16,9.3087,8.63,8.99,2999425.0
2023-03-02,8.97,9.025,8.67,8.94,1867764.0
2023-03-03,8.99,9.055,8.73,8.99,1883092.0
2023-03-06,9.04,9.39,8.8901,9.17,2551549.0
2023-03-07,9.26,9.48,9.01,9.04,2352613.0
2023-03-08,9.1,10.015,8.9301,9.94,6571461.0
2023-03-09,9.93,10.43,9.505,9.53,5249885.0
2023-03-10,9.5,9.55,8.6,8.79,3996761.0
2023-03-13,8.6,9.41,8.57,8.9,3114167.0
2023-03-14,9.18,9.44,8.95,9.43,2321732.0
2023-03-15,9.14,9.5,9.075,9.5,1984712.0
2023-03-16,9.48,9.76,9.28,9.57,1835162.0
2023-03-17,9.48,9.78,9.36,9.51,2532861.0
2023-03-20,9.47,9.51,9.1,9.22,1901685.0
2023-03-21,9.33,9.4311,9.04,9.21,1977336.0
2023-03-22,9.2,9.2,8.7,8.74,2385302.0
2023-03-23,8.95,9.4,8.805,9.29,4752030.0
2023-03-24,9.22,10.66,9.22,10.31,8338512.0
2023-03-27,10.2,11.045,10.005,10.82,4612281.0
2023-03-28,10.72,11.74,10.72,10.99,7701891.0
2023-03-29,11.02,11.51,11.02,11.27,4990503.0
2023-03-30,11.31,11.49,10.965,10.98,2474070.0
2023-03-31,11.04,11.3,10.88,10.96,2117726.0
2023-04-03,10.94,11.195,10.23,10.32,2835485.0
2023-04-04,10.36,10.4,9.92,10.15,2194025.0
2023-04-05,10.35,10.74,9.905,9.98,3471666.0
2023-04-06,10.0,10.06,9.82,9.86,2002144.0
2023-04-10,9.76,9.92,9.2,9.87,2709565.0
2023-04-11,9.97,11.08,9.95,10.94,3590415.0
2023-04-12,11.0,11.2,10.77,11.03,2105254.0
2023-04-13,11.1,11.485,11.04,11.25,2968842.0
2023-04-14,11.26,11.27,10.86,11.22,1602689.0
2023-04-17,11.36,11.36,10.64,10.76,2646707.0
2023-04-18,10.74,11.085,10.2575,11.0,2859875.0
2023-04-19,10.94,11.12,10.7701,11.03,1691742.0
2023-04-20,10.9,10.98,10.335,10.62,2796941.0
2023-04-21,10.63,11.0178,10.39,10.71,2251029.0
2023-04-24,10.88,11.405,10.575,10.75,4258435.0
