date,open,high,low,close,volume
2023-01-11,23.89,24.23,23.55,23.82,194507.0
2023-01-12,23.9,24.55,23.6453,24.48,157788.0
2023-01-13,24.21,24.81,24.21,24.33,172123.0
2023-01-17,24.35,24.58,23.2,23.27,321395.0
2023-01-18,23.31,23.66,22.25,22.55,345241.0
2023-01-19,22.39,22.9599,22.3,22.89,226417.0
2023-01-20,22.89,23.4,22.54,23.13,239218.0
2023-01-23,23.53,23.9925,23.21,23.85,180631.0
2023-01-24,23.96,24.11,23.56,23.8,144026.0
2023-01-25,23.6,24.21,23.2,24.17,149269.0
2023-01-26,24.4,24.65,23.135,23.82,234076.0
2023-01-27,23.94,24.7,23.71,24.16,351567.0
2023-01-30,23.78,24.28,23.58,23.61,169469.0
2023-01-31,23.73,24.83,23.73,24.56,183033.0
2023-02-01,24.63,24.7,23.83,24.33,228267.0
2023-02-02,24.66,25.375,24.06,24.41,193627.0
2023-02-03,24.22,25.45,24.0838,24.69,175676.0
2023-02-06,24.29,24.385,23.82,23.9,205113.0
2023-02-07,23.96,23.98,23.01,23.64,165444.0
2023-02-08,23.48,23.91,23.13,23.87,221292.0
2023-02-09,24.08,24.41,22.62,22.86,231165.0
2023-02-10,22.75,23.28,22.51,22.99,192386.0
2023-02-13,23.2,24.15,23.08,24.01,164829.0
2023-02-14,23.87,24.17,23.43,23.65,189489.0
2023-02-15,23.4,24.05,23.4,23.9,225894.0
2023-02-16,23.49,23.9,23.405,23.48,153859.0
2023-02-17,23.59,23.7319,22.85,23.05,120288.0
2023-02-21,22.51,22.885,22.14,22.16,168772.0
2023-02-22,22.19,22.62,21.95,22.15,133629.0
2023-02-23,22.15,22.22,21.5,21.71,219755.0
2023-02-24,21.41,22.23,21.26,22.1,215707.0
2023-02-27,22.24,22.35,21.09,21.52,299544.0
2023-02-28,21.61,21.83,20.92,20.95,237097.0
2023-03-01,20.85,21.09,20.58,20.71,216809.0
2023-03-02,20.55,20.82,20.27,20.65,291456.0
2023-03-03,20.77,21.14,20.31,21.09,189505.0
2023-03-06,21.09,21.58,19.845,20.07,491860.0
2023-03-07,20.1,20.93,20.1,20.7,478582.0
2023-03-08,20.62,21.13,20.4,20.58,553632.0
2023-03-09,24.85,26.5899,23.81,24.91,2098887.0
2023-03-10,25.07,25.28,23.88,24.58,486575.0
2023-03-13,24.13,24.64,22.69,22.74,464647.0
2023-03-14,23.41,24.355,23.4,24.0,520575.0
2023-03-15,23.37,23.99,23.24,23.68,367663.0
2023-03-16,23.42,24.0745,23.18,23.97,382781.0
2023-03-17,23.71,23.91,23.5,23.67,305796.0
2023-03-20,23.67,24.19,23.49,24.0,410035.0
2023-03-21,24.38,24.45,23.83,24.27,635610.0
2023-03-22,22.68,24.3,22.13,23.67,525388.0
2023-03-23,23.77,24.0,23.1302,23.41,275123.0
2023-03-24,23.17,23.23,22.58,22.72,259486.0
2023-03-27,22.71,22.945,21.86,21.87,355827.0
2023-03-28,21.87,22.86,21.85,22.73,269981.0
2023-03-29,22.84,22.84,22.39,22.83,200541.0
2023-03-30,22.89,23.37,22.67,22.73,227344.0
2023-03-31,22.89,23.35,22.8508,23.24,346919.0
2023-04-03,23.35,23.53,22.37,23.12,329175.0
2023-04-04,23.4,23.87,22.95,23.75,275662.0
2023-04-05,23.75,23.785,23.21,23.65,364497.0
2023-04-06,23.57,23.82,23.2,23.74,310309.0
2023-04-10,23.75,25.23,23.75,24.64,518623.0
2023-04-11,24.83,25.53,24.7,24.75,347249.0
2023-04-12,24.91,25.39,24.72,25.26,322203.0
2023-04-13,25.37,25.4899,25.0001,25.12,266058.0
2023-04-14,25.19,26.0,25.11,26.0,292583.0
2023-04-17,26.1,26.34,25.86,26.17,288814.0
2023-04-18,26.31,26.385,25.27,25.94,425725.0
2023-04-19,25.95,26.17,25.49,25.86,246229.0
2023-04-20,25.69,25.75,24.5,24.63,327888.0
2023-04-21,24.54,24.7899,23.995,24.23,294639.0
2023-04-24,24.08,24.145,23.3,23.56,247447.0
2023-04-25,23.34,23.41,22.04,22.1,362822.0
2023-04-26,22.17,22.94,22.17,22.63,306837.0
2023-04-27,22.62,23.06,22.39,22.84,229149.0
2023-04-28,22.85,23.37,22.73,23.2,228356.0
2023-05-01,23.2,23.73,22.625,23.0,230207.0
2023-05-02,22.99,22.99,22.38,22.62,298085.0
2023-05-03,22.54,22.78,21.87,21.94,289846.0
2023-05-04,21.85,22.06,21.61,21.8,311661.0
2023-05-05,21.89,22.34,21.89,22.04,205525.0
2023-05-08,22.1,22.2299,21.37,21.7,357937.0
2023-05-09,21.52,21.65,21.22,21.25,222874.0
2023-05-10,21.62,21.91,21.36,21.69,260978.0
2023-05-11,21.77,21.99,21.25,21.77,299182.0
2023-05-12,21.82,22.0,21.1,21.41,198606.0
2023-05-15,21.33,21.51,21.05,21.43,227204.0
2023-05-16,21.2,21.235,20.66,20.7,471321.0
2023-05-17,20.71,21.48,20.51,21.41,211594.0
2023-05-18,21.49,22.0,21.3,21.98,224323.0
2023-05-19,21.98,21.98,20.9225,21.02,240790.0
2023-05-22,21.05,21.18,20.74,20.75,217304.0
2023-05-23,20.68,21.1,20.56,20.72,214342.0
2023-05-24,20.73,20.92,20.06,20.84,436080.0
2023-05-25,20.8,21.0,19.5625,20.45,706731.0
2023-05-26,20.4,20.535,19.16,19.25,491981.0
2023-05-30,19.26,19.28,18.77,18.95,8837.0
2023-05-31,18.23,18.61,17.85,18.18,391276.0
2023-06-01,18.12,19.54,18.12,19.24,424238.0
2023-06-02,19.59,20.61,19.57,20.54,518870.0
2023-06-05,20.48,20.84,20.15,20.61,297108.0
2023-06-06,20.59,21.34,20.59,21.25,213087.0
2023-06-07,21.32,21.8295,21.26,21.5,258515.0
2023-06-08,21.56,21.72,21.09,21.14,199601.0
