date,open,high,low,close,volume
2023-01-11,84.94,86.89,84.27,85.85,2899027.0
2023-01-12,86.35,86.6999,84.83,86.4,2584248.0
2023-01-13,84.98,86.51,84.98,85.78,1739039.0
2023-01-17,85.17,85.5,84.08,84.42,2092903.0
2023-01-18,85.19,86.44,82.85,82.96,2172735.0
2023-01-19,82.36,83.0,80.79,81.52,1880923.0
2023-01-20,81.66,83.0,80.88,82.67,2417257.0
2023-01-23,83.28,84.72,82.64,84.24,2266546.0
2023-01-24,83.96,84.975,83.49,83.63,1713535.0
2023-01-25,82.98,84.03,81.68,84.0,2645670.0
2023-01-26,84.55,85.29,83.505,83.95,1442786.0
2023-01-27,83.58,85.48,83.12,85.18,1986394.0
2023-01-30,84.45,87.0,84.13,86.38,2462792.0
2023-01-31,86.91,88.73,86.65,88.72,2787741.0
2023-02-01,88.26,90.125,86.23,89.65,2689709.0
2023-02-02,90.79,93.3215,90.39,91.42,2893264.0
2023-02-03,90.01,91.33,89.51,90.32,1428042.0
2023-02-06,89.37,90.27,87.84,87.97,1682659.0
2023-02-07,87.56,88.02,85.8,87.79,1966733.0
2023-02-08,86.9,87.76,86.2955,86.4,1291058.0
2023-02-09,87.78,88.11,84.67,84.96,1273411.0
2023-02-10,84.25,85.58,83.92,85.52,1639693.0
2023-02-13,86.04,87.49,85.34,87.26,1580025.0
2023-02-14,86.86,88.72,86.34,88.31,2123452.0
2023-02-15,87.52,89.19,87.17,88.95,1908002.0
2023-02-16,87.91,89.23,87.3,88.2,1394494.0
2023-02-17,88.0,88.22,86.205,86.94,2307366.0
2023-02-21,85.18,85.18,82.96,83.13,1860254.0
2023-02-22,83.2,83.83,82.565,83.18,2905102.0
2023-02-23,83.24,83.86,82.044,83.0,1743991.0
2023-02-24,81.98,84.4,81.64,83.82,2461046.0
2023-02-27,83.98,84.82,82.53,82.63,3333023.0
2023-02-28,83.02,83.93,82.78,83.11,2387536.0
2023-03-01,82.27,83.12,81.7,82.54,3240996.0
2023-03-02,81.29,84.2799,79.23,80.79,5525968.0
2023-03-03,81.58,83.415,81.41,83.26,3028028.0
2023-03-06,83.8,84.31,82.115,82.3,2503875.0
2023-03-07,82.9,83.575,82.06,82.26,1889410.0
2023-03-08,82.13,82.26,79.82,81.15,2018710.0
2023-03-09,81.37,81.58,78.89,79.0,2051377.0
2023-03-10,78.92,79.64,77.69,78.61,2172167.0
2023-03-13,76.81,77.48,75.67,75.77,3794757.0
2023-03-14,76.77,76.88,74.05,74.84,3326835.0
2023-03-15,73.49,75.57,73.21,75.55,3135353.0
2023-03-16,74.71,77.35,74.6,77.09,2949823.0
2023-03-17,77.05,77.28,75.46,76.73,7806082.0
2023-03-20,76.88,78.73,76.69,78.13,3113285.0
2023-03-21,79.11,79.48,77.34,77.77,3634204.0
2023-03-22,77.35,77.99,75.9,75.94,2522364.0
2023-03-23,76.0,76.66,73.94,74.59,2161073.0
2023-03-24,74.28,74.93,73.89,74.32,1603996.0
2023-03-27,74.72,75.01,73.44,73.85,2021854.0
2023-03-28,73.25,74.715,73.15,73.32,2022295.0
2023-03-29,73.78,74.89,72.75,74.86,2026969.0
2023-03-30,75.5,75.77,74.66,75.32,1588359.0
2023-03-31,75.84,78.38,75.715,78.27,2621806.0
2023-04-03,78.23,79.12,77.5388,78.51,2220825.0
2023-04-04,78.51,78.99,77.63,77.84,2178320.0
2023-04-05,77.4,77.4,75.76,76.28,2529892.0
2023-04-06,76.07,76.07,74.865,75.08,1791260.0
2023-04-10,74.68,75.68,74.44,74.96,2074202.0
2023-04-11,75.2,75.84,74.6,75.25,2334813.0
2023-04-12,75.83,75.92,73.035,73.17,1945054.0
2023-04-13,73.23,73.69,72.56,73.19,1868998.0
2023-04-14,73.21,74.88,72.88,73.38,1737321.0
2023-04-17,73.53,73.74,72.64,73.31,1541718.0
2023-04-18,73.65,73.99,73.09,73.98,1965987.0
2023-04-19,73.2,73.48,72.52,72.71,2068026.0
2023-04-20,72.55,74.03,72.29,72.58,1906670.0
2023-04-21,73.3,73.37,72.45,72.76,1686487.0
2023-04-24,72.49,73.7,72.45,73.55,1844430.0
2023-04-25,73.15,73.52,71.35,71.37,2061277.0
2023-04-26,71.46,72.25,71.13,71.51,1868131.0
2023-04-27,71.65,73.59,71.55,73.53,1683075.0
2023-04-28,73.64,74.63,73.0,74.52,1645639.0
2023-05-01,74.65,74.98,73.44,73.65,1985137.0
2023-05-02,73.36,73.45,71.93,73.2,1431078.0
2023-05-03,73.4,74.32,72.64,72.78,1662897.0
2023-05-04,72.43,72.91,70.955,71.6,1591306.0
2023-05-05,72.62,73.99,72.43,73.57,1383855.0
2023-05-08,73.49,73.8,72.22,72.46,1645697.0
2023-05-09,71.92,72.925,71.37,72.65,1808813.0
2023-05-10,73.28,73.4,71.1,72.22,1401068.0
2023-05-11,72.04,72.43,71.48,71.62,2153231.0
2023-05-12,71.66,71.89,70.75,71.73,2147283.0
2023-05-15,71.0,72.7,70.52,72.7,2800865.0
2023-05-16,71.84,72.33,70.45,70.74,2480859.0
2023-05-17,70.96,74.1,70.96,73.94,2541440.0
2023-05-18,73.5,73.78,71.88,73.04,2048666.0
2023-05-19,72.56,72.565,70.379,70.53,3444939.0
2023-05-22,70.26,71.26,70.2101,70.32,2941449.0
2023-05-23,70.47,71.5397,69.42,69.49,2526158.0
2023-05-24,70.34,70.34,68.43,69.15,3316702.0
2023-05-25,71.47,72.0,69.302,71.28,6052792.0
2023-05-26,71.19,74.82,70.945,74.33,4690551.0
2023-05-30,75.42,75.985,72.5,73.4,3303018.0
2023-05-31,72.63,73.3,71.83,72.67,4305185.0
2023-06-01,72.34,73.2,70.391,72.9,2343891.0
2023-06-02,73.49,74.27,73.09,73.21,2522260.0
