date,open,high,low,close,volume
2023-01-11,78.29,79.39,77.96,78.67,432299.0
2023-01-12,79.26,79.72,77.9,79.61,432253.0
2023-01-13,78.84,79.925,77.93,79.26,463203.0
2023-01-17,78.95,81.0,78.84,79.36,520365.0
2023-01-18,79.6,80.06,76.58,76.58,569789.0
2023-01-19,75.86,76.525,74.88,76.11,603224.0
2023-01-20,76.6,78.125,76.03,77.98,329941.0
2023-01-23,78.19,80.4799,77.82,80.17,465655.0
2023-01-24,79.77,81.19,79.615,80.17,475976.0
2023-01-25,78.9,80.52,78.75,80.28,476519.0
2023-01-26,80.0,80.9,77.5,78.67,688886.0
2023-01-27,78.19,79.86,77.82,79.7,529415.0
2023-01-30,79.05,80.64,79.05,79.83,489716.0
2023-01-31,80.47,84.55,80.19,84.33,1151900.0
2023-02-01,83.92,86.695,83.29,86.18,945480.0
2023-02-02,84.39,91.49,84.39,90.58,1537969.0
2023-02-03,89.97,93.15,89.6247,92.4,991453.0
2023-02-06,91.68,92.81,90.26,90.29,717320.0
2023-02-07,89.78,90.17,87.84,88.93,747078.0
2023-02-08,88.19,90.025,87.805,88.4,475318.0
2023-02-09,89.34,89.86,86.36,86.55,375234.0
2023-02-10,86.2,87.36,85.87,86.47,504476.0
2023-02-13,86.19,88.06,86.0335,88.01,353991.0
2023-02-14,87.2,89.06,86.13,88.25,473984.0
2023-02-15,87.47,89.24,87.33,89.2,310015.0
2023-02-16,88.38,89.93,88.035,88.45,639418.0
2023-02-17,88.64,89.32,87.6398,89.11,522045.0
2023-02-21,87.52,88.1735,86.51,86.98,534031.0
2023-02-22,87.37,89.05,87.35,87.9,501132.0
2023-02-23,88.7,89.0,87.0,88.39,506813.0
2023-02-24,86.27,87.82,86.09,87.7,471726.0
2023-02-27,88.26,88.823,87.44,87.5,394368.0
2023-02-28,87.51,88.38,87.36,87.42,391673.0
2023-03-01,87.35,88.41,86.89,87.5,328878.0
2023-03-02,86.6,88.41,86.29,88.39,264716.0
2023-03-03,88.92,89.0,87.55,88.43,424797.0
2023-03-06,88.86,89.29,87.7,87.81,686356.0
2023-03-07,87.36,88.585,87.19,87.96,416564.0
2023-03-08,88.35,88.89,87.33,88.39,439663.0
2023-03-09,88.18,88.58,85.33,85.39,431220.0
2023-03-10,85.2,85.5,81.5,83.28,664675.0
2023-03-13,81.71,82.78,79.8046,80.81,814936.0
2023-03-14,83.19,84.185,81.41,82.27,662024.0
2023-03-15,80.4,80.795,78.72,80.15,708619.0
2023-03-16,79.05,81.14,78.68,80.29,677724.0
2023-03-17,79.86,79.86,75.4,75.99,1612982.0
2023-03-20,76.79,79.39,76.7617,77.63,750607.0
2023-03-21,79.18,80.61,78.84,80.41,723841.0
2023-03-22,80.82,81.64,78.44,78.51,595680.0
2023-03-23,78.7,80.205,76.65,77.64,457991.0
2023-03-24,76.89,77.4,75.71,77.11,547255.0
2023-03-27,78.31,78.58,76.96,78.12,325037.0
2023-03-28,78.2,78.99,77.26,78.31,468998.0
2023-03-29,79.51,79.61,77.915,78.86,514431.0
2023-03-30,79.53,80.91,78.83,78.91,384136.0
2023-03-31,79.47,82.18,79.22,82.0,457509.0
2023-04-03,81.83,83.0,81.11,82.14,393380.0
2023-04-04,82.98,82.98,79.555,79.79,677490.0
2023-04-05,79.09,79.305,76.58,77.49,774804.0
2023-04-06,77.55,77.7,75.94,76.21,572795.0
2023-04-10,76.07,79.135,76.07,78.85,469427.0
2023-04-11,79.31,81.64,78.97,81.14,433675.0
2023-04-12,82.17,82.18,80.085,80.76,499391.0
2023-04-13,81.23,81.435,79.92,81.34,449828.0
2023-04-14,81.84,83.09,80.99,81.95,280714.0
2023-04-17,82.05,83.39,81.77,82.96,453708.0
2023-04-18,83.17,84.7797,83.17,84.32,718434.0
2023-04-19,84.49,85.75,84.1,85.59,634963.0
2023-04-20,84.91,86.54,84.59,85.66,464216.0
2023-04-21,86.02,86.865,85.3,86.15,521103.0
2023-04-24,86.31,87.5,85.53,85.97,416810.0
2023-04-25,85.38,85.55,82.96,83.36,572433.0
2023-04-26,83.36,84.5,83.02,83.08,635554.0
2023-04-27,83.0,85.34,80.77,85.23,854307.0
2023-04-28,84.87,86.18,84.57,84.79,718225.0
2023-05-01,84.86,86.56,84.51,86.04,629209.0
2023-05-02,85.44,86.16,83.48,86.16,513563.0
2023-05-03,86.39,87.235,84.62,84.71,554117.0
2023-05-04,83.76,84.47,80.11,80.34,638438.0
2023-05-05,82.17,82.73,81.14,82.67,895745.0
2023-05-08,83.32,83.32,82.15,82.68,415741.0
2023-05-09,81.51,81.67,80.83,80.97,379729.0
2023-05-10,82.26,82.26,77.07,78.17,1038450.0
2023-05-11,77.88,78.385,76.94,77.23,1106206.0
2023-05-12,77.12,77.5,76.07,77.02,593156.0
2023-05-15,76.96,77.82,76.15,77.81,518939.0
2023-05-16,76.98,77.43,75.08,75.74,663904.0
2023-05-17,76.04,77.76,76.04,77.48,608809.0
2023-05-18,77.54,80.3,76.9,80.01,657069.0
2023-05-19,80.29,80.29,75.8,76.4,644096.0
2023-05-22,76.25,77.325,76.01,76.87,384204.0
2023-05-23,76.25,78.02,76.0,76.17,417773.0
2023-05-24,75.9,76.31,74.49,75.4,410439.0
2023-05-25,75.29,76.65,75.07,76.19,510758.0
2023-05-26,76.15,77.633,76.015,77.55,453149.0
2023-05-30,78.18,78.895,77.06,77.22,446888.0
2023-05-31,76.51,77.24,74.18,75.5,737022.0
2023-06-01,75.53,76.43,74.62,76.11,501251.0
2023-06-02,77.54,80.66,77.03,80.58,791896.0
2023-06-05,79.77,79.92,77.47,77.54,458276.0
2023-06-06,78.18,82.04,78.17,82.02,805162.0
2023-06-07,82.63,85.65,82.34,85.14,560495.0
2023-06-08,85.07,85.33,83.97,85.0,507987.0
2023-06-09,85.09,85.96,83.941,84.3,500865.0
2023-06-12,84.72,85.85,83.655,85.06,384026.0
2023-06-13,85.18,90.5201,85.18,89.05,1278361.0
2023-06-14,88.78,88.88,85.79,86.33,659137.0
2023-06-15,85.72,86.94,85.525,86.36,545111.0
2023-06-16,86.46,86.78,85.14,85.71,1120710.0
2023-06-20,85.53,85.53,83.72,83.86,639759.0
2023-06-21,83.09,84.63,82.51,83.77,550844.0
2023-06-22,83.6,83.6,81.33,82.04,705960.0
2023-06-23,80.6,81.87,80.38,80.74,1469299.0
2023-06-26,80.95,83.37,80.75,82.44,672024.0
2023-06-27,82.11,84.095,81.65,83.45,475406.0
2023-06-28,83.32,83.75,82.24,83.1,427957.0
2023-06-29,83.51,84.99,83.51,84.76,340688.0
2023-06-30,85.91,87.19,84.84,86.64,668149.0
2023-07-03,86.29,87.16,86.065,86.9,255443.0
2023-07-05,86.22,86.22,84.93,85.02,535931.0
2023-07-06,83.79,84.4772,82.69,83.06,760037.0
2023-07-07,83.29,86.055,83.29,84.73,789764.0
2023-07-10,84.72,86.77,84.72,85.48,414509.0
2023-07-11,85.98,88.39,85.67,88.28,504963.0
2023-07-12,89.57,90.17,88.0,88.78,658530.0
2023-07-13,88.72,88.98,87.55,88.3,363865.0
2023-07-14,87.27,87.27,81.5,83.89,1116105.0
2023-07-17,82.28,85.13,81.81,84.69,638726.0
2023-07-18,84.88,86.875,83.83,85.21,711262.0
2023-07-19,84.1,87.37,83.38,86.91,998519.0
2023-07-20,86.33,87.1425,85.245,85.54,494549.0
2023-07-21,86.47,87.265,85.435,86.25,593367.0
2023-07-24,86.15,87.6111,86.15,87.27,433720.0
2023-07-25,87.17,87.5396,86.04,86.89,444794.0
2023-07-26,87.04,88.91,86.89,88.64,615472.0
2023-07-27,88.36,90.49,85.24,85.55,1013757.0
2023-07-28,86.42,87.17,85.28,85.54,586016.0
2023-07-31,85.61,86.375,84.73,86.31,626982.0
2023-08-01,85.89,85.89,83.88,85.07,751002.0
2023-08-02,83.9,86.28,83.21,86.07,596521.0
2023-08-03,85.46,86.21,83.38,83.75,955678.0
2023-08-04,83.96,85.235,83.045,84.63,533320.0
2023-08-07,84.54,85.76,84.18,85.42,514038.0
2023-08-08,84.24,84.77,83.05,84.69,572349.0
2023-08-09,84.47,86.145,84.05,86.06,449364.0
2023-08-10,86.63,87.3,85.22,85.69,400845.0
2023-08-11,85.25,85.92,84.911,85.48,384812.0
2023-08-14,84.86,85.9775,84.4,85.9,382452.0
2023-08-15,84.95,85.5,84.005,84.06,465647.0
2023-08-16,83.71,84.78,82.94,82.98,437233.0
2023-08-17,83.38,84.34,82.93,83.15,479422.0
2023-08-18,82.27,83.77,82.015,82.84,610452.0
2023-08-21,82.9,83.265,80.83,81.82,538576.0
2023-08-22,81.5,81.75,79.94,80.26,620507.0
2023-08-23,79.62,81.42,79.18,81.42,766721.0
2023-08-24,81.17,81.43,79.85,80.02,721527.0
2023-08-25,80.71,81.73,80.05,80.84,568922.0
2023-08-28,81.43,82.16,80.5,81.08,521795.0
2023-08-29,81.11,82.22,80.29,82.14,574943.0
2023-08-30,80.87,80.87,78.28,78.38,1251539.0
2023-08-31,78.93,80.53,78.19,79.12,754200.0
2023-09-01,79.84,81.43,79.84,81.24,469086.0
2023-09-05,80.39,80.39,77.54,77.78,614111.0
2023-09-06,78.26,78.69,77.33,77.52,251537.0
2023-09-07,77.0,77.51,75.91,76.28,733587.0
2023-09-08,76.49,77.51,76.04,76.39,739957.0
2023-09-11,74.55,76.12,74.45,75.49,1305088.0
2023-09-12,75.63,77.03,75.25,76.47,694729.0
2023-09-13,76.62,77.045,75.425,76.52,893550.0
2023-09-14,77.49,78.05,77.035,77.85,576749.0
2023-09-15,77.33,78.395,77.09,77.43,1486598.0
2023-09-18,77.46,78.43,75.24,76.28,794043.0
2023-09-19,76.0,78.06,75.89,77.3,920913.0
2023-09-20,77.77,79.31,77.77,78.38,965901.0
2023-09-21,77.47,78.75,76.98,78.15,823476.0
2023-09-22,78.44,78.78,77.81,78.55,819368.0
2023-09-25,78.21,79.64,78.04,79.52,568255.0
2023-09-26,78.67,79.17,78.35,78.37,895172.0
2023-09-27,78.29,78.56,77.42,78.23,646228.0
2023-09-28,78.09,79.51,77.64,78.96,504807.0
2023-09-29,79.88,80.3,78.6015,79.0,449281.0
2023-10-02,78.88,79.58,78.32,78.87,424736.0
2023-10-03,78.15,78.17,75.78,75.98,852517.0
2023-10-04,75.94,76.76,75.04,76.3,799033.0
2023-10-05,75.85,76.3662,73.83,73.88,913964.0
2023-10-06,73.56,74.91,72.585,74.21,653433.0
2023-10-09,73.38,74.83,72.63,74.69,387004.0
2023-10-10,75.18,76.2399,74.81,76.1,549020.0
2023-10-11,76.04,76.955,75.38,75.81,730320.0
2023-10-12,75.84,75.84,73.32,74.15,506559.0
2023-10-13,74.1,74.48,73.53,73.93,379927.0
2023-10-16,75.03,75.71,74.21,74.78,583322.0
2023-10-17,74.07,76.24,74.07,75.8,717696.0
2023-10-18,74.56,74.99,73.72,73.78,498668.0
2023-10-19,73.58,74.19,72.57,72.75,593141.0
2023-10-20,72.67,72.69,71.69,72.06,760995.0
2023-10-23,71.93,72.355,70.88,71.0,482847.0
2023-10-24,71.17,71.385,69.16,69.49,909449.0
2023-10-25,68.8,69.469,67.76,68.77,1335501.0
2023-10-26,70.58,70.68,66.47,67.92,1282431.0
2023-10-27,67.9,69.44,67.8,68.11,796553.0
2023-10-30,68.91,69.565,67.18,67.83,664975.0
2023-10-31,68.31,70.01,68.265,69.47,763711.0
2023-11-01,68.93,70.16,67.95,69.96,567058.0
2023-11-02,71.2,72.5,71.2,72.21,880288.0
2023-11-03,73.77,74.925,72.67,74.77,723356.0
2023-11-06,74.6,74.76,72.49,72.61,684492.0
2023-11-07,72.17,72.78,70.99,71.13,535518.0
2023-11-08,71.49,72.225,70.73,71.99,702697.0
2023-11-09,72.29,72.29,69.19,69.53,502144.0
2023-11-10,69.86,70.54,69.48,70.38,285609.0
2023-11-13,69.82,70.74,69.48,70.29,315795.0
2023-11-14,72.87,75.69,72.87,75.27,652053.0
2023-11-15,75.69,79.52,75.315,79.3,1466875.0
2023-11-16,78.5,79.18,75.255,75.61,846564.0
2023-11-17,76.78,77.7,75.905,77.11,1275069.0
2023-11-20,78.18,79.4,77.5,79.06,1138624.0
2023-11-21,78.18,78.82,77.65,78.28,836267.0
2023-11-22,78.77,79.43,77.63,78.06,442880.0
2023-11-24,77.77,78.77,77.5,78.28,275083.0
