date,open,high,low,close,volume
2023-01-11,10.72,10.72,9.94,10.02,4974998.0
2023-01-12,10.0,10.34,9.85,10.32,3666529.0
2023-01-13,10.2,10.46,10.04,10.16,4724688.0
2023-01-17,10.14,10.19,9.94,10.0,2626791.0
2023-01-18,10.06,10.37,9.995,10.11,2756489.0
2023-01-19,10.13,10.34,9.98,10.01,2225452.0
2023-01-20,10.12,10.4792,9.98,10.4,2556952.0
2023-01-23,10.46,10.74,10.33,10.63,2247631.0
2023-01-24,10.64,11.11,10.54,11.01,1994561.0
2023-01-25,10.88,11.03,10.575,10.79,2152985.0
2023-01-26,10.9,10.9446,10.64,10.78,1425269.0
2023-01-27,10.8,10.98,10.56,10.58,1780525.0
2023-01-30,10.55,10.63,10.3,10.34,1390862.0
2023-01-31,10.34,10.595,10.34,10.55,2306142.0
2023-02-01,10.59,10.65,10.21,10.52,2302496.0
2023-02-02,10.575,10.86,10.48,10.74,2389002.0
2023-02-03,10.58,10.8,10.49,10.55,1711715.0
2023-02-06,10.54,10.67,10.29,10.64,2085561.0
2023-02-07,10.67,10.735,10.4,10.68,1541381.0
2023-02-08,10.62,10.745,10.26,10.26,2087870.0
2023-02-09,10.36,10.52,10.2,10.21,1851827.0
2023-02-10,10.26,10.35,10.13,10.31,1849634.0
2023-02-13,10.35,10.35,10.085,10.27,1469657.0
2023-02-14,10.17,10.43,10.101,10.34,2668930.0
2023-02-15,10.31,10.34,10.05,10.16,1836417.0
2023-02-16,10.11,10.16,9.84,9.92,2454628.0
2023-02-17,9.97,10.2,9.63,10.2,2639658.0
2023-02-21,8.75,9.1,8.1208,8.64,13617724.0
2023-02-22,9.18,9.85,8.83,9.77,5243178.0
2023-02-23,9.65,9.73,9.245,9.44,2889854.0
2023-02-24,9.33,9.33,9.055,9.1,2221132.0
2023-02-27,9.2,9.2,8.975,9.03,3542998.0
2023-02-28,9.0,9.14,8.78,8.85,5700047.0
2023-03-01,8.99,8.99,8.635,8.83,4085794.0
2023-03-02,8.75,8.905,8.62,8.86,2815898.0
2023-03-03,8.93,8.9497,8.74,8.79,2559189.0
2023-03-06,8.79,8.9,8.67,8.84,3768344.0
2023-03-07,8.88,8.9,8.65,8.65,1590419.0
2023-03-08,8.65,8.7,8.395,8.56,2374702.0
2023-03-09,8.58,8.62,8.095,8.21,3794202.0
