date,open,high,low,close,volume
2023-01-11,18.2,18.44,17.735,18.17,13224857.0
2023-01-12,18.22,18.869,18.005,18.83,12938332.0
2023-01-13,19.13,19.79,18.7,19.66,13245992.0
2023-01-17,19.22,19.58,18.99,19.35,11699998.0
2023-01-18,19.3,19.3,18.81,18.94,7347652.0
2023-01-19,19.21,19.88,19.025,19.15,8035540.0
2023-01-20,19.32,19.53,18.97,19.13,14246575.0
2023-01-23,19.25,19.36,18.755,18.83,4613558.0
2023-01-24,18.77,18.83,17.975,18.44,8246556.0
2023-01-25,18.21,18.6,18.11,18.36,7151119.0
2023-01-26,18.72,18.955,18.375,18.91,5048458.0
2023-01-27,18.95,19.12,18.31,18.79,3797593.0
2023-01-30,18.09,18.6,17.91,18.44,7085608.0
2023-01-31,18.25,18.795,18.12,18.34,6389222.0
2023-02-01,18.88,19.68,18.7111,19.28,8731613.0
2023-02-02,19.5,19.9925,19.005,19.12,5783644.0
2023-02-03,18.85,19.72,18.74,18.93,7268867.0
2023-02-06,18.0,18.26,17.41,18.24,12793865.0
2023-02-07,18.26,19.37,18.23,19.14,11257838.0
2023-02-08,19.08,19.43,18.81,18.89,4684689.0
2023-02-09,19.45,19.81,19.2,19.53,5842343.0
2023-02-10,19.07,19.56,18.9,19.21,9014658.0
2023-02-13,20.0,20.9,19.86,20.3,13854449.0
2023-02-14,20.81,21.08,19.68,19.91,10324586.0
2023-02-15,19.2,19.55,18.695,19.4,8945602.0
2023-02-16,19.27,19.848,19.18,19.49,4227941.0
2023-02-17,18.94,19.01,18.45,18.6,5150315.0
2023-02-21,18.19,19.065,17.69,18.96,7626636.0
2023-02-22,19.35,19.81,18.785,19.19,7731616.0
2023-02-23,19.55,19.57,18.5825,18.85,4466357.0
2023-02-24,18.52,18.6,17.49,17.6,6482409.0
2023-02-27,18.38,19.08,18.12,18.12,7136547.0
2023-02-28,17.97,18.78,17.8,18.25,7259482.0
2023-03-01,19.31,19.7,19.03,19.2,6971415.0
2023-03-02,19.15,19.65,19.04,19.6,5874027.0
2023-03-03,20.48,20.64,19.66,19.77,8616443.0
2023-03-06,19.54,19.6,18.92,19.04,9588829.0
2023-03-07,19.0,19.07,18.38,18.45,6834824.0
2023-03-08,17.9,18.335,17.66,18.21,4965267.0
2023-03-09,17.97,17.97,16.83,16.84,13130587.0
2023-03-10,17.1,17.515,16.79,17.05,5525634.0
2023-03-13,16.96,17.76,16.9,17.45,6747296.0
2023-03-14,17.29,17.64,17.1,17.6,4839455.0
2023-03-15,17.24,17.355,16.84,17.21,9860092.0
2023-03-16,17.8,18.68,17.4873,18.11,11588917.0
2023-03-17,19.18,19.39,18.24,18.98,16011176.0
2023-03-20,18.31,18.43,17.525,18.39,16770189.0
2023-03-21,18.71,18.935,18.36,18.82,6814225.0
2023-03-22,18.9,18.9,17.82,18.0,8892593.0
2023-03-23,18.5,19.05,18.47,18.8,9780047.0
2023-03-24,18.7,19.31,18.185,18.36,6244340.0
2023-03-27,18.0,18.09,17.35,17.65,7717405.0
2023-03-28,17.96,18.23,17.57,17.97,9599907.0
2023-03-29,17.73,18.215,17.66,17.93,5559066.0
2023-03-30,18.46,19.03,18.27,18.82,6839383.0
2023-03-31,18.63,19.005,18.5413,18.84,4461660.0
2023-04-03,18.88,19.53,18.82,19.47,4892691.0
2023-04-04,19.27,19.56,18.76,19.25,5099740.0
2023-04-05,19.14,19.2,18.42,18.65,3213789.0
2023-04-06,18.8,19.03,18.735,18.88,3269155.0
2023-04-10,18.64,19.07,18.575,18.87,6065302.0
2023-04-11,18.95,18.95,17.7,18.05,8587524.0
2023-04-12,17.81,17.95,17.15,17.15,5699857.0
2023-04-13,17.55,17.84,17.44,17.57,4047466.0
2023-04-14,17.52,17.665,16.98,17.06,4116338.0
2023-04-17,17.65,18.195,17.37,18.15,5115194.0
2023-04-18,17.86,18.41,17.86,18.4,5184287.0
2023-04-19,17.86,18.42,17.86,18.15,3525954.0
2023-04-20,18.58,18.66,17.695,17.83,5051129.0
2023-04-21,17.32,17.57,16.925,17.49,5830025.0
2023-04-24,17.18,17.28,16.335,16.46,6432330.0
2023-04-25,16.12,16.53,15.7,15.81,10503240.0
2023-04-26,16.25,16.25,15.55,15.56,3619344.0
2023-04-27,15.63,15.905,15.57,15.7,4892211.0
2023-04-28,14.73,15.89,14.73,15.69,4729350.0
2023-05-01,15.6,15.9427,15.53,15.88,2291808.0
2023-05-02,15.52,15.56,15.03,15.16,6495883.0
2023-05-03,15.28,15.57,15.06,15.4,3673486.0
2023-05-04,15.37,15.96,15.02,15.81,3748747.0
2023-05-05,16.06,16.16,15.75,16.03,2804847.0
2023-05-08,14.85,15.97,14.66,15.95,12006105.0
2023-05-09,15.36,16.045,15.2,15.85,8591731.0
2023-05-10,16.01,16.12,15.76,16.08,11003676.0
2023-05-11,16.0,16.7985,15.98,16.66,3742105.0
2023-05-12,16.39,16.64,16.31,16.45,4279662.0
2023-05-15,16.82,17.13,16.535,17.1,8246837.0
2023-05-16,16.55,16.86,16.37,16.85,13920271.0
2023-05-17,16.325,16.42,15.82,16.3,13327668.0
2023-05-18,16.6,16.68,14.76,14.97,19042955.0
2023-05-19,15.0,15.27,14.43,14.82,7873189.0
2023-05-22,15.24,15.955,15.09,15.25,8517979.0
2023-05-23,15.0,15.84,14.98,15.51,6992678.0
2023-05-24,15.32,15.9,15.1856,15.23,8312962.0
2023-05-25,15.11,15.69,15.0,15.18,8169400.0
2023-05-26,15.22,15.545,15.02,15.4,5915303.0
2023-05-30,15.31,15.38,14.17,14.4,11225576.0
2023-05-31,13.94,14.42,13.902,14.24,15706611.0
2023-06-01,14.3,15.43,14.29,15.11,10681228.0
2023-06-02,15.98,16.34,15.66,16.11,11933009.0
2023-06-05,16.0,16.16,15.86,15.94,5186681.0
2023-06-06,15.94,16.75,15.86,16.69,11409784.0
2023-06-07,16.31,17.14,16.31,17.01,7274108.0
2023-06-08,17.27,17.51,16.955,17.12,10494695.0
2023-06-09,16.84,17.07,16.44,16.7,11852011.0
2023-06-12,16.57,16.84,16.07,16.08,7090238.0
2023-06-13,16.47,16.73,16.175,16.35,4730523.0
2023-06-14,16.32,16.985,16.21,16.76,8792596.0
2023-06-15,17.29,17.44,17.02,17.08,8103673.0
2023-06-16,17.25,17.25,16.43,16.98,7940502.0
2023-06-20,16.04,16.22,15.32,15.45,8898051.0
2023-06-21,15.17,15.575,14.83,15.02,11667011.0
2023-06-22,14.89,15.24,14.84,15.08,3378679.0
2023-06-23,14.6,15.12,14.35,14.94,6822454.0
2023-06-26,14.94,15.395,14.9,15.05,5029866.0
2023-06-27,14.93,15.44,14.93,15.3,13480857.0
2023-06-28,15.36,15.37,14.74,14.99,6142687.0
2023-06-29,14.8,14.96,14.64,14.96,4108417.0
2023-06-30,14.89,15.1099,14.695,14.85,6179642.0
