date,open,high,low,close,volume
2023-01-11,28.89,29.58,28.89,29.48,822222.0
2023-01-12,29.59,30.2,29.37,30.15,651302.0
2023-01-13,30.02,31.04,30.0,30.63,550759.0
2023-01-17,31.3,32.1389,31.24,31.52,830856.0
2023-01-18,31.7,31.775,31.18,31.3,519904.0
2023-01-19,31.38,31.65,31.03,31.04,714529.0
2023-01-20,31.11,31.11,30.095,30.76,661620.0
2023-01-23,30.74,31.55,30.67,31.38,654563.0
2023-01-24,31.49,31.79,31.045,31.65,336217.0
2023-01-25,31.42,31.705,30.81,31.13,453850.0
2023-01-26,31.22,31.325,30.77,31.05,443092.0
2023-01-27,30.93,31.39,30.89,31.15,626006.0
2023-01-30,31.06,31.48,30.8073,31.2,650600.0
2023-01-31,31.29,31.75,31.01,31.52,638745.0
2023-02-01,31.49,31.5999,30.75,31.22,679191.0
2023-02-02,31.5,31.94,31.15,31.27,620451.0
2023-02-03,31.5,31.645,30.04,30.19,1030182.0
2023-02-06,30.11,30.145,28.775,29.54,912051.0
2023-02-07,29.46,29.72,29.03,29.46,786625.0
2023-02-08,29.55,30.26,29.38,29.57,639380.0
2023-02-09,29.68,30.19,29.42,29.44,611563.0
2023-02-10,29.4,29.63,28.95,29.21,654350.0
2023-02-13,29.21,29.575,29.02,29.47,429615.0
2023-02-14,29.39,29.96,29.2,29.82,435290.0
2023-02-15,29.68,30.32,29.36,30.23,788369.0
2023-02-16,29.78,29.99,29.195,29.66,567058.0
2023-02-17,29.58,30.08,29.52,30.01,476089.0
2023-02-21,29.89,29.99,28.92,28.94,686517.0
2023-02-22,29.0,29.52,28.9,29.09,492967.0
2023-02-23,29.3,29.41,28.4029,28.67,691086.0
2023-02-24,28.41,28.41,27.83,28.15,665840.0
2023-02-27,28.04,28.52,27.9,28.03,707046.0
2023-02-28,27.91,28.4,27.84,27.85,732870.0
2023-03-01,27.8,28.27,27.8,28.04,1179036.0
2023-03-02,27.79,28.95,27.79,28.84,763263.0
2023-03-03,29.11,29.59,28.85,29.31,607726.0
2023-03-06,29.27,29.62,29.17,29.49,791585.0
2023-03-07,29.56,29.93,29.38,29.68,839286.0
2023-03-08,29.66,30.01,29.51,29.98,466563.0
2023-03-09,30.05,30.49,29.45,29.48,683389.0
2023-03-10,29.45,29.59,28.3005,28.63,872156.0
2023-03-13,28.5,29.8,28.45,29.38,828478.0
2023-03-14,29.77,30.98,29.76,30.74,853619.0
2023-03-15,30.41,30.73,29.84,30.65,997656.0
2023-03-16,30.34,30.9,29.5,30.86,1130250.0
2023-03-17,30.91,31.27,30.385,31.19,1277331.0
2023-03-20,31.14,31.54,30.66,31.42,1039556.0
2023-03-21,31.56,32.09,31.35,31.79,1246340.0
2023-03-22,31.68,32.1,31.53,31.54,675355.0
2023-03-23,31.73,32.72,31.47,31.55,698764.0
2023-03-24,31.48,31.98,30.99,31.97,627228.0
2023-03-27,32.11,32.51,32.04,32.32,570822.0
2023-03-28,32.47,33.24,32.47,33.02,838912.0
