date,open,high,low,close,volume
2023-01-11,87.0,87.43,85.96,86.63,17421
2023-01-12,86.04,88.77,86.0,88.01,21860
2023-01-13,88.34,88.97,86.82,87.08,12161
2023-01-17,87.88,88.27,84.42,85.33,22055
2023-01-18,86.15,86.15,79.29,79.76,30505
2023-01-19,79.13,79.8117,77.74,78.33,19764
2023-01-20,79.06,79.06,77.01,78.58,18296
2023-01-23,78.0,78.35,78.0,78.16,14494
2023-01-24,78.31,78.6497,77.35,78.16,8025
2023-01-25,77.1766,78.99,76.97,78.53,15737
2023-01-26,79.37,79.37,77.69,77.92,10645
2023-01-27,77.05,77.63,76.77,77.04,12102
2023-01-30,77.25,79.0,77.24,78.17,12876
2023-01-31,78.04,80.42,78.04,79.86,23232
2023-02-01,80.14,81.13,79.32,80.1,20123
2023-02-02,80.51,81.49,80.01,81.49,14585
2023-02-03,81.44,82.19,80.33,81.87,17622
2023-02-06,81.2,81.2,79.69,80.12,11668
2023-02-07,79.52,80.93,78.52,80.79,19350
2023-02-08,80.05,80.05,78.51,78.51,7994
2023-02-09,78.09,78.42,77.56,78.42,14812
2023-02-10,78.51,79.65,78.19,79.35,12366
2023-02-13,78.72,79.78,78.72,79.78,13057
2023-02-14,79.8,79.8,78.31,78.31,8405
2023-02-15,78.39,80.11,78.39,80.11,10513
2023-02-16,80.25,81.36,80.25,80.78,23555
2023-02-17,81.45,84.11,81.45,84.05,22469
2023-02-21,83.32,84.91,82.74,82.88,17300
2023-02-22,82.55,83.58,82.01,82.79,18011
2023-02-23,82.4,83.135,82.15,82.5,10648
2023-02-24,81.6,82.86,80.9204,82.41,17213
2023-02-27,82.79,83.055,81.31,81.62,8709
2023-02-28,81.57,82.4877,79.88,81.53,42567
2023-03-01,80.8,80.8,79.54,79.54,13414
2023-03-02,79.86,80.3,78.22,79.63,21534
2023-03-03,78.91,79.22,78.55,78.8,7881
2023-03-06,78.37,78.65,78.0593,78.35,9977
2023-03-07,78.71,79.41,77.93,79.41,15755
2023-03-08,79.0,79.0,77.85,77.85,9712
2023-03-09,77.61,79.61,75.63,76.9,23414
2023-03-10,76.0,78.7199,73.05,74.4,24203
2023-03-13,72.71,72.71,70.9488,71.57,31042
2023-03-14,73.5,75.48,72.59,72.59,25457
2023-03-15,71.14,72.52,68.23,72.4,37854
2023-03-16,71.36,74.46,67.73,73.63,46684
2023-03-17,73.1,77.64,72.48,73.54,84543
2023-03-20,74.06,75.81,73.96,75.47,49993
2023-03-21,76.23,78.09,74.33,74.98,51313
2023-03-22,74.97,75.27,73.71,74.57,38339
2023-03-23,73.39,74.34,72.78,73.26,23948
2023-03-24,73.19,74.465,72.92,73.99,43461
2023-03-27,74.74,74.74,73.455,73.87,25744
2023-03-28,73.3,74.03,73.2,73.84,35639
2023-03-29,73.82,74.1,68.06,72.45,31496
2023-03-30,72.0,72.0001,70.2,71.54,25932
2023-03-31,72.04,73.74,71.77,73.58,56479
2023-04-03,73.16,74.49,72.455,74.0,37830
2023-04-04,73.41,74.0,68.1,68.44,32771
2023-04-05,68.66,74.94,67.07,68.11,17278
2023-04-06,68.7,69.0053,67.61,67.92,17373
2023-04-10,67.72,70.83,67.6601,70.24,45982
2023-04-11,70.5,70.74,69.84,70.44,22134
2023-04-12,68.9595,69.62,68.9595,69.3,10810
2023-04-13,69.57,70.12,69.15,69.87,17264
2023-04-14,68.3,68.75,67.59,68.5,18082
2023-04-17,69.64,70.15,67.8244,69.51,22962
2023-04-18,69.33,69.33,67.26,67.26,12517
2023-04-19,66.93,68.4,66.93,67.84,14020
2023-04-20,68.25,68.25,66.47,67.44,13160
2023-04-21,67.28,68.0,66.81,67.99,22347
2023-04-24,68.21,68.21,67.15,67.38,10311
2023-04-25,66.89,68.8499,65.225,66.26,13703
2023-04-26,65.53,67.08,65.53,67.08,15611
2023-04-27,67.99,68.14,67.1,67.84,14792
2023-04-28,69.9799,69.9799,68.02,68.39,20290
2023-05-01,68.55,68.55,67.545,68.5,15353
2023-05-02,68.4,68.4,65.05,66.38,18775
2023-05-03,66.695,68.965,66.65,66.84,21327
2023-05-04,66.21,67.51,65.0,67.44,20039
2023-05-05,68.12,69.45,68.03,68.97,15450
2023-05-08,69.0,69.0,67.645,68.1,10862
2023-05-09,68.085,69.105,67.76,68.48,9126
2023-05-10,69.57,69.57,67.98,69.11,16677
2023-05-11,68.33,68.595,68.2,68.28,9466
2023-05-12,67.72,68.28,67.02,68.04,12065
2023-05-15,67.8,68.9899,67.8,67.85,9875
2023-05-16,68.55,68.55,67.66,67.66,8393
2023-05-17,67.91,71.035,67.8,70.82,17951
2023-05-18,70.6,70.88,68.63,70.4,19481
2023-05-19,71.4,71.4,68.6,69.22,14218
2023-05-22,69.74,72.385,69.74,71.7,13882
2023-05-23,72.25,77.51,69.71,76.15,19257
2023-05-24,76.3,76.3,74.01,75.83,13501
2023-05-25,74.9,74.9,73.53,74.16,9569
2023-05-26,75.3,75.945,75.185,75.82,8680
2023-05-30,75.26,77.01,73.5101,76.79,7944
2023-05-31,76.06,77.04,74.32,76.12,19290
2023-06-01,76.97,80.0,76.97,78.81,14765
2023-06-02,79.32,81.99,75.3948,81.99,23151
2023-06-05,81.97,82.78,80.685,81.4,16158
2023-06-06,80.97,85.81,80.97,84.77,33376
2023-06-07,85.76,88.99,84.0,87.81,28441
2023-06-08,87.62,88.36,85.57,87.82,18184
2023-06-09,87.34,88.95,86.65,86.65,13870
2023-06-12,87.22,87.98,86.985,87.19,17217
2023-06-13,88.885,90.0,88.8,89.42,27154
2023-06-14,90.49,90.81,86.45,86.71,21201
2023-06-15,88.9699,89.63,88.04,88.47,19193
2023-06-16,89.22,89.99,85.68,85.68,71000
2023-06-20,86.08,86.7,85.32,86.7,22155
2023-06-21,86.87,88.41,86.75,86.75,25485
2023-06-22,86.075,86.075,83.21,84.3,24248
2023-06-23,83.28,85.57,82.65,83.37,227834
2023-06-26,82.98,84.525,81.97,83.17,41275
2023-06-27,84.0,84.24,82.74,82.93,24910
2023-06-28,82.54,83.62,81.34,83.16,15716
2023-06-29,83.33,85.695,83.33,84.09,16885
2023-06-30,83.23,83.72,82.72,83.2,21186
2023-07-03,83.19,84.44,83.19,84.08,6120
2023-07-05,84.05,85.945,83.265,85.02,20687
2023-07-06,84.78,84.78,82.53,82.53,17114
2023-07-07,82.97,84.63,82.97,83.43,14692
2023-07-10,82.83,84.97,82.83,83.77,23125
2023-07-11,84.15,84.15,80.83,81.42,36666
2023-07-12,82.13,83.4,81.06,81.14,24168
2023-07-13,81.4,82.68,81.0,82.58,17889
2023-07-14,82.6,83.46,82.1,83.05,18144
2023-07-17,84.5,86.5,84.5,86.13,18150
2023-07-18,85.36,86.4,85.36,86.0,81403
2023-07-19,87.1,89.75,85.63,85.99,31628
2023-07-20,86.09,87.92,85.815,87.92,52914
2023-07-21,88.33,88.83,87.34,87.68,26246
