date,open,high,low,close,volume
2023-01-11,14.64,14.7796,14.14,14.51,103841.0
2023-01-12,14.72,14.98,14.12,14.94,106149.0
2023-01-13,14.75,15.385,14.57,15.25,130366.0
2023-01-17,15.32,15.61,14.87,14.97,126031.0
2023-01-18,15.14,16.36,15.14,16.0,230490.0
2023-01-19,15.79,15.85,14.51,14.62,311468.0
2023-01-20,14.92,15.79,14.57,15.36,374267.0
2023-01-23,15.34,15.4942,14.53,15.28,121454.0
2023-01-24,15.25,15.6399,15.09,15.17,99529.0
2023-01-25,15.04,15.07,14.65,14.93,115165.0
2023-01-26,15.15,15.4983,14.6401,14.77,45441.0
2023-01-27,14.64,14.82,14.36,14.57,124136.0
2023-01-30,14.34,14.615,14.24,14.34,98475.0
2023-01-31,14.34,14.58,14.21,14.5,136235.0
2023-02-01,14.55,15.265,14.32,15.23,129965.0
2023-02-02,15.33,16.557,15.29,15.61,135101.0
2023-02-03,15.29,15.74,14.79,14.95,148367.0
2023-02-06,14.73,14.825,14.24,14.3,80049.0
2023-02-07,14.2,14.245,13.38,13.46,105132.0
2023-02-08,13.5,13.9,13.2963,13.8,127334.0
2023-02-09,16.28,19.55,16.28,17.93,1331298.0
2023-02-10,18.04,19.96,17.93,19.84,668881.0
2023-02-13,19.96,20.96,19.8,20.38,378418.0
2023-02-14,20.23,21.46,20.1,21.31,326046.0
2023-02-15,21.13,21.5494,20.42,20.48,393614.0
2023-02-16,20.26,20.61,19.9,20.11,291001.0
2023-02-17,20.25,20.33,19.845,20.26,184469.0
2023-02-21,20.07,20.14,19.61,19.84,166035.0
2023-02-22,20.0,20.0,19.0,19.42,128886.0
2023-02-23,19.62,19.85,19.24,19.34,108611.0
2023-02-24,18.87,19.05,18.36,18.96,106998.0
2023-02-27,19.18,20.0,19.03,19.7,170296.0
2023-02-28,19.75,20.57,19.69,20.31,416491.0
2023-03-01,20.16,21.43,19.92,21.3,161513.0
2023-03-02,21.26,22.0,20.869,21.64,179993.0
2023-03-03,21.81,21.89,21.03,21.72,142106.0
2023-03-06,21.7,21.9527,21.07,21.33,167675.0
2023-03-07,21.42,21.885,20.7695,21.74,167290.0
2023-03-08,21.76,22.53,21.45,22.52,405260.0
2023-03-09,22.76,23.13,21.72,21.94,212768.0
2023-03-10,21.89,21.96,20.45,20.61,153784.0
2023-03-13,20.13,20.87,19.8043,20.32,145858.0
2023-03-14,20.99,21.99,20.41,20.47,103476.0
2023-03-15,20.18,20.18,19.28,20.0,130690.0
2023-03-16,19.63,20.65,19.21,20.35,164025.0
2023-03-17,19.91,19.91,19.01,19.34,203027.0
2023-03-20,19.36,19.55,18.51,19.16,240270.0
2023-03-21,19.68,20.68,19.62,20.53,129074.0
2023-03-22,20.51,20.51,19.41,19.44,57113.0
2023-03-23,19.57,20.46,19.495,19.8,143685.0
2023-03-24,19.41,19.72,19.1,19.71,116035.0
2023-03-27,19.87,20.62,19.73,20.1,167854.0
2023-03-28,20.03,20.527,19.9901,20.34,90902.0
2023-03-29,20.57,20.76,20.16,20.51,114046.0
2023-03-30,20.68,21.21,20.51,20.57,85718.0
2023-03-31,20.5,21.18,20.0211,20.43,253741.0
2023-04-03,20.38,20.52,19.6,19.75,117255.0
2023-04-04,20.07,20.59,19.615,20.36,179797.0
2023-04-05,20.18,20.24,19.2,19.29,91540.0
2023-04-06,19.32,19.4,18.85,19.01,82850.0
2023-04-10,19.02,19.77,19.02,19.76,155183.0
2023-04-11,19.76,19.99,18.5,18.93,126120.0
2023-04-12,19.07,19.17,18.85,18.99,83411.0
2023-04-13,18.99,19.11,18.14,18.2,118312.0
2023-04-14,18.22,18.74,18.22,18.35,120798.0
2023-04-17,18.47,18.86,18.31,18.85,194393.0
2023-04-18,18.89,19.51,18.8611,19.0,95471.0
2023-04-19,18.86,19.05,17.51,18.19,168463.0
2023-04-20,18.0,18.22,17.58,17.71,83317.0
2023-04-21,17.57,17.74,17.37,17.72,157729.0
2023-04-24,17.72,18.41,17.625,18.38,68992.0
2023-04-25,18.2,18.3,17.8,18.06,88648.0
2023-04-26,17.93,17.97,17.435,17.58,60583.0
2023-04-27,17.57,18.28,17.49,18.26,103151.0
2023-04-28,18.21,18.74,18.21,18.7,119219.0
2023-05-01,18.68,19.42,18.68,19.35,127631.0
2023-05-02,19.44,19.45,18.9416,19.39,115163.0
2023-05-03,19.3,19.59,19.2108,19.27,74993.0
2023-05-04,19.1,19.1,18.49,18.53,132915.0
2023-05-05,18.15,19.23,17.84,19.13,144670.0
2023-05-08,19.37,19.76,19.13,19.75,154416.0
2023-05-09,19.58,19.6925,18.45,18.63,566780.0
2023-05-10,18.9,19.44,18.8,19.41,285303.0
2023-05-11,19.35,19.51,18.65,19.32,372018.0
2023-05-12,24.58,27.7499,24.15,26.33,2972562.0
2023-05-15,24.29,24.7,22.0,23.61,884506.0
2023-05-16,23.55,23.75,21.745,22.02,449454.0
2023-05-17,22.25,22.25,21.18,21.21,384093.0
