date,open,high,low,close,volume
2023-01-11,16.03,16.285,15.91,16.17,193388.0
2023-01-12,16.19,16.74,16.085,16.42,105564.0
2023-01-13,16.39,16.7,16.26,16.59,100014.0
2023-01-17,16.59,17.27,16.575,17.06,177131.0
2023-01-18,17.15,17.345,16.615,16.77,369602.0
2023-01-19,16.87,17.13,16.365,17.03,172305.0
2023-01-20,17.1,17.44,16.92,17.12,223075.0
2023-01-23,17.15,17.29,16.99,17.19,261339.0
2023-01-24,17.22,17.3,16.9,17.01,163611.0
2023-01-25,17.04,17.4,16.86,17.14,106835.0
2023-01-26,16.8,17.15,16.8,17.13,135735.0
2023-01-27,17.08,17.38,17.06,17.2,140297.0
2023-01-30,17.09,17.27,17.03,17.11,109865.0
2023-01-31,17.02,17.52,16.99,17.24,299391.0
2023-02-01,17.15,17.57,17.025,17.41,325093.0
2023-02-02,17.5,17.75,17.37,17.52,594497.0
2023-02-03,17.27,17.68,17.22,17.29,493988.0
2023-02-06,17.2,17.44,17.025,17.21,163865.0
2023-02-07,17.2,17.69,17.19,17.61,379170.0
2023-02-08,17.74,17.74,16.99,17.0,343486.0
2023-02-09,17.09,17.21,16.59,16.68,305348.0
2023-02-10,16.63,16.6599,16.34,16.61,154253.0
2023-02-13,16.68,16.975,16.54,16.76,116558.0
2023-02-14,16.77,17.06,16.6694,16.98,128795.0
2023-02-15,18.66,19.17,17.81,18.31,3407581.0
2023-02-16,18.0,18.98,17.71,18.66,808236.0
2023-02-17,18.72,18.93,18.18,18.91,584872.0
2023-02-21,18.87,19.01,18.21,18.53,633832.0
2023-02-22,18.5,18.78,17.765,17.8,1044116.0
2023-02-23,17.85,18.62,17.6801,18.6,429763.0
2023-02-24,18.53,18.53,18.01,18.33,397990.0
2023-02-27,18.42,18.45,17.79,17.84,579427.0
2023-02-28,17.8,17.85,17.35,17.44,599669.0
2023-03-01,17.43,18.05,17.415,17.96,368731.0
2023-03-02,17.79,17.86,17.32,17.67,292354.0
2023-03-03,17.79,17.89,17.63,17.76,112829.0
2023-03-06,17.7,17.75,17.14,17.27,293820.0
2023-03-07,17.26,17.4,17.0257,17.13,134754.0
2023-03-08,17.07,17.18,16.71,16.74,430134.0
2023-03-09,16.6,16.8,16.13,16.23,224717.0
2023-03-10,16.17,16.23,15.77,15.9,408511.0
2023-03-13,15.75,16.03,15.6,15.67,496649.0
2023-03-14,15.83,16.01,15.71,15.81,307556.0
2023-03-15,15.57,16.13,15.21,16.07,622407.0
2023-03-16,15.92,16.59,15.83,16.4,312792.0
2023-03-17,16.08,16.3285,15.78,15.88,186037.0
2023-03-20,15.93,16.02,15.83,15.97,166316.0
2023-03-21,16.07,16.52,15.99,16.42,218042.0
2023-03-22,16.53,16.54,16.0,16.0,356859.0
2023-03-23,16.1,16.27,15.79,15.85,279928.0
2023-03-24,15.74,15.94,15.71,15.91,251025.0
2023-03-27,16.06,16.62,16.015,16.36,879230.0
2023-03-28,16.38,16.85,16.3,16.79,215137.0
2023-03-29,16.95,17.0699,16.77,16.84,124771.0
2023-03-30,16.96,17.145,16.68,17.05,127416.0
2023-03-31,17.11,17.5,17.1,17.41,297549.0
2023-04-03,17.42,17.42,16.7,16.98,586842.0
2023-04-04,16.89,17.17,16.72,17.12,383862.0
2023-04-05,17.23,17.48,17.03,17.28,158573.0
2023-04-06,17.21,17.3,17.07,17.13,93827.0
2023-04-10,17.08,17.11,16.61,16.68,411865.0
2023-04-11,16.76,16.82,16.38,16.63,150865.0
2023-04-12,16.74,16.865,16.22,16.26,370153.0
2023-04-13,16.26,16.65,16.26,16.31,155854.0
2023-04-14,16.44,16.47,15.9,16.03,211616.0
2023-04-17,15.98,16.35,15.84,16.27,207521.0
2023-04-18,16.29,16.51,16.28,16.38,89487.0
2023-04-19,16.28,16.7,16.21,16.69,150162.0
2023-04-20,16.68,17.28,16.68,17.11,582013.0
2023-04-21,17.23,17.54,17.07,17.12,185952.0
2023-04-24,17.17,17.25,16.881,17.01,166432.0
2023-04-25,16.85,16.85,16.425,16.66,207356.0
2023-04-26,16.5,16.99,16.39,16.95,596716.0
2023-04-27,17.03,17.1,16.795,17.02,111695.0
2023-04-28,17.03,17.58,17.03,17.46,151675.0
2023-05-01,17.5,17.73,17.26,17.52,324965.0
2023-05-02,17.43,17.555,17.19,17.48,477487.0
2023-05-03,17.21,18.21,16.845,17.78,887651.0
2023-05-04,17.62,17.725,17.1601,17.5,779525.0
2023-05-05,17.58,17.71,17.41,17.5,592367.0
2023-05-08,17.33,18.42,17.33,18.28,410529.0
2023-05-09,18.19,18.54,18.1,18.4,325022.0
2023-05-10,18.57,18.665,18.31,18.35,217790.0
2023-05-11,18.25,18.6,18.2,18.54,195675.0
2023-05-12,18.6,18.75,18.23,18.6,820372.0
2023-05-15,18.7,19.055,18.5,18.6,395668.0
2023-05-16,18.59,18.93,18.365,18.83,437510.0
2023-05-17,18.95,19.96,18.55,19.51,2066785.0
2023-05-18,19.65,19.78,19.16,19.41,1037380.0
2023-05-19,19.68,19.73,19.05,19.45,257609.0
2023-05-22,19.49,19.837,19.38,19.46,675169.0
2023-05-23,19.35,19.66,18.89,19.13,731815.0
2023-05-24,18.95,19.01,18.415,18.6,687206.0
2023-05-25,18.5,18.54,18.19,18.41,494608.0
2023-05-26,18.38,18.5,17.83,17.94,282760.0
2023-05-30,17.94,18.047,17.69,17.75,345089.0
2023-05-31,17.77,18.03,17.43,17.86,336921.0
2023-06-01,18.01,18.455,17.85,18.25,319178.0
2023-06-02,18.3,18.35,17.93,18.25,278859.0
2023-06-05,18.34,18.94,18.12,18.42,793626.0
2023-06-06,18.57,18.61,18.105,18.44,1161671.0
2023-06-07,18.51,18.655,18.21,18.33,291393.0
2023-06-08,18.23,18.66,18.23,18.51,230491.0
2023-06-09,18.63,18.675,18.39,18.49,261711.0
2023-06-12,18.63,18.93,18.355,18.9,182015.0
2023-06-13,18.98,19.36,18.85,19.0,372346.0
2023-06-14,18.96,19.2403,18.96,19.18,178671.0
2023-06-15,19.12,19.69,19.1,19.67,401092.0
2023-06-16,19.72,19.97,19.545,19.6,427663.0
2023-06-20,19.5,19.69,19.105,19.48,300430.0
2023-06-21,19.34,19.71,19.2,19.56,342189.0
2023-06-22,19.43,19.69,19.39,19.5,325877.0
2023-06-23,19.39,19.5547,19.26,19.34,145354.0
2023-06-26,19.32,19.829,19.32,19.57,239091.0
2023-06-27,19.59,20.19,19.47,19.77,427083.0
2023-06-28,19.76,19.8,19.23,19.36,384842.0
2023-06-29,19.27,19.65,19.07,19.18,408712.0
2023-06-30,20.39,21.95,19.53,20.07,2120893.0
2023-07-03,20.07,20.93,19.925,20.38,376294.0
2023-07-05,20.59,20.6757,19.6,19.78,299570.0
2023-07-06,19.61,19.91,19.26,19.62,552616.0
2023-07-07,19.72,20.08,19.49,19.77,289009.0
2023-07-10,19.87,20.0183,19.58,19.73,290342.0
2023-07-11,19.81,20.115,19.36,19.6,546637.0
2023-07-12,19.84,20.56,19.5947,20.35,1532535.0
2023-07-13,20.35,21.21,20.3434,20.99,881591.0
2023-07-14,21.06,21.2299,20.53,20.86,320324.0
2023-07-17,20.8,21.11,20.63,20.64,302893.0
2023-07-18,20.56,20.64,20.11,20.2,831781.0
2023-07-19,20.28,20.41,19.825,20.12,325121.0
2023-07-20,20.18,20.29,19.99,20.2,131730.0
2023-07-21,20.34,20.58,20.16,20.47,115575.0
2023-07-24,20.28,20.42,19.46,19.65,293476.0
2023-07-25,20.3,20.3,19.73,19.82,287471.0
2023-07-26,19.72,19.89,19.49,19.54,205051.0
2023-07-27,19.67,19.73,19.32,19.34,258737.0
2023-07-28,19.49,20.0,19.3601,19.74,412618.0
2023-07-31,19.82,19.93,19.59,19.87,216086.0
2023-08-01,19.79,19.915,19.015,19.35,524253.0
2023-08-02,19.17,20.3,18.7,18.91,1030721.0
2023-08-03,18.76,18.95,18.34,18.87,1218461.0
2023-08-04,18.73,19.65,18.59,18.63,715819.0
2023-08-07,18.7,19.07,18.35,18.69,458383.0
