date,open,high,low,close,volume
2023-01-11,20.99,22.45,20.55,22.34,347774.0
2023-01-12,22.5,23.61,21.155,23.47,484623.0
2023-01-13,23.12,24.2784,23.12,23.54,245510.0
2023-01-17,23.54,24.98,23.41,24.95,641005.0
2023-01-18,25.05,25.35,23.88,23.99,340441.0
2023-01-19,23.66,23.909,22.69,23.88,376441.0
2023-01-20,24.08,24.51,23.25,24.45,280920.0
2023-01-23,24.45,25.435,24.32,25.18,411703.0
2023-01-24,25.05,25.38,24.29,25.0,179603.0
2023-01-25,24.47,24.815,23.98,24.15,198391.0
2023-01-26,24.63,24.63,23.24,23.8,218595.0
2023-01-27,23.73,24.15,23.37,23.5,279246.0
2023-01-30,23.0,23.46,21.83,23.12,415254.0
2023-01-31,23.21,23.84,22.95,23.44,313015.0
2023-02-01,23.51,23.66,22.57,23.52,434536.0
2023-02-02,23.99,25.48,23.74,25.27,470834.0
2023-02-03,24.68,26.62,24.53,26.07,447337.0
2023-02-06,25.86,26.89,25.4832,26.02,381546.0
2023-02-07,25.82,26.0385,23.75,24.43,266115.0
2023-02-08,24.34,25.535,24.13,24.85,278942.0
2023-02-09,25.13,25.13,23.04,23.18,221684.0
2023-02-10,22.94,23.4,22.65,22.98,145332.0
2023-02-13,23.09,23.64,22.57,22.86,232339.0
2023-02-14,22.55,23.065,22.09,22.57,181243.0
2023-02-15,22.32,23.67,22.28,23.66,199594.0
2023-02-16,22.96,23.62,22.6171,22.75,166546.0
2023-02-17,22.81,23.65,22.5725,23.63,149833.0
2023-02-21,23.03,23.03,21.08,21.18,311796.0
2023-02-22,21.24,22.72,20.74,22.44,417395.0
2023-02-23,22.68,22.92,22.25,22.77,248605.0
2023-02-24,22.15,23.94,21.91,22.73,255750.0
2023-02-27,23.0,23.72,22.65,23.25,211509.0
2023-02-28,23.16,24.2621,22.76,23.26,249241.0
2023-03-01,23.3,23.685,22.26,22.8,218743.0
2023-03-02,22.14,23.45,22.02,23.29,159555.0
2023-03-03,23.58,24.14,23.0022,23.93,179880.0
2023-03-06,23.98,24.07,22.23,22.76,248689.0
2023-03-07,22.89,23.43,22.49,22.7,217741.0
2023-03-08,22.66,23.17,22.26,22.64,222353.0
2023-03-09,22.66,23.3,22.3,22.5,235045.0
2023-03-10,22.39,22.58,17.57,19.5,1230847.0
2023-03-13,19.3,21.18,19.04,20.77,389916.0
2023-03-14,21.68,22.06,20.6701,21.57,294057.0
2023-03-15,21.21,22.12,20.7033,21.48,223663.0
2023-03-16,21.08,21.58,19.2,19.98,522619.0
2023-03-17,18.91,21.65,18.3584,21.52,744066.0
2023-03-20,21.5,21.61,20.34,20.76,602237.0
2023-03-21,21.21,22.07,20.675,22.05,341658.0
2023-03-22,21.98,22.0,20.92,20.96,422574.0
2023-03-23,21.05,22.4572,21.05,21.52,419252.0
2023-03-24,21.52,21.8,21.215,21.53,303374.0
2023-03-27,21.9,22.22,21.27,21.8,244787.0
2023-03-28,21.57,21.84,20.4,20.59,247880.0
2023-03-29,20.98,21.12,19.965,20.84,285236.0
2023-03-30,21.21,21.31,20.55,20.78,225371.0
2023-03-31,21.06,22.1,21.0,21.75,405620.0
2023-04-03,21.57,21.78,19.85,20.13,296357.0
2023-04-04,20.24,20.555,19.805,20.21,242282.0
2023-04-05,20.0,20.145,19.44,19.77,284059.0
2023-04-06,19.71,20.21,19.71,20.13,281752.0
2023-04-10,19.97,19.97,19.04,19.62,269502.0
2023-04-11,19.71,20.1,19.31,19.42,194706.0
2023-04-12,19.76,20.11,19.4,19.94,244233.0
2023-04-13,20.14,21.575,19.9675,21.37,323575.0
2023-04-14,21.44,21.56,19.81,19.89,180872.0
2023-04-17,19.89,20.57,19.6706,20.43,138511.0
2023-04-18,20.51,20.81,19.45,19.7,164458.0
2023-04-19,19.5,19.91,19.26,19.79,177047.0
2023-04-20,19.52,19.62,19.03,19.22,192500.0
2023-04-21,19.25,19.86,19.25,19.72,139312.0
2023-04-24,19.69,19.94,19.15,19.35,160550.0
2023-04-25,19.06,19.275,18.0,18.14,275862.0
2023-04-26,18.13,18.29,17.89,17.98,209121.0
2023-04-27,18.16,18.16,17.45,17.62,211752.0
2023-04-28,17.58,18.11,17.39,17.56,299785.0
2023-05-01,17.77,18.27,17.53,18.1,139003.0
2023-05-02,17.94,18.37,17.18,17.19,191054.0
2023-05-03,17.28,18.375,17.25,17.7,203230.0
2023-05-04,17.69,17.98,17.16,17.9,180207.0
2023-05-05,18.51,19.6712,18.17,19.34,245751.0
2023-05-08,19.24,19.66,18.805,19.16,177278.0
2023-05-09,19.06,19.06,18.42,18.8,182552.0
2023-05-10,19.41,19.52,18.43,18.61,376659.0
2023-05-11,18.1,19.54,16.28,18.25,885976.0
2023-05-12,18.44,18.95,18.17,18.8,277197.0
2023-05-15,18.9,20.0,18.5809,19.46,267904.0
2023-05-16,19.15,20.49,18.49,20.24,408310.0
2023-05-17,20.35,22.05,20.03,21.92,419419.0
2023-05-18,21.88,22.0851,21.48,21.75,361288.0
2023-05-19,22.4,24.0,21.26,21.4,554195.0
2023-05-22,21.4,22.445,21.17,22.23,500932.0
2023-05-23,22.2,23.29,22.05,22.26,234322.0
2023-05-24,22.47,22.76,21.645,22.58,203196.0
2023-05-25,22.56,22.6,22.05,22.4,247260.0
2023-05-26,22.48,22.785,22.26,22.5,172220.0
2023-05-30,22.7,23.63,22.615,23.36,225566.0
2023-05-31,23.26,23.64,22.89,23.35,461788.0
2023-06-01,23.32,23.48,22.76,23.1,191547.0
2023-06-02,23.38,23.87,22.53,23.2,305466.0
2023-06-05,22.9,24.36,22.67,23.68,327843.0
2023-06-06,23.68,24.5,23.34,24.08,250501.0
2023-06-07,24.16,24.45,23.58,23.61,321592.0
2023-06-08,23.44,23.73,23.12,23.18,236664.0
2023-06-09,23.21,23.44,22.62,22.68,200234.0
2023-06-12,22.81,24.18,22.565,24.0,294161.0
2023-06-13,24.0,24.46,23.12,24.34,327946.0
2023-06-14,24.34,24.34,23.0,23.21,217643.0
2023-06-15,23.01,23.36,22.59,22.82,201517.0
2023-06-16,23.2,23.9,22.88,23.62,593344.0
2023-06-20,23.39,24.35,22.715,24.12,358425.0
2023-06-21,24.06,24.06,22.11,23.54,460053.0
2023-06-22,23.44,23.725,22.77,23.45,486014.0
2023-06-23,23.05,23.46,22.72,23.02,1456824.0
2023-06-26,22.9,23.23,22.52,22.71,306604.0
2023-06-27,22.79,23.16,22.45,22.92,312557.0
2023-06-28,22.9,22.915,22.33,22.59,341810.0
2023-06-29,22.58,23.39,22.45,22.59,259635.0
2023-06-30,22.86,23.02,22.08,22.1,207064.0
2023-07-03,22.11,22.53,21.46,21.5,164573.0
2023-07-05,21.4,21.4,20.13,20.4,312994.0
2023-07-06,20.11,20.65,19.65,20.57,347413.0
2023-07-07,20.59,20.91,20.25,20.37,203711.0
2023-07-10,20.31,21.3,20.31,21.29,269222.0
2023-07-11,21.51,23.85,21.51,22.96,475189.0
2023-07-12,23.32,23.32,22.51,22.87,332453.0
2023-07-13,21.47,21.5,19.915,20.5,697153.0
2023-07-14,20.46,20.46,19.585,19.62,389563.0
2023-07-17,19.83,20.31,19.41,20.17,266187.0
2023-07-18,20.17,20.59,20.0,20.35,241357.0
2023-07-19,20.44,21.08,20.2,20.23,207054.0
2023-07-20,20.23,20.24,19.95,20.03,200947.0
2023-07-21,20.09,20.395,19.92,20.07,233587.0
2023-07-24,20.03,20.08,19.3,19.54,194459.0
2023-07-25,19.43,19.68,19.35,19.41,155369.0
2023-07-26,19.28,19.61,19.11,19.44,311571.0
2023-07-27,19.81,19.99,19.49,19.56,206035.0
2023-07-28,19.76,20.14,19.7,19.74,145904.0
2023-07-31,19.75,20.24,19.74,19.88,176203.0
2023-08-01,19.67,19.67,19.02,19.34,179403.0
