date,open,high,low,close,volume
2023-01-11,95.51,96.3,95.51,96.03,723395.0
2023-01-12,96.92,97.565,95.885,97.26,708665.0
2023-01-13,96.31,98.07,96.08,97.95,526379.0
2023-01-17,98.36,98.72,97.87,98.59,555176.0
2023-01-18,98.6,99.49,97.27,97.27,563067.0
2023-01-19,96.89,97.66,96.19,97.56,473636.0
2023-01-20,97.57,98.95,96.83,98.85,325642.0
2023-01-23,98.88,99.94,98.47,99.61,436815.0
2023-01-24,99.44,100.04,99.0,99.62,331506.0
2023-01-25,99.26,99.89,98.8,99.69,485137.0
2023-01-26,100.2,101.53,99.84,101.49,2150167.0
2023-01-27,100.43,100.52,99.77,100.25,1734397.0
2023-01-30,99.74,99.99,98.94,99.01,355368.0
2023-01-31,99.33,100.72,98.04,100.64,612926.0
2023-02-01,100.8,101.09,99.27,100.68,577991.0
2023-02-02,101.03,101.27,100.27,100.32,474429.0
2023-02-03,99.53,101.15,99.46,100.64,384338.0
2023-02-06,99.84,100.765,99.35,100.74,275993.0
2023-02-07,100.52,102.48,100.25,101.98,491266.0
2023-02-08,101.6,102.4,101.33,101.59,353117.0
2023-02-09,102.64,102.79,100.69,100.91,327343.0
2023-02-10,101.13,101.57,100.8,101.43,264702.0
2023-02-13,101.4,102.0,101.06,101.51,249957.0
2023-02-14,101.44,101.92,100.39,101.37,293555.0
2023-02-15,100.1,100.87,100.1,100.82,236135.0
2023-02-16,100.04,101.09,99.92,100.39,261841.0
2023-02-17,100.0,100.54,99.6624,100.31,354824.0
2023-02-21,99.67,99.72,97.55,97.75,481600.0
2023-02-22,97.5,97.8,96.29,96.84,434185.0
2023-02-23,97.53,97.68,95.88,96.28,488979.0
2023-02-24,95.0,96.29,94.58,96.28,443326.0
2023-02-27,96.96,97.45,96.27,96.39,352691.0
2023-02-28,95.86,95.96,94.145,94.76,689180.0
2023-03-01,94.59,96.04,94.51,95.95,543076.0
2023-03-02,95.23,95.3,93.6,94.67,434408.0
2023-03-03,94.92,96.45,94.78,96.13,468677.0
2023-03-06,96.32,96.785,95.66,95.94,343560.0
2023-03-07,95.56,95.56,92.62,93.03,520513.0
2023-03-08,92.88,93.5,92.23,92.25,370475.0
2023-03-09,92.14,92.395,90.28,90.65,645698.0
2023-03-10,90.1,90.28,87.96,88.26,1307824.0
2023-03-13,86.73,87.75,83.77,87.14,1672023.0
2023-03-14,89.19,89.53,87.65,88.11,1263997.0
2023-03-15,85.43,86.096,84.57,85.94,1201613.0
2023-03-16,85.33,88.0,84.59,87.08,746923.0
2023-03-17,86.35,86.35,84.875,85.25,664829.0
2023-03-20,85.98,86.8,85.25,85.8,634485.0
2023-03-21,87.14,87.65,86.39,86.66,773027.0
2023-03-22,87.08,87.34,85.64,85.65,573697.0
2023-03-23,86.1,86.915,84.2,84.39,530655.0
2023-03-24,83.33,84.58,82.2501,84.55,547240.0
2023-03-27,85.85,86.18,85.11,85.78,530372.0
