date,open,high,low,close,volume
2023-01-11,21.16,21.3,20.9585,21.05,19332
2023-01-12,21.1,21.3399,21.0,21.26,22059
2023-01-13,21.09,21.52,20.99,21.45,12647
2023-01-17,21.49,21.49,21.0645,21.31,74954
2023-01-18,21.18,21.38,20.915,21.28,59253
2023-01-19,21.31,21.62,21.2401,21.5,29965
2023-01-20,21.6,21.89,21.6,21.81,30999
2023-01-23,21.9,21.95,21.79,21.79,28794
2023-01-24,21.79,21.83,21.28,21.46,19959
2023-01-25,21.16,21.52,21.1494,21.39,15098
2023-01-26,22.479,22.479,21.15,21.41,18392
2023-01-27,21.42,21.74,21.295,21.63,28005
2023-01-30,21.41,21.5667,21.05,21.32,17693
2023-01-31,20.81,21.31,20.81,21.06,28760
2023-02-01,20.91,21.33,20.91,21.02,24636
2023-02-02,21.17,21.3,21.0301,21.3,29253
2023-02-03,21.24,21.62,21.06,21.43,34171
2023-02-06,21.31,21.4,21.18,21.2,15879
2023-02-07,21.05,21.46,21.04,21.34,22942
2023-02-08,21.21,21.25,20.91,20.93,20327
2023-02-09,20.96,21.08,20.77,20.79,36003
2023-02-10,20.83,20.96,20.735,20.82,46094
2023-02-13,20.92,20.9842,20.72,20.84,22540
2023-02-14,20.97,20.97,20.43,20.47,24606
2023-02-15,20.47,20.74,20.44,20.7,18395
2023-02-16,20.458,21.06,20.36,20.96,79614
2023-02-17,20.99,21.72,20.94,21.58,54661
2023-02-21,21.55,21.59,21.14,21.21,25592
2023-02-22,21.06,21.06,20.63,20.71,23693
2023-02-23,20.7648,20.89,20.54,20.69,22280
2023-02-24,20.52,20.52,20.27,20.36,30799
2023-02-27,20.38,20.59,20.38,20.54,16183
2023-02-28,20.6,20.6,20.21,20.21,34616
2023-03-01,20.135,20.35,20.07,20.23,42708
2023-03-02,20.21,20.21,19.99,20.19,20386
2023-03-03,20.17,20.3,20.05,20.24,34828
2023-03-06,20.2,20.23,19.93,19.99,76156
2023-03-07,19.93,19.93,19.61,19.73,19591
2023-03-08,19.88,19.88,19.65,19.84,20172
2023-03-09,19.71,19.71,19.14,19.14,47222
2023-03-10,18.97,19.1,18.5,18.65,64652
2023-03-13,18.5,18.51,17.3,17.57,82888
2023-03-14,18.46,18.71,17.78,17.91,53745
2023-03-15,17.55,18.15,17.38,17.99,35293
2023-03-16,17.8,18.67,17.67,18.24,40869
2023-03-17,18.2,18.2,17.51,17.51,119706
2023-03-20,17.67,18.05,17.53,17.53,49980
2023-03-21,17.8,18.2499,17.8,18.12,39270
2023-03-22,18.15,18.21,17.7,17.7,37854
2023-03-23,17.75,17.84,17.22,17.24,38991
2023-03-24,17.03,17.56,17.03,17.45,40771
2023-03-27,17.7,17.86,17.53,17.53,27935
2023-03-28,17.46,17.68,17.46,17.6,27415
2023-03-29,17.62,17.71,17.36,17.48,18084
2023-03-30,17.7,17.755,17.05,17.13,32641
2023-03-31,17.16,17.33,17.1,17.22,41427
2023-04-03,17.12,17.25,16.7847,16.96,38200
2023-04-04,16.79,16.82,16.39,16.4,44475
2023-04-05,16.28,16.51,16.26,16.51,32382
2023-04-06,16.4,16.62,16.34,16.59,29363
2023-04-10,16.61,16.67,16.6,16.64,45778
2023-04-11,16.73,16.78,16.6,16.69,34814
2023-04-12,16.76,16.81,16.31,16.34,20436
2023-04-13,16.35,16.36,16.01,16.33,68476
2023-04-14,16.52,16.545,16.02,16.05,66543
2023-04-17,16.06,16.27,15.81,16.22,53191
