date,open,high,low,close,volume
2023-01-11,27.08,27.47,26.7101,27.15,3503910.0
2023-01-12,27.34,28.18,27.16,27.73,2664892.0
2023-01-13,27.62,28.48,27.51,28.41,2128853.0
2023-01-17,28.74,29.2686,28.37,28.8,2998714.0
2023-01-18,29.29,29.53,27.41,27.43,3394175.0
2023-01-19,27.18,27.69,26.9,27.45,2353701.0
2023-01-20,27.68,28.3599,27.11,28.11,3090839.0
2023-01-23,28.26,28.56,27.63,27.98,2691229.0
2023-01-24,27.71,28.14,27.25,27.88,2819883.0
2023-01-25,27.6,27.69,26.56,27.06,4290215.0
2023-01-26,26.92,26.99,25.27,26.58,6546078.0
2023-01-27,26.39,27.41,26.31,27.25,3021996.0
2023-01-30,26.99,28.145,26.69,27.82,4444681.0
2023-01-31,27.53,28.08,27.36,27.89,3199682.0
2023-02-01,27.77,28.0267,26.75,27.68,3758215.0
2023-02-02,27.71,28.44,27.0501,28.42,4142551.0
2023-02-03,28.55,28.93,27.69,27.76,3344764.0
2023-02-06,27.65,28.21,27.1,27.85,4132709.0
2023-02-07,28.47,29.06,26.78,28.27,8167262.0
2023-02-08,27.94,28.04,25.65,25.66,8703761.0
2023-02-09,25.75,26.22,25.36,25.55,3819892.0
2023-02-10,25.6,26.46,25.2,26.39,5323037.0
2023-02-13,26.4,26.76,25.87,26.34,6746102.0
2023-02-14,27.8,29.96,26.17,29.85,17419841.0
2023-02-15,29.61,31.22,29.05,29.54,9585040.0
2023-02-16,29.5,30.42,29.42,29.55,6237790.0
2023-02-17,29.1,29.67,27.97,28.26,5427374.0
2023-02-21,27.71,28.05,25.85,25.85,6077541.0
2023-02-22,25.61,26.63,25.5,26.19,4991173.0
2023-02-23,26.37,26.79,25.73,26.25,3509238.0
2023-02-24,26.05,26.495,25.635,26.31,3234924.0
2023-02-27,26.34,26.97,26.0726,26.77,3084018.0
2023-02-28,26.97,27.65,26.59,27.3,3672575.0
2023-03-01,27.42,27.995,27.25,27.86,3028910.0
2023-03-02,27.61,27.97,27.36,27.55,2343626.0
2023-03-03,27.71,28.54,27.54,28.03,3619173.0
2023-03-06,27.2,27.2,26.0,26.29,4685309.0
2023-03-07,26.15,26.59,25.8389,26.31,3281040.0
2023-03-08,26.15,26.62,25.75,26.02,2383292.0
2023-03-09,25.98,26.32,25.64,25.69,2919593.0
2023-03-10,25.67,26.14,25.15,25.7,3681806.0
2023-03-13,24.89,25.85,24.5105,24.76,3902694.0
2023-03-14,25.08,25.59,24.2,24.52,3213768.0
2023-03-15,23.27,23.565,22.4,22.75,7769956.0
2023-03-16,22.25,23.72,21.952,23.38,5336419.0
2023-03-17,23.15,23.41,22.7,23.32,4650520.0
2023-03-20,23.59,24.19,23.43,23.54,3203913.0
2023-03-21,24.35,24.61,23.52,23.59,3351460.0
2023-03-22,23.73,24.26,23.26,23.47,2619972.0
2023-03-23,23.7,24.25,23.33,23.66,2297556.0
2023-03-24,23.33,24.38,22.93,24.36,2661898.0
2023-03-27,24.28,24.995,23.945,24.86,2400228.0
2023-03-28,25.07,25.9,24.72,25.6,3199841.0
2023-03-29,25.66,25.87,25.12,25.1913,1916174.0
2023-03-30,25.38,25.54,24.2711,25.27,3422398.0
2023-03-31,25.5,25.8999,25.265,25.6,2575971.0
