date,open,high,low,close,volume
2023-01-11,17.38,17.72,17.22,17.53,50030
2023-01-12,17.64,17.82,17.5078,17.68,39643
2023-01-13,17.56,17.82,17.465,17.74,28872
2023-01-17,17.73,17.73,17.47,17.47,20847
2023-01-18,17.43,17.43,16.85,16.92,37461
2023-01-19,16.79,17.18,16.79,17.1,44981
2023-01-20,17.26,17.3,17.03,17.18,53972
2023-01-23,17.21,17.21,17.055,17.21,36605
2023-01-24,17.21,17.21,16.89,17.0,103340
2023-01-25,16.97,17.27,16.85,17.2,63682
2023-01-26,16.95,16.95,15.73,16.35,203564
2023-01-27,15.67,15.88,14.45,15.1,321534
2023-01-30,15.11,15.6,15.06,15.165,88981
2023-01-31,15.18,15.57,15.12,15.56,84512
2023-02-01,15.45,15.6,15.13,15.23,152188
2023-02-02,15.31,15.59,15.24,15.59,52458
2023-02-03,15.52,15.84,15.51,15.7,60116
2023-02-06,15.71,15.71,15.28,15.46,46423
2023-02-07,15.34,15.5,15.21,15.26,45386
2023-02-08,15.28,15.31,14.91,15.05,62479
2023-02-09,15.165,15.165,14.7,14.79,39401
2023-02-10,14.82,15.15,14.77,15.0,59724
2023-02-13,15.22,15.22,14.72,14.87,64344
2023-02-14,14.86,14.86,14.52,14.55,46217
2023-02-15,14.67,15.16,14.42,15.1,109283
2023-02-16,15.15,15.36,14.82,14.83,161117
2023-02-17,14.96,15.11,14.81,14.95,129730
2023-02-21,14.86,14.95,14.65,14.8,105895
2023-02-22,14.81,14.94,14.57,14.73,82841
2023-02-23,14.82,14.82,14.45,14.57,41418
2023-02-24,14.48,14.56,14.39,14.45,47285
2023-02-27,14.46,14.76,14.42,14.57,72172
2023-02-28,14.7,14.9,14.55,14.71,84445
2023-03-01,14.68,14.76,14.57,14.63,69244
2023-03-02,14.56,14.68,14.48,14.59,82377
2023-03-03,14.64,14.87,14.491,14.76,63389
2023-03-06,14.8,14.86,14.65,14.68,96179
2023-03-07,14.7,14.7,14.42,14.45,73742
2023-03-08,14.41,14.5,14.21,14.29,63666
2023-03-09,14.1,14.21,13.09,13.16,224059
2023-03-10,13.01,13.04,12.19,12.72,310876
2023-03-13,12.2,12.2,11.0,11.88,314209
2023-03-14,12.51,12.67,12.15,12.18,196749
2023-03-15,11.88,12.63,11.8,12.42,157150
2023-03-16,12.34,13.2384,11.93,12.84,150101
2023-03-17,12.73,12.73,11.77,11.87,286407
2023-03-20,12.06,12.135,11.745,11.85,101154
2023-03-21,12.09,12.19,11.65,11.76,307267
2023-03-22,11.73,11.73,11.07,11.11,145501
2023-03-23,11.21,11.28,10.81,10.83,172378
2023-03-24,10.75,11.29,10.71,11.13,254910
2023-03-27,11.36,11.63,11.32,11.46,111400
2023-03-28,11.58,11.58,11.22,11.29,129000
2023-03-29,11.34,11.36,11.11,11.31,109350
2023-03-30,11.33,11.33,10.825,10.88,86483
2023-03-31,10.89,10.95,10.74,10.84,274755
2023-04-03,10.86,11.0,10.71,10.82,222310
2023-04-04,10.84,11.1,10.08,10.3,181864
2023-04-05,10.23,10.52,10.18,10.32,214668
2023-04-06,10.36,10.58,10.32,10.4,44705
2023-04-10,10.4,10.61,10.395,10.56,76901
2023-04-11,10.58,10.695,10.35,10.39,93970
2023-04-12,10.4,10.4,10.17,10.19,74756
2023-04-13,10.21,10.41,10.18,10.31,55242
2023-04-14,10.32,10.47,10.0,10.06,88827
2023-04-17,10.02,10.33,9.84,10.33,120672
2023-04-18,10.33,10.46,10.05,10.22,91348
2023-04-19,10.21,10.45,10.165,10.43,50727
2023-04-20,10.27,10.278,10.05,10.2,75959
2023-04-21,10.15,10.235,9.92,10.2,128079
2023-04-24,10.02,10.29,10.01,10.03,79139
2023-04-25,9.95,9.95,9.55,9.6,139288
