date,open,high,low,close,volume
2023-01-11,14.0,14.24,13.96,14.17,145155.0
2023-01-12,14.23,14.345,13.84,14.28,193272.0
2023-01-13,14.0,14.67,13.96,14.65,172461.0
2023-01-17,14.63,15.035,14.38,14.39,162767.0
2023-01-18,14.55,14.97,14.44,14.49,204872.0
2023-01-19,14.35,14.4,14.14,14.26,165105.0
2023-01-20,14.67,14.96,14.28,14.87,264491.0
2023-01-23,14.84,15.28,14.84,15.16,263201.0
2023-01-24,15.23,15.24,14.87,15.04,144804.0
2023-01-25,14.89,15.27,14.84,15.24,127689.0
2023-01-26,15.35,15.77,15.35,15.76,199221.0
2023-01-27,15.65,15.97,15.64,15.88,171334.0
2023-01-30,15.68,15.84,15.48,15.52,202440.0
2023-01-31,15.79,16.39,15.5701,16.37,222484.0
2023-02-01,16.3,16.81,16.05,16.58,377494.0
2023-02-02,16.82,17.635,16.8,17.32,379983.0
2023-02-03,15.27,16.01,14.94,15.41,727151.0
2023-02-06,15.51,15.94,15.46,15.59,406992.0
2023-02-07,15.41,15.77,15.0,15.64,482644.0
2023-02-08,15.49,15.49,14.84,15.06,332815.0
2023-02-09,15.33,15.33,14.89,14.9,358479.0
2023-02-10,14.86,15.13,14.85,15.04,192287.0
2023-02-13,15.02,15.44,14.83,15.39,247975.0
2023-02-14,15.25,15.43,14.91,15.13,184391.0
2023-02-15,14.89,15.29,14.8,15.16,199855.0
2023-02-16,14.84,14.97,14.62,14.67,256986.0
2023-02-17,14.72,14.9,14.51,14.76,321424.0
2023-02-21,14.36,14.78,14.35,14.72,317925.0
2023-02-22,14.79,15.085,14.7,14.81,179681.0
2023-02-23,14.94,15.1,14.72,15.0,139156.0
2023-02-24,14.66,14.85,14.53,14.63,187797.0
2023-02-27,14.82,14.94,14.68,14.84,139804.0
2023-02-28,14.8,14.97,14.7111,14.91,139268.0
2023-03-01,14.89,15.11,14.68,14.93,179454.0
2023-03-02,14.74,15.22,14.67,15.21,199579.0
2023-03-03,15.44,15.73,15.37,15.5,256271.0
2023-03-06,15.46,15.51,14.9,15.01,311172.0
2023-03-07,15.1,15.16,14.86,14.9,115425.0
2023-03-08,15.0,15.15,14.85,15.13,165086.0
2023-03-09,15.12,15.626,15.12,15.13,348341.0
2023-03-10,15.12,15.13,14.05,14.24,324082.0
2023-03-13,14.01,14.305,13.59,13.69,595320.0
2023-03-14,14.27,14.27,13.65,13.8,312713.0
2023-03-15,13.63,14.0579,13.56,13.94,215607.0
2023-03-16,13.81,14.83,13.7501,14.68,335390.0
2023-03-17,14.69,14.71,14.21,14.21,512872.0
2023-03-20,14.31,14.41,14.135,14.15,281830.0
2023-03-21,14.49,14.81,14.49,14.68,245738.0
2023-03-22,14.69,15.13,14.65,14.65,215972.0
2023-03-23,14.95,15.3672,14.56,14.65,359537.0
2023-03-24,14.51,14.835,14.34,14.75,205555.0
2023-03-27,15.0,15.15,14.72,14.75,184042.0
2023-03-28,14.74,14.89,14.6,14.77,172454.0
2023-03-29,14.97,14.98,14.54,14.78,261099.0
2023-03-30,14.9,15.26,14.81,15.21,304000.0
2023-03-31,15.32,15.89,15.32,15.88,187042.0
2023-04-03,15.79,16.31,15.76,16.29,365101.0
2023-04-04,16.29,16.3,15.575,15.68,302828.0
2023-04-05,15.59,15.77,15.475,15.71,488084.0
2023-04-06,15.76,15.8588,15.5101,15.65,176055.0
2023-04-10,15.55,15.93,15.471,15.84,156719.0
2023-04-11,15.9,16.38,15.9,16.34,181091.0
2023-04-12,16.58,16.67,16.31,16.48,212985.0
2023-04-13,16.53,16.625,16.31,16.45,154414.0
2023-04-14,16.42,16.66,16.375,16.64,242975.0
2023-04-17,16.63,16.81,16.58,16.72,136214.0
