date,open,high,low,close,volume
2023-01-11,16.18,16.1913,15.99,16.13,39654
2023-01-12,16.18,16.61,16.01,16.43,50481
2023-01-13,16.27,16.54,16.195,16.52,25635
2023-01-17,16.52,16.525,16.29,16.37,22559
2023-01-18,16.37,16.37,16.12,16.145,34622
2023-01-19,16.02,16.265,16.02,16.07,30419
2023-01-20,16.2,16.36,16.0438,16.27,61837
2023-01-23,16.27,16.44,16.27,16.29,34317
2023-01-24,16.21,16.405,16.07,16.28,31892
2023-01-25,16.19,16.19,16.06,16.13,22120
2023-01-26,16.17,16.27,15.92,16.27,38551
2023-01-27,16.21,16.23,16.02,16.09,29219
2023-01-30,16.0,16.56,16.0,16.27,57422
2023-01-31,16.2441,16.65,16.17,16.62,46267
2023-02-01,16.585,16.84,16.5,16.63,36448
2023-02-02,16.74,16.89,16.61,16.77,54360
2023-02-03,16.71,17.0,16.71,16.96,32426
2023-02-06,16.96,17.2373,16.85,17.16,48156
2023-02-07,17.1,17.57,17.09,17.45,104258
2023-02-08,17.35,17.6,17.35,17.52,32896
2023-02-09,17.55,17.705,17.24,17.26,46145
2023-02-10,17.3,17.38,17.263,17.36,25647
2023-02-13,17.33,17.44,17.3,17.38,34920
2023-02-14,17.38,17.44,17.28,17.34,32761
2023-02-15,17.25,17.5792,17.21,17.39,35646
2023-02-16,17.23,17.3697,17.23,17.34,76257
2023-02-17,17.41,17.6,17.39,17.58,53179
2023-02-21,17.54,17.54,17.24,17.28,32807
2023-02-22,17.4,17.4,17.245,17.26,45439
2023-02-23,17.38,17.395,17.25,17.34,24797
2023-02-24,17.25,17.34,17.24,17.29,45077
2023-02-27,17.44,17.47,17.27,17.31,15237
2023-02-28,17.39,17.54,17.27,17.37,34684
2023-03-01,17.39,17.46,17.25,17.37,35555
2023-03-02,17.25,17.32,17.25,17.32,24204
2023-03-03,17.29,17.41,17.25,17.28,34004
2023-03-06,17.37,17.42,17.25,17.27,49647
2023-03-07,17.26,17.29,17.21,17.27,82517
2023-03-08,17.41,17.41,17.2,17.24,47858
2023-03-09,17.25,17.25,16.11,16.16,112101
2023-03-10,16.01,16.134,15.19,15.33,95548
2023-03-13,14.98,14.98,13.61,13.65,74428
2023-03-14,14.0,14.71,14.0,14.26,64110
2023-03-15,14.0,14.15,13.66,14.14,65159
2023-03-16,13.97,14.85,13.75,14.64,51515
2023-03-17,14.51,14.51,13.79,13.81,141911
2023-03-20,14.0,14.4006,13.9,14.06,67284
2023-03-21,14.34,14.71,14.34,14.61,76918
2023-03-22,14.52,14.65,14.1,14.1,34136
2023-03-23,14.22,14.25,13.72,13.8,45638
2023-03-24,13.73,14.405,13.57,14.29,62937
2023-03-27,14.34,14.47,14.12,14.27,63730
2023-03-28,14.29,14.43,13.99,14.17,31024
2023-03-29,14.13,14.13,13.81,14.06,39538
2023-03-30,14.06,14.5,13.76,13.89,56008
2023-03-31,13.89,14.055,13.835,14.0,189684
2023-04-03,14.08,14.42,13.925,14.08,61614
2023-04-04,14.15,14.15,13.61,13.68,56357
2023-04-05,13.57,13.82,13.55,13.73,46949
2023-04-06,13.77,13.9,13.71,13.75,36165
2023-04-10,13.7,14.02,13.7,13.8,52044
2023-04-11,13.9,14.07,13.82,13.88,49860
2023-04-12,13.895,13.9,13.45,13.46,29856
2023-04-13,13.49,13.53,13.23,13.36,82671
2023-04-14,13.52,13.615,13.16,13.21,52190
2023-04-17,13.16,13.44,13.05,13.39,33381
2023-04-18,13.415,13.415,13.08,13.28,34542
2023-04-19,13.35,13.72,13.335,13.6,47219
2023-04-20,13.51,13.7,13.41,13.56,27033
2023-04-21,13.51,13.69,13.33,13.51,49569
2023-04-24,13.51,13.7508,13.28,13.28,44084
2023-04-25,13.13,13.3,12.79,12.85,38475
2023-04-26,12.9,12.9,12.61,12.74,43088
2023-04-27,13.1,13.15,12.65,13.01,118779
2023-04-28,12.96,13.26,12.81,12.85,48223
2023-05-01,13.32,13.43,13.0501,13.21,86964
2023-05-02,13.21,13.4,12.61,12.75,97757
2023-05-03,12.8,13.34,12.8,12.98,98906
2023-05-04,12.79,12.91,12.35,12.81,153740
2023-05-05,13.17,13.4,12.99,13.36,61169
2023-05-08,13.48,13.52,13.19,13.45,51727
2023-05-09,13.34,13.52,13.1251,13.33,45191
2023-05-10,13.54,13.77,13.39,13.72,58896
2023-05-11,13.53,13.66,13.35,13.5,40773
2023-05-12,13.62,13.62,13.35,13.48,70444
2023-05-15,13.5,13.75,13.49,13.63,42049
2023-05-16,13.73,13.825,13.6,13.62,48654
2023-05-17,13.74,14.05,13.7,14.03,60484
2023-05-18,14.01,14.26,13.905,14.2,47518
2023-05-19,14.35,14.35,13.87,13.9,60271
2023-05-22,14.01,14.35,13.9,14.26,45289
2023-05-23,14.2,14.625,14.2,14.44,42104
2023-05-24,14.35,14.4882,14.2,14.25,90796
2023-05-25,14.14,14.45,14.11,14.28,51245
2023-05-26,14.25,14.45,14.25,14.31,86307
2023-05-30,14.35,14.49,14.3,14.33,47042
2023-05-31,14.24,14.26,14.01,14.1,55545
2023-06-01,14.19,14.395,13.87,14.07,547969
2023-06-02,14.3,15.04,14.28,15.01,123350
2023-06-05,15.01,15.09,14.62,14.91,57879
2023-06-06,15.03,15.77,14.94,15.55,59232
2023-06-07,15.69,16.23,15.69,16.09,80029
2023-06-08,16.06,16.06,15.75,15.84,41382
2023-06-09,15.55,15.69,15.34,15.4,25321
2023-06-12,15.4,15.6,15.07,15.46,35577
2023-06-13,15.46,15.93,15.46,15.9,38605
2023-06-14,15.95,15.965,15.35,15.47,48314
2023-06-15,15.39,15.79,15.34,15.72,33505
2023-06-16,15.9,15.9,15.4,15.44,68754
2023-06-20,15.42,15.42,15.15,15.24,18789
2023-06-21,15.16,15.17,14.995,14.995,19476
2023-06-22,14.85,14.91,14.75,14.86,44489
2023-06-23,14.67,15.44,14.67,15.2,269278
2023-06-26,15.16,15.26,14.82,14.82,51093
2023-06-27,14.86,15.1626,14.85,14.88,85144
2023-06-28,14.86,14.98,14.8,14.83,52960
2023-06-29,14.93,15.1,14.81,14.87,35308
2023-06-30,14.95,14.98,14.7,14.79,81030
2023-07-03,14.79,15.105,14.79,15.01,14121
2023-07-05,14.89,15.0,14.78,14.78,52190
