date,open,high,low,close,volume
2023-01-11,13.96,14.075,13.82,13.94,43490.0
2023-01-12,14.04,14.55,14.02,14.45,74945.0
2023-01-13,14.3,14.47,14.23,14.23,57981.0
2023-01-17,14.4,14.63,14.3,14.44,77164.0
2023-01-18,14.48,14.62,14.18,14.33,56405.0
2023-01-19,14.17,14.32,14.1,14.27,65691.0
2023-01-20,14.14,14.31,14.12,14.27,42507.0
2023-01-23,14.24,14.48,14.24,14.42,42851.0
2023-01-24,14.54,14.94,14.51,14.66,110743.0
2023-01-25,14.73,14.9393,14.63,14.78,107768.0
2023-01-26,14.79,14.9694,14.635,14.72,94493.0
2023-01-27,14.66,15.09,14.62,15.0,68882.0
2023-01-30,15.04,15.04,14.79,14.82,90662.0
2023-01-31,14.88,15.22,14.82,15.17,105390.0
2023-02-01,15.18,15.34,15.1,15.23,48190.0
2023-02-02,15.38,15.44,15.17,15.31,93956.0
2023-02-03,15.38,15.48,15.2,15.44,43513.0
2023-02-06,15.46,15.46,15.25,15.36,39510.0
2023-02-07,15.36,15.4,15.18,15.33,58881.0
2023-02-08,15.35,15.39,15.04,15.12,60507.0
2023-02-09,15.22,15.22,14.62,14.66,87540.0
2023-02-10,14.62,14.81,14.51,14.81,121254.0
2023-02-13,14.85,14.95,14.58,14.77,72546.0
2023-02-14,14.8,14.8515,14.61,14.7,81623.0
2023-02-15,14.66,14.68,14.46,14.68,76320.0
2023-02-16,14.56,14.67,14.41,14.44,80914.0
2023-02-17,14.39,14.83,14.25,14.7,97217.0
2023-02-21,14.75,14.8399,14.45,14.49,41334.0
2023-02-22,14.47,14.8269,14.43,14.78,61236.0
2023-02-23,15.1,15.55,15.0,15.27,150939.0
2023-02-24,15.27,15.77,15.14,15.74,178790.0
2023-02-27,15.84,15.96,15.55,15.55,165810.0
2023-02-28,15.68,15.95,15.67,15.71,93441.0
2023-03-01,15.75,15.8058,15.35,15.44,78789.0
2023-03-02,15.44,15.6,15.31,15.46,59583.0
2023-03-03,15.52,15.74,15.48,15.73,94184.0
2023-03-06,15.71,15.82,15.6631,15.79,89304.0
2023-03-07,15.84,15.84,15.34,15.45,101504.0
2023-03-08,15.46,15.54,15.2,15.35,97431.0
2023-03-09,15.35,15.36,14.69,14.78,160485.0
2023-03-10,14.78,14.78,14.145,14.2,181441.0
2023-03-13,14.15,14.15,13.5,13.91,160578.0
2023-03-14,14.04,14.73,13.93,14.09,215798.0
2023-03-15,13.88,14.075,13.5,13.65,120104.0
2023-03-16,13.52,14.21,13.36,14.0,180180.0
2023-03-17,13.9,13.9,13.35,13.44,248348.0
2023-03-20,13.62,13.95,13.41,13.45,112533.0
2023-03-21,13.68,13.83,13.65,13.78,99645.0
2023-03-22,13.82,13.84,13.45,13.45,162383.0
2023-03-23,13.5,13.7,13.4,13.44,109607.0
2023-03-24,13.42,13.66,13.33,13.65,79006.0
2023-03-27,13.82,13.89,13.65,13.77,139371.0
2023-03-28,13.79,13.9,13.72,13.77,73715.0
2023-03-29,13.78,13.97,13.66,13.83,146973.0
2023-03-30,13.585,13.97,13.43,13.54,107963.0
2023-03-31,13.64,13.78,13.5103,13.62,113191.0
2023-04-03,13.55,13.89,13.51,13.72,163526.0
2023-04-04,13.77,13.87,13.36,13.6,133596.0
2023-04-05,13.56,13.6899,13.45,13.53,50596.0
2023-04-06,13.56,13.65,13.46,13.53,52247.0
2023-04-10,13.48,13.5689,13.32,13.47,81187.0
2023-04-11,13.67,14.0891,13.64,13.9,164848.0
2023-04-12,14.0,14.29,13.9,14.18,105258.0
2023-04-13,14.19,14.4363,14.04,14.37,100616.0
2023-04-14,14.5,14.55,14.15,14.25,94382.0
