date,open,high,low,close,volume
2023-01-11,29.304,29.848,29.264,29.84,322403.75
2023-01-12,29.976,30.576,29.832,30.032,381452.5
2023-01-13,29.832,30.744,29.736,30.672,166670.0
2023-01-17,30.584,31.164,30.384,30.6,164191.25
2023-01-18,30.632,31.064,30.208,30.4,169688.75
2023-01-19,30.208,30.712,30.028,30.4,133276.25
2023-01-20,30.672,30.984,30.24,30.984,147223.75
2023-01-23,30.936,31.888,30.796,31.4,293781.25
2023-01-24,31.368,31.544,30.924,31.0,86716.25
2023-01-25,30.888,31.136,30.248,31.096,95881.25
2023-01-26,31.296,31.296,30.752,30.888,115922.5
2023-01-27,30.936,31.224,30.68,31.136,93785.0
2023-01-30,31.072,31.584,30.688,30.784,175638.75
2023-01-31,31.048,31.8872,30.944,31.704,302065.0
2023-02-01,31.104,32.888,31.06,31.944,368616.25
2023-02-02,32.008,32.768,31.824,32.48,389988.75
2023-02-03,32.264,33.392,32.264,33.064,288523.75
2023-02-06,32.832,32.928,32.0,32.52,243430.0
2023-02-07,32.4,32.776,29.904,32.656,376037.5
2023-02-08,32.408,33.208,32.392,33.152,215432.5
2023-02-09,33.152,33.432,32.312,32.6,158673.75
2023-02-10,32.632,32.816,31.946,32.52,156580.0
2023-02-13,32.568,32.832,32.368,32.832,117090.0
2023-02-14,32.728,33.0,31.96,32.144,168005.0
2023-02-15,31.896,32.46,31.672,32.288,157546.25
2023-02-16,31.912,32.256,31.416,32.032,354878.75
2023-02-17,32.192,32.848,31.872,32.68,184106.25
2023-02-21,32.32,32.752,31.68,31.68,201720.0
2023-02-22,31.728,32.296,31.408,31.568,246212.5
2023-02-23,31.632,31.856,30.704,31.048,207516.25
2023-02-24,30.808,30.9,30.244,30.784,157898.75
2023-02-27,31.04,31.16,30.488,30.488,142542.5
2023-02-28,30.544,30.828,30.204,30.744,249266.25
2023-03-01,30.72,30.832,30.1424,30.512,115122.5
2023-03-02,30.376,30.824,30.376,30.792,99617.5
2023-03-03,30.968,30.968,30.424,30.76,110975.0
2023-03-06,30.856,30.856,29.68,30.032,299395.0
2023-03-07,30.008,30.12,29.756,29.96,178357.5
2023-03-08,30.056,30.304,29.34,30.12,145056.25
2023-03-09,30.28,30.384,30.012,30.192,217290.0
2023-03-10,30.056,30.056,29.672,29.832,183923.75
2023-03-13,29.512,30.112,29.408,29.56,196597.5
