date,open,high,low,close,volume
2023-01-11,41.32,41.735,41.17,41.47,3414322.0
2023-01-12,41.78,42.245,41.59,41.83,3019924.0
2023-01-13,41.28,41.78,40.69,41.72,3893028.0
2023-01-17,41.49,41.61,40.47,40.82,6119274.0
2023-01-18,40.6,41.485,40.24,40.9,7269243.0
2023-01-19,40.49,40.68,39.86,40.27,4851530.0
2023-01-20,40.52,41.265,40.11,41.26,7980610.0
2023-01-23,41.49,42.72,41.26,42.42,4281437.0
2023-01-24,42.42,42.57,41.63,41.82,4273455.0
2023-01-25,41.58,42.77,41.49,42.75,5269762.0
2023-01-26,43.05,43.36,42.48,43.12,3857984.0
2023-01-27,43.04,43.47,43.04,43.29,2856899.0
2023-01-30,42.63,43.02,42.19,42.29,3410533.0
2023-01-31,42.41,43.34,42.18,43.32,2989703.0
2023-02-01,43.0,44.03,42.9,43.66,3604342.0
2023-02-02,43.88,44.785,43.72,44.46,3647296.0
2023-02-03,44.1,44.82,44.09,44.44,2969498.0
2023-02-06,43.87,44.14,43.66,43.78,2719694.0
2023-02-07,43.6,44.54,43.55,44.28,2825100.0
2023-02-08,43.82,44.19,43.71,43.81,3137995.0
2023-02-09,44.02,44.215,43.11,43.17,2869639.0
2023-02-10,42.91,43.14,42.6,43.12,2711987.0
2023-02-13,42.99,43.575,42.82,43.47,2650037.0
2023-02-14,43.33,43.55,42.69,43.36,2694493.0
2023-02-15,42.86,43.53,42.83,43.43,1894420.0
2023-02-16,42.95,43.26,42.71,42.81,2269626.0
2023-02-17,42.98,43.4667,42.81,43.18,4095107.0
2023-02-21,42.71,42.83,41.815,41.95,3974165.0
2023-02-22,41.83,42.22,41.61,41.84,3600445.0
2023-02-23,42.15,42.465,41.5,41.93,4411352.0
2023-02-24,41.44,41.995,41.32,41.89,3760894.0
2023-02-27,42.18,42.5191,41.56,41.75,3074462.0
2023-02-28,41.91,42.16,41.61,41.76,4626851.0
2023-03-01,41.54,41.84,41.365,41.61,3415599.0
2023-03-02,41.23,41.39,39.97,40.35,5668041.0
2023-03-03,40.42,40.99,40.24,40.98,4180968.0
2023-03-06,41.0,41.37,40.685,40.77,4006037.0
2023-03-07,40.43,40.55,38.595,38.69,6548500.0
2023-03-08,38.89,38.89,37.75,38.08,5622264.0
2023-03-09,37.73,37.9,35.665,35.75,9842000.0
2023-03-10,34.57,35.81,33.6,34.44,12623766.0
2023-03-13,31.91,32.64,29.72,30.65,20903777.0
2023-03-14,33.07,33.48,30.92,31.9,13167903.0
2023-03-15,30.61,32.04,30.3814,31.51,16906835.0
2023-03-16,31.05,33.51,30.83,32.59,14992325.0
2023-03-17,32.15,32.47,30.575,30.86,17698424.0
2023-03-20,31.54,32.825,31.25,31.55,12167626.0
2023-03-21,32.8,33.4897,32.63,33.02,7563121.0
2023-03-22,32.91,32.94,30.93,30.96,8102934.0
2023-03-23,31.19,31.32,29.73,29.89,8759560.0
2023-03-24,29.18,31.43,28.7901,31.1,11488691.0
2023-03-27,32.4,32.485,30.405,30.48,12701579.0
2023-03-28,30.5,30.82,30.245,30.73,6859057.0
2023-03-29,31.13,31.43,30.87,31.13,9854839.0
2023-03-30,31.74,31.81,30.4,30.77,8100399.0
2023-03-31,31.11,31.26,29.955,30.37,11001545.0
2023-04-03,30.61,30.84,29.825,30.2,7362124.0
2023-04-04,30.5,30.52,28.81,29.17,9700059.0
2023-04-05,28.55,29.12,28.275,28.62,9071152.0
2023-04-06,28.71,29.415,28.64,29.07,5574960.0
2023-04-10,28.94,29.52,28.82,29.29,5505013.0
2023-04-11,29.29,29.595,29.06,29.41,6216751.0
2023-04-12,29.69,30.06,29.15,29.38,5767779.0
2023-04-13,29.3,29.57,28.94,29.55,7176237.0
2023-04-14,30.07,30.11,28.93,29.1,9370332.0
2023-04-17,29.02,30.33,28.61,30.32,8483233.0
2023-04-18,30.4,30.505,29.9,30.44,7780918.0
2023-04-19,29.12,30.54,28.95,30.5,10555275.0
2023-04-20,29.78,29.95,28.8,29.06,12453460.0
2023-04-21,29.1,29.26,28.45,28.8,8635317.0
2023-04-24,28.7,28.86,28.355,28.6,7526951.0
2023-04-25,28.11,29.085,27.9,28.87,15279124.0
2023-04-26,28.88,29.655,28.48,29.16,18661187.0
2023-04-27,29.38,30.5,29.35,30.09,8392856.0
2023-04-28,29.87,31.575,29.78,30.94,12849551.0
2023-05-01,29.92,30.05,28.7099,28.82,22079562.0
2023-05-02,28.45,28.65,26.02,26.93,16331932.0
2023-05-03,26.95,27.72,26.02,26.22,11423860.0
2023-05-04,25.17,25.57,23.37,24.85,26935529.0
2023-05-05,26.255,26.485,25.63,26.44,10439721.0
2023-05-08,27.0,27.0,25.58,25.76,10999886.0
2023-05-09,25.52,26.11,25.32,26.05,6566022.0
2023-05-10,26.44,26.51,25.15,25.4,9605837.0
2023-05-11,24.99,25.36,24.72,24.8,8251876.0
2023-05-12,25.0,25.035,24.525,24.8,5958956.0
2023-05-15,24.8,25.78,24.79,25.77,5989418.0
2023-05-16,25.8,25.99,25.045,25.05,5354663.0
2023-05-17,25.57,26.525,25.34,26.38,9696911.0
2023-05-18,26.22,26.41,25.87,26.34,7865376.0
2023-05-19,26.46,26.56,25.59,26.18,7046037.0
2023-05-22,26.51,27.205,26.1,27.19,4958701.0
2023-05-23,27.28,28.4,27.27,27.87,9846756.0
2023-05-24,27.61,27.81,26.925,26.93,6736478.0
2023-05-25,26.8,27.23,26.5605,26.85,6078822.0
2023-05-26,26.85,27.08,26.28,27.01,4924699.0
2023-05-30,27.19,27.65,26.64,27.17,6659313.0
2023-05-31,26.75,26.86,25.59,25.78,9193936.0
2023-06-01,26.12,26.51,25.43,26.39,5922237.0
