date,open,high,low,close,volume
2023-01-11,132.48,133.455,131.77,132.8,211135.0
2023-01-12,133.47,136.49,132.82,134.97,312809.0
2023-01-13,134.22,137.46,132.74,137.09,282134.0
2023-01-17,136.55,136.74,134.39,136.57,286263.0
2023-01-18,135.79,135.79,130.2,130.28,362038.0
2023-01-19,129.69,132.35,128.52,131.1,314064.0
2023-01-20,131.6,134.03,130.99,133.79,278756.0
2023-01-23,134.34,136.88,134.13,136.4,340459.0
2023-01-24,135.35,137.51,134.17,136.35,300563.0
2023-01-25,136.09,136.95,133.96,136.01,418971.0
2023-01-26,133.94,139.33,123.685,132.16,1168536.0
2023-01-27,130.31,132.28,126.06,127.45,820648.0
2023-01-30,127.62,128.58,125.81,126.33,488347.0
2023-01-31,126.84,130.28,126.08,130.28,801550.0
2023-02-01,128.59,130.8,127.75,129.23,443416.0
2023-02-02,129.25,129.43,126.77,127.6,573020.0
2023-02-03,127.83,131.31,127.7,129.22,609493.0
2023-02-06,128.68,131.36,128.68,131.32,351392.0
2023-02-07,130.64,133.29,129.73,133.18,337447.0
2023-02-08,132.46,133.82,131.15,132.51,398284.0
2023-02-09,132.6,133.71,132.0,132.02,334264.0
2023-02-10,132.6,132.725,131.01,131.7,331042.0
2023-02-13,131.57,132.35,131.17,131.83,183727.0
2023-02-14,131.84,132.46,129.64,130.63,303933.0
2023-02-15,129.98,132.725,129.91,131.6,232342.0
2023-02-16,130.61,131.68,129.37,129.4,403211.0
2023-02-17,129.66,132.21,129.38,131.3,462066.0
2023-02-21,129.64,130.43,127.14,128.69,381479.0
2023-02-22,128.72,128.945,126.835,127.21,304780.0
2023-02-23,127.96,129.02,126.22,128.69,341729.0
2023-02-24,128.24,131.75,127.65,131.58,492624.0
2023-02-27,131.51,133.0,130.94,131.7,420442.0
2023-02-28,132.25,134.33,131.8,131.82,544818.0
2023-03-01,130.9,133.14,130.14,133.0,494203.0
2023-03-02,132.22,132.75,129.2927,131.52,495151.0
2023-03-03,132.05,132.39,130.79,132.23,394684.0
2023-03-06,131.99,132.82,130.05,130.37,441658.0
2023-03-07,129.75,130.705,126.3912,127.72,343819.0
2023-03-08,127.33,128.39,125.69,126.54,203023.0
2023-03-09,125.31,125.31,119.655,120.05,610642.0
2023-03-10,117.4,121.29,114.0,118.75,1200693.0
2023-03-13,107.76,111.4399,103.01,103.75,2880825.0
2023-03-14,114.06,115.5,110.82,111.52,1383519.0
2023-03-15,107.47,108.85,105.575,106.59,1544044.0
2023-03-16,104.85,111.87,104.28,108.58,1588326.0
2023-03-17,106.91,107.125,101.8712,104.83,1551668.0
2023-03-20,106.96,107.73,103.4,104.73,957571.0
2023-03-21,108.54,110.46,106.43,107.37,1031621.0
2023-03-22,107.5,107.5,100.84,101.03,977944.0
2023-03-23,101.76,102.22,97.78,97.86,1556346.0
2023-03-24,96.22,101.185,95.75,100.07,841083.0
2023-03-27,103.4,104.2499,101.41,102.74,910007.0
2023-03-28,101.71,103.59,101.71,103.1,571346.0
2023-03-29,104.28,104.64,103.3,104.19,468498.0
2023-03-30,105.45,105.88,103.36,103.71,611088.0
2023-03-31,104.85,105.8,103.47,105.34,525757.0
2023-04-03,105.35,107.15,103.89,104.91,508526.0
2023-04-04,105.2,105.839,101.66,102.95,660502.0
2023-04-05,101.2,103.17,100.77,101.58,472697.0
2023-04-06,101.98,103.24,101.7,103.2,527715.0
2023-04-10,102.34,104.38,102.24,103.69,347632.0
2023-04-11,104.54,105.7,103.53,104.79,282020.0
2023-04-12,105.33,105.9,103.53,103.82,306512.0
2023-04-13,103.86,105.4118,103.0,104.95,374234.0
2023-04-14,106.86,107.45,103.94,105.18,559223.0
2023-04-17,105.25,107.36,104.035,107.24,512613.0
2023-04-18,107.46,107.46,104.19,105.04,394144.0
2023-04-19,105.9,109.19,105.1424,109.09,479474.0
2023-04-20,107.18,108.495,104.81,105.67,583427.0
2023-04-21,105.67,105.76,103.28,103.64,418002.0
2023-04-24,103.18,104.53,102.87,103.1,463605.0
2023-04-25,101.56,102.46,100.04,100.98,544927.0
2023-04-26,100.96,104.535,100.86,103.47,742772.0
2023-04-27,105.52,111.04,104.747,110.27,1073230.0
2023-04-28,109.18,113.67,109.18,110.25,2312859.0
2023-05-01,110.1,111.64,106.75,107.2,628065.0
2023-05-02,106.27,106.75,100.49,101.89,811193.0
2023-05-03,102.34,103.975,98.33,98.87,917678.0
2023-05-04,96.35,98.37,92.55,93.42,1364526.0
