date,open,high,low,close,volume
2023-01-11,78.44,78.715,76.695,77.13,9122172.0
2023-01-12,77.36,77.6,76.35,76.84,6059144.0
2023-01-13,76.69,78.0,76.57,77.85,3800089.0
2023-01-17,78.16,78.965,78.08,78.23,5615136.0
2023-01-18,77.99,78.33,76.31,76.32,3996413.0
2023-01-19,75.77,76.525,75.185,75.2,4436432.0
2023-01-20,74.75,75.54,74.03,75.44,11899842.0
2023-01-23,75.54,75.67,74.94,75.5,2463468.0
2023-01-24,75.8,75.99,74.5,75.94,4219145.0
2023-01-25,75.48,75.99,74.625,75.77,3142735.0
2023-01-26,75.62,75.81,75.12,75.53,3743955.0
2023-01-27,72.85,73.04,70.94,71.59,13482949.0
2023-01-30,72.2,73.73,72.05,72.88,9191719.0
2023-01-31,73.38,74.54,73.26,74.53,5890145.0
2023-02-01,74.43,75.3,74.11,74.99,3722158.0
2023-02-02,74.18,74.2,73.31,73.73,5024819.0
2023-02-03,73.96,74.395,73.22,74.29,3861209.0
2023-02-06,74.2,74.41,73.28,73.85,4186872.0
2023-02-07,73.43,73.55,72.71,73.45,3755108.0
2023-02-08,73.12,73.68,72.805,73.36,3230125.0
2023-02-09,73.51,73.75,72.81,72.83,3740363.0
2023-02-10,72.93,73.73,72.73,73.55,3524324.0
2023-02-13,73.87,74.04,73.46,73.77,3664280.0
2023-02-14,73.91,73.91,72.9,73.18,2382506.0
2023-02-15,72.87,72.9899,72.29,72.7,4400229.0
2023-02-16,72.32,72.975,71.74,72.77,4701819.0
2023-02-17,72.96,74.96,72.96,74.52,5019122.0
2023-02-21,73.9,74.73,73.9,74.26,4095499.0
2023-02-22,74.5,75.04,74.19,74.41,3645614.0
2023-02-23,74.41,74.77,72.92,73.66,3008641.0
2023-02-24,73.28,73.36,72.745,73.13,3115005.0
2023-02-27,73.42,74.135,73.215,73.6,3434594.0
2023-02-28,73.29,73.645,72.87,73.3,3614342.0
2023-03-01,73.35,73.35,71.815,72.55,2880849.0
2023-03-02,72.59,73.95,72.54,73.77,2916133.0
2023-03-03,74.0,74.09,73.245,73.95,2532609.0
2023-03-06,73.7,74.035,73.225,73.29,3001579.0
2023-03-07,73.25,73.37,71.05,71.5,6423223.0
2023-03-08,71.43,72.04,71.235,71.96,2941861.0
2023-03-09,72.33,72.53,70.92,71.34,4893419.0
2023-03-10,71.73,71.78,71.185,71.31,3694585.0
2023-03-13,71.35,73.13,71.35,71.5,5949938.0
2023-03-14,71.7,72.32,71.38,72.24,5098034.0
2023-03-15,71.55,73.06,71.55,72.93,5993524.0
2023-03-16,73.31,73.45,72.62,72.95,4256398.0
2023-03-17,73.05,73.05,71.83,72.2,9106081.0
2023-03-20,72.44,73.3,72.39,73.08,4557722.0
2023-03-21,73.02,73.26,71.97,72.38,4561210.0
2023-03-22,72.7,73.28,72.12,72.13,3180846.0
2023-03-23,72.1,72.705,71.775,71.83,3494461.0
2023-03-24,72.25,73.535,72.1,73.42,5013495.0
2023-03-27,73.82,74.475,73.7,74.15,4203919.0
2023-03-28,74.45,74.792,74.235,74.5,4241974.0
2023-03-29,75.0,75.15,74.39,74.47,2873409.0
2023-03-30,74.53,75.395,74.47,75.25,4181628.0
2023-03-31,75.61,75.86,75.06,75.15,5153558.0
2023-04-03,75.24,75.7489,74.87,75.36,3188684.0
2023-04-04,75.55,75.9,74.7,74.73,3002600.0
2023-04-05,75.33,76.09,75.32,75.36,4949537.0
2023-04-06,75.59,76.07,75.01,75.68,3261911.0
2023-04-10,75.17,75.33,74.62,75.14,2735236.0
2023-04-11,75.58,76.205,75.3,76.02,7115650.0
2023-04-12,76.02,76.597,75.62,76.05,4438383.0
2023-04-13,76.05,76.63,75.83,76.52,3315011.0
2023-04-14,76.13,76.26,75.35,75.59,3756960.0
2023-04-17,75.77,76.13,75.42,75.7,4727557.0
2023-04-18,75.72,75.99,75.165,75.54,3499260.0
2023-04-19,75.7,75.9,75.125,75.59,3629725.0
2023-04-20,75.35,76.46,75.23,76.36,7763268.0
2023-04-21,77.18,77.5,76.73,76.8,11708634.0
2023-04-24,76.78,77.935,76.78,77.88,5350887.0
2023-04-25,78.04,78.56,77.51,77.7,6437580.0
2023-04-26,77.16,77.65,76.615,76.68,4592021.0
2023-04-27,76.99,77.975,76.78,77.93,5652593.0
2023-04-28,79.07,81.49,79.07,79.8,9633442.0
2023-05-01,79.84,81.025,79.38,80.69,6111140.0
2023-05-02,80.8,81.055,80.26,80.85,5963273.0
2023-05-03,80.8,81.83,80.62,81.26,6380025.0
2023-05-04,81.53,81.76,80.455,80.79,7441480.0
2023-05-05,80.6,81.0,80.34,80.59,5359466.0
2023-05-08,80.49,80.97,80.1661,80.75,6564734.0
2023-05-09,81.02,81.2,80.55,80.64,3363475.0
2023-05-10,80.55,81.33,80.345,81.1,5094412.0
2023-05-11,81.37,81.67,80.91,81.63,3243344.0
2023-05-12,81.47,82.05,81.31,81.98,3483875.0
2023-05-15,81.89,82.09,80.82,81.08,4477083.0
2023-05-16,81.15,81.29,80.395,80.77,7159505.0
2023-05-17,80.74,81.07,80.14,80.51,3083045.0
2023-05-18,80.11,80.26,79.01,79.69,4043695.0
2023-05-19,79.87,80.04,79.37,79.93,3763284.0
2023-05-22,79.58,79.66,78.22,78.41,6066167.0
2023-05-23,78.29,78.32,77.04,77.04,5299335.0
2023-05-24,77.24,77.43,76.47,76.48,7584219.0
2023-05-25,76.25,76.63,75.535,76.25,6149874.0
2023-05-26,76.2,76.72,76.14,76.21,5750021.0
2023-05-30,75.48,75.88,74.665,74.95,4341371.0
2023-05-31,75.14,75.22,74.3,74.38,19133276.0
2023-06-01,74.91,75.27,74.64,74.9,4704062.0
2023-06-02,74.75,76.12,74.6,76.05,4755175.0
2023-06-05,75.82,77.005,75.82,76.25,4916209.0
2023-06-06,76.36,76.53,75.29,75.57,5154551.0
2023-06-07,75.22,75.43,74.43,75.2,3879627.0
2023-06-08,75.27,75.76,75.07,75.73,3218853.0
2023-06-09,75.46,76.06,75.335,75.84,3186703.0
2023-06-12,76.19,76.29,75.18,75.72,3374671.0
2023-06-13,75.29,75.51,75.035,75.24,4121157.0
2023-06-14,75.23,75.82,74.985,75.42,2978982.0
2023-06-15,75.85,76.82,75.5,76.8,3947553.0
2023-06-16,77.09,78.04,77.09,77.78,7369039.0
2023-06-20,77.94,78.53,77.61,77.62,5232048.0
2023-06-21,77.63,77.94,77.22,77.62,3618085.0
2023-06-22,78.03,78.18,77.45,78.0,3939084.0
2023-06-23,78.33,78.33,77.04,77.11,10964601.0
2023-06-26,76.65,76.905,75.61,76.64,4236624.0
2023-06-27,76.41,76.62,75.62,75.73,7488486.0
2023-06-28,75.33,75.94,74.65,75.91,5100429.0
2023-06-29,75.45,76.74,75.14,76.56,4399072.0
2023-06-30,76.72,77.41,76.57,77.04,4781864.0
