date,open,high,low,close,volume
2023-01-11,94.75,95.4,79.49,82.42,1243256.0
2023-01-12,83.53,87.08,80.58,83.38,754488.0
2023-01-13,81.88,83.5,81.22,81.8,396188.0
2023-01-17,82.26,84.22,77.61,78.84,631373.0
2023-01-18,79.12,79.6,74.505,75.51,480985.0
2023-01-19,75.11,75.11,72.36,72.37,342633.0
2023-01-20,72.84,73.81,71.3,73.4,424731.0
2023-01-23,73.87,76.47,73.51,76.15,486029.0
2023-01-24,76.24,77.13,73.81,74.41,366606.0
2023-01-25,74.1,76.08,71.8,75.73,302366.0
2023-01-26,76.62,78.58,68.73,69.0,882564.0
2023-01-27,69.0,70.3,67.88,69.16,529377.0
2023-01-30,68.79,73.04,68.79,70.71,658616.0
2023-01-31,71.01,72.58,69.88,71.46,447765.0
2023-02-01,71.46,71.71,68.73,70.78,602745.0
2023-02-02,72.06,72.7399,68.97,70.72,905241.0
2023-02-03,60.05,66.0,60.0,62.02,2246583.0
2023-02-06,61.78,65.9628,60.2924,63.7,879476.0
2023-02-07,63.34,64.88,60.95,64.79,720802.0
2023-02-08,65.0,67.24,63.17,63.62,436839.0
2023-02-09,64.05,64.3965,60.5001,61.28,433883.0
2023-02-10,61.25,62.25,60.4,61.05,318929.0
2023-02-13,61.31,62.285,60.15,61.94,277003.0
2023-02-14,61.8,63.85,61.06,63.19,312833.0
2023-02-15,62.92,63.76,61.96,63.19,288346.0
2023-02-16,62.77,63.11,61.73,61.73,269626.0
2023-02-17,61.7,62.23,60.02,61.41,318710.0
2023-02-21,60.88,61.94,58.4,60.02,509241.0
2023-02-22,60.22,61.37,59.58,61.32,351180.0
2023-02-23,61.9,63.16,61.07,63.08,393661.0
2023-02-24,62.16,62.546,60.59,61.56,297023.0
2023-02-27,62.23,62.653,61.1,61.53,307496.0
2023-02-28,61.67,63.53,61.5,62.69,312307.0
2023-03-01,62.77,63.075,61.79,62.48,427704.0
2023-03-02,62.08,62.625,61.17,61.58,235797.0
2023-03-03,62.32,63.02,60.86,61.0,367309.0
2023-03-06,61.22,61.8599,60.34,60.7,284024.0
2023-03-07,60.7,61.17,59.6497,60.77,199652.0
2023-03-08,61.06,61.37,59.3,60.75,242340.0
2023-03-09,60.53,60.75,55.03,55.51,744844.0
2023-03-10,55.5,55.96,51.681,52.69,856019.0
2023-03-13,52.19,52.2,50.1,50.2,505574.0
2023-03-14,51.35,52.05,49.34,50.3,413260.0
2023-03-15,49.25,49.255,45.34,46.78,929729.0
2023-03-16,46.38,48.78,45.39,48.18,516906.0
2023-03-17,47.97,48.16,45.7461,47.52,858511.0
2023-03-20,47.59,47.8499,44.34,44.64,544879.0
2023-03-21,45.22,48.185,45.22,47.44,539340.0
2023-03-22,47.41,47.68,45.01,45.03,270828.0
2023-03-23,45.23,46.59,44.88,45.29,362760.0
2023-03-24,44.76,45.25,43.5601,45.19,292791.0
2023-03-27,45.7,46.37,45.2,45.77,222445.0
2023-03-28,45.72,45.99,44.13,44.34,278240.0
2023-03-29,44.82,45.625,44.46,44.93,256175.0
2023-03-30,45.64,45.875,44.65,44.66,230382.0
2023-03-31,45.51,46.71,45.205,46.58,340847.0
2023-04-03,46.54,46.78,44.1875,46.29,332433.0
2023-04-04,46.44,46.65,44.32,44.83,303227.0
2023-04-05,44.97,46.038,44.41,45.71,442761.0
2023-04-06,45.42,45.89,44.5401,45.28,338560.0
2023-04-10,45.22,47.61,45.01,47.21,398684.0
2023-04-11,46.59,47.55,45.635,46.93,304327.0
2023-04-12,47.19,48.18,45.69,45.76,262177.0
2023-04-13,46.25,47.12,45.79,46.4,256051.0
2023-04-14,46.43,46.73,44.94,45.22,232316.0
2023-04-17,45.2,45.9,44.77,45.51,257783.0
2023-04-18,45.84,46.2715,44.87,45.28,185205.0
2023-04-19,44.98,45.13,43.2074,43.95,459486.0
2023-04-20,43.72,43.72,41.3401,42.1,557509.0
2023-04-21,42.27,43.82,41.65,43.38,372469.0
2023-04-24,43.26,45.26,42.77,45.2,295347.0
2023-04-25,44.71,45.03,41.2975,41.44,392943.0
2023-04-26,41.44,42.84,41.37,41.94,292699.0
2023-04-27,42.08,43.29,41.8,43.07,246628.0
2023-04-28,43.37,44.7,43.16,43.68,242512.0
2023-05-01,43.82,43.83,42.9,43.6,215557.0
2023-05-02,43.19,44.17,41.55,41.68,252787.0
2023-05-03,41.8,43.29,41.6,42.51,245498.0
2023-05-04,42.06,43.385,41.79,42.14,655647.0
2023-05-05,30.39,38.75,30.0,35.27,2329121.0
2023-05-08,35.17,38.78,35.17,36.08,983700.0
2023-05-09,35.74,37.6,35.2101,36.75,513013.0
2023-05-10,37.19,37.835,36.11,36.73,349866.0
2023-05-11,36.59,36.63,35.16,35.7,224471.0
2023-05-12,36.07,37.0,35.52,36.11,244548.0
2023-05-15,36.16,37.36,36.11,37.3,228703.0
2023-05-16,37.1,37.47,35.76,36.15,210494.0
2023-05-17,36.55,37.31,36.43,37.0,201686.0
2023-05-18,36.9,37.945,36.7342,37.76,213075.0
2023-05-19,38.18,38.3,37.31,37.4,208171.0
2023-05-22,37.6,38.2638,36.38,36.94,461556.0
2023-05-23,36.72,37.93,36.56,37.38,218986.0
2023-05-24,37.1,37.7,36.62,37.11,135192.0
2023-05-25,37.09,37.9885,36.83,37.73,209299.0
2023-05-26,37.66,39.02,37.2998,38.65,201189.0
2023-05-30,39.0,39.73,38.01,38.54,206958.0
2023-05-31,38.5,39.62,38.1435,39.11,601403.0
2023-06-01,38.83,39.36,37.35,38.77,229820.0
2023-06-02,39.4,40.69,39.02,40.67,261326.0
2023-06-05,41.0,41.0,39.3,40.19,199273.0
2023-06-06,40.11,42.0922,40.11,42.02,262580.0
2023-06-07,42.27,45.44,42.1715,44.93,790288.0
2023-06-08,45.0,45.29,43.6404,44.62,305732.0
2023-06-09,44.85,48.6,44.6,47.65,702545.0
2023-06-12,47.92,50.82,47.0,50.06,612719.0
2023-06-13,50.71,50.71,46.49,47.74,678672.0
2023-06-14,47.75,47.78,43.69,45.8,506811.0
2023-06-15,45.65,47.11,45.65,46.74,277365.0
2023-06-16,47.85,49.8,46.89,49.64,713573.0
2023-06-20,49.08,49.5,47.55,47.9,270881.0
2023-06-21,47.6,47.63,46.25,46.51,195511.0
2023-06-22,46.49,47.57,45.3835,47.24,152617.0
2023-06-23,46.36,46.65,45.6,45.85,211353.0
2023-06-26,45.61,46.91,45.61,46.02,166476.0
2023-06-27,46.32,47.01,45.56,46.79,145139.0
2023-06-28,46.8,47.0,45.66,46.29,178855.0
2023-06-29,46.43,47.9,46.25,47.4,182442.0
2023-06-30,48.16,48.16,47.13,47.35,164636.0
2023-07-03,47.4,48.26,46.52,47.58,98145.0
