date,open,high,low,close,volume
2023-01-11,32.35,36.11,32.35,34.82,13114
2023-01-12,35.22,38.04,35.22,37.15,19315
2023-01-13,36.7,37.15,35.15,36.48,9598
2023-01-17,36.48,36.8364,33.85,36.08,9750
2023-01-18,36.0592,36.48,35.42,36.1,16733
2023-01-19,36.0,36.0,35.7344,35.95,2167
2023-01-20,35.8685,36.225,35.55,36.02,5262
2023-01-23,36.02,36.11,34.5,34.8,9329
2023-01-24,34.26,36.25,34.26,36.0,16530
2023-01-25,36.08,36.33,35.75,35.76,7205
2023-01-26,35.53,35.62,35.5,35.62,1337
2023-01-27,35.51,36.9999,35.0013,36.6594,9449
2023-01-30,36.5,36.55,35.51,36.55,3793
2023-01-31,35.0043,40.39,35.0043,37.88,20460
2023-02-01,37.75,39.4,37.3,38.06,34066
2023-02-02,39.661,39.661,38.26,38.265,3405
2023-02-03,38.4,38.6,38.02,38.04,9373
2023-02-06,37.64,39.6939,37.64,38.19,9855
2023-02-07,38.19,38.895,37.785,38.02,6693
2023-02-08,36.71,37.72,36.71,37.72,1513
2023-02-09,38.04,39.21,37.855,38.16,38570
2023-02-10,38.15,38.5,37.5,38.1,20148
2023-02-13,38.1,38.1,37.25,37.83,10454
2023-02-14,37.8552,38.05,37.25,37.51,8306
2023-02-15,37.5,38.83,37.5,38.83,4264
2023-02-16,38.24,40.605,38.24,38.65,31380
2023-02-17,38.55,39.99,38.5,39.99,11012
2023-02-21,40.23,41.1264,38.865,39.07,26525
2023-02-22,39.927,39.95,39.0,39.51,10482
2023-02-23,39.4,40.99,39.1001,40.39,14908
2023-02-24,38.5,39.75,38.5,39.5612,12335
2023-02-27,39.08,39.9,38.865,38.93,7567
2023-02-28,38.64,40.0436,38.61,39.75,16287
2023-03-01,39.074,39.5,38.6387,39.425,6905
2023-03-02,42.0,47.8,41.455,47.48,43836
2023-03-03,47.9,48.97,46.615,48.69,42554
2023-03-06,48.98,49.9085,47.0376,49.01,28986
2023-03-07,49.26,49.915,47.51,49.49,31521
2023-03-08,49.82,50.8,49.31,50.69,30150
2023-03-09,50.5,51.25,50.02,50.57,22540
2023-03-10,50.4,50.94,47.93,49.0,23335
2023-03-13,48.2,50.3066,47.9356,47.95,14418
2023-03-14,49.15,50.6049,48.2887,48.74,34795
2023-03-15,50.05,50.7337,48.0001,48.92,17245
2023-03-16,48.91,48.91,48.16,48.49,16084
2023-03-17,48.67,49.07,47.92,47.92,17687
2023-03-20,47.8,50.065,46.75,49.1,15142
2023-03-21,49.6,49.79,48.3901,49.69,9972
2023-03-22,49.79,51.3536,48.93,49.25,31332
2023-03-23,49.01,50.9999,48.75,49.2,38159
2023-03-24,48.66,53.82,48.66,51.47,17885
2023-03-27,52.0,55.7,51.55,52.76,56339
2023-03-28,52.76,53.07,52.01,52.26,21396
2023-03-29,52.65,53.08,51.17,52.94,29245
2023-03-30,53.0,54.38,52.48,53.22,16430
2023-03-31,53.28,54.25,52.96,53.29,22209
2023-04-03,53.83,54.99,51.75,52.34,61682
2023-04-04,52.2,52.33,50.8782,51.67,40027
2023-04-05,52.0,52.0,49.76,51.99,16063
2023-04-06,52.0,54.2943,51.0,52.74,15031
2023-04-10,52.74,53.34,50.7365,52.78,30457
2023-04-11,53.37,54.18,52.78,53.29,30586
2023-04-12,53.21,53.2785,52.47,52.93,18334
2023-04-13,52.424,52.89,52.22,52.89,5541
2023-04-14,52.87,53.18,52.48,52.8,16585
2023-04-17,53.23,53.5,52.365,52.84,22401
2023-04-18,52.57,52.57,51.1497,52.335,12688
2023-04-19,52.24,52.445,50.8,51.32,14927
2023-04-20,51.69,51.89,50.275,51.5,14902
2023-04-21,51.31,51.6399,49.5,50.4,29091
2023-04-24,50.01,51.2099,49.4433,49.46,17498
2023-04-25,48.95,48.95,44.47,45.1,23495
2023-04-26,45.38,45.61,42.56,42.56,36568
2023-04-27,42.41,43.93,41.85,43.81,18781
2023-04-28,43.44,44.9983,43.28,44.4,25703
2023-05-01,44.18,46.6,44.18,45.34,30541
2023-05-02,45.15,46.14,44.0001,45.11,12958
2023-05-03,44.68,46.12,44.4,45.48,13102
2023-05-04,46.04,47.635,45.73,46.29,24161
2023-05-05,47.12,48.77,46.56,48.37,12819
2023-05-08,48.72,48.9,47.315,48.24,16206
2023-05-09,47.56,47.86,47.142,47.77,10814
2023-05-10,46.22,46.7,46.19,46.2,6841
2023-05-11,46.3,47.7837,46.3,47.35,10294
2023-05-12,47.53,48.51,47.24,48.4,11681
2023-05-15,48.9,50.29,48.3501,50.29,16810
2023-05-16,49.53,50.5,49.53,49.63,7813
2023-05-17,50.4999,50.4999,48.83,49.52,42210
2023-05-18,49.463,49.904,48.25,48.25,23761
2023-05-19,48.85,49.38,48.42,48.9,16465
2023-05-22,49.5,50.375,48.41,49.5,35222
2023-05-23,49.65,50.53,49.635,50.43,20914
2023-05-24,50.0,50.13,47.67,47.84,15743
2023-05-25,48.15,48.15,45.85,47.72,17368
2023-05-26,48.21,50.125,47.93,49.4,20424
2023-05-30,49.33,49.33,47.02,48.0,39120
2023-05-31,47.45,48.3,46.9,46.95,28551
2023-06-01,47.39,48.78,46.84,48.49,40612
2023-06-02,49.04,50.0,47.65,48.14,60804
2023-06-05,48.67,48.81,47.09,47.36,67752
2023-06-06,47.05,49.98,47.05,48.0,48462
2023-06-07,48.06,48.25,47.28,48.0,105540
2023-06-08,48.05,48.77,47.575,48.0,31604
2023-06-09,48.17,48.25,46.02,47.55,144945
2023-06-12,47.78,48.25,47.62,47.85,49681
2023-06-13,47.76,48.0,47.05,47.34,42888
2023-06-14,47.5,48.0,46.9,48.0,161811
2023-06-15,48.37,49.1843,47.94,48.2,42459
2023-06-16,48.51,48.92,46.95,47.24,71227
2023-06-20,47.46,49.72,47.46,49.72,58985
2023-06-21,49.11,51.2,49.11,50.5,48718
2023-06-22,50.32,51.54,49.97,50.25,43760
2023-06-23,50.22,50.72,46.15,47.15,526724
2023-06-26,46.9,48.11,44.885,46.23,66445
2023-06-27,46.15,48.26,46.15,47.79,40622
2023-06-28,47.7,48.76,47.11,47.28,59178
2023-06-29,47.57,48.02,47.2,48.02,16337
2023-06-30,48.4192,48.82,47.7,47.86,20964
2023-07-03,47.9,49.89,47.9,49.88,23190
2023-07-05,49.28,50.26,48.37,48.45,29403
2023-07-06,48.04,49.065,47.04,48.48,32820
2023-07-07,48.69,49.8948,48.445,48.52,31105
2023-07-10,48.51,50.3399,48.51,49.0,23140
2023-07-11,48.78,49.53,48.41,48.47,24780
2023-07-12,49.17,49.17,48.25,48.6,19711
