date,open,high,low,close,volume
2023-01-11,9.72,9.76,9.38,9.53,4729969.0
2023-01-12,9.99,10.57,9.81,10.49,9733810.0
2023-01-13,10.38,10.81,10.3,10.81,4201212.0
2023-01-17,10.88,11.18,10.79,11.09,3220890.0
2023-01-18,11.17,11.22,10.585,10.72,4332835.0
2023-01-19,10.61,10.855,10.33,10.7,3022046.0
2023-01-20,10.9,11.205,10.59,11.04,3546352.0
2023-01-23,11.14,11.38,10.99,11.19,1986272.0
2023-01-24,11.28,11.69,11.0,11.63,2750762.0
2023-01-25,11.38,11.555,11.28,11.51,2257190.0
2023-01-26,11.65,11.81,11.4001,11.47,2311112.0
2023-01-27,11.34,11.64,11.08,11.56,2089241.0
2023-01-30,11.37,11.725,11.055,11.16,2215737.0
2023-01-31,11.23,11.95,11.2,11.94,3715222.0
2023-02-01,11.91,12.49,11.74,12.38,3518214.0
2023-02-02,12.57,13.181,12.5,12.85,5032595.0
2023-02-03,12.67,12.935,12.445,12.59,3063754.0
2023-02-06,12.4,12.8,12.335,12.72,1509907.0
2023-02-07,12.66,12.845,12.36,12.71,1891173.0
2023-02-08,12.68,12.77,12.355,12.58,2539118.0
2023-02-09,12.84,12.96,12.08,12.21,2039276.0
2023-02-10,12.03,12.125,11.485,11.7,2798459.0
2023-02-13,11.7,11.905,11.53,11.81,1611947.0
2023-02-14,11.67,11.93,11.42,11.81,2385564.0
2023-02-15,11.69,12.36,11.69,12.35,2052325.0
2023-02-16,12.15,12.2001,11.76,11.81,1951500.0
2023-02-17,11.78,11.875,11.46,11.68,2188241.0
2023-02-21,11.44,12.54,11.4293,12.48,4242978.0
2023-02-22,12.575,12.99,12.535,12.77,3686640.0
2023-02-23,12.91,13.5699,12.76,13.09,4970772.0
2023-02-24,12.42,13.72,12.4,13.27,4815247.0
2023-02-27,13.61,14.045,13.505,13.94,4598571.0
2023-02-28,13.92,14.03,13.515,13.61,4308033.0
2023-03-01,13.68,13.68,13.0,13.43,3119116.0
2023-03-02,13.22,13.79,12.87,13.77,2000866.0
2023-03-03,13.72,14.005,13.68,13.75,1702658.0
2023-03-06,13.8,13.985,13.27,13.52,2803784.0
2023-03-07,13.53,13.555,13.26,13.31,1474086.0
2023-03-08,13.34,13.735,13.27,13.41,2775514.0
2023-03-09,13.38,13.48,12.79,12.82,3258161.0
2023-03-10,12.8,13.12,12.45,12.85,2436802.0
2023-03-13,12.66,13.08,12.315,12.86,2411678.0
2023-03-14,13.1,13.33,12.7,12.82,2302439.0
2023-03-15,12.49,12.74,12.315,12.61,3041025.0
2023-03-16,12.32,12.96,12.2608,12.63,2333970.0
2023-03-17,12.615,12.615,12.07,12.27,4442156.0
2023-03-20,12.4,12.98,12.26,12.9,5616513.0
2023-03-21,13.03,13.195,12.83,12.99,2739075.0
2023-03-22,13.0,13.0,12.5,12.52,1995034.0
2023-03-23,12.73,13.89,12.605,13.24,4464743.0
2023-03-24,13.1,13.455,12.89,13.42,2040132.0
2023-03-27,13.5,13.86,13.325,13.77,2417221.0
2023-03-28,13.75,14.11,13.64,14.03,2560757.0
2023-03-29,14.15,14.33,13.915,14.27,2053127.0
2023-03-30,14.43,14.6,14.2612,14.42,1252188.0
2023-03-31,14.69,14.93,14.63,14.79,2926424.0
2023-04-03,14.64,14.92,14.51,14.86,2070984.0
2023-04-04,14.86,14.93,14.3625,14.58,1856107.0
2023-04-05,14.49,14.58,14.295,14.35,3088039.0
2023-04-06,14.6,15.45,14.47,15.21,4301950.0
2023-04-10,15.61,16.565,15.575,16.21,6173971.0
2023-04-11,16.34,16.7077,16.105,16.28,3237308.0
2023-04-12,16.52,16.71,16.1157,16.33,2154666.0
2023-04-13,16.46,16.655,16.37,16.53,1711015.0
2023-04-14,16.62,16.7,16.13,16.28,1469187.0
2023-04-17,16.64,16.85,16.46,16.69,2448275.0
2023-04-18,16.9,16.9,16.35,16.54,1464699.0
2023-04-19,16.57,16.625,16.3,16.57,1142806.0
2023-04-20,16.44,16.65,16.29,16.52,3126631.0
2023-04-21,16.52,16.59,16.24,16.48,2692340.0
2023-04-24,16.45,16.555,16.18,16.47,1783896.0
2023-04-25,16.27,16.36,15.94,16.04,2055816.0
2023-04-26,16.0,16.21,15.72,15.89,1730072.0
2023-04-27,16.0,16.61,15.865,16.6,2098529.0
2023-04-28,16.5,17.09,16.48,16.88,2017927.0
2023-05-01,16.82,17.18,16.62,17.1,2484449.0
2023-05-02,16.87,17.0,16.4,16.83,2644618.0
