date,open,high,low,close,volume
2023-01-11,21.33,21.89,21.275,21.58,642110.0
2023-01-12,21.71,21.71,21.28,21.46,376306.0
2023-01-13,21.27,21.61,21.14,21.37,774050.0
2023-01-17,21.46,21.58,21.17,21.17,506233.0
2023-01-18,21.27,21.43,20.95,20.98,460022.0
2023-01-19,20.79,20.9599,20.25,20.4,688655.0
2023-01-20,20.53,20.88,20.42,20.87,820884.0
2023-01-23,20.96,21.2,20.83,21.08,343957.0
2023-01-24,21.11,21.45,21.0,21.18,541988.0
2023-01-25,20.9,21.36,20.85,21.27,406273.0
2023-01-26,21.46,21.61,21.1,21.19,420116.0
2023-01-27,21.17,21.87,21.11,21.67,421567.0
2023-01-30,21.56,21.6872,21.43,21.43,508671.0
2023-01-31,21.55,22.13,21.52,22.07,776280.0
2023-02-01,22.0,22.5,21.7,22.32,501643.0
2023-02-02,22.56,23.19,22.43,22.98,725563.0
2023-02-03,22.73,23.455,22.65,23.0,835813.0
2023-02-06,22.87,22.93,22.385,22.74,563918.0
2023-02-07,22.56,22.81,22.35,22.66,683022.0
2023-02-08,22.63,22.7225,22.375,22.56,323277.0
2023-02-09,22.68,22.79,22.02,22.1,407831.0
2023-02-10,22.0,22.26,21.85,22.16,447275.0
2023-02-13,22.3,22.49,22.11,22.47,347378.0
2023-02-14,22.55,23.01,22.28,22.92,590634.0
2023-02-15,22.84,23.44,22.7,23.33,415286.0
2023-02-16,23.04,23.42,23.04,23.19,386638.0
2023-02-17,23.16,23.22,22.69,22.91,888487.0
2023-02-21,22.49,22.52,21.84,22.13,694835.0
2023-02-22,22.21,22.64,22.13,22.59,556538.0
2023-02-23,22.74,22.93,22.4,22.64,415222.0
2023-02-24,22.43,23.13,22.27,23.09,806314.0
2023-02-27,23.4,23.79,23.34,23.51,1123481.0
2023-02-28,23.36,23.535,23.2,23.31,1041155.0
2023-03-01,23.2,23.6,23.0,23.58,816426.0
2023-03-02,23.46,23.84,23.08,23.73,605558.0
2023-03-03,23.95,24.405,23.85,24.28,1244020.0
2023-03-06,24.34,24.69,23.86,23.87,1362599.0
2023-03-07,23.82,24.075,23.68,23.72,749422.0
2023-03-08,23.67,23.69,23.29,23.5,740741.0
2023-03-09,23.54,23.68,22.87,22.89,609760.0
2023-03-10,22.78,22.78,21.87,22.11,1026700.0
2023-03-13,21.83,21.92,21.33,21.45,866691.0
2023-03-14,21.94,22.24,21.65,21.77,558374.0
2023-03-15,21.28,21.7,20.86,21.34,885047.0
2023-03-16,21.08,21.77,20.94,21.67,1118231.0
2023-03-17,21.31,21.49,20.3,20.84,1778747.0
2023-03-20,21.06,21.26,20.95,21.13,402219.0
2023-03-21,21.55,21.88,21.38,21.59,561288.0
2023-03-22,21.45,21.68,21.17,21.23,688888.0
2023-03-23,21.32,21.62,20.92,21.1,437214.0
2023-03-24,20.96,21.06,20.62,21.04,606761.0
2023-03-27,21.41,21.635,21.06,21.32,1061079.0
2023-03-28,21.66,22.28,21.32,22.06,2752352.0
2023-03-29,22.6,22.71,22.1,22.5,1766367.0
2023-03-30,22.89,23.47,22.67,22.89,2118398.0
2023-03-31,22.97,23.105,22.35,23.1,1241963.0
2023-04-03,23.0,23.115,22.7,23.09,867184.0
2023-04-04,23.25,23.25,22.1,22.27,1284670.0
2023-04-05,22.11,22.25,21.745,22.14,910034.0
2023-04-06,22.1,22.22,21.75,22.0,740441.0
2023-04-10,21.93,22.275,21.8678,22.23,583937.0
2023-04-11,22.34,22.7,22.31,22.45,900926.0
2023-04-12,23.64,24.71,23.14,24.64,7413726.0
2023-04-13,24.68,25.395,24.3965,25.09,2801360.0
2023-04-14,25.0,25.21,24.48,24.7,1311863.0
2023-04-17,24.73,24.96,24.46,24.52,949550.0
2023-04-18,24.71,25.12,24.54,25.02,1309827.0
2023-04-19,24.92,25.36,24.83,25.2,1023167.0
2023-04-20,25.18,25.55,25.08,25.44,452258.0
2023-04-21,25.55,25.83,25.25,25.75,914203.0
2023-04-24,25.8,26.06,25.555,25.67,926332.0
2023-04-25,25.51,25.77,25.23,25.29,871933.0
2023-04-26,25.2,25.56,25.16,25.25,684191.0
2023-04-27,25.32,26.08,25.18,26.06,793345.0
2023-04-28,26.0,26.34,25.89,26.06,1382972.0
2023-05-01,26.1,26.29,26.01,26.24,713104.0
2023-05-02,26.13,26.59,25.94,26.48,1087197.0
2023-05-03,26.57,27.26,26.48,26.87,1660993.0
2023-05-04,26.71,27.16,26.23,26.47,1036012.0
2023-05-05,26.65,27.04,26.505,26.84,737395.0
2023-05-08,26.96,27.1,26.4,26.91,604878.0
2023-05-09,26.79,26.94,26.66,26.75,412311.0
2023-05-10,27.19,27.25,26.82,27.1,606023.0
2023-05-11,26.87,27.11,26.61,26.88,344113.0
2023-05-12,26.85,27.1799,26.6053,26.85,739612.0
2023-05-15,26.89,27.245,26.33,27.17,1017508.0
2023-05-16,27.0,27.14,26.72,27.09,385210.0
2023-05-17,27.09,27.25,26.94,27.2,516996.0
2023-05-18,27.07,27.72,26.88,27.42,893221.0
2023-05-19,27.49,27.605,27.14,27.32,634868.0
2023-05-22,27.31,27.57,27.13,27.29,500434.0
