date,open,high,low,close,volume
2023-01-11,7.67,7.725,7.41,7.49,1658630.0
2023-01-12,8.33,8.61,8.11,8.48,7093867.0
2023-01-13,8.5,9.26,8.3975,9.13,6337157.0
2023-01-17,9.05,9.25,9.02,9.11,2580541.0
2023-01-18,9.17,9.34,9.04,9.1,2246422.0
2023-01-19,9.0,9.04,8.715,8.84,2071224.0
2023-01-20,8.87,8.87,8.385,8.84,3077744.0
2023-01-23,8.9,8.97,8.5,8.59,2235049.0
2023-01-24,8.47,8.6,7.765,7.79,4144828.0
2023-01-25,7.7,7.925,7.58,7.84,2402119.0
2023-01-26,7.91,8.13,7.715,7.89,2572931.0
2023-01-27,7.81,8.165,7.765,8.07,1942444.0
2023-01-30,7.938,8.305,7.85,8.14,2319206.0
2023-01-31,8.18,8.415,8.12,8.4,2577485.0
2023-02-01,8.36,8.715,8.23,8.6,2310805.0
2023-02-02,8.76,8.92,8.63,8.79,2252344.0
2023-02-03,8.62,8.76,8.41,8.43,2469437.0
2023-02-06,8.36,8.36,8.11,8.23,1852233.0
2023-02-07,8.2,8.41,8.01,8.37,1599496.0
2023-02-08,8.38,8.44,8.16,8.26,1597074.0
2023-02-09,8.41,8.525,8.14,8.17,1919885.0
2023-02-10,8.09,8.47,8.07,8.42,1628229.0
2023-02-13,8.49,8.675,8.45,8.65,1873188.0
2023-02-14,8.58,8.675,8.4,8.55,1677088.0
2023-02-15,8.44,8.66,8.4001,8.64,1207067.0
2023-02-16,8.49,8.55,8.14,8.14,3127152.0
2023-02-17,8.14,8.14,7.83,8.01,3025368.0
2023-02-21,7.85,7.905,7.53,7.54,3899244.0
2023-02-22,7.5,7.7808,7.3,7.36,3905467.0
2023-02-23,7.69,8.695,7.61,8.58,6921303.0
2023-02-24,8.36,8.4699,7.715,7.78,3688634.0
2023-02-27,7.87,7.935,7.46,7.52,3692246.0
2023-02-28,7.48,7.58,7.2,7.24,5045503.0
2023-03-01,7.25,7.37,7.05,7.1,3372548.0
2023-03-02,7.12,7.78,7.11,7.69,3814115.0
2023-03-03,7.86,7.9,7.72,7.8,1549683.0
2023-03-06,7.86,7.88,7.57,7.66,1961017.0
2023-03-07,7.7,7.7,7.225,7.29,2146101.0
2023-03-08,7.22,7.41,7.22,7.26,1551882.0
2023-03-09,7.25,7.35,6.99,6.99,1744258.0
2023-03-10,6.95,7.015,6.71,6.75,2288689.0
2023-03-13,6.65,6.7,6.45,6.55,3001753.0
2023-03-14,6.83,6.92,6.41,6.5,2293112.0
2023-03-15,6.3,6.56,6.26,6.35,3354991.0
2023-03-16,6.26,6.33,6.07,6.24,2000015.0
2023-03-17,6.19,6.22,5.9099,6.04,4797026.0
2023-03-20,6.08,6.285,6.03,6.08,2122776.0
2023-03-21,6.28,6.53,6.22,6.5,2356268.0
2023-03-22,6.5,6.56,5.93,5.94,2574815.0
2023-03-23,5.96,6.23,5.8625,5.97,2787441.0
2023-03-24,5.88,6.04,5.735,6.02,2256491.0
2023-03-27,6.11,6.22,6.025,6.15,1903183.0
2023-03-28,6.12,6.21,5.92,5.97,1552787.0
2023-03-29,6.06,6.16,6.035,6.11,1449977.0
2023-03-30,6.2,6.38,6.13,6.17,1415458.0
2023-03-31,6.18,6.4,6.1204,6.37,3196847.0
2023-04-03,6.39,6.43,6.02,6.13,2480066.0
2023-04-04,6.15,6.18,5.885,6.01,2109302.0
2023-04-05,5.97,6.005,5.81,5.88,2742474.0
