date,open,high,low,close,volume
2023-01-11,121.73,123.67,121.5,123.67,54036.0
2023-01-12,123.71,124.8,122.7,122.79,73094.0
2023-01-13,123.12,124.95,121.98,124.1,61897.0
2023-01-17,124.24,124.76,121.31,122.96,63383.0
2023-01-18,123.82,123.82,120.36,120.73,55681.0
2023-01-19,120.46,121.6,118.97,120.56,68058.0
2023-01-20,121.57,121.57,119.0,121.44,85617.0
2023-01-23,121.06,123.09,120.4,121.03,44228.0
2023-01-24,121.24,123.9,120.58,122.86,42964.0
2023-01-25,122.61,123.67,121.41,122.79,84603.0
2023-01-26,123.27,124.45,121.51,123.12,77949.0
2023-01-27,122.42,124.62,122.01,124.32,77334.0
2023-01-30,124.09,125.0,122.9,123.08,83726.0
2023-01-31,123.49,126.14,122.67,126.08,94667.0
2023-02-01,125.6,127.32,124.25,125.53,61825.0
2023-02-02,126.0,129.28,125.28,126.17,89344.0
2023-02-03,126.54,126.9,122.6901,126.52,101699.0
2023-02-06,126.51,126.74,123.82,125.66,74683.0
2023-02-07,125.1,126.02,123.32,125.09,83460.0
2023-02-08,124.11,124.53,121.52,122.0,75129.0
2023-02-09,122.31,122.95,119.51,120.02,74890.0
2023-02-10,120.12,123.35,119.69,123.35,67657.0
2023-02-13,122.94,124.04,121.87,122.5,94998.0
2023-02-14,121.94,122.81,119.95,120.53,103383.0
2023-02-15,119.69,121.8526,119.55,121.35,76243.0
2023-02-16,120.18,122.23,119.22,120.61,72160.0
2023-02-17,121.2,123.85,119.86,122.83,83257.0
2023-02-21,121.94,123.22,120.5,122.9,99981.0
2023-02-22,122.28,125.59,121.9,123.6,107147.0
2023-02-23,124.84,128.03,121.95,125.49,121922.0
2023-02-24,124.77,128.14,123.5,128.14,94801.0
2023-02-27,128.33,130.0,127.04,127.59,88015.0
2023-02-28,127.67,129.6,126.68,128.09,78880.0
2023-03-01,127.77,127.77,123.9,125.41,83382.0
2023-03-02,124.81,127.42,123.76,127.42,44030.0
2023-03-03,127.6,129.67,126.3,129.37,101912.0
2023-03-06,129.34,129.47,126.91,127.51,91674.0
2023-03-07,127.43,128.0,125.32,126.17,99052.0
2023-03-08,126.78,128.11,125.54,126.66,78263.0
2023-03-09,127.08,127.59,124.66,124.73,82176.0
2023-03-10,124.5,125.21,122.1,123.81,93358.0
2023-03-13,123.09,127.11,122.55,123.2,77593.0
2023-03-14,124.25,128.1,124.25,126.63,80288.0
2023-03-15,125.4,129.0,124.51,127.99,121540.0
2023-03-16,127.07,131.18,126.2,129.44,104540.0
2023-03-17,128.81,128.81,126.65,128.43,290082.0
2023-03-20,128.77,129.72,127.87,128.09,107347.0
2023-03-21,129.41,130.24,124.15,126.88,191534.0
2023-03-22,127.31,128.02,123.87,124.15,96144.0
2023-03-23,124.29,124.76,121.09,121.33,69992.0
2023-03-24,121.13,125.95,121.13,125.8,71263.0
2023-03-27,126.41,126.92,125.2,125.74,58328.0
2023-03-28,124.96,127.06,124.5,125.91,64633.0
2023-03-29,126.27,127.9999,126.2,127.49,107466.0
2023-03-30,128.0,128.96,126.27,126.6,48323.0
2023-03-31,127.27,128.4799,126.57,127.99,92318.0
2023-04-03,127.91,128.5,126.09,127.11,71539.0
2023-04-04,127.06,127.31,125.53,127.14,54937.0
2023-04-05,127.67,131.43,126.73,130.34,94784.0
2023-04-06,131.43,131.48,129.16,130.48,60680.0
2023-04-10,130.06,131.465,128.5,130.79,88639.0
2023-04-11,130.79,132.095,130.5,131.48,63896.0
2023-04-12,131.53,132.03,130.18,130.66,47322.0
2023-04-13,130.56,130.88,127.84,129.73,77522.0
2023-04-14,129.16,130.16,128.605,129.55,51226.0
2023-04-17,129.45,130.25,128.86,129.92,30827.0
2023-04-18,128.98,130.0,126.93,128.24,59625.0
2023-04-19,127.93,129.95,124.9401,128.52,60218.0
2023-04-20,127.92,129.39,127.53,129.07,53018.0
2023-04-21,129.81,130.5,127.9,128.77,57909.0
2023-04-24,128.13,129.07,127.7,127.99,44677.0
2023-04-25,127.18,128.5,126.95,127.64,45491.0
2023-04-26,126.36,127.99,122.94,123.46,76675.0
2023-04-27,123.53,124.805,123.37,124.28,44548.0
2023-04-28,123.67,125.83,123.01,123.5,48867.0
2023-05-01,123.22,126.13,123.1,123.5,58310.0
2023-05-02,122.65,123.49,121.03,122.64,61384.0
2023-05-03,122.41,126.12,120.75,124.12,68229.0
2023-05-04,120.76,124.94,120.51,124.94,107076.0
2023-05-05,125.42,128.245,125.09,127.8,78846.0
2023-05-08,127.45,127.45,125.74,126.54,59773.0
2023-05-09,126.27,127.39,125.45,126.89,53628.0
2023-05-10,128.27,128.58,125.805,127.87,45072.0
2023-05-11,127.33,127.33,124.92,125.4,34186.0
2023-05-12,126.0,127.3974,125.05,126.47,66783.0
2023-05-15,125.12,126.79,124.76,125.95,56099.0
2023-05-16,125.55,125.55,123.61,123.64,50307.0
2023-05-17,123.81,124.25,122.75,123.35,83109.0
2023-05-18,122.5,125.41,122.28,125.23,304553.0
2023-05-19,126.33,126.33,124.805,125.73,73257.0
2023-05-22,126.09,127.27,125.02,126.8,57632.0
2023-05-23,126.43,128.79,126.06,127.49,81275.0
2023-05-24,126.61,127.14,126.01,126.47,87395.0
2023-05-25,125.74,127.51,125.2925,126.87,66688.0
2023-05-26,126.45,127.31,126.0,126.75,63830.0
2023-05-30,126.43,126.94,125.31,125.4,94436.0
2023-05-31,125.15,127.9,125.085,127.7,99752.0
2023-06-01,127.6,127.6,124.59,126.51,65101.0
2023-06-02,127.34,130.37,125.42,130.04,148834.0
2023-06-05,129.04,129.04,126.07,127.82,91056.0
2023-06-06,128.21,129.56,127.47,128.7,108095.0
2023-06-07,129.55,132.91,128.84,131.75,119060.0
2023-06-08,131.45,131.79,129.46,130.99,43781.0
2023-06-09,130.51,131.15,129.68,130.53,76493.0
2023-06-12,130.63,131.18,128.46,129.24,64391.0
2023-06-13,128.97,129.95,127.92,128.02,70212.0
2023-06-14,127.93,128.17,126.63,126.66,69498.0
2023-06-15,126.96,127.83,125.44,126.56,72881.0
2023-06-16,127.76,127.9,125.57,126.65,199606.0
2023-06-20,126.21,126.75,124.68,125.4,72691.0
2023-06-21,125.59,126.94,124.91,125.61,51271.0
2023-06-22,126.23,126.23,123.41,124.35,79465.0
2023-06-23,124.35,124.735,119.72,120.31,160164.0
2023-06-26,120.71,122.705,120.52,121.66,54847.0
2023-06-27,121.97,123.17,121.52,121.88,63008.0
2023-06-28,122.06,122.15,118.12,118.4,91245.0
2023-06-29,118.08,119.368,117.43,118.83,106119.0
2023-06-30,118.91,119.5861,118.335,119.0,76160.0
2023-07-03,118.21,119.768,118.15,118.79,36889.0
2023-07-05,118.87,120.76,118.41,118.65,75501.0
2023-07-06,118.0,118.83,116.92,118.75,61357.0
2023-07-07,118.23,118.23,116.75,118.0,88479.0
2023-07-10,117.81,118.69,117.07,118.29,83288.0
2023-07-11,119.03,119.24,117.82,118.84,80562.0
2023-07-12,119.67,121.12,118.9,120.79,59722.0
2023-07-13,120.55,121.955,120.0,121.84,56321.0
2023-07-14,121.73,122.175,119.9436,121.45,54064.0
2023-07-17,121.39,121.416,119.3,119.66,70499.0
2023-07-18,120.07,121.1615,117.16,119.56,78637.0
2023-07-19,119.7,121.46,118.78,121.1,80938.0
2023-07-20,120.76,123.14,120.76,122.77,61947.0
2023-07-21,123.26,124.23,120.055,123.01,46788.0
2023-07-24,122.94,123.655,121.173,122.05,89269.0
