date,open,high,low,close,volume
2023-01-11,62.85,63.5,62.2923,63.2,1420159.0
2023-01-12,63.3,63.82,62.81,63.73,1089246.0
2023-01-13,62.96,64.38,62.94,64.23,1046310.0
2023-01-17,63.76,64.28,63.18,63.36,1304113.0
2023-01-18,64.09,64.62,63.24,63.36,1091167.0
2023-01-19,62.38,62.6023,61.2,61.54,1255740.0
2023-01-20,61.7,63.28,61.42,63.17,1049898.0
2023-01-23,63.3,64.52,62.98,64.41,1616783.0
2023-01-24,64.41,64.56,63.615,64.02,1115261.0
2023-01-25,63.36,63.98,62.62,63.67,1237084.0
2023-01-26,64.45,64.64,63.14,64.15,1258143.0
2023-01-27,63.59,64.72,63.54,64.64,1142020.0
2023-01-30,63.63,64.7,63.48,64.41,1332415.0
2023-01-31,64.9,67.11,64.73,66.49,2036292.0
2023-02-01,66.71,68.665,66.1,68.38,1580209.0
2023-02-02,68.56,69.205,67.28,68.03,1674658.0
2023-02-03,66.84,69.25,66.4288,67.96,1487619.0
2023-02-06,67.11,67.6,65.68,66.11,1563003.0
2023-02-07,65.69,67.06,65.01,66.36,1928561.0
2023-02-08,52.87,53.0,47.4005,50.71,21846446.0
2023-02-09,51.34,52.84,48.715,49.44,8136545.0
2023-02-10,48.65,50.22,48.22,49.85,4363917.0
2023-02-13,49.53,51.4,49.25,51.21,3915753.0
2023-02-14,50.55,52.17,50.54,51.2,3112574.0
2023-02-15,50.625,51.68,50.32,51.24,2443109.0
2023-02-16,50.34,51.15,50.26,50.39,2801187.0
2023-02-17,49.95,50.92,49.8402,50.32,2496182.0
2023-02-21,49.28,49.86,48.27,48.31,2489264.0
2023-02-22,48.72,49.76,48.35,49.48,1862848.0
2023-02-23,50.0,50.37,49.33,50.05,2014353.0
2023-02-24,49.19,50.41,49.0,50.21,2114131.0
2023-02-27,50.77,50.88,49.77,49.99,2234142.0
2023-02-28,50.22,50.5528,49.57,49.57,2771878.0
2023-03-01,49.94,50.695,48.99,49.27,3035677.0
2023-03-02,48.84,49.905,48.69,49.77,1942814.0
2023-03-03,50.01,50.095,49.28,49.78,2209162.0
2023-03-06,49.83,49.9,47.91,48.09,3981863.0
2023-03-07,48.13,48.64,47.14,47.27,3403415.0
2023-03-08,47.13,47.3,46.315,46.4,3218113.0
2023-03-09,46.41,46.41,44.09,44.23,4283556.0
2023-03-10,44.22,44.22,42.02,42.88,4996248.0
2023-03-13,41.68,42.11,40.52,40.99,5335756.0
2023-03-14,42.31,42.76,41.53,41.96,3120177.0
2023-03-15,40.34,41.54,40.23,41.4,3671009.0
2023-03-16,40.64,42.335,40.55,41.84,2440111.0
2023-03-17,41.32,42.76,40.69,42.41,6584714.0
2023-03-20,42.86,43.67,42.46,42.85,3387378.0
2023-03-21,44.26,45.33,43.905,44.18,3382456.0
2023-03-22,44.1,44.86,43.27,43.34,2362479.0
2023-03-23,43.82,44.43,42.6,43.42,2007207.0
2023-03-24,42.85,43.735,42.77,43.41,1901530.0
2023-03-27,43.92,43.92,43.13,43.53,1453835.0
2023-03-28,43.92,45.28,43.54,44.78,1735709.0
2023-03-29,45.29,45.97,44.76,45.87,2209404.0
2023-03-30,46.74,47.12,45.78,45.83,1461361.0
2023-03-31,46.4,47.14,46.2163,47.0,1599695.0
2023-04-03,47.36,47.5,46.26,47.03,1188681.0
2023-04-04,47.3,47.3,45.54,45.98,1228081.0
2023-04-05,45.05,45.3022,44.1,44.64,2168281.0
2023-04-06,44.22,44.39,42.78,42.88,2908794.0
2023-04-10,42.72,43.86,42.4,43.57,1706430.0
2023-04-11,43.65,44.12,43.29,43.73,1729882.0
2023-04-12,44.35,44.58,42.88,42.97,2981623.0
2023-04-13,43.38,44.265,42.97,43.97,1782430.0
2023-04-14,44.07,44.81,43.865,44.5,1658192.0
2023-04-17,44.78,44.78,43.85,44.25,2248122.0
2023-04-18,44.69,45.0,43.96,44.98,2009565.0
2023-04-19,44.7,45.27,44.58,45.21,1270033.0
2023-04-20,45.58,46.81,45.57,45.69,1704915.0
2023-04-21,45.7,45.82,45.1145,45.33,1130155.0
2023-04-24,45.3,45.43,44.76,45.0,1517425.0
2023-04-25,43.01,43.82,42.4,42.42,3275755.0
2023-04-26,42.55,42.69,41.29,41.38,2233248.0
2023-04-27,41.6,41.94,41.1,41.4,2136105.0
2023-04-28,41.13,41.59,40.97,41.5,2071168.0
2023-05-01,41.46,41.92,41.16,41.36,1961173.0
2023-05-02,40.39,40.67,38.89,39.79,2611249.0
2023-05-03,39.6,40.09,39.08,39.19,2289246.0
2023-05-04,39.01,39.11,37.125,37.35,2933968.0
2023-05-05,38.1,38.648,37.59,38.31,2488380.0
2023-05-08,38.76,38.94,37.44,37.79,2197201.0
2023-05-09,37.34,37.56,36.77,37.28,2416278.0
2023-05-10,37.93,38.04,36.4,36.95,2391268.0
2023-05-11,37.49,38.67,37.4,38.13,3483493.0
2023-05-12,38.35,39.22,38.3,39.22,2686973.0
2023-05-15,39.57,40.64,39.46,40.25,2456123.0
2023-05-16,39.74,40.03,38.77,39.1,2100217.0
2023-05-17,39.11,40.64,38.95,40.45,1637266.0
2023-05-18,40.63,41.29,40.5,41.04,1584235.0
2023-05-19,40.55,40.625,38.9,39.54,2114206.0
2023-05-22,39.56,39.86,39.15,39.47,1768843.0
2023-05-23,39.01,39.78,38.51,39.13,1689296.0
2023-05-24,39.085,39.73,38.24,39.37,1970225.0
2023-05-25,39.51,40.18,38.95,39.21,2198544.0
2023-05-26,39.08,40.47,39.02,39.97,2362404.0
2023-05-30,40.58,41.05,39.36,39.58,4186659.0
2023-05-31,38.575,38.61,34.58,35.1,9815681.0
2023-06-01,35.2,35.35,34.25,34.43,4859403.0
2023-06-02,34.65,36.64,34.65,36.1,4684668.0
2023-06-05,36.18,36.39,35.37,35.69,2754711.0
2023-06-06,35.39,37.55,35.12,37.2,4043013.0
2023-06-07,37.14,39.13,37.1,38.9,3918499.0
2023-06-08,38.59,38.89,37.9,38.12,3737650.0
2023-06-09,38.04,38.34,36.61,37.0,3766079.0
2023-06-12,37.2,37.36,36.41,36.52,2133107.0
2023-06-13,36.25,36.9,35.99,36.67,2127387.0
2023-06-14,37.06,37.76,36.62,36.9,1592514.0
2023-06-15,36.64,37.0,36.14,36.82,2328725.0
2023-06-16,37.17,37.525,36.55,36.93,3977149.0
2023-06-20,36.58,36.592,35.445,36.38,2564911.0
2023-06-21,36.28,36.84,35.89,36.18,1570382.0
2023-06-22,36.17,36.445,35.26,36.19,1739283.0
2023-06-23,35.48,36.1,35.3,35.81,2247937.0
2023-06-26,36.12,36.87,35.48,35.76,1903008.0
2023-06-27,35.95,36.82,35.69,36.47,1910582.0
2023-06-28,36.57,36.57,35.34,35.55,2111872.0
2023-06-29,35.66,36.575,35.65,35.93,1715821.0
2023-06-30,36.14,36.27,35.54,35.89,1828747.0
2023-07-03,36.13,37.32,36.13,36.8,1974393.0
2023-07-05,36.37,36.47,35.585,35.68,2373940.0
2023-07-06,35.0,35.205,34.17,35.04,2894367.0
2023-07-07,34.7,35.635,34.7,35.07,1809838.0
2023-07-10,35.12,36.1,35.0,35.94,1792664.0
2023-07-11,36.13,36.62,35.9,36.35,1962046.0
2023-07-12,37.0,37.19,36.27,36.35,1494707.0
2023-07-13,36.38,36.66,36.07,36.18,1536026.0
2023-07-14,36.2,36.2659,35.175,35.26,1984916.0
2023-07-17,34.66,35.01,34.3,34.79,2508623.0
2023-07-18,34.8,36.84,34.8,36.48,3489934.0
2023-07-19,36.86,37.33,36.28,37.2,2573626.0
2023-07-20,37.42,37.42,36.11,36.15,1490194.0
2023-07-21,36.42,36.465,35.665,35.83,1398335.0
2023-07-24,35.74,36.685,35.5,36.44,1502338.0
2023-07-25,36.52,36.6382,35.83,36.16,1675381.0
2023-07-26,36.0,36.65,35.67,36.47,1463275.0
2023-07-27,36.74,37.065,35.685,35.87,1392263.0
2023-07-28,36.44,37.27,36.25,37.07,2090061.0
2023-07-31,36.11,37.49,36.11,36.91,2193761.0
2023-08-01,36.68,36.97,36.02,36.42,1788438.0
2023-08-02,35.95,36.21,35.36,36.0,1868493.0
2023-08-03,35.97,36.03,35.02,35.35,2523958.0
2023-08-04,35.47,36.69,35.34,35.51,3076451.0
2023-08-07,35.49,36.6,35.43,35.95,3229135.0
2023-08-08,35.35,35.35,34.3901,35.21,2912381.0
2023-08-09,35.04,35.34,34.25,34.61,2784614.0
2023-08-10,54.5,54.52,53.65,53.9,49657403.0
2023-08-11,53.44,53.65,52.94,53.14,10022498.0
2023-08-14,53.0,53.44,52.25,52.26,6580872.0
2023-08-15,52.25,52.78,51.89,51.93,5181538.0
2023-08-16,51.8,52.32,51.5,51.51,5524815.0
2023-08-17,51.6,51.95,51.6,51.63,3612329.0
2023-08-18,51.51,52.1,51.5,52.02,2487980.0
2023-08-21,51.9,52.14,51.69,51.85,1935507.0
2023-08-22,51.8,51.86,51.505,51.66,2601034.0
2023-08-23,51.65,52.24,51.55,52.02,2759736.0
2023-08-24,52.06,52.09,51.735,51.87,2018201.0
2023-08-25,52.0,52.1,51.44,52.03,2641328.0
2023-08-28,51.98,52.6,51.92,52.38,2366344.0
2023-08-29,52.48,52.595,52.33,52.45,2414711.0
2023-08-30,52.445,52.585,52.345,52.47,1847223.0
2023-08-31,52.55,52.615,52.43,52.49,2196135.0
2023-09-01,52.65,52.87,52.51,52.76,1782414.0
2023-09-05,52.56,52.95,52.56,52.7,2436911.0
2023-09-06,52.65,52.955,52.6,52.9,2305680.0
2023-09-07,52.71,52.82,52.6,52.71,1767608.0
2023-09-08,52.75,52.8,52.63,52.78,1067183.0
2023-09-11,52.8,52.995,52.77,52.95,1875563.0
2023-09-12,52.99,53.06,52.61,52.62,1965624.0
2023-09-13,52.8,52.8,52.25,52.4,2317336.0
2023-09-14,52.57,52.69,52.37,52.63,2099255.0
2023-09-15,52.47,52.58,52.19,52.19,7540741.0
2023-09-18,52.28,52.37,52.2,52.2,1164844.0
2023-09-19,52.25,52.37,52.2,52.36,1171494.0
2023-09-20,52.45,52.8,52.38,52.43,1357744.0
2023-09-21,52.46,52.55,52.29,52.35,1690691.0
2023-09-22,52.54,52.54,52.25,52.36,1961756.0
2023-09-25,52.21,52.47,52.175,52.36,1481339.0
2023-09-26,52.25,52.43,52.21,52.29,1910636.0
2023-09-27,52.35,52.59,52.25,52.25,983944.0
2023-09-28,52.32,52.77,52.32,52.72,1796114.0
2023-09-29,52.88,52.88,52.51,52.61,2841053.0
2023-10-02,52.6,52.64,52.285,52.44,2298134.0
2023-10-03,52.11,52.12,51.17,51.75,3626033.0
2023-10-04,51.79,51.79,51.49,51.64,1464657.0
2023-10-05,51.64,51.8,51.3,51.32,1277095.0
2023-10-06,51.35,51.72,51.335,51.57,1585662.0
2023-10-09,51.43,51.61,51.36,51.49,880434.0
2023-10-10,51.66,51.68,51.04,51.15,1864698.0
2023-10-11,51.22,52.19,51.06,52.02,4861986.0
2023-10-12,52.0,52.0,51.18,51.18,2212103.0
2023-10-13,51.34,51.61,51.285,51.6,1193700.0
2023-10-16,51.76,51.8,51.38,51.63,1062406.0
2023-10-17,51.56,52.06,51.51,51.9,1708042.0
2023-10-18,51.9,51.99,51.23,51.45,1530560.0
2023-10-19,51.31,51.46,50.995,51.24,1078719.0
