date,open,high,low,close,volume
2023-01-11,12.8,12.8,12.295,12.36,3491155.0
2023-01-12,12.73,13.035,12.515,12.93,3899928.0
2023-01-13,12.76,13.0399,12.605,12.99,2740099.0
2023-01-17,13.59,13.67,12.955,13.06,3073306.0
2023-01-18,12.99,13.2159,12.5827,12.62,2976524.0
2023-01-19,12.6,12.785,12.395,12.58,3033118.0
2023-01-20,12.73,12.8979,12.42,12.67,2628920.0
2023-01-23,12.98,13.13,12.64,13.02,2778474.0
2023-01-24,13.09,13.15,12.56,12.76,2365848.0
2023-01-25,12.38,12.43,11.958,12.28,3559330.0
2023-01-26,12.27,12.39,11.69,12.32,5787328.0
2023-01-27,12.35,12.44,12.075,12.35,3773009.0
2023-01-30,12.04,12.21,11.71,11.74,3274135.0
2023-01-31,12.4,12.4,11.91,12.15,9885177.0
2023-02-01,11.98,12.165,11.56,11.94,6324885.0
2023-02-02,11.92,12.45,11.78,12.05,8977062.0
2023-02-03,12.02,12.435,11.73,11.9,28759257.0
2023-02-06,11.77,11.87,11.31,11.35,6113415.0
2023-02-07,11.5,11.98,11.45,11.93,5289601.0
2023-02-08,11.86,12.02,11.38,11.64,3948796.0
2023-02-09,11.73,12.19,11.64,11.83,5134696.0
2023-02-10,11.9,12.4,11.765,12.38,4146599.0
2023-02-13,12.3,12.53,12.095,12.31,5636510.0
2023-02-14,12.43,12.565,12.165,12.34,5736144.0
2023-02-15,12.7,13.286,11.78,13.06,11546152.0
2023-02-16,13.14,13.485,13.04,13.1,7733885.0
2023-02-17,12.8,12.8,11.935,12.06,7141529.0
2023-02-21,12.0,12.04,11.2601,11.3,6327184.0
2023-02-22,11.38,11.97,11.31,11.76,5569395.0
2023-02-23,12.12,12.49,11.77,11.99,4786885.0
2023-02-24,12.0,12.825,11.765,12.81,8949767.0
2023-02-27,12.85,12.85,12.245,12.31,4672778.0
2023-02-28,12.34,12.43,12.095,12.14,4504094.0
2023-03-01,12.04,12.575,11.98,12.46,3440495.0
2023-03-02,12.31,12.465,12.1201,12.34,2912004.0
2023-03-03,12.28,13.415,12.21,13.17,7542049.0
2023-03-06,12.63,12.76,12.255,12.35,5850149.0
2023-03-07,12.28,12.449,12.1118,12.2,3294357.0
2023-03-08,12.07,12.32,11.69,11.96,3381734.0
2023-03-09,12.0,12.13,11.515,11.56,3819339.0
2023-03-10,11.52,11.54,10.7512,10.8,6131523.0
2023-03-13,10.42,11.265,10.3,10.8,5370074.0
2023-03-14,10.98,11.2694,10.44,10.68,3539670.0
2023-03-15,10.18,10.35,9.85,10.22,7124088.0
2023-03-16,9.96,10.74,9.96,10.69,4349445.0
2023-03-17,10.52,10.615,10.03,10.3,16211615.0
2023-03-20,10.35,10.685,10.25,10.47,4641548.0
2023-03-21,10.79,10.89,10.475,10.8,3415479.0
2023-03-22,10.74,10.82,10.25,10.27,3275721.0
2023-03-23,10.46,10.66,9.78,9.96,3965662.0
2023-03-24,9.75,10.545,9.71,10.53,4502534.0
2023-03-27,10.51,10.76,10.24,10.72,3773244.0
2023-03-28,10.66,10.835,10.58,10.68,1890933.0
2023-03-29,10.83,10.85,10.43,10.52,2858228.0
2023-03-30,10.71,10.7299,10.25,10.42,3509641.0
2023-03-31,10.68,10.9839,10.58,10.79,4463177.0
2023-04-03,11.02,11.21,10.605,10.8,4484347.0
2023-04-04,10.93,10.97,10.5325,10.86,4043805.0
2023-04-05,10.92,10.98,10.57,10.77,3270900.0
2023-04-06,10.75,10.75,10.4,10.4,2467911.0
2023-04-10,10.63,11.13,10.6,11.08,5001392.0
2023-04-11,10.97,11.24,10.775,11.22,3682373.0
2023-04-12,11.32,11.35,10.88,10.96,3284763.0
2023-04-13,10.92,11.24,10.84,10.99,2616922.0
2023-04-14,10.97,11.15,10.94,11.12,1945892.0
2023-04-17,11.41,11.55,10.965,11.05,3665966.0
2023-04-18,10.92,11.05,10.69,11.04,2963583.0
2023-04-19,10.65,10.95,10.64,10.94,3481346.0
2023-04-20,11.0,11.29,10.985,11.08,3967134.0
2023-04-21,11.13,11.18,10.88,10.92,3397994.0
2023-04-24,10.87,11.365,10.85,11.25,2790544.0
2023-04-25,11.02,11.16,10.66,10.86,4417769.0
2023-04-26,10.8,10.99,10.56,10.66,4868548.0
2023-04-27,10.75,11.175,10.71,11.13,3571927.0
