date,open,high,low,close,volume
2023-01-11,27.75,28.2199,27.56,28.1,215908.0
2023-01-12,28.3,28.51,27.55,28.18,277123.0
2023-01-13,28.06,28.48,28.06,28.32,169111.0
2023-01-17,28.55,28.55,27.86,28.39,207588.0
2023-01-18,28.65,29.04,28.25,28.3,187357.0
2023-01-19,28.23,28.4,27.975,28.07,253453.0
2023-01-20,28.25,28.99,28.25,28.74,166324.0
2023-01-23,28.74,29.27,28.48,29.26,539626.0
2023-01-24,29.06,29.82,28.94,29.0,283733.0
2023-01-25,28.74,29.32,28.4,29.09,197086.0
2023-01-26,29.19,29.7999,29.06,29.67,167727.0
2023-01-27,29.5,30.38,28.26,30.28,251547.0
2023-01-30,29.93,30.35,29.611,30.21,298903.0
2023-01-31,30.32,30.75,29.94,30.25,297081.0
2023-02-01,29.99,30.45,29.595,30.2,243888.0
2023-02-02,30.94,31.93,30.94,31.36,318876.0
2023-02-03,30.76,32.39,30.76,31.48,367501.0
2023-02-06,31.41,31.862,30.481,31.12,191289.0
2023-02-07,30.98,35.5,30.76,33.55,1754036.0
2023-02-08,32.5,35.99,32.455,34.71,713513.0
2023-02-09,35.75,36.76,34.94,36.52,593485.0
2023-02-10,36.13,36.285,34.06,34.61,461813.0
2023-02-13,34.8,35.1,33.61,34.17,190961.0
2023-02-14,34.46,35.04,33.6,34.82,282165.0
2023-02-15,34.89,35.7,33.95,35.67,191673.0
2023-02-16,34.39,35.35,34.0,34.96,282651.0
2023-02-17,34.97,35.26,34.6,35.07,159050.0
2023-02-21,34.88,34.96,33.91,33.91,220705.0
2023-02-22,34.12,34.625,33.73,34.13,137356.0
2023-02-23,34.25,34.39,33.6036,33.67,160290.0
2023-02-24,32.52,33.67,32.35,33.64,197965.0
2023-02-27,34.05,34.275,33.03,33.22,276531.0
2023-02-28,33.0,33.5199,32.75,33.15,185222.0
2023-03-01,33.01,33.325,32.59,32.97,139602.0
2023-03-02,32.91,32.91,32.18,32.54,183861.0
2023-03-03,32.38,33.0,32.01,32.52,178435.0
2023-03-06,33.09,33.09,31.89,31.97,218615.0
2023-03-07,31.78,32.2,31.4,31.82,155281.0
2023-03-08,32.0,32.365,31.3067,31.63,190632.0
2023-03-09,31.71,32.2025,30.4,30.505,459141.0
2023-03-10,30.77,31.05,30.25,30.69,250396.0
2023-03-13,30.22,30.66,29.09,29.64,244117.0
2023-03-14,30.09,30.5217,29.83,30.0,144345.0
2023-03-15,29.94,30.53,29.44,29.75,122861.0
2023-03-16,29.75,30.92,29.17,30.45,106214.0
2023-03-17,30.67,30.7,29.75,29.89,279379.0
2023-03-20,30.09,30.61,28.74,29.99,190313.0
2023-03-21,30.34,30.69,30.1,30.44,167106.0
2023-03-22,30.23,30.63,29.89,29.96,87335.0
2023-03-23,30.07,30.99,29.99,30.13,115321.0
2023-03-24,30.02,30.38,28.51,29.82,129444.0
2023-03-27,29.94,30.7699,29.94,30.29,179668.0
2023-03-28,30.0,30.57,29.855,30.15,120337.0
2023-03-29,30.46,31.21,30.37,30.58,129513.0
2023-03-30,30.5,31.15,30.39,30.55,136283.0
2023-03-31,30.72,31.73,30.72,31.505,168169.0
2023-04-03,31.28,31.6999,30.93,31.28,94862.0
2023-04-04,31.86,32.435,31.76,32.41,284314.0
2023-04-05,32.24,32.42,30.98,31.05,168195.0
2023-04-06,31.05,31.72,30.3645,31.29,250516.0
2023-04-10,31.27,31.75,31.24,31.56,151094.0
2023-04-11,31.75,32.14,31.36,31.8,168029.0
2023-04-12,31.94,32.0,31.425,31.52,94458.0
2023-04-13,31.77,31.94,31.55,31.66,193605.0
2023-04-14,31.7,31.98,31.38,31.7,81472.0
2023-04-17,31.625,31.85,31.44,31.65,131682.0
2023-04-18,31.73,31.73,30.97,30.98,206323.0
2023-04-19,31.19,31.22,30.7,30.98,271698.0
2023-04-20,30.7,31.7,30.375,30.51,184422.0
2023-04-21,30.51,30.9575,30.34,30.46,161414.0
2023-04-24,30.38,31.18,30.1,30.48,256002.0
2023-04-25,30.31,30.75,29.86,30.51,190850.0
2023-04-26,30.53,31.07,30.44,30.565,129186.0
2023-04-27,30.81,31.5,30.81,31.13,228116.0
2023-04-28,30.62,31.5,30.62,31.45,254520.0
2023-05-01,31.4,31.945,30.97,31.06,211688.0
2023-05-02,30.8,31.13,30.39,30.72,298811.0
2023-05-03,32.89,33.605,32.0,32.35,548963.0
2023-05-04,32.01,33.0,31.385,31.54,407776.0
2023-05-05,31.72,31.9,31.25,31.77,266088.0
2023-05-08,31.96,32.0,30.95,31.52,220342.0
2023-05-09,31.32,32.1,30.88,31.74,202906.0
2023-05-10,31.88,32.16,30.52,30.7,533053.0
2023-05-11,30.8,31.43,30.25,31.22,451211.0
2023-05-12,31.23,32.267,31.23,32.23,290652.0
2023-05-15,32.15,32.42,31.21,32.4,226527.0
2023-05-16,32.25,32.4,32.11,32.32,118766.0
2023-05-17,32.46,32.5,31.93,32.44,269137.0
2023-05-18,32.25,32.7,32.0024,32.43,268969.0
2023-05-19,32.29,32.44,31.92,31.95,156772.0
2023-05-22,31.96,32.44,31.385,32.3,251185.0
2023-05-23,32.06,32.365,31.69,32.14,213982.0
2023-05-24,31.88,32.41,31.84,32.34,198419.0
2023-05-25,32.38,32.53,31.17,31.61,182987.0
2023-05-26,31.5,32.4,31.41,32.16,171297.0
2023-05-30,32.14,32.4,31.82,31.91,248923.0
2023-05-31,31.81,32.21,31.62,31.89,196668.0
2023-06-01,31.96,32.88,31.89,32.5,311834.0
2023-06-02,32.67,33.96,32.34,33.93,440200.0
2023-06-05,33.9,34.3,33.3401,34.15,280785.0
2023-06-06,34.01,34.58,33.23,34.54,275289.0
2023-06-07,34.59,34.93,34.13,34.45,253583.0
2023-06-08,34.27,34.34,33.5501,34.22,253410.0
2023-06-09,34.16,34.525,34.0,34.0,142791.0
2023-06-12,34.0,34.18,33.1,33.62,186643.0
2023-06-13,33.68,34.43,33.59,33.78,114872.0
2023-06-14,34.05,34.08,32.89,33.31,209543.0
2023-06-15,33.41,33.8799,32.81,33.77,181197.0
2023-06-16,34.11,34.31,33.165,33.85,214746.0
2023-06-20,33.63,34.15,33.34,33.81,114958.0
2023-06-21,33.51,33.84,33.26,33.34,175783.0
2023-06-22,33.22,33.89,32.83,32.89,154944.0
2023-06-23,32.8,33.28,32.0,33.13,111990.0
2023-06-26,33.09,33.66,32.71,32.8,93033.0
2023-06-27,32.77,33.28,32.56,33.02,132057.0
