date,open,high,low,close,volume
2023-01-11,78.39,80.8,78.265,80.75,2073422.0
2023-01-12,80.33,80.505,79.3,80.32,1668898.0
2023-01-13,80.29,81.13,79.85,81.05,985608.0
2023-01-17,81.11,81.15,79.52,79.62,1671286.0
2023-01-18,80.27,80.42,77.83,78.08,1549026.0
2023-01-19,77.32,78.27,76.53,76.62,1489297.0
2023-01-20,76.41,78.63,76.025,78.52,1680910.0
2023-01-23,78.52,79.99,78.29,78.75,1573940.0
2023-01-24,78.7,78.93,78.09,78.63,1545636.0
2023-01-25,77.47,78.38,76.36,77.37,3347173.0
2023-01-26,78.04,78.89,77.31,78.71,1870528.0
2023-01-27,78.59,78.59,77.715,77.78,2292226.0
2023-01-30,77.47,78.45,77.25,77.9,1524890.0
2023-01-31,78.14,78.53,77.4,77.9,2262236.0
2023-02-01,77.88,79.59,76.445,79.01,3179743.0
2023-02-02,79.7,80.35,78.88,80.01,3046299.0
2023-02-03,78.98,79.22,76.2403,76.58,2444054.0
2023-02-06,75.69,76.15,74.905,75.73,2401590.0
2023-02-07,75.7,78.08,74.96,77.855,1826911.0
2023-02-08,77.79,77.9,76.04,76.51,1297230.0
2023-02-09,77.24,78.01,75.65,75.79,1591709.0
2023-02-10,75.29,76.04,74.71,75.96,1539447.0
2023-02-13,76.4,77.22,76.15,77.08,1516578.0
2023-02-14,76.59,77.7,75.8,76.78,1602607.0
2023-02-15,76.65,79.05,76.4,78.9,2063777.0
2023-02-16,77.58,79.3,77.44,78.18,1998248.0
2023-02-17,77.66,78.3,77.08,77.56,2286598.0
2023-02-21,77.06,77.97,75.85,76.02,2093841.0
2023-02-22,72.6,74.85,70.68,72.13,9931392.0
2023-02-23,72.36,72.63,69.97,70.74,6524434.0
2023-02-24,69.62,71.05,69.62,70.73,2844257.0
2023-02-27,71.47,71.9,70.63,70.89,2346038.0
2023-02-28,70.75,71.41,70.38,70.66,3442726.0
2023-03-01,70.3,70.68,69.83,70.03,2236791.0
2023-03-02,70.0,71.3,69.844,71.22,1732024.0
2023-03-03,71.14,72.755,71.14,72.41,1999067.0
2023-03-06,72.2,72.83,71.66,71.87,1425371.0
2023-03-07,72.1,72.385,70.41,70.64,1514430.0
2023-03-08,70.38,71.0,70.0,70.36,1364843.0
2023-03-09,70.65,70.69,68.7,68.87,1794865.0
2023-03-10,68.74,68.74,66.79,67.08,2120366.0
2023-03-13,66.85,67.785,66.28,66.84,2045785.0
2023-03-14,67.66,68.0,66.83,67.62,2626589.0
2023-03-15,66.905,67.54,66.07,67.35,1970055.0
2023-03-16,66.78,68.075,66.7,67.75,1826528.0
2023-03-17,67.46,67.92,66.4,66.93,3460149.0
2023-03-20,66.98,67.42,66.3918,66.76,1771465.0
2023-03-21,67.22,67.94,67.22,67.86,1775955.0
2023-03-22,67.81,67.81,65.93,65.99,1489614.0
2023-03-23,65.86,66.8,65.12,65.85,2067359.0
2023-03-24,65.85,67.17,65.37,67.14,3402503.0
2023-03-27,67.87,68.245,67.17,67.88,3105949.0
2023-03-28,67.79,68.16,67.03,67.4,1697906.0
2023-03-29,68.14,68.51,67.74,68.21,1687311.0
2023-03-30,68.6,68.78,67.89,68.15,2328269.0
2023-03-31,68.36,69.015,68.035,68.85,2082550.0
2023-04-03,68.46,68.83,67.88,68.77,1397716.0
2023-04-04,68.46,68.96,67.66,68.02,2200346.0
2023-04-05,67.67,68.15,67.67,67.75,1798163.0
2023-04-06,67.76,68.58,67.41,68.36,2071037.0
2023-04-10,67.99,69.0,67.22,68.82,2182296.0
2023-04-11,69.23,69.38,68.3,68.8,1116617.0
2023-04-12,69.47,69.55,68.5,68.59,1211898.0
2023-04-13,69.09,69.87,68.74,69.77,1039172.0
2023-04-14,69.48,69.97,68.67,69.22,1052703.0
2023-04-17,69.42,69.71,68.945,69.69,763788.0
2023-04-18,70.0,70.26,69.86,69.86,2076948.0
2023-04-19,69.43,69.97,68.8,69.69,1001982.0
2023-04-20,69.27,69.94,68.75,69.01,1229468.0
2023-04-21,69.16,70.07,68.96,70.0,1491760.0
2023-04-24,69.97,70.33,69.38,70.26,1857475.0
2023-04-25,69.85,70.06,68.47,68.5,2064366.0
2023-04-26,68.27,72.07,68.1,71.92,3921496.0
2023-04-27,72.54,77.45,72.49,77.17,4991330.0
2023-04-28,77.22,78.62,76.61,76.95,3061163.0
2023-05-01,77.09,77.33,75.64,76.11,2096392.0
2023-05-02,76.17,76.18,74.24,74.75,1950426.0
2023-05-03,75.0,75.2797,73.6,73.7,1151065.0
2023-05-04,73.82,74.82,73.06,74.34,1264838.0
2023-05-05,74.52,74.9,74.27,74.6,1615013.0
2023-05-08,73.615,74.52,73.445,74.3,1116230.0
