date,open,high,low,close,volume
2023-01-11,4.65,4.72,4.61,4.71,182454.0
2023-01-12,4.74,4.84,4.64,4.82,275793.0
2023-01-13,4.8,4.84,4.63,4.82,192574.0
2023-01-17,4.89,5.28,4.22,5.25,2083119.0
2023-01-18,5.37,5.42,4.72,5.0,1457658.0
2023-01-19,5.01,5.06,4.83,4.93,1388979.0
2023-01-20,5.02,5.225,4.88,5.22,242026.0
2023-01-23,5.24,5.32,5.15,5.21,219404.0
2023-01-24,5.2,5.29,5.13,5.19,178678.0
2023-01-25,5.15,5.16,4.995,5.13,290556.0
2023-01-26,5.16,5.185,5.04,5.06,185476.0
2023-01-27,5.0,5.08,4.8801,4.99,209655.0
2023-01-30,4.92,4.95,4.79,4.85,217800.0
2023-01-31,4.83,5.1,4.82,5.09,378113.0
2023-02-01,5.12,5.24,5.04,5.17,257154.0
2023-02-02,5.22,5.32,5.16,5.2,241254.0
2023-02-03,5.09,5.215,5.08,5.13,158928.0
2023-02-06,5.11,5.21,5.07,5.1,139812.0
2023-02-07,5.03,5.21,5.01,5.15,144469.0
2023-02-08,5.4,6.11,5.3118,5.62,978759.0
2023-02-09,5.73,5.73,5.1,5.12,435300.0
2023-02-10,5.07,5.1,4.85,5.06,331820.0
2023-02-13,5.07,5.26,4.96,5.055,580077.0
2023-02-14,5.1,5.21,5.065,5.15,136832.0
2023-02-15,5.12,5.39,5.12,5.265,492678.0
2023-02-16,5.15,5.35,5.05,5.31,646567.0
2023-02-17,5.33,6.12,5.24,6.0,1637818.0
2023-02-21,5.9,6.03,5.67,5.89,642356.0
2023-02-22,5.93,6.03,5.57,5.73,362367.0
2023-02-23,5.8,5.85,5.52,5.79,416554.0
2023-02-24,5.75,5.91,5.72,5.82,415762.0
2023-02-27,5.85,5.9701,5.71,5.77,361924.0
2023-02-28,5.71,5.83,5.66,5.76,287302.0
2023-03-01,5.78,5.82,5.68,5.79,252027.0
2023-03-02,5.76,5.96,5.665,5.93,332831.0
2023-03-03,5.95,6.22,5.805,6.18,486076.0
2023-03-06,6.2,6.2,5.86,5.88,487327.0
2023-03-07,5.88,5.99,5.72,5.97,395741.0
2023-03-08,5.97,5.99,5.5845,5.97,480403.0
2023-03-09,5.94,5.99,5.735,5.75,406613.0
2023-03-10,5.71,5.73,5.55,5.57,388228.0
2023-03-13,5.48,5.565,5.4,5.49,441872.0
2023-03-14,5.64,5.67,5.3895,5.59,283676.0
2023-03-15,5.47,5.69,5.37,5.67,437865.0
2023-03-16,5.58,5.62,5.39,5.51,875449.0
2023-03-17,5.5,5.55,5.31,5.4,1091505.0
2023-03-20,5.38,5.455,5.33,5.42,331072.0
2023-03-21,5.51,5.66,5.37,5.65,1549334.0
2023-03-22,5.68,5.7299,5.44,5.45,838825.0
2023-03-23,5.45,5.58,5.14,5.26,473327.0
2023-03-24,5.21,5.3,5.12,5.22,219454.0
2023-03-27,5.24,5.44,5.21,5.36,538149.0
2023-03-28,5.34,5.4675,5.27,5.4,1093152.0
2023-03-29,5.45,5.715,5.45,5.66,1694470.0
2023-03-30,5.7,5.9,5.605,5.63,413600.0
2023-03-31,5.66,5.77,5.65,5.7,331105.0
2023-04-03,5.71,5.7732,5.51,5.6,251957.0
2023-04-04,5.61,5.695,5.49,5.56,251781.0
2023-04-05,5.52,5.56,5.36,5.5,268186.0
2023-04-06,5.51,5.615,5.395,5.51,230445.0
2023-04-10,5.5,5.6,5.27,5.54,206377.0
2023-04-11,5.55,5.62,5.505,5.58,162923.0
2023-04-12,5.64,5.735,5.5625,5.58,146495.0
