date,open,high,low,close,volume
2023-01-11,31.51,31.88,30.785,31.28,522863.0
2023-01-12,31.5,32.05,31.19,31.59,665690.0
2023-01-13,31.54,32.01,31.05,31.92,424356.0
2023-01-17,32.16,33.05,32.16,32.6,555623.0
2023-01-18,32.78,33.9,32.52,32.84,598524.0
2023-01-19,32.53,33.21,32.18,32.9,666296.0
2023-01-20,33.03,33.14,32.21,32.72,977207.0
2023-01-23,33.0,34.26,32.69,33.53,836322.0
2023-01-24,33.82,34.77,32.875,34.64,839017.0
2023-01-25,34.49,34.7545,33.63,34.09,502434.0
2023-01-26,34.62,35.55,33.9,35.5,460275.0
2023-01-27,35.47,35.7299,34.0,34.36,539917.0
2023-01-30,34.22,34.34,32.66,32.68,622870.0
2023-01-31,32.59,33.23,32.41,33.2,674541.0
2023-02-01,33.15,33.28,31.58,32.59,722414.0
2023-02-02,32.51,32.83,31.43,32.41,716529.0
2023-02-03,32.49,33.43,32.02,32.1,521880.0
2023-02-06,32.17,32.5712,31.188,31.61,693785.0
2023-02-07,32.0,33.02,31.89,32.98,641071.0
2023-02-08,33.0,33.22,31.9,32.54,466572.0
2023-02-09,32.5,32.7836,32.025,32.29,509971.0
2023-02-10,32.96,34.4,32.59,34.36,776063.0
2023-02-13,34.27,34.34,33.53,33.68,540645.0
2023-02-14,33.51,34.32,33.45,34.06,823549.0
2023-02-15,33.39,33.79,32.85,33.75,720942.0
2023-02-16,33.59,34.32,33.22,33.26,835588.0
2023-02-17,32.72,32.72,31.42,32.02,754891.0
2023-02-21,32.04,32.69,31.88,32.25,834596.0
2023-02-22,32.5,33.25,30.55,31.34,1144742.0
2023-02-23,32.2,32.3,30.35,31.36,1275578.0
2023-02-24,30.88,31.59,29.75,31.58,1056194.0
2023-02-27,31.65,32.57,31.4,32.51,816745.0
2023-02-28,33.06,33.07,31.66,31.73,1184999.0
2023-03-01,31.8,33.535,31.66,33.45,890581.0
2023-03-02,33.23,33.6579,32.74,33.07,878058.0
2023-03-03,32.2,33.645,31.9,33.43,815376.0
2023-03-06,33.08,33.64,32.84,33.51,638963.0
2023-03-07,33.41,33.72,32.39,32.6,616669.0
2023-03-08,32.56,33.39,31.48,32.07,737841.0
2023-03-09,32.16,33.05,31.09,31.13,675830.0
2023-03-10,31.2,32.0325,30.59,30.65,596827.0
2023-03-13,29.69,30.16,28.68,28.8,828047.0
2023-03-14,29.26,30.51,28.935,29.36,678105.0
2023-03-15,28.12,28.36,27.0641,28.31,1593612.0
2023-03-16,29.81,30.55,28.91,29.68,2540637.0
2023-03-17,29.43,30.045,29.0,29.78,2533758.0
2023-03-20,29.95,30.875,29.93,30.53,6998968.0
2023-03-21,31.05,31.51,30.57,30.94,1476082.0
2023-03-22,30.81,32.15,30.76,31.01,869487.0
2023-03-23,31.14,31.7325,29.7858,30.04,1049808.0
2023-03-24,29.08,29.809,28.51,29.55,1092951.0
2023-03-27,30.2,31.42,29.82,31.26,994149.0
2023-03-28,31.16,32.455,31.16,32.32,1207795.0
2023-03-29,32.65,33.29,32.2,33.05,1229733.0
2023-03-30,33.56,33.56,32.5,32.63,519336.0
2023-03-31,32.74,32.94,32.2,32.78,820659.0
2023-04-03,33.82,33.9,32.55,33.34,1054835.0
2023-04-04,33.16,33.16,29.685,30.11,1561346.0
2023-04-05,29.91,31.44,29.62,31.4,1170555.0
2023-04-06,31.24,31.66,30.73,30.73,855992.0
2023-04-10,30.77,31.905,30.77,31.41,565030.0
2023-04-11,31.57,32.23,31.39,32.19,717898.0
2023-04-12,32.4,32.4,31.06,31.14,656950.0
2023-04-13,30.72,30.72,29.63,30.0,1154715.0
2023-04-14,30.1,30.355,29.02,29.28,1085358.0
2023-04-17,29.28,29.34,28.36,28.52,739297.0
2023-04-18,28.39,28.4,27.67,28.26,729579.0
2023-04-19,27.92,28.2,27.35,28.18,890697.0
2023-04-20,27.77,28.23,27.52,27.89,953280.0
2023-04-21,27.96,28.1289,27.02,27.09,1057258.0
2023-04-24,27.02,27.88,26.85,27.58,856968.0
2023-04-25,27.28,27.58,26.31,26.38,924211.0
2023-04-26,26.32,26.82,26.05,26.24,770645.0
2023-04-27,26.355,26.62,25.6707,26.18,756165.0
2023-04-28,26.12,26.7,26.0,26.34,810175.0
2023-05-01,26.2,27.09,26.02,26.72,1215647.0
2023-05-02,26.89,27.005,24.62,26.2,2868235.0
2023-05-03,25.85,26.25,24.03,24.85,2925828.0
2023-05-04,24.66,24.89,23.22,23.25,1738703.0
2023-05-05,23.83,24.23,23.49,23.94,1223874.0
2023-05-08,24.74,25.86,24.63,24.72,1234824.0
2023-05-09,24.39,25.819,24.29,25.3,1000789.0
2023-05-10,25.4,26.025,24.89,25.63,1467807.0
2023-05-11,25.0,25.41,24.385,24.8,1681962.0
2023-05-12,24.37,24.61,23.02,23.83,1443555.0
2023-05-15,24.08,24.904,23.85,24.83,872935.0
2023-05-16,24.72,24.985,23.99,24.07,724898.0
2023-05-17,24.46,24.89,24.15,24.61,744071.0
2023-05-18,24.45,25.18,24.21,25.14,758128.0
2023-05-19,25.4,25.415,24.62,24.92,629340.0
2023-05-22,24.96,25.78,24.96,25.42,797264.0
2023-05-23,25.73,25.81,24.43,24.46,1896768.0
2023-05-24,24.71,25.28,24.29,24.83,1183060.0
2023-05-25,24.34,24.35,22.6,23.57,2936655.0
2023-05-26,23.66,23.99,23.44,23.94,1075552.0
2023-05-30,23.49,23.56,22.9,23.47,887349.0
2023-05-31,22.89,23.54,22.85,23.41,1365351.0
2023-06-01,23.56,24.04,23.28,23.69,1120368.0
2023-06-02,24.31,25.41,24.15,25.39,1543358.0
2023-06-05,25.65,25.77,24.78,25.02,1151844.0
2023-06-06,24.73,25.86,24.7,25.83,868798.0
2023-06-07,25.91,27.74,25.83,27.66,1461806.0
2023-06-08,27.73,27.88,26.78,27.53,866305.0
2023-06-09,27.35,27.675,27.0,27.55,675657.0
2023-06-12,27.11,27.68,27.01,27.35,759209.0
2023-06-13,27.745,28.78,27.71,27.75,1191833.0
2023-06-14,28.0,28.42,26.83,27.15,834364.0
2023-06-15,27.15,27.97,27.15,27.78,866331.0
2023-06-16,27.9,28.09,27.43,27.71,4622942.0
2023-06-20,27.46,27.7,26.28,26.92,1012534.0
2023-06-21,26.58,27.7421,26.41,27.41,884993.0
2023-06-22,26.92,27.4,26.27,27.24,827745.0
2023-06-23,26.68,27.49,26.67,27.27,1104707.0
2023-06-26,27.4,27.86,27.1,27.76,964565.0
2023-06-27,27.83,28.4575,27.31,28.32,1040566.0
2023-06-28,28.27,29.175,27.99,29.09,682986.0
2023-06-29,29.07,30.155,29.07,30.14,900280.0
2023-06-30,30.2,30.2,29.44,29.96,1108457.0
2023-07-03,30.08,30.515,29.46,29.66,535080.0
2023-07-05,29.8,29.85,29.32,29.78,665436.0
2023-07-06,29.76,30.21,28.9538,29.9,1460969.0
2023-07-07,29.75,31.3766,29.75,30.98,654353.0
2023-07-10,31.13,31.45,30.67,30.77,695404.0
2023-07-11,30.8,31.76,30.715,31.63,755841.0
2023-07-12,32.0,32.45,31.215,31.3,755827.0
2023-07-13,31.31,31.97,31.06,31.31,860094.0
2023-07-14,30.95,31.2,30.21,30.74,594711.0
2023-07-17,30.48,31.1725,30.38,30.83,508866.0
2023-07-18,31.0,32.39,30.91,31.87,729016.0
2023-07-19,32.1,32.71,31.99,32.7,690980.0
2023-07-20,33.0,33.35,32.58,33.35,518620.0
2023-07-21,33.55,33.81,32.9901,33.81,490418.0
2023-07-24,34.15,35.54,33.86,35.03,924751.0
2023-07-25,34.8,35.68,34.51,34.87,679762.0
2023-07-26,34.6,35.79,34.53,35.63,569735.0
2023-07-27,35.81,36.05,35.175,35.29,580888.0
2023-07-28,35.5,36.52,35.4,36.51,644834.0
2023-07-31,36.6,37.265,36.43,36.74,837328.0
2023-08-01,38.0,39.36,36.08,36.12,3033891.0
2023-08-02,36.42,37.47,35.92,36.75,1705024.0
2023-08-03,36.57,37.12,36.0,36.7,1292732.0
2023-08-04,36.62,37.07,36.2,36.34,1719383.0
2023-08-07,36.75,37.03,36.07,36.97,1557358.0
2023-08-08,36.26,36.84,35.8298,36.59,1149983.0
2023-08-09,36.86,38.25,36.6,37.68,1324843.0
2023-08-10,37.67,38.63,37.08,37.46,1190741.0
2023-08-11,35.89,37.07,35.79,36.55,821118.0
2023-08-14,36.39,36.39,35.66,35.99,636640.0
2023-08-15,35.65,35.75,34.35,34.88,981190.0
2023-08-16,35.07,35.8,34.775,34.89,613439.0
2023-08-17,35.4,35.6499,34.64,34.77,717618.0
2023-08-18,34.34,35.335,34.27,35.2,780190.0
2023-08-21,35.33,35.74,34.14,34.52,887051.0
2023-08-22,34.74,35.01,34.27,34.68,743344.0
2023-08-23,34.0,34.21,31.84,32.43,1827238.0
2023-08-24,32.11,32.73,31.95,32.2,1286691.0
2023-08-25,32.27,33.03,32.02,32.93,1047480.0
2023-08-28,32.65,33.1588,32.075,32.24,994328.0
2023-08-29,32.17,32.44,31.46,32.44,949699.0
2023-08-30,32.63,32.905,32.325,32.81,728527.0
2023-08-31,32.99,32.995,32.3796,32.7,1656325.0
2023-09-01,33.55,35.34,33.51,34.78,1281980.0
2023-09-05,35.09,35.69,34.58,34.7,850248.0
2023-09-06,34.68,35.28,34.29,34.88,511024.0
2023-09-07,34.74,35.885,34.74,35.84,612661.0
2023-09-08,36.06,37.349,36.01,36.96,1116765.0
2023-09-11,37.17,37.97,36.94,37.04,861744.0
2023-09-12,35.65,36.3,34.7,35.49,2334978.0
2023-09-13,35.78,35.78,34.49,34.75,1429106.0
2023-09-14,35.61,35.67,34.98,35.22,1433892.0
2023-09-15,34.99,35.205,34.13,34.55,3094254.0
2023-09-18,34.9,35.39,34.5,34.64,733618.0
2023-09-19,34.91,34.935,33.23,33.61,1111246.0
2023-09-20,33.38,34.32,33.3701,33.74,808548.0
2023-09-21,34.33,34.87,33.75,34.07,987725.0
2023-09-22,34.73,34.82,33.76,33.78,755563.0
2023-09-25,33.55,34.01,33.5002,33.73,1133441.0
2023-09-26,33.37,33.965,33.37,33.78,710438.0
2023-09-27,34.55,35.015,33.985,34.63,867552.0
2023-09-28,34.68,35.73,34.68,35.39,911922.0
2023-09-29,35.39,35.39,33.7,34.03,959058.0
2023-10-02,34.03,34.03,32.96,33.4,734925.0
2023-10-03,32.92,33.02,31.53,32.34,1121620.0
2023-10-04,31.74,31.8,30.37,30.52,978057.0
2023-10-05,30.23,30.99,30.0502,30.76,1243742.0
2023-10-06,31.01,31.27,30.21,30.68,1084663.0
2023-10-09,31.32,31.49,30.595,31.05,959926.0
2023-10-10,31.19,32.08,31.06,31.88,903165.0
2023-10-11,31.49,32.19,31.27,32.09,557187.0
2023-10-12,32.41,32.41,31.1,31.48,623616.0
2023-10-13,32.0,32.0,31.01,31.38,732787.0
2023-10-16,31.8,32.49,31.77,31.86,704432.0
2023-10-17,31.8,32.44,31.8,32.29,528807.0
2023-10-18,32.33,33.2975,32.17,33.27,484940.0
2023-10-19,33.13,33.58,32.41,32.94,842093.0
2023-10-20,32.81,33.11,32.46,32.65,744226.0
2023-10-23,32.34,32.72,31.7801,32.31,783292.0
2023-10-24,32.5,32.53,31.33,31.45,898628.0
2023-10-25,31.37,31.62,31.05,31.15,525548.0
2023-10-26,30.98,31.767,30.3601,31.44,685146.0
2023-10-27,31.42,31.5,30.65,31.0,811953.0
2023-10-30,31.34,31.8799,31.06,31.43,990762.0
2023-10-31,31.26,32.78,30.815,32.75,2112555.0
2023-11-01,32.85,33.72,32.485,33.53,1239265.0
2023-11-02,33.93,34.32,33.27,33.53,1134481.0
2023-11-03,33.58,33.63,31.87,32.64,1046354.0
2023-11-06,33.07,33.13,32.3,32.58,1216839.0
2023-11-07,32.03,32.4,31.13,31.7,1197118.0
2023-11-08,31.7,32.12,31.35,31.37,1018035.0
2023-11-09,31.6,31.9,30.96,31.2,1304131.0
2023-11-10,29.64,30.31,29.41,30.26,995952.0
2023-11-13,30.28,30.87,30.06,30.54,754658.0
2023-11-14,30.76,32.05,30.635,32.04,1125557.0
2023-11-15,31.96,32.92,31.8,32.21,1145427.0
2023-11-16,31.78,32.14,30.57,31.04,974637.0
2023-11-17,31.4,32.08,31.2775,31.37,574655.0
2023-11-20,31.56,32.08,31.56,31.84,662564.0
2023-11-21,31.59,31.86,30.95,31.61,504281.0
2023-11-22,31.0,32.0,30.75,31.92,500409.0
2023-11-24,32.05,32.49,31.94,31.94,195291.0
2023-11-27,31.69,32.42,31.435,32.36,732060.0
2023-11-28,32.49,32.65,32.13,32.28,400417.0
2023-11-29,32.6,32.825,31.63,31.73,580439.0
2023-11-30,31.92,32.64,31.56,31.77,835621.0
2023-12-01,31.72,32.7,31.72,32.31,672365.0
2023-12-04,32.05,32.52,31.74,32.2,547588.0
2023-12-05,32.26,32.5,31.29,31.31,747743.0
2023-12-06,31.03,31.3,30.13,30.17,908410.0
2023-12-07,30.39,30.78,30.12,30.24,566958.0
2023-12-08,30.55,30.79,30.01,30.09,741601.0
