date,open,high,low,close,volume
2023-01-11,82.44,83.75,81.07,81.67,274027.0
2023-01-12,82.06,82.06,78.805,79.0,224060.0
2023-01-13,76.3,78.28,74.45,77.77,332780.0
2023-01-17,78.24,79.23,78.24,78.96,208066.0
2023-01-18,79.37,79.94,77.73,78.86,170496.0
2023-01-19,78.3,78.95,77.24,77.35,183162.0
2023-01-20,78.01,79.82,76.97,79.58,266954.0
2023-01-23,79.85,80.6,79.34,80.0,117535.0
2023-01-24,79.54,80.915,79.475,80.8,118014.0
2023-01-25,80.44,81.1,79.79,81.04,128939.0
2023-01-26,81.76,81.89,79.72,79.91,160658.0
2023-01-27,79.64,80.16,78.7,79.46,114976.0
2023-01-30,79.21,81.22,79.13,79.16,117424.0
2023-01-31,79.27,80.15,78.64,80.12,174248.0
2023-02-01,79.39,81.74,78.785,80.78,178338.0
2023-02-02,81.28,82.3075,80.22,80.46,299109.0
2023-02-03,79.83,81.33,79.04,80.2,247477.0
2023-02-06,79.63,80.46,79.15,79.47,255796.0
2023-02-07,79.04,80.1,77.115,78.03,357799.0
2023-02-08,77.63,80.2,77.37,79.23,220461.0
2023-02-09,79.55,80.08,78.33,79.16,190453.0
2023-02-10,79.44,80.7,79.06,80.42,281467.0
2023-02-13,80.56,81.565,79.665,80.38,197143.0
2023-02-14,80.01,80.44,78.61,79.71,375213.0
2023-02-15,79.54,80.8,78.7201,80.65,369334.0
2023-02-16,79.9,81.55,79.75,80.14,465356.0
2023-02-17,81.69,81.69,72.33,77.14,1030790.0
2023-02-21,76.8,78.615,75.88,76.66,373261.0
2023-02-22,77.03,77.99,76.1,76.75,256919.0
2023-02-23,76.76,76.86,74.875,76.53,448666.0
2023-02-24,75.88,77.45,75.6,77.31,248769.0
2023-02-27,77.55,79.31,76.63,78.45,395736.0
2023-02-28,78.17,79.075,77.595,77.82,591877.0
2023-03-01,77.64,77.88,76.55,77.01,176806.0
2023-03-02,76.87,77.24,76.39,76.95,120276.0
2023-03-03,77.1,77.8,76.25,77.45,195650.0
2023-03-06,77.2,78.38,76.98,78.32,223202.0
2023-03-07,78.45,78.68,77.14,77.86,198705.0
2023-03-08,77.82,78.535,77.64,78.14,235913.0
2023-03-09,78.21,79.28,77.61,77.91,241320.0
2023-03-10,77.43,77.57,75.31,75.41,248359.0
2023-03-13,75.4,79.49,75.0,79.27,420914.0
2023-03-14,80.12,83.55,79.77,83.03,528401.0
2023-03-15,82.25,83.185,80.77,81.52,509163.0
2023-03-16,80.94,82.25,80.0,80.57,429246.0
2023-03-17,80.89,81.51,79.07,79.15,440628.0
2023-03-20,79.18,80.65,78.95,79.87,213309.0
2023-03-21,80.51,81.49,78.85,79.23,292078.0
2023-03-22,79.04,79.59,77.93,78.0,185340.0
2023-03-23,77.91,78.9,76.81,77.7,252224.0
2023-03-24,77.58,79.14,77.0001,78.96,165553.0
2023-03-27,79.26,79.93,78.775,78.99,155151.0
2023-03-28,78.62,80.08,77.955,79.99,273968.0
2023-03-29,80.3,80.935,80.13,80.37,212921.0
2023-03-30,80.51,81.28,80.51,80.79,126370.0
2023-03-31,81.21,82.75,81.21,82.66,279394.0
2023-04-03,82.08,82.39,80.89,81.86,246469.0
2023-04-04,82.09,82.09,80.56,81.18,175591.0
2023-04-05,81.49,82.09,81.015,81.81,159094.0
2023-04-06,82.02,82.1,81.285,81.8,109079.0
2023-04-10,81.35,83.6,81.01,83.55,250544.0
2023-04-11,83.55,84.95,82.93,83.89,263272.0
2023-04-12,84.25,85.35,84.0201,84.88,214077.0
2023-04-13,84.85,85.72,84.72,85.69,177518.0
2023-04-14,85.32,85.925,84.17,84.48,153378.0
2023-04-17,84.72,85.75,84.63,85.68,115064.0
2023-04-18,85.95,86.375,85.18,86.05,180605.0
2023-04-19,85.67,87.78,85.67,87.21,317134.0
2023-04-20,86.53,88.07,86.53,87.92,167241.0
2023-04-21,88.11,89.16,87.55,88.99,193886.0
2023-04-24,89.54,91.1,88.18,88.27,270682.0
2023-04-25,88.01,89.75,87.62,89.5,221733.0
2023-04-26,88.92,89.38,86.12,86.57,280349.0
2023-04-27,86.81,88.0,86.23,87.4,272949.0
2023-04-28,87.87,89.42,86.66,89.0,323537.0
2023-05-01,88.94,90.88,88.07,89.6,310933.0
2023-05-02,89.7,89.99,88.42,89.53,215389.0
2023-05-03,89.96,90.98,88.51,89.38,153485.0
2023-05-04,89.16,89.7,88.37,89.06,182277.0
2023-05-05,89.68,91.42,89.68,90.73,188603.0
2023-05-08,90.53,91.55,90.25,91.21,143894.0
2023-05-09,91.2,92.4,91.0472,91.86,114477.0
2023-05-10,92.88,93.86,92.42,93.38,132540.0
2023-05-11,93.09,94.82,93.09,94.3,231680.0
2023-05-12,94.2,95.67,93.35,94.53,201717.0
2023-05-15,94.43,95.52,94.05,95.51,246545.0
2023-05-16,95.07,95.782,94.54,95.0,233572.0
2023-05-17,95.46,95.46,94.23,95.03,243480.0
2023-05-18,95.05,95.58,93.87,94.59,284687.0
2023-05-19,95.02,95.18,94.05,94.17,277027.0
2023-05-22,94.45,94.75,93.2,93.57,180788.0
2023-05-23,93.13,93.68,92.195,92.84,169828.0
2023-05-24,92.62,93.51,92.49,93.06,172649.0
2023-05-25,92.76,93.02,91.62,92.26,168163.0
2023-05-26,92.33,93.0,91.86,92.37,136555.0
2023-05-30,92.25,93.095,91.83,92.56,129990.0
2023-05-31,92.8,92.89,90.035,90.16,314901.0
2023-06-01,90.39,91.79,89.21,91.6,220299.0
2023-06-02,92.08,94.07,91.59,93.82,271578.0
2023-06-05,93.0,93.41,91.78,91.98,158211.0
2023-06-06,91.98,93.51,91.64,92.68,164774.0
2023-06-07,92.62,93.79,92.16,92.29,202541.0
2023-06-08,92.2,93.19,91.7,93.12,130515.0
2023-06-09,92.83,92.85,91.42,92.5,115720.0
2023-06-12,92.74,92.895,91.92,92.46,181198.0
2023-06-13,90.39,92.28,87.02,87.87,675550.0
2023-06-14,86.99,88.3,85.92,87.41,2841928.0
2023-06-15,87.53,87.84,86.43,86.77,694752.0
2023-06-16,87.29,87.5,86.49,86.82,952054.0
2023-06-20,86.87,87.5451,86.46,86.86,1072169.0
2023-06-21,86.86,87.235,85.315,86.45,360462.0
2023-06-22,86.42,86.9743,85.89,86.47,309718.0
2023-06-23,85.8,87.0,85.49,85.63,1000719.0
2023-06-26,85.5,86.44,85.03,86.24,315531.0
2023-06-27,86.29,86.93,86.03,86.6,419313.0
2023-06-28,86.88,86.955,86.24,86.61,217940.0
2023-06-29,86.63,87.71,86.31,87.38,616287.0
2023-06-30,87.69,90.88,87.69,90.45,395701.0
2023-07-03,90.07,90.07,88.28,88.36,117259.0
2023-07-05,88.0,88.7,87.52,87.58,242791.0
2023-07-06,87.14,87.33,86.13,86.98,261038.0
2023-07-07,86.68,87.86,86.6666,87.15,303109.0
2023-07-10,86.87,88.45,86.87,88.34,296448.0
2023-07-11,88.37,88.93,87.955,88.37,222464.0
2023-07-12,89.21,89.21,86.8,86.81,242997.0
2023-07-13,87.18,87.18,85.78,86.32,360312.0
2023-07-14,86.38,87.08,85.635,86.93,180240.0
2023-07-17,86.93,88.219,86.5,86.76,200585.0
2023-07-18,86.71,86.9,84.51,85.4,380312.0
2023-07-19,85.04,86.25,84.98,85.6,242296.0
2023-07-20,85.5,88.33,85.04,88.31,250827.0
2023-07-21,88.75,89.12,87.58,87.63,248366.0
2023-07-24,87.73,87.98,86.24,86.44,200573.0
2023-07-25,86.05,86.62,85.33,85.37,271531.0
2023-07-26,84.71,84.965,83.85,84.04,263376.0
2023-07-27,83.95,84.6,81.5401,82.37,424233.0
2023-07-28,81.39,83.81,77.16,80.06,997812.0
2023-07-31,79.7,81.23,79.32,80.69,444880.0
2023-08-01,80.86,82.85,80.52,82.01,326627.0
2023-08-02,81.41,82.1847,80.72,81.53,296278.0
2023-08-03,81.21,81.83,80.43,81.33,243024.0
2023-08-04,81.33,83.11,80.46,81.23,375635.0
2023-08-07,81.04,81.3,79.125,80.11,259842.0
2023-08-08,79.94,81.39,79.0001,79.52,381045.0
2023-08-09,79.81,80.92,79.58,80.45,355984.0
2023-08-10,80.16,80.56,78.13,79.12,409240.0
2023-08-11,79.06,79.59,78.135,79.03,241189.0
2023-08-14,78.8,80.66,78.8,80.55,239527.0
2023-08-15,80.25,80.35,79.42,79.47,256735.0
2023-08-16,79.28,81.49,78.8125,81.12,332811.0
2023-08-17,81.04,81.04,79.05,79.06,232035.0
2023-08-18,78.94,79.65,78.57,79.6,281309.0
2023-08-21,79.6,81.11,79.6,80.55,205687.0
2023-08-22,80.4,81.04,80.235,81.0,307860.0
2023-08-23,81.46,82.23,80.88,81.59,265508.0
2023-08-24,81.19,81.49,79.57,79.58,194500.0
2023-08-25,79.77,80.42,79.5,80.23,161634.0
2023-08-28,80.33,80.97,79.43,79.46,166586.0
2023-08-29,79.43,80.03,78.8,79.87,207060.0
2023-08-30,79.87,80.52,79.35,79.64,264974.0
2023-08-31,79.63,80.295,78.19,78.77,288248.0
2023-09-01,78.93,79.79,78.76,79.65,170811.0
2023-09-05,79.59,80.695,78.89,80.36,263012.0
2023-09-06,80.47,80.98,79.91,80.35,224722.0
2023-09-07,80.49,80.915,79.94,80.59,344798.0
2023-09-08,80.75,80.93,78.2,78.4,189949.0
2023-09-11,78.31,79.15,78.12,78.97,213433.0
2023-09-12,78.97,81.24,78.4,81.08,399578.0
2023-09-13,81.01,82.32,80.865,81.94,305120.0
2023-09-14,81.6,82.2,80.9,82.03,291017.0
2023-09-15,83.28,83.86,82.5,83.36,565964.0
2023-09-18,83.16,83.75,81.67,83.25,283756.0
2023-09-19,83.41,83.68,82.17,82.43,251851.0
2023-09-20,82.36,83.39,82.02,82.14,290068.0
2023-09-21,82.04,82.71,79.5,79.51,240562.0
2023-09-22,79.26,79.76,77.41,77.56,255398.0
2023-09-25,77.48,79.02,77.27,78.3,401891.0
2023-09-26,78.3,78.31,76.68,76.84,606064.0
2023-09-27,77.43,78.92,76.68,78.12,429181.0
2023-09-28,78.06,78.66,77.88,78.07,310828.0
