date,open,high,low,close,volume
2023-01-11,61.0,61.27,60.65,61.1,209130.0
2023-01-12,61.18,61.705,60.9665,61.27,315213.0
2023-01-13,61.1,61.73,61.1,61.71,207007.0
2023-01-17,61.7,62.16,61.11,61.14,257151.0
2023-01-18,61.36,61.72,60.41,60.5,332401.0
2023-01-19,60.37,60.37,58.92,58.94,230278.0
2023-01-20,59.24,59.65,58.9,59.64,318367.0
2023-01-23,59.73,60.645,59.29,60.27,272078.0
2023-01-24,59.86,61.28,59.77,61.03,382805.0
2023-01-25,60.51,60.95,60.24,60.93,251867.0
2023-01-26,61.3,61.63,60.805,61.52,364453.0
2023-01-27,61.47,62.04,61.16,61.68,286201.0
2023-01-30,61.47,61.9424,60.96,60.98,390367.0
2023-01-31,61.35,62.645,61.085,62.35,1252423.0
2023-02-01,62.13,63.54,62.09,63.18,383031.0
2023-02-02,63.6,63.88,63.19,63.86,321331.0
2023-02-03,63.53,64.225,63.25,63.69,349862.0
2023-02-06,63.3,63.81,62.83,62.84,388820.0
2023-02-07,62.49,63.33,61.98,63.23,334547.0
2023-02-08,62.8,63.44,62.65,63.08,232139.0
2023-02-09,63.32,63.64,62.3,62.61,293184.0
2023-02-10,62.64,63.2,62.16,63.14,267342.0
2023-02-13,63.39,64.0,62.96,63.85,394687.0
2023-02-14,63.64,64.0,63.04,63.55,338997.0
2023-02-15,63.32,64.23,63.18,63.84,304363.0
2023-02-16,63.14,64.13,63.14,63.7,225035.0
2023-02-17,63.7,64.36,63.64,64.27,325713.0
2023-02-21,63.75,64.2,62.51,62.75,297157.0
2023-02-22,62.94,63.37,62.66,62.9,381712.0
2023-02-23,63.14,63.56,61.99,62.97,463559.0
2023-02-24,62.38,63.06,61.84,62.94,427147.0
2023-02-27,63.45,63.78,62.96,63.16,283443.0
2023-02-28,63.11,63.87,63.11,63.25,704298.0
2023-03-01,63.32,66.34,62.97,65.77,633216.0
2023-03-02,65.74,66.46,65.25,66.34,535778.0
2023-03-03,66.69,66.96,66.1,66.89,539132.0
2023-03-06,66.69,66.95,65.98,66.08,482173.0
2023-03-07,66.255,66.7399,65.87,66.16,383275.0
2023-03-08,66.19,66.3799,65.74,66.0,258535.0
2023-03-09,66.26,66.66,65.39,65.42,337060.0
2023-03-10,65.47,65.7,63.84,64.1,323711.0
2023-03-13,63.29,63.685,62.295,63.16,663730.0
2023-03-14,64.49,65.34,63.86,64.66,612094.0
2023-03-15,63.56,63.56,61.7,62.6,441172.0
