date,open,high,low,close,volume
2023-01-11,67.6917,68.5525,67.6917,68.41,2331852.0
2023-01-12,68.665,69.8483,68.1017,69.4533,1935096.0
2023-01-13,68.8633,70.4475,68.8517,70.1533,2153094.0
2023-01-17,69.72,70.64,69.665,70.0,1517982.0
2023-01-18,70.0583,71.1683,70.0017,70.0567,1867254.0
2023-01-19,69.8533,70.3417,69.2867,69.49,2081172.0
2023-01-20,69.6667,70.0704,69.0433,69.6667,1592088.0
2023-01-23,70.3933,71.355,69.9792,70.38,1728006.0
2023-01-24,69.8325,70.8658,69.43,70.4567,1503114.0
2023-01-25,69.8817,70.3083,68.5117,70.0917,2084832.0
2023-01-26,71.0467,71.3383,69.3733,70.17,2244510.0
2023-01-27,69.9217,71.3692,69.9217,71.085,3088302.0
2023-01-30,70.7217,71.7867,69.985,70.0583,2249490.0
2023-01-31,70.3867,71.2467,69.5383,71.2467,2854578.0
2023-02-01,70.68,71.7717,69.75,71.3983,2394606.0
2023-02-02,71.7233,72.2175,69.5267,70.2217,4194720.0
2023-02-03,69.215,70.82,68.175,69.06,4295064.0
2023-02-06,68.1033,69.955,68.1017,69.37,2423178.0
2023-02-07,69.1267,69.775,68.275,69.6017,2100690.0
2023-02-08,68.7917,69.3183,68.0217,69.1283,2269524.0
2023-02-09,70.0,70.6708,69.555,70.1333,3785202.0
2023-02-10,69.5383,70.88,68.5742,69.0883,3155238.0
2023-02-13,69.7183,70.5558,69.0917,70.2,2479350.0
2023-02-14,69.695,71.6883,69.6725,70.555,1944426.0
2023-02-15,70.0483,70.3875,69.2067,69.2483,2522352.0
2023-02-16,68.4867,69.5917,67.5867,67.835,2876622.0
2023-02-17,67.8767,68.485,67.295,67.5633,2640852.0
2023-02-21,66.8333,68.325,66.4483,66.58,2788872.0
2023-02-22,66.5717,67.2267,66.1917,67.1017,1932930.0
2023-02-23,67.3917,67.9917,67.0433,67.34,2007816.0
2023-02-24,66.8917,67.1933,66.2692,66.7,1576602.0
2023-02-27,67.3783,68.16,67.215,67.73,2396064.0
2023-02-28,67.7633,70.0833,67.7633,69.3917,2593764.0
2023-03-01,69.435,70.9217,68.75,69.265,1625796.0
2023-03-02,69.0683,70.265,68.6583,70.14,1540404.0
2023-03-03,70.5517,71.4583,70.1208,71.4017,1603548.0
2023-03-06,71.4167,72.6167,71.2883,72.2533,2322228.0
2023-03-07,72.3583,73.9667,71.865,71.9033,2572662.0
2023-03-08,71.7967,72.2833,70.9967,71.745,1668864.0
2023-03-09,71.7933,72.2817,70.2033,70.6017,1471566.0
2023-03-10,70.7267,70.7267,67.5517,68.72,2388006.0
2023-03-13,67.49,68.9567,66.8783,68.2883,2973840.0
2023-03-14,69.2933,70.8786,69.0717,70.0,1736292.0
2023-03-15,68.3017,68.8833,65.9842,67.7317,2333304.0
2023-03-16,67.2067,69.77,67.2067,69.4583,1539090.0
2023-03-17,69.0617,69.575,67.59,68.7067,2777430.0
2023-03-20,69.0733,69.9842,68.7658,69.2517,1421448.0
2023-03-21,70.525,73.595,70.525,73.3133,2984766.0
2023-03-22,72.7417,74.4817,72.1617,72.215,2945004.0
2023-03-23,72.9983,74.3017,72.5825,73.7067,2271954.0
2023-03-24,73.2467,74.095,72.5033,73.7917,1579296.0
2023-03-27,74.2333,75.0192,73.5167,74.69,2013768.0
2023-03-28,75.21,76.2767,74.6883,75.2717,2569560.0
2023-03-29,75.86,75.8667,74.6467,75.2883,1765038.0
2023-03-30,75.4717,76.1525,74.4033,74.66,2654766.0
2023-03-31,74.95,75.7383,74.42,74.925,2927868.0
2023-04-03,75.0133,75.6808,74.42,75.59,2344278.0
2023-04-04,75.9567,76.665,74.7017,75.8767,2019390.0
2023-04-05,75.2367,75.3783,74.2252,74.8633,1252368.0
2023-04-06,74.2033,74.6667,73.2117,74.3983,2249388.0
2023-04-10,74.11,76.565,74.0867,76.3433,1926372.0
2023-04-11,76.6433,76.8134,75.9871,76.205,1239384.0
2023-04-12,76.325,77.1525,76.16,76.295,1518318.0
2023-04-13,77.07,77.405,76.2,77.185,1352658.0
2023-04-14,77.5833,78.5883,77.32,77.84,1212618.0
2023-04-17,78.7633,79.1733,77.36,77.9833,1809138.0
2023-04-18,78.2067,80.025,77.95,79.5733,2439966.0
2023-04-19,79.455,80.1583,79.3892,80.115,2146656.0
2023-04-20,79.845,80.845,79.845,79.9367,1505508.0
2023-04-21,80.0367,81.39,79.5733,81.1133,1926540.0
2023-04-24,81.1467,82.0733,80.4983,81.6417,1645506.0
2023-04-25,81.4533,81.6517,79.1667,79.3783,2351976.0
2023-04-26,79.195,80.1733,79.195,79.7583,1568658.0
2023-04-27,79.1683,79.6917,76.8016,79.225,3478704.0
2023-04-28,78.3533,80.0,78.1917,79.89,2050458.0
2023-05-01,80.24,81.705,79.935,80.9933,1611942.0
2023-05-02,80.6033,81.0,79.0283,80.82,1302978.0
2023-05-03,80.5217,81.7683,80.0267,80.8183,2181858.0
2023-05-04,80.15,80.67,79.225,79.795,1605126.0
2023-05-05,80.6783,81.5117,80.02,80.8733,1227486.0
2023-05-08,81.0,82.8333,80.4842,82.4433,1751586.0
2023-05-09,81.7533,83.0108,81.6283,82.8183,1880556.0
2023-05-10,83.9133,83.9133,81.2033,82.6233,1420026.0
2023-05-11,82.5917,82.9383,81.5717,81.74,1661628.0
2023-05-12,81.765,82.66,80.9358,81.7633,2307162.0
2023-05-15,81.815,82.3883,81.27,81.92,2211162.0
2023-05-16,80.7217,81.45,77.885,78.8883,3347328.0
2023-05-17,78.7367,79.1067,77.4033,78.395,2990220.0
2023-05-18,78.2917,79.9975,77.8167,78.7517,1699926.0
2023-05-19,76.6667,76.7817,73.6233,75.7983,5455458.0
2023-05-22,76.5,76.7358,75.2267,76.0333,2657352.0
2023-05-23,75.2367,75.2367,73.945,74.7983,2904408.0
