date,open,high,low,close,volume
2023-01-11,42.08,42.2,39.68,40.77,5620313.0
2023-01-12,40.52,40.71,39.7802,39.93,4410091.0
2023-01-13,39.36,40.21,38.99,40.18,3383656.0
2023-01-17,40.13,40.19,39.45,40.03,2691621.0
2023-01-18,40.27,40.5,39.69,40.02,2757552.0
2023-01-19,39.42,39.86,39.03,39.46,3341651.0
2023-01-20,39.85,40.29,39.3998,40.26,2908047.0
2023-01-23,40.76,41.62,40.59,41.04,2745210.0
2023-01-24,40.2,41.07,40.11,40.59,1903050.0
2023-01-25,40.0,40.78,39.775,40.52,2705810.0
2023-01-26,40.95,41.05,40.22,40.99,1645296.0
2023-01-27,40.7,41.17,40.3,40.31,2677282.0
2023-01-30,39.96,40.41,39.84,40.01,2444028.0
2023-01-31,39.95,40.62,39.5,40.62,2562550.0
2023-02-01,40.5,41.44,40.34,41.23,3476465.0
2023-02-02,41.5,43.08,41.485,42.42,4623225.0
2023-02-03,41.96,42.78,41.7,42.24,2936717.0
2023-02-06,42.18,42.18,40.3101,40.96,4299348.0
2023-02-07,40.86,42.195,40.795,41.99,3268817.0
2023-02-08,41.68,42.24,41.57,41.84,2643279.0
2023-02-09,42.6,42.97,41.915,42.04,2878379.0
2023-02-10,41.88,43.25,41.72,42.72,3964177.0
2023-02-13,42.81,43.82,42.64,43.4,3705241.0
2023-02-14,43.25,43.8,42.93,43.03,2277181.0
2023-02-15,42.55,43.05,42.47,42.8,2139952.0
2023-02-16,42.47,43.72,42.34,42.72,2961076.0
2023-02-17,42.59,42.97,42.32,42.48,2728395.0
2023-02-21,41.91,42.44,41.69,41.89,3973160.0
2023-02-22,42.06,42.2601,41.6,41.81,2240581.0
2023-02-23,42.2,42.43,41.4373,42.03,3414212.0
2023-02-24,41.32,41.8,41.11,41.61,3712849.0
2023-02-27,42.13,42.19,40.871,41.0,5148218.0
2023-02-28,40.86,41.675,40.51,40.64,7672583.0
2023-03-01,40.84,40.95,39.97,40.44,7083437.0
2023-03-02,40.2,40.25,38.895,40.17,9084604.0
2023-03-03,39.06,40.99,38.82,39.79,7775747.0
2023-03-06,40.26,40.31,39.07,39.07,5330225.0
2023-03-07,39.12,39.53,37.99,38.0,4812983.0
2023-03-08,38.2,38.8,38.03,38.77,3010007.0
2023-03-09,38.58,38.92,37.72,37.8,2731224.0
2023-03-10,37.67,37.7399,36.285,36.72,3661893.0
2023-03-13,36.17,36.82,35.96,36.57,5580849.0
2023-03-14,37.49,38.295,37.16,37.55,4433854.0
2023-03-15,36.92,38.13,36.85,37.51,5072606.0
2023-03-16,36.52,38.11,36.45,38.05,5952214.0
2023-03-17,37.86,38.19,36.875,37.22,13488374.0
2023-03-20,37.59,38.84,37.49,38.55,5994133.0
2023-03-21,39.0,39.35,38.735,39.15,3619390.0
2023-03-22,39.22,39.48,38.05,38.08,3286304.0
2023-03-23,38.32,38.61,37.38,37.82,3215967.0
2023-03-24,37.63,37.68,36.81,37.38,4261601.0
2023-03-27,37.79,38.155,37.63,37.99,3018936.0
2023-03-28,37.88,38.32,37.56,38.31,3981934.0
2023-03-29,38.9,39.24,38.64,39.12,3746590.0
2023-03-30,39.47,39.95,39.44,39.86,4139649.0
2023-03-31,39.94,40.39,39.935,40.21,3915755.0
2023-04-03,40.14,41.15,40.06,40.97,4756258.0
2023-04-04,41.24,41.35,40.49,40.87,3749333.0
2023-04-05,40.73,41.13,40.34,40.8,3046654.0
2023-04-06,40.59,40.79,40.225,40.23,2186483.0
2023-04-10,39.9,41.44,39.9,41.43,3470222.0
2023-04-11,41.42,41.945,41.4,41.6,2897808.0
2023-04-12,41.8,41.99,41.15,41.87,3519191.0
2023-04-13,41.96,42.765,41.762,42.65,4411866.0
2023-04-14,42.74,43.73,42.69,43.28,7116928.0
2023-04-17,42.75,43.995,42.71,43.93,6329647.0
2023-04-18,44.24,45.65,44.2,45.5,9277745.0
2023-04-19,44.47,45.31,43.82,43.83,7267044.0
2023-04-20,43.41,43.57,42.75,42.92,4489175.0
2023-04-21,42.73,43.14,42.52,43.11,4905007.0
2023-04-24,42.7,42.87,42.365,42.68,2814398.0
2023-04-25,42.6,42.67,41.7,41.71,2395956.0
2023-04-26,41.75,42.19,41.465,41.67,2501488.0
2023-04-27,41.825,42.81,41.79,42.8,2988541.0
2023-04-28,42.9,43.635,42.815,43.49,3792385.0
2023-05-01,43.49,44.109,43.385,43.82,4516203.0
2023-05-02,45.01,45.65,43.88,44.76,6777968.0
2023-05-03,45.05,45.745,44.795,45.16,5124861.0
2023-05-04,45.03,45.15,44.085,44.18,3549730.0
2023-05-05,44.74,45.795,44.61,45.39,3699659.0
2023-05-08,45.52,46.185,45.17,46.02,3888001.0
2023-05-09,46.09,46.215,45.265,45.98,3220612.0
2023-05-10,46.42,46.56,45.445,45.83,3062185.0
2023-05-11,45.62,45.71,44.48,44.7,3737472.0
2023-05-12,44.72,44.8,44.19,44.76,2397273.0
2023-05-15,44.8,44.995,44.445,44.93,2996359.0
2023-05-16,44.84,46.13,44.675,45.38,3910213.0
2023-05-17,45.8,46.17,45.24,45.85,2404596.0
2023-05-18,45.77,47.31,45.65,47.12,3923440.0
2023-05-19,47.36,48.19,47.36,47.75,5111045.0
2023-05-22,46.75,47.94,46.37,47.54,3805579.0
2023-05-23,47.34,47.6,46.34,46.35,4141058.0
2023-05-24,46.06,46.06,45.25,45.91,3230722.0
2023-05-25,46.8,48.32,46.555,48.08,4081727.0
2023-05-26,48.15,48.55,47.48,48.51,4297112.0
2023-05-30,48.79,49.1,47.17,47.32,5464420.0
2023-05-31,45.98,46.17,44.45,44.81,9937448.0
2023-06-01,45.005,47.5,44.71,45.46,14458270.0
2023-06-02,45.5,47.8448,45.37,47.27,7914735.0
2023-06-05,47.26,47.58,45.3,45.48,6356351.0
2023-06-06,45.38,47.08,45.16,46.85,5466201.0
2023-06-07,46.86,47.779,46.77,47.66,4095959.0
2023-06-08,47.99,48.1,47.2,47.89,3976290.0
2023-06-09,48.09,48.67,47.59,47.61,3293572.0
2023-06-12,47.72,48.12,47.615,48.07,3596854.0
2023-06-13,48.28,48.82,48.25,48.8,2805666.0
2023-06-14,48.63,49.69,48.63,49.38,4013664.0
2023-06-15,49.35,50.46,49.175,50.2,3216611.0
2023-06-16,50.195,50.3,49.53,49.67,9363258.0
2023-06-20,49.51,49.58,48.74,49.33,4213507.0
2023-06-21,49.88,50.59,49.405,50.06,5943345.0
2023-06-22,49.84,51.44,49.76,51.28,6326781.0
2023-06-23,50.59,51.66,50.51,50.87,18291804.0
2023-06-26,51.12,51.58,50.721,51.32,3404548.0
2023-06-27,51.32,51.57,50.85,51.39,3496000.0
2023-06-28,51.03,51.92,50.91,51.77,2946842.0
2023-06-29,52.0,53.15,51.8,53.1,4033421.0
2023-06-30,53.94,54.61,53.76,54.11,5182432.0
2023-07-03,54.0,54.78,53.74,54.61,1828579.0
2023-07-05,54.08,54.675,53.86,54.21,2639962.0
2023-07-06,53.65,54.325,53.34,53.8,3596194.0
2023-07-07,53.92,54.52,53.47,53.53,5404221.0
2023-07-10,53.27,54.88,53.22,54.87,3238466.0
2023-07-11,55.0,55.86,54.88,55.74,4597127.0
2023-07-12,55.5,55.69,54.15,54.17,5882103.0
2023-07-13,54.56,55.66,54.22,55.64,5375814.0
2023-07-14,55.58,56.1,54.84,55.42,4227961.0
2023-07-17,55.58,55.66,54.69,54.7,4146549.0
2023-07-18,54.98,55.05,53.12,53.83,5677942.0
2023-07-19,53.97,54.52,53.95,54.3,3292656.0
2023-07-20,53.85,54.23,53.24,53.6,3414902.0
2023-07-21,53.44,54.28,53.43,53.56,2875677.0
2023-07-24,53.77,54.225,53.575,53.73,2937705.0
2023-07-25,54.0,54.66,54.0,54.37,2395580.0
2023-07-26,54.24,54.545,53.76,53.92,1931326.0
2023-07-27,54.43,54.78,53.59,53.71,2957525.0
2023-07-28,54.14,54.42,52.525,52.61,4748122.0
2023-07-31,52.54,53.16,52.36,52.92,3865564.0
2023-08-01,52.78,53.675,52.78,53.37,3681357.0
2023-08-02,53.045,53.26,52.465,52.95,2789083.0
2023-08-03,52.5,53.955,52.05,53.51,2615546.0
2023-08-04,53.59,54.56,53.06,53.24,2533645.0
2023-08-07,53.53,54.64,53.53,54.57,2738380.0
2023-08-08,55.04,58.72,54.82,57.58,8257969.0
2023-08-09,57.47,57.87,56.545,56.57,2754278.0
2023-08-10,57.19,57.38,55.42,56.0,3189129.0
2023-08-11,56.07,57.58,55.7501,56.84,3118060.0
2023-08-14,56.52,56.96,56.29,56.76,2253876.0
2023-08-15,56.56,56.69,55.69,55.73,2279395.0
2023-08-16,55.68,56.305,55.16,55.22,1834689.0
2023-08-17,55.3,55.83,54.625,54.86,3966952.0
2023-08-18,54.51,55.35,54.33,54.93,2324635.0
2023-08-21,55.08,56.45,55.08,56.05,4076048.0
2023-08-22,56.43,56.56,55.55,55.8,2188497.0
2023-08-23,56.22,56.92,55.71,56.83,2643684.0
2023-08-24,57.44,57.66,56.22,56.71,3925955.0
2023-08-25,56.78,56.875,55.62,56.21,2680980.0
2023-08-28,56.36,57.5,56.07,57.19,3252569.0
2023-08-29,57.18,57.28,56.32,56.5,4939372.0
2023-08-30,54.68,55.95,53.62,55.69,6340577.0
2023-08-31,55.99,56.799,55.56,56.24,7050346.0
2023-09-01,64.09,70.28,63.86,68.19,32070501.0
2023-09-05,68.05,69.83,67.54,68.1,9466373.0
2023-09-06,68.0,70.48,67.83,70.47,7585616.0
2023-09-07,69.47,70.6197,68.57,68.98,7649325.0
2023-09-08,69.37,70.89,69.09,70.5,5550484.0
2023-09-11,71.12,72.82,70.56,72.16,7449202.0
2023-09-12,71.65,72.27,70.59,70.73,4782518.0
2023-09-13,70.92,71.2,69.76,70.45,2801459.0
2023-09-14,70.47,71.16,70.12,71.16,5116847.0
2023-09-15,70.8999,71.09,68.65,69.29,6093460.0
2023-09-18,69.01,69.45,68.4001,69.15,3527363.0
2023-09-19,69.805,70.41,69.28,69.9,3844194.0
2023-09-20,69.91,70.4543,68.87,68.94,3091710.0
2023-09-21,68.26,69.2,68.04,68.44,3924650.0
2023-09-22,68.73,70.59,68.62,70.05,4495031.0
2023-09-25,70.19,70.98,69.4,70.03,3643708.0
2023-09-26,69.8,70.035,68.93,68.93,3214382.0
2023-09-27,69.8,69.98,67.23,67.95,5517393.0
2023-09-28,68.21,69.27,68.06,68.5,3375091.0
2023-09-29,69.1,69.6,68.55,68.9,6379819.0
2023-10-02,68.61,69.33,67.34,67.7,3902534.0
2023-10-03,68.74,68.94,66.82,67.24,4329670.0
2023-10-04,67.31,67.87,66.46,67.2,6075271.0
