date,open,high,low,close,volume
2023-01-11,51.97,52.3,51.23,51.58,1589395.0
2023-01-12,51.91,52.82,51.6,52.12,1693988.0
2023-01-13,52.16,52.53,51.37,52.01,1545672.0
2023-01-17,52.41,53.18,51.83,52.4,1914921.0
2023-01-18,52.69,54.66,52.23,53.35,2946856.0
2023-01-19,53.33,55.18,53.03,54.91,1970442.0
2023-01-20,54.99,56.97,54.86,56.93,2552416.0
2023-01-23,57.55,58.8499,57.22,57.83,1872696.0
2023-01-24,57.9,58.48,56.6112,58.4,1583101.0
2023-01-25,58.11,58.48,56.85,57.49,1355862.0
2023-01-26,57.96,59.4,57.47,59.18,1845695.0
2023-01-27,59.25,59.3161,56.625,56.96,1828889.0
2023-01-30,56.67,57.29,55.72,55.92,1878549.0
2023-01-31,56.21,57.23,55.84,56.9,2041380.0
2023-02-01,56.69,57.209,53.82,54.65,2336655.0
2023-02-02,54.53,54.81,52.98,54.05,1899261.0
2023-02-03,53.97,54.9,53.0,53.15,1595226.0
2023-02-06,53.06,53.73,51.07,52.4,2285392.0
2023-02-07,52.76,54.64,52.62,54.62,1778023.0
2023-02-08,54.33,54.6,52.02,53.11,1746821.0
2023-02-09,53.08,53.25,52.13,52.33,1845868.0
2023-02-10,53.07,55.51,52.92,55.43,2074155.0
2023-02-13,55.25,55.331,54.47,55.05,1238772.0
2023-02-14,54.66,55.7582,54.45,55.36,1435853.0
2023-02-15,54.8,54.99,53.69,54.5,1409473.0
2023-02-16,54.61,55.22,53.61,53.81,1728849.0
2023-02-17,52.96,53.17,51.4736,52.3,1722947.0
2023-02-21,52.23,53.22,52.17,52.77,2292598.0
2023-02-22,52.44,53.65,52.04,52.7,1589455.0
2023-02-23,53.32,54.11,52.825,53.34,1678394.0
2023-02-24,50.8,50.82,47.5,50.35,5282993.0
2023-02-27,50.4,51.58,49.53,51.05,3391491.0
2023-02-28,51.51,51.7,49.6,49.72,3235263.0
2023-03-01,49.65,51.63,49.46,51.51,4467609.0
2023-03-02,50.67,52.14,50.22,52.08,2522919.0
2023-03-03,52.54,53.99,51.2,53.56,2110656.0
2023-03-06,52.97,53.23,51.66,52.1,2008603.0
2023-03-07,52.14,52.48,51.085,51.91,1728934.0
2023-03-08,51.75,52.065,49.51,50.29,2621565.0
2023-03-09,50.54,52.035,49.58,49.84,2357299.0
2023-03-10,50.29,51.02,48.98,49.27,2411007.0
2023-03-13,47.72,48.325,46.385,46.67,2634034.0
2023-03-14,47.26,48.575,46.27,47.06,2078192.0
2023-03-15,45.44,46.05,44.22,45.12,3027429.0
2023-03-16,45.05,47.475,44.06,47.38,3794441.0
2023-03-17,47.38,47.835,46.62,47.19,7624726.0
2023-03-20,47.61,49.55,47.5,49.14,3539096.0
2023-03-21,50.34,50.47,48.75,49.19,3528236.0
2023-03-22,49.0,50.74,49.0,49.14,2542874.0
2023-03-23,49.47,50.21,47.685,48.22,2393259.0
2023-03-24,46.97,48.0,46.47,47.6,2644854.0
2023-03-27,48.08,49.4199,47.34,48.9,2075917.0
2023-03-28,48.95,49.995,48.63,49.78,1955320.0
2023-03-29,50.37,50.78,48.51,49.14,2219510.0
2023-03-30,49.7,49.7,48.75,49.31,1619228.0
2023-03-31,48.65,48.885,47.58,48.38,4163576.0
2023-04-03,50.33,50.33,47.94,48.69,5847034.0
2023-04-04,48.44,48.57,44.65,44.78,4293829.0
2023-04-05,44.74,46.8625,44.55,46.63,3348797.0
2023-04-06,46.93,47.1169,46.105,46.25,2136246.0
2023-04-10,46.0,47.43,46.0,46.78,1331024.0
2023-04-11,47.0,48.08,46.825,47.96,1618560.0
2023-04-12,48.16,48.16,46.25,46.34,2835908.0
2023-04-13,45.92,46.65,44.68,46.37,1943659.0
2023-04-14,46.57,46.96,45.72,46.44,1516998.0
2023-04-17,46.16,46.37,45.13,45.54,1605908.0
2023-04-18,45.11,45.68,44.7,45.5,1575535.0
2023-04-19,45.01,45.3,44.34,45.25,2080491.0
2023-04-20,44.6,45.31,44.5,45.09,2106242.0
2023-04-21,45.53,45.53,44.09,44.33,1387778.0
2023-04-24,44.23,45.545,44.08,45.14,1940560.0
2023-04-25,44.62,44.84,43.49,43.8,1722819.0
2023-04-26,43.89,44.32,43.18,43.6,2078292.0
2023-04-27,43.68,44.07,42.72,42.99,2424730.0
2023-04-28,42.88,44.275,42.46,44.11,3104285.0
2023-05-01,43.99,44.45,43.4101,43.86,2503429.0
2023-05-02,43.5,43.57,41.03,41.63,2854124.0
2023-05-03,41.72,42.535,40.415,41.91,6530732.0
2023-05-04,40.27,40.8,37.81,38.26,6059555.0
2023-05-05,39.17,39.385,37.115,38.38,3809994.0
2023-05-08,39.24,39.78,38.86,39.03,2424943.0
2023-05-09,38.66,39.98,38.485,39.37,2947785.0
2023-05-10,39.52,40.825,39.0,40.5,3202631.0
2023-05-11,39.75,40.44,39.71,40.11,2194273.0
2023-05-12,40.7,40.77,39.72,40.05,1572413.0
2023-05-15,40.15,40.9,39.815,40.25,3218912.0
2023-05-16,40.2,40.3819,39.08,39.39,2184997.0
2023-05-17,39.46,40.88,39.17,40.54,2483135.0
2023-05-18,40.32,41.83,40.12,41.78,2492497.0
2023-05-19,42.17,42.29,41.22,41.35,2076711.0
2023-05-22,41.67,42.65,41.35,42.3,2808080.0
2023-05-23,42.86,44.0,42.26,43.13,4202845.0
2023-05-24,43.32,43.88,42.61,43.51,2353196.0
2023-05-25,42.8,43.11,42.0,42.84,2087619.0
2023-05-26,43.18,43.3,42.36,42.94,2499391.0
