date,open,high,low,close,volume
2023-01-11,12.85,12.98,12.76,12.98,393003.0
2023-01-12,13.07,13.35,12.96,13.24,603476.0
2023-01-13,13.16,13.295,13.01,13.24,482563.0
2023-01-17,13.28,13.3,12.985,13.01,312098.0
2023-01-18,13.08,13.21,12.48,12.51,480178.0
2023-01-19,12.47,12.58,12.22,12.33,404084.0
2023-01-20,12.46,12.54,12.26,12.52,437904.0
2023-01-23,12.64,12.945,12.56,12.91,364225.0
2023-01-24,12.86,13.17,12.72,13.16,417743.0
2023-01-25,13.02,13.35,13.02,13.23,407275.0
2023-01-26,13.39,13.5,12.96,13.23,320607.0
2023-01-27,13.18,13.49,13.14,13.42,359170.0
2023-01-30,13.31,13.7152,13.27,13.28,602974.0
2023-01-31,13.32,14.04,13.25,14.04,1147810.0
2023-02-01,13.97,14.1,13.52,13.96,654069.0
2023-02-02,14.01,14.19,13.73,13.99,539962.0
2023-02-03,13.87,14.345,13.85,13.89,639443.0
2023-02-06,13.89,14.11,13.79,13.95,637526.0
2023-02-07,13.92,14.37,13.8771,14.27,692699.0
2023-02-08,14.18,14.315,14.0,14.12,559602.0
2023-02-09,14.21,14.41,13.91,14.0,613969.0
2023-02-10,14.05,14.315,14.01,14.29,310316.0
2023-02-13,14.29,14.86,14.25,14.66,1168942.0
2023-02-14,14.48,14.64,14.09,14.26,705961.0
2023-02-15,14.09,14.09,13.67,13.96,951930.0
2023-02-16,14.0,14.57,13.75,13.77,1119465.0
2023-02-17,13.89,13.89,12.94,13.0,964487.0
2023-02-21,12.77,12.88,12.35,12.42,963202.0
2023-02-22,12.35,12.73,12.35,12.45,870062.0
2023-02-23,12.53,12.985,12.52,12.83,1385706.0
2023-02-24,12.75,12.75,12.49,12.6,750276.0
2023-02-27,12.7,12.84,12.62,12.76,675931.0
2023-02-28,12.79,13.03,12.77,12.85,915171.0
2023-03-01,12.86,13.05,12.8,13.04,357729.0
2023-03-02,12.95,13.27,12.78,13.18,575392.0
2023-03-03,13.25,13.545,13.11,13.48,588939.0
2023-03-06,13.44,13.54,12.595,12.75,883608.0
2023-03-07,12.67,12.67,12.29,12.6,1033794.0
2023-03-08,12.61,12.72,12.15,12.39,1149181.0
2023-03-09,12.47,12.53,12.07,12.08,567372.0
2023-03-10,12.0,12.04,11.43,11.57,1186987.0
2023-03-13,11.21,11.415,11.02,11.1,1428183.0
2023-03-14,11.45,11.51,11.025,11.21,730245.0
2023-03-15,10.74,10.82,10.17,10.31,1419300.0
2023-03-16,10.08,10.5,9.87,10.38,1963103.0
2023-03-17,10.34,10.375,9.99,10.07,2747325.0
2023-03-20,10.2,10.575,10.2,10.36,1319394.0
2023-03-21,10.66,10.85,10.495,10.53,853433.0
2023-03-22,10.57,10.78,10.4,10.4,1053873.0
2023-03-23,10.45,10.7,10.29,10.38,923664.0
2023-03-24,10.21,10.68,10.13,10.59,1079629.0
2023-03-27,10.76,10.98,10.63,10.92,909165.0
2023-03-28,10.83,11.05,10.8,11.03,583757.0
2023-03-29,11.16,11.18,10.89,10.94,923340.0
2023-03-30,10.95,11.07,10.93,10.97,692756.0
2023-03-31,11.08,11.15,10.99,11.15,1041187.0
2023-04-03,11.36,11.46,11.01,11.1,774487.0
2023-04-04,11.17,11.25,10.62,10.76,744507.0
2023-04-05,10.66,10.71,10.37,10.47,828229.0
2023-04-06,10.47,10.53,10.36,10.44,469097.0
2023-04-10,10.42,10.8,10.42,10.69,1062144.0
2023-04-11,10.78,10.78,10.56,10.61,488033.0
2023-04-12,10.74,10.84,10.555,10.62,846300.0
2023-04-13,10.65,10.8,10.55,10.8,586697.0
2023-04-14,10.79,10.93,10.7,10.8,390242.0
2023-04-17,10.75,10.895,10.63,10.7,471346.0
2023-04-18,10.71,10.85,10.605,10.66,456520.0
2023-04-19,10.57,10.735,10.46,10.68,495004.0
2023-04-20,10.57,10.775,10.555,10.75,534921.0
2023-04-21,10.78,10.8,10.61,10.7,429362.0
2023-04-24,10.73,11.01,10.73,10.96,580314.0
2023-04-25,10.73,10.82,10.52,10.58,444381.0
2023-04-26,10.43,10.61,10.3,10.34,416645.0
2023-04-27,10.36,10.51,10.265,10.44,512622.0
2023-04-28,10.39,10.75,10.39,10.67,676443.0
2023-05-01,10.6,10.79,10.57,10.75,452654.0
2023-05-02,10.68,10.68,10.135,10.26,784341.0
2023-05-03,10.28,10.47,10.23,10.28,910831.0
2023-05-04,9.8,10.24,9.4,9.49,1184937.0
2023-05-05,9.67,9.875,9.45,9.46,818223.0
2023-05-08,9.54,9.74,9.4,9.45,736258.0
2023-05-09,9.37,9.48,9.31,9.34,717321.0
2023-05-10,9.54,9.54,9.035,9.21,688629.0
2023-05-11,9.01,9.14,8.94,9.12,800745.0
2023-05-12,9.2,9.29,9.09,9.26,938224.0
2023-05-15,9.32,9.415,9.27,9.29,527626.0
