date,open,high,low,close,volume
2023-01-11,8.17,8.525,8.17,8.51,1726435.0
2023-01-12,8.57,8.75,8.515,8.75,1537071.0
2023-01-13,8.67,8.695,8.56,8.66,1064220.0
2023-01-17,8.72,8.78,8.66,8.78,1680022.0
2023-01-18,8.75,8.8,8.58,8.6,2091918.0
2023-01-19,8.51,8.675,8.48,8.66,1394536.0
2023-01-20,8.73,8.9,8.61,8.9,1164961.0
2023-01-23,8.9,9.06,8.84,9.06,956708.0
2023-01-24,9.1,9.14,8.92,9.12,838234.0
2023-01-25,9.09,9.37,9.01,9.34,2007366.0
2023-01-26,9.42,9.54,9.305,9.53,1683247.0
2023-01-27,9.44,9.66,9.44,9.6,937370.0
2023-01-30,9.5,9.595,9.365,9.41,1427624.0
2023-01-31,9.42,9.7,9.41,9.63,2324978.0
2023-02-01,9.6,9.81,9.42,9.72,1579955.0
2023-02-02,9.84,10.02,9.77,9.98,1940230.0
2023-02-03,9.84,9.99,9.79,9.85,1571856.0
2023-02-06,9.8,9.82,9.55,9.62,1214944.0
2023-02-07,9.5,9.73,9.48,9.63,1768250.0
2023-02-08,9.52,9.685,9.42,9.47,1564195.0
2023-02-09,9.54,9.62,9.445,9.47,778026.0
2023-02-10,9.43,9.44,9.14,9.31,1637519.0
2023-02-13,9.29,9.495,9.23,9.45,1068616.0
2023-02-14,9.36,9.57,9.3,9.45,1450173.0
2023-02-15,9.36,9.555,9.355,9.47,1199040.0
2023-02-16,9.23,9.29,8.905,8.98,3797160.0
2023-02-17,8.94,8.98,8.77,8.83,2765269.0
2023-02-21,9.11,9.16,8.595,8.84,2439121.0
2023-02-22,8.81,8.995,8.735,8.79,3533315.0
2023-02-23,8.82,9.06,8.605,8.94,2424177.0
2023-02-24,8.75,8.9,8.66,8.88,1586428.0
2023-02-27,9.02,9.09,8.83,8.9,1316672.0
2023-02-28,8.89,8.97,8.68,8.72,1911921.0
2023-03-01,8.67,8.785,8.645,8.7,2327192.0
2023-03-02,8.6,8.74,8.59,8.72,1526634.0
2023-03-03,8.81,8.91,8.72,8.8,1243492.0
2023-03-06,8.79,8.89,8.7,8.76,1970864.0
2023-03-07,8.81,8.85,8.595,8.71,1515571.0
2023-03-08,8.73,8.83,8.63,8.8,1564655.0
2023-03-09,8.78,8.79,8.32,8.34,2221716.0
2023-03-10,8.26,8.37,8.11,8.24,2916131.0
2023-03-13,8.1,8.24,7.99,8.17,2546676.0
2023-03-14,8.47,8.505,8.16,8.23,2439634.0
2023-03-15,7.94,8.18,7.92,8.16,4168763.0
2023-03-16,8.03,8.205,7.865,8.08,2698640.0
2023-03-17,8.0,8.09,7.715,7.76,6057310.0
2023-03-20,7.84,8.05,7.83,7.84,5070435.0
2023-03-21,8.02,8.125,7.89,7.99,2800305.0
2023-03-22,7.9,7.935,7.5,7.5,2853812.0
2023-03-23,7.53,7.65,7.33,7.34,1950165.0
2023-03-24,7.2,7.44,7.14,7.4,4772956.0
2023-03-27,7.53,7.58,7.39,7.47,2464045.0
2023-03-28,7.38,7.61,7.35,7.48,3799679.0
2023-03-29,7.59,7.75,7.56,7.73,2483941.0
2023-03-30,8.02,8.0327,7.7,7.8,1765981.0
2023-03-31,7.9,8.15,7.87,8.13,2986235.0
2023-04-03,8.13,8.235,8.01,8.09,2536288.0
2023-04-04,8.12,8.15,7.94,8.11,1637167.0
2023-04-05,8.06,8.115,8.015,8.03,2158280.0
2023-04-06,8.11,8.12,7.99,8.06,1205925.0
2023-04-10,8.02,8.2,8.0,8.12,2862230.0
2023-04-11,8.16,8.28,8.11,8.23,3800328.0
2023-04-12,8.32,8.35,8.04,8.06,2842834.0
2023-04-13,8.12,8.215,8.06,8.13,2106398.0
2023-04-14,8.16,8.26,8.0,8.11,1801613.0
2023-04-17,8.09,8.38,8.07,8.33,4134087.0
2023-04-18,8.33,8.465,8.21,8.34,1394703.0
2023-04-19,8.26,8.3,8.18,8.24,1063471.0
2023-04-20,8.15,8.18,7.99,8.07,1132583.0
2023-04-21,8.1,8.16,7.99,8.11,1510541.0
2023-04-24,8.09,8.14,8.02,8.1,896030.0
2023-04-25,7.97,8.02,7.86,7.91,1361558.0
2023-04-26,7.84,8.03,7.84,7.89,2316665.0
2023-04-27,7.95,7.98,7.82,7.96,2254884.0
2023-04-28,7.91,8.17,7.91,8.11,1492917.0
2023-05-01,8.11,8.365,8.105,8.25,1762463.0
2023-05-02,8.2,8.31,7.975,8.15,2787702.0
2023-05-03,8.17,8.46,8.16,8.22,1552836.0
2023-05-04,8.15,8.47,8.14,8.42,2212164.0
2023-05-05,8.37,8.7,8.13,8.48,5119633.0
2023-05-08,8.49,8.49,8.355,8.46,2620015.0
2023-05-09,8.34,8.49,8.29,8.45,3933965.0
2023-05-10,8.61,8.635,8.305,8.4,2508615.0
2023-05-11,8.27,8.34,7.96,8.09,3741408.0
2023-05-12,8.1,8.155,8.0,8.07,2473212.0
2023-05-15,8.08,8.15,8.005,8.09,2019960.0
2023-05-16,8.06,8.23,7.97,8.05,3035097.0
2023-05-17,8.11,8.2,8.015,8.11,1920578.0
2023-05-18,8.07,8.295,8.05,8.23,3468039.0
2023-05-19,8.31,8.34,8.035,8.1,2253755.0
2023-05-22,8.11,8.14,7.82,7.93,4340563.0
2023-05-23,7.93,8.025,7.875,7.91,2725657.0
2023-05-24,7.84,7.87,7.67,7.69,1651744.0
2023-05-25,7.66,7.75,7.525,7.72,1321380.0
2023-05-26,7.71,7.85,7.67,7.84,2915565.0
2023-05-30,7.9,8.025,7.8,7.87,2021467.0
2023-05-31,7.89,7.91,7.7,7.85,3037404.0
2023-06-01,7.84,8.04,7.84,7.88,3444132.0
2023-06-02,8.05,8.33,8.05,8.3,1692096.0
2023-06-05,8.21,8.335,8.17,8.24,3202021.0
2023-06-06,8.21,8.52,8.2,8.49,2355312.0
2023-06-07,8.59,8.68,8.42,8.49,2308876.0
2023-06-08,8.43,8.505,8.32,8.48,1638253.0
2023-06-09,8.43,8.45,8.27,8.3,1731283.0
2023-06-12,8.29,8.385,8.185,8.25,2179338.0
2023-06-13,8.29,8.3289,8.135,8.14,2174376.0
2023-06-14,8.21,8.24,8.005,8.15,2502070.0
2023-06-15,8.14,8.14,7.84,7.99,2291288.0
2023-06-16,8.08,8.125,7.94,8.01,4119953.0
2023-06-20,7.99,8.0075,7.85,7.87,2928126.0
2023-06-21,7.8,7.915,7.73,7.85,2715455.0
2023-06-22,7.86,7.889,7.74,7.79,1435724.0
2023-06-23,7.63,7.735,7.61,7.65,2613272.0
2023-06-26,7.59,7.795,7.59,7.65,2256423.0
2023-06-27,7.64,7.79,7.495,7.76,1645909.0
2023-06-28,7.77,7.81,7.7,7.74,1807266.0
2023-06-29,7.68,8.0,7.68,7.99,2821859.0
2023-06-30,8.05,8.075,7.93,8.01,1869263.0
2023-07-03,8.03,8.25,7.99,8.23,1059420.0
2023-07-05,8.16,8.21,8.025,8.13,1849783.0
2023-07-06,8.01,8.11,7.95,8.08,2010388.0
2023-07-07,8.11,8.27,8.11,8.13,1510737.0
2023-07-10,8.08,8.32,8.03,8.31,1306823.0
