date,open,high,low,close,volume
2023-01-11,150.81,152.08,149.01,149.65,1427390.0
2023-01-12,150.15,150.72,148.22,148.7,1287230.0
2023-01-13,147.85,149.93,147.26,149.8,649843.0
2023-01-17,148.98,149.92,148.535,149.01,729599.0
2023-01-18,149.69,149.87,146.01,146.48,811975.0
2023-01-19,146.26,146.69,145.25,145.39,1192613.0
2023-01-20,145.97,147.59,145.29,147.38,848606.0
2023-01-23,147.87,148.46,146.99,148.1,652251.0
2023-01-24,148.43,148.43,145.5,145.98,940289.0
2023-01-25,145.22,147.91,144.83,147.78,872742.0
2023-01-26,148.21,149.63,148.15,149.3,802617.0
2023-01-27,150.0,150.0,147.86,148.37,852269.0
2023-01-30,148.01,149.56,146.78,146.92,889411.0
2023-01-31,146.69,148.18,146.38,147.97,2240536.0
2023-02-01,148.01,148.49,143.94,147.06,1210952.0
2023-02-02,148.24,149.25,146.79,147.92,1407965.0
2023-02-03,146.5,148.59,145.64,147.42,736332.0
2023-02-06,147.51,149.85,147.51,149.79,1027299.0
2023-02-07,148.7,149.9,147.65,149.59,664124.0
2023-02-08,148.71,149.63,147.785,148.45,696822.0
2023-02-09,149.4,150.73,147.34,147.76,897238.0
2023-02-10,147.5,148.0,146.36,147.02,1153365.0
2023-02-13,147.42,148.61,144.13,147.84,1110836.0
2023-02-14,147.91,148.07,145.38,146.31,1239604.0
2023-02-15,145.93,146.7,144.98,146.66,1258281.0
2023-02-16,145.47,147.72,144.52,145.76,1306736.0
2023-02-17,145.35,147.05,144.62,146.09,1422822.0
2023-02-21,146.5,148.2,145.65,147.84,1508483.0
2023-02-22,148.58,149.96,146.87,148.91,1224133.0
2023-02-23,149.13,149.91,147.625,148.28,1092186.0
2023-02-24,146.76,147.76,144.19,144.53,1142899.0
2023-02-27,145.0,145.28,142.43,142.67,923843.0
2023-02-28,142.88,143.66,142.25,142.99,1187470.0
2023-03-01,142.49,143.95,141.751,143.65,971502.0
2023-03-02,143.47,147.415,143.0,147.14,1046660.0
2023-03-03,147.14,148.26,146.5,147.34,1120835.0
2023-03-06,147.65,148.67,147.2237,148.27,1066847.0
2023-03-07,148.53,149.8,146.21,146.53,1128805.0
2023-03-08,146.6,146.6,143.93,145.73,831877.0
2023-03-09,146.46,147.5,144.46,144.66,1086219.0
2023-03-10,144.91,146.68,143.41,143.97,1073911.0
2023-03-13,142.83,147.45,142.83,146.02,1952736.0
