date,open,high,low,close,volume
2023-01-11,80.1,80.1,78.37,79.76,622616.0
2023-01-12,80.24,80.24,77.54,78.22,739689.0
2023-01-13,77.91,79.4,77.91,79.03,437411.0
2023-01-17,79.02,79.39,78.16,79.07,442474.0
2023-01-18,79.25,81.3,79.15,79.42,507547.0
2023-01-19,79.19,80.08,78.08,79.53,468858.0
2023-01-20,79.8,80.47,79.495,80.32,414445.0
2023-01-23,80.32,81.85,80.04,80.1,458280.0
2023-01-24,79.78,80.04,77.12,77.31,614492.0
2023-01-25,76.85,78.33,76.63,77.48,592449.0
2023-01-26,77.72,79.82,77.67,79.61,554975.0
2023-01-27,79.58,81.36,78.87,81.15,499030.0
2023-01-30,81.05,82.32,80.88,80.9,596428.0
2023-01-31,81.18,82.41,80.53,82.39,546113.0
2023-02-01,82.39,85.26,82.105,84.81,740680.0
2023-02-02,84.39,87.03,84.39,85.82,826825.0
2023-02-03,85.5,85.92,84.58,85.48,448082.0
2023-02-06,85.18,85.18,83.335,83.95,421762.0
2023-02-07,83.81,85.25,83.53,84.73,525667.0
2023-02-08,84.8,85.48,83.47,83.57,423032.0
2023-02-09,83.8,85.38,82.49,82.71,583860.0
2023-02-10,82.7,83.86,82.345,83.08,639767.0
2023-02-13,83.0,84.289,82.86,83.74,605978.0
2023-02-14,83.71,84.04,82.82,82.89,490705.0
2023-02-15,82.48,83.24,81.82,83.12,494766.0
2023-02-16,82.5,84.02,82.14,83.42,658523.0
2023-02-17,83.43,83.93,82.44,83.93,825419.0
2023-02-21,83.04,83.98,82.25,83.1,868360.0
2023-02-22,84.12,86.15,84.0,85.37,1117929.0
2023-02-23,85.35,85.98,79.82,82.87,1757412.0
2023-02-24,82.24,82.8,80.28,82.31,749035.0
2023-02-27,82.91,84.51,82.8,82.84,615588.0
2023-02-28,82.23,82.76,81.4,82.26,1326672.0
2023-03-01,81.58,82.44,80.86,82.33,588391.0
2023-03-02,81.92,82.2,80.71,80.96,580236.0
2023-03-03,81.31,82.075,80.53,82.01,536617.0
2023-03-06,82.07,82.3229,80.13,80.2,689491.0
